	NielsenHB_2014__V1_CD25_0__bin.12	KarlssonFH_2013__S205__bin.25	VogtmannE_2016__MMRS81130264ST-27-0-0__bin.26	XieH_2016__YSZC12003_35704__bin.10	YuJ_2015__SZAXPI015246-34__bin.44	NielsenHB_2014__MH0127__bin.2	QinJ_2012__CON-049__bin.3	LoombaR_2017__SID0006_evh__bin.65	HeQ_2017__SZAXPI029585-104__bin.20	HeQ_2017__SZAXPI029555-35__bin.91	QinJ_2012__CON-023__bin.42	BackhedF_2015__SID130_12M__bin.8	QinN_2014__LD-76__bin.25	LiuW_2016__SRR3992999__bin.11	HeQ_2017__SZAXPI029480-66__bin.2	FengQ_2015__SID31428__bin.43	NielsenHB_2014__V1_CD20_4__bin.10	GeversD_2014__SKBSTL059__bin.3	BackhedF_2015__SID130_4M__bin.2	HeQ_2017__SZAXPI029598-166__bin.49	BackhedF_2015__SID591_12M__bin.5	QinJ_2012__CON-035__bin.6	CosteaPI_2017__SID713A037-11-0-0__bin.30	QinJ_2012__T2D-038__bin.20	QinJ_2012__CON-065__bin.22	QinJ_2012__CON-029__bin.9	NielsenHB_2014__V1_UC7_0__bin.5	FengQ_2015__SID532826__bin.1	CosteaPI_2017__SID713A037-11-90-0__bin.13	KosticAD_2015__PRJNA231909.3112359__bin.15	LeChatelierE_2013__MH0236__bin.16	BackhedF_2015__SID624_12M__bin.9	YuJ_2015__SZAXPI017587-113__bin.24	ZellerG_2014__CCIS16383318ST-4-0__bin.38	LiuW_2016__SRR3992985__bin.77	YuJ_2015__SZAXPI015254-45__bin.10	VatanenT_2016__G80466__bin.1	FengQ_2015__SID531333__bin.39	YuJ_2015__SZAXPI015257-56__bin.49	WenC_2017__RA134__bin.31	LiJ_2014__V1.FI10__bin.30	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.23	HeQ_2017__SZAXPI029587-106__bin.17	LeChatelierE_2013__MH0127__bin.13
NielsenHB_2014__V1_CD25_0__bin.12	3273805.0	2483729.0	2496712.0	2482013.0	2665428.0	2122476.0	2072844.0	2291950.0	2252158.0	2560956.0	2673716.0	2679327.0	2511129.0	2475655.0	1175126.0	1915314.0	2490762.0	1448945.0	2524731.0	2258588.0	2649752.0	2796312.0	2463069.0	2652850.0	2517516.0	1984323.0	1675261.0	2717590.0	2398724.0	2565413.0	2433518.0	2606489.0	2478990.0	2360850.0	2273313.0	2424340.0	2458326.0	2457433.0	2609711.0	2151567.0	2216541.0	1972290.0	2162043.0	2297381.0
KarlssonFH_2013__S205__bin.25	2483729.0	2811889.0	2336710.0	2320133.0	2479366.0	2032974.0	2013234.0	2198293.0	2136110.0	2407393.0	2483149.0	2573838.0	2377305.0	2322870.0	993959.0	1858676.0	2358973.0	1380443.0	2417302.0	2151683.0	2484417.0	2561548.0	2278937.0	2471895.0	2366470.0	1943607.0	1605569.0	2497463.0	2234513.0	2358799.0	2273729.0	2446258.0	2276561.0	2239367.0	2185613.0	2292619.0	2295930.0	2320206.0	2470685.0	2059832.0	2159827.0	1851107.0	2016605.0	2189918.0
VogtmannE_2016__MMRS81130264ST-27-0-0__bin.26	2496712.0	2336710.0	3010455.0	2307190.0	2519359.0	2039291.0	1987178.0	2247041.0	2087848.0	2437143.0	2431219.0	2483512.0	2308129.0	2448920.0	1050402.0	1884175.0	2313255.0	1373337.0	2363543.0	2141909.0	2490434.0	2543242.0	2375995.0	2499115.0	2344557.0	1917800.0	1536311.0	2604056.0	2329930.0	2380219.0	2288740.0	2478575.0	2299206.0	2212483.0	2294855.0	2262428.0	2263439.0	2528339.0	2512639.0	2009483.0	2124629.0	2054555.0	1979944.0	2207484.0
XieH_2016__YSZC12003_35704__bin.10	2482013.0	2320133.0	2307190.0	2828160.0	2443414.0	1969195.0	1951396.0	2136743.0	2070247.0	2351502.0	2564451.0	2518333.0	2351472.0	2303411.0	1023759.0	1792692.0	2322826.0	1342178.0	2377757.0	2107714.0	2452070.0	2519671.0	2317980.0	2432655.0	2303548.0	1832206.0	1616691.0	2482393.0	2215911.0	2342323.0	2233195.0	2402290.0	2306798.0	2169630.0	2160495.0	2369112.0	2422515.0	2347530.0	2474419.0	2013721.0	2047232.0	1946171.0	1975872.0	2121971.0
YuJ_2015__SZAXPI015246-34__bin.44	2665428.0	2479366.0	2519359.0	2443414.0	3149604.0	2122945.0	2080845.0	2314028.0	2222068.0	2653603.0	2598508.0	2659822.0	2490685.0	2489115.0	1131056.0	1947474.0	2472824.0	1449200.0	2539521.0	2239097.0	2628406.0	2721300.0	2467695.0	2737209.0	2510000.0	2006726.0	1669986.0	2715150.0	2404906.0	2588749.0	2481146.0	2680133.0	2458410.0	2354070.0	2287772.0	2413833.0	2428246.0	2520514.0	2581942.0	2155668.0	2234859.0	2003638.0	2110173.0	2273837.0
NielsenHB_2014__MH0127__bin.2	2122476.0	2032974.0	2039291.0	1969195.0	2122945.0	2420433.0	1748544.0	1943160.0	1857775.0	2075958.0	2129588.0	2108154.0	2006244.0	1997234.0	802433.0	1674569.0	2066184.0	1247050.0	2029742.0	1864549.0	2197394.0	2162594.0	1956389.0	2122430.0	2017756.0	1673498.0	1404055.0	2204238.0	1902360.0	2038311.0	2004570.0	2117333.0	1888494.0	1962259.0	1896412.0	1991731.0	1984135.0	2022009.0	2095516.0	1761279.0	1869567.0	1545060.0	1770895.0	2270903.0
QinJ_2012__CON-049__bin.3	2072844.0	2013234.0	1987178.0	1951396.0	2080845.0	1748544.0	2571134.0	1869543.0	1859021.0	2033402.0	2096585.0	2081921.0	1987460.0	2004042.0	828141.0	1659352.0	1977925.0	1224153.0	2020547.0	1895625.0	2043451.0	2149990.0	1958160.0	2076802.0	2025259.0	1725191.0	1435233.0	2098746.0	1911775.0	2044752.0	1921141.0	2069610.0	1903524.0	1918206.0	1896771.0	1979025.0	1930603.0	1973023.0	2192109.0	1799944.0	1864824.0	1542319.0	1774814.0	1854031.0
LoombaR_2017__SID0006_evh__bin.65	2291950.0	2198293.0	2247041.0	2136743.0	2314028.0	1943160.0	1869543.0	2544690.0	1986574.0	2217177.0	2277675.0	2295827.0	2159012.0	2206751.0	942181.0	1757121.0	2200818.0	1327631.0	2214492.0	1996260.0	2256814.0	2336952.0	2167648.0	2273218.0	2191812.0	1796357.0	1481396.0	2349180.0	2132972.0	2211088.0	2165221.0	2285230.0	2076477.0	2094925.0	2084331.0	2164439.0	2135821.0	2235766.0	2278816.0	1919470.0	1981259.0	1757116.0	1871936.0	2088675.0
HeQ_2017__SZAXPI029585-104__bin.20	2252158.0	2136110.0	2087848.0	2070247.0	2222068.0	1857775.0	1859021.0	1986574.0	2525486.0	2169690.0	2224157.0	2229362.0	2143536.0	2105857.0	953846.0	1758517.0	2152728.0	1291579.0	2124779.0	2015485.0	2174032.0	2325600.0	2071977.0	2198971.0	2204319.0	1783817.0	1455100.0	2250201.0	2009506.0	2142587.0	2076257.0	2201744.0	2022736.0	2026095.0	1974763.0	2092575.0	2044147.0	2121371.0	2232029.0	1901643.0	1961855.0	1655873.0	1864453.0	1989194.0
HeQ_2017__SZAXPI029555-35__bin.91	2560956.0	2407393.0	2437143.0	2351502.0	2653603.0	2075958.0	2033402.0	2217177.0	2169690.0	2977130.0	2525385.0	2592839.0	2404669.0	2412428.0	1051824.0	1902900.0	2384362.0	1399999.0	2455740.0	2188501.0	2547336.0	2582549.0	2370519.0	2789602.0	2429439.0	1956185.0	1624471.0	2630040.0	2303951.0	2549523.0	2431556.0	2614581.0	2321504.0	2280968.0	2254580.0	2347999.0	2335855.0	2392726.0	2482747.0	2069264.0	2183267.0	1924525.0	2075742.0	2240447.0
