	KarlssonFH_2013__S526__bin.12	LiJ_2014__O2.UC7-0__bin.8	ZeeviD_2015__PNP_Main_146__bin.45	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.69	HanniganGD_2017__MG100203__bin.10	BackhedF_2015__SID521_12M__bin.4	KarlssonFH_2013__S229__bin.23	LeChatelierE_2013__MH0409__bin.57	AsnicarF_2017__MV_FEM2_t1Q14__bin.17	ZeeviD_2015__PNP_Main_120__bin.5	XieH_2016__YSZC12003_37192R1__bin.23	FerrettiP_2018__CA_C10020IS2339FE_t2M15__bin.5	XieH_2016__YSZC12003_36522__bin.85	XieH_2016__YSZC12003_35542__bin.22	ZellerG_2014__CCMD63399960ST-21-0__bin.74	VogtmannE_2016__MMRS25641480ST-27-0-0__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.98	XieH_2016__YSZC12003_35665__bin.48	XieH_2016__YSZC12003_37097__bin.56	FerrettiP_2018__CA_C10020MS2332FE_t0M15__bin.8	LeChatelierE_2013__MH0230__bin.16	HMP_2012__SRS018656__bin.25	KarlssonFH_2013__S193__bin.9	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.47	XieH_2016__YSZC12003_35583__bin.69	FengQ_2015__SID31685__bin.47	XieH_2016__YSZC12003_37798__bin.28	ZeeviD_2015__PNP_Main_139__bin.1
KarlssonFH_2013__S526__bin.12	0.0	11618.0	10540.0	13244.0	14551.0	18010.0	11142.0	15484.0	15286.0	20335.0	15861.0	13425.0	16358.0	17640.0	17632.0	18574.0	9416.0	15572.0	16804.0	15588.0	17487.0	17379.0	15510.0	17905.0	17486.0	15771.0	17055.0	15277.0
LiJ_2014__O2.UC7-0__bin.8	11618.0	0.0	8200.0	10719.0	1909.0	2475.0	9431.0	12515.0	12557.0	12762.0	12739.0	10879.0	2204.0	2770.0	2310.0	11435.0	8119.0	12757.0	2664.0	12623.0	2283.0	2265.0	12737.0	10955.0	2272.0	12732.0	2267.0	12733.0
ZeeviD_2015__PNP_Main_146__bin.45	10540.0	8200.0	0.0	2116.0	9933.0	11577.0	853.0	654.0	563.0	13770.0	545.0	442.0	10841.0	12021.0	11442.0	12118.0	1843.0	467.0	11154.0	461.0	11421.0	11432.0	508.0	11694.0	11465.0	527.0	11062.0	399.0
VogtmannE_2016__MMRS34569532ST-27-0-0__bin.69	13244.0	10719.0	2116.0	0.0	13220.0	16015.0	2895.0	3675.0	3411.0	17836.0	3511.0	2889.0	15058.0	16191.0	16195.0	16154.0	3635.0	3462.0	15086.0	3552.0	15922.0	15975.0	3553.0	15767.0	15967.0	3573.0	15596.0	3563.0
HanniganGD_2017__MG100203__bin.10	14551.0	1909.0	9933.0	13220.0	0.0	899.0	11970.0	16506.0	16576.0	16677.0	16626.0	14212.0	421.0	1368.0	571.0	14889.0	9956.0	16535.0	1723.0	16597.0	437.0	460.0	16596.0	14460.0	429.0	16821.0	578.0	16576.0
BackhedF_2015__SID521_12M__bin.4	18010.0	2475.0	11577.0	16015.0	899.0	0.0	14470.0	20707.0	20823.0	20757.0	21759.0	16793.0	896.0	2330.0	1349.0	20528.0	11670.0	21229.0	2488.0	21613.0	1163.0	1125.0	21549.0	18144.0	1223.0	21689.0	1003.0	21184.0
KarlssonFH_2013__S229__bin.23	11142.0	9431.0	853.0	2895.0	11970.0	14470.0	0.0	1708.0	1551.0	17067.0	1673.0	1445.0	13778.0	14537.0	14543.0	14330.0	2582.0	1710.0	13758.0	1588.0	14476.0	14170.0	1805.0	13930.0	14464.0	1735.0	14167.0	1784.0
LeChatelierE_2013__MH0409__bin.57	15484.0	12515.0	654.0	3675.0	16506.0	20707.0	1708.0	0.0	1409.0	22406.0	1712.0	877.0	18648.0	20195.0	19906.0	20588.0	3016.0	1667.0	19013.0	1186.0	20019.0	19793.0	1638.0	19796.0	20037.0	1471.0	19362.0	1368.0
AsnicarF_2017__MV_FEM2_t1Q14__bin.17	15286.0	12557.0	563.0	3411.0	16576.0	20823.0	1551.0	1409.0	0.0	23544.0	644.0	604.0	19166.0	20709.0	20163.0	20718.0	2732.0	504.0	19037.0	696.0	20327.0	20033.0	501.0	19895.0	20265.0	562.0	19842.0	799.0
ZeeviD_2015__PNP_Main_120__bin.5	20335.0	12762.0	13770.0	17836.0	16677.0	20757.0	17067.0	22406.0	23544.0	0.0	24258.0	20306.0	19275.0	19455.0	20378.0	22495.0	13278.0	24012.0	19748.0	24237.0	20409.0	20495.0	24329.0	21735.0	20602.0	24363.0	19921.0	26435.0
