	CosteaPI_2017__SID713A084-11-0-0__bin.68	ZeeviD_2015__PNP_Main_80__bin.38	ZeeviD_2015__PNP_Main_67__bin.56	NielsenHB_2014__O2_UC29_0__bin.43	RaymondF_2016__P13E0__bin.27	XieH_2016__YSZC12003_37797__bin.86	YuJ_2015__SZAXPI003409-8__bin.82	VincentC_2016__MM103.2__bin.7	ZeeviD_2015__PNP_Main_362__bin.20	BritoIL_2016__M2.40.ST__bin.6	LiJ_2014__MH0402__bin.31	ZeeviD_2015__PNP_Main_93__bin.48	ZeeviD_2015__PNP_Main_545__bin.12	BritoIL_2016__M2.3.ST__bin.56	XieH_2016__YSZC12003_37196__bin.27	LeChatelierE_2013__MH0183__bin.57	LiJ_2014__V1.FI04__bin.78	HMP_2012__SRS049959__bin.74	ZeeviD_2015__PNP_Main_418__bin.8	YuJ_2015__SZAXPI003420-4__bin.6	XieH_2016__YSZC12003_37176__bin.33	ZeeviD_2015__PNP_Main_499__bin.24	NielsenHB_2014__V1_UC36_0__bin.54	XieH_2016__YSZC12003_37100__bin.114	XieH_2016__YSZC12003_37138__bin.23	KarlssonFH_2013__S479__bin.12	XieH_2016__YSZC12003_36008__bin.29	HMP_2012__SRS011529__bin.40	ZeeviD_2015__PNP_Main_317__bin.26	ZeeviD_2015__PNP_Main_122__bin.60	ZeeviD_2015__PNP_Main_166__bin.51	ZeeviD_2015__PNP_Main_386__bin.18	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.70	ZeeviD_2015__PNP_Main_38__bin.1	ZeeviD_2015__PNP_Main_20__bin.22	LeChatelierE_2013__MH0144__bin.6	ZeeviD_2015__PNP_Main_722__bin.37	ZeeviD_2015__PNP_Main_456__bin.1	LiJ_2014__O2.UC29-1__bin.36	LeChatelierE_2013__MH0313__bin.17	ZellerG_2014__CCIS98832363ST-4-0__bin.77	BritoIL_2016__M2.49.ST__bin.36	ChengpingW_2017__AS78raw__bin.68	ZellerG_2014__CCIS20795251ST-4-0__bin.56	LeChatelierE_2013__MH0151__bin.14	XieH_2016__YSZC12003_37309R1__bin.49	NielsenHB_2014__MH0183__bin.20	NielsenHB_2014__O2_UC58_0__bin.25
CosteaPI_2017__SID713A084-11-0-0__bin.68	1.0	0.6455553256081882	0.7900889244492534	0.6120045562169711	0.7908849587805764	0.6012242796174473	0.8137809267892847	0.7577766117454581	0.7965142332893899	0.7513977450310999	0.7940976132006446	0.7954110291086208	0.8103213958058687	0.7911334648921973	0.6750631857342826	0.7985642050167273	0.7371954170584373	0.7907089675671007	0.709052303610916	0.7939786561767213	0.7986367199148724	0.7532611334811877	0.37971326468589645	0.7947640984442703	0.8168151456734679	0.7389985122224269	0.7798683976814788	0.79510956267813	0.8220321444692317	0.8067640919260771	0.7229865708926828	0.7531348434900361	0.8015340567441299	0.708023243876565	0.8111858711646545	0.7351242612035518	0.7845761626419541	0.6743070753356462	0.8080498055134137	0.809390108967893	0.5923114653386935	0.7685813315690757	0.5382080183552318	0.7540669451021482	0.7571451617897003	0.8472257755427618	0.7800875719241869	0.7848572597190333
ZeeviD_2015__PNP_Main_80__bin.38	0.8195870370044718	1.0	0.853392033482256	0.6437276111721997	0.8578141987191754	0.6583895456910526	0.8761379963815827	0.7937812460885819	0.8594878977491954	0.8194267011888642	0.8505090920751696	0.8542650878588548	0.8711634483992796	0.8706276164477652	0.7229179877131044	0.8945062743025134	0.808442146182818	0.9122797580687706	0.7784862437042331	0.8841785789281499	0.850190489293188	0.8292733891164048	0.40958249588040396	0.8478268290437468	0.8545195563145933	0.7729106950195558	0.8496949999017297	0.8511618140083851	0.8546405839947617	0.8323745941176409	0.7813464277697495	0.8031127905569445	0.8570838949396982	0.7814871095176374	0.8705821017646249	0.8402713916424698	0.8386152778309357	0.7244913475552925	0.8590865409978681	0.8097579342954172	0.6672287040418073	0.8427684926674811	0.5914902024472417	0.8156262251466555	0.8052674970337874	0.8539454506522565	0.8771248374660321	0.8418654399769944
ZeeviD_2015__PNP_Main_67__bin.56	0.820418084506947	0.6979852144146766	1.0	0.645774568048719	0.8555596542020809	0.6512992803491144	0.8579886663023008	0.8055563546036167	0.8957403029877441	0.7994977841927237	0.8709569343176854	0.8699179838268912	0.8926031462940432	0.8647003879989373	0.7379949609209094	0.8534893676784872	0.7929510424192995	0.8468436379511355	0.7892402632233524	0.8569014909108753	0.8662833492108883	0.9275069756895737	0.41184403559505295	0.8446142938605471	0.8661911296640671	0.7541367658181904	0.8507303957318425	0.871736147185781	0.8635624495542158	0.8444501599882229	0.8162682048999883	0.8202412598712987	0.8634000077836682	0.7480502757279844	0.8846959546922828	0.8155059130496581	0.8253209494044648	0.7194647543660456	0.8617942031977339	0.8334548826442812	0.6757078484756701	0.8421954343709865	0.5700327083273404	0.8178477819083863	0.8089219450371501	0.8684915420292699	0.8393467810301855	0.8483191507002763
NielsenHB_2014__O2_UC29_0__bin.43	0.8625415978632076	0.7146047829791534	0.8764902312485215	1.0	0.8887198307836819	0.6555421329799572	0.8657293319767856	0.8138356387755242	0.8730762782515232	0.8677963065461085	0.8849292290873848	0.875161625928129	0.883823397692797	0.8662173676389868	0.7787200374811388	0.8526947606787945	0.8798398783700297	0.8489409051970631	0.815613236905142	0.858133200434524	0.8631352788922854	0.8447196837988237	0.4323398841116258	0.8653423484046401	0.8910130242364251	0.7933450308783034	0.8488111451268778	0.8928652631143795	0.9078921682333568	0.9036089375980377	0.8213869858687839	0.8188193441260028	0.8889850925200784	0.7695690817350643	0.8781977819066232	0.8015830728562603	0.8355744696487751	0.7062587989959097	1.0282716188315164	0.82632361013185	0.6846014987862266	0.8652355547185584	0.5850984913382282	0.7968967821799232	0.829031346817663	0.8871718964951001	0.8342447160091774	0.8780278306642567
RaymondF_2016__P13E0__bin.27	0.7867854285665653	0.6721630114879361	0.8196605575454577	0.6273103736720139	1.0	0.6240138636604959	0.8320611738882688	0.7655579142583177	0.8300672189759664	0.7692799634279489	0.8496168931750814	0.8543553730195205	0.8774204059400403	0.830746460527393	0.6866151318482422	0.8241591143597986	0.8194968262884312	0.8221157158500773	0.7669131551580615	0.8193428216407331	0.821523203231828	0.7959478945538283	0.3973554970337894	0.8129832402415765	0.8476391492783261	0.7482915615990221	0.8204265280300617	0.8337309084896278	0.8421744159373736	0.8305373384268344	0.7706724896634513	0.8013218462077166	0.8413638651600149	0.7447397280926362	0.8560242970701021	0.7751961735518903	0.7948325766841827	0.6809396553051764	0.8496063560149757	0.7793632150982914	0.6047924625262112	0.7999763319173011	0.5456538672593414	0.7953172860490432	0.7846431428620062	0.8709830116662574	0.8082001801043828	0.8663774621493051
XieH_2016__YSZC12003_37797__bin.86	0.8466977316303828	0.7303200089041166	0.8833101742154682	0.6550389153500775	0.8833709884143214	1.0	0.8850439526016429	0.8039120741428354	0.8923049384571782	0.7994955863808323	0.9021017616611227	0.9000512904658253	0.8950484620318597	0.878979744282031	0.846828539529803	0.8880846625443054	0.8346370138162975	0.8824943460006632	0.7992190538917071	0.9039594633204323	0.9151940259802848	0.8432141107300343	0.33935929372913815	0.8792620139597273	0.8920180790286252	0.7645905311144948	0.9250298620665124	0.905190663987782	0.9070300066436644	0.8698759734574708	0.7956574072267922	0.8797175467322695	0.9045171180495395	0.7860097509256954	0.9039020914347217	0.842563513546076	0.8547630713235809	0.723018862728584	0.8807995804967717	0.8540642817556257	0.6628977162547174	0.8506954046266983	0.5619564730977491	0.8144294882313051	0.8413770629495805	0.8974489017299918	0.8802763488990909	0.8821845378178259
YuJ_2015__SZAXPI003409-8__bin.82	0.8755016172719383	0.7424382675467431	0.8889385611977455	0.6608550065304477	0.8998325751001481	0.6761178460918119	1.0	0.8124131099832576	0.8852587196816297	0.8433078251417853	0.8943031705542553	0.9074096475311402	0.9061114471296711	0.8991821600441792	0.7336769488346	0.9177303845513276	0.8180257886939981	0.9163515396954796	0.8069906469964324	0.9191477984940525	0.8902735775457788	0.8505719620269808	0.4224866542193704	0.8762484550450995	0.8982608848099157	0.7825115488118092	0.8792585969618079	0.8908486075683067	0.9121141995599618	0.8781865516606622	0.8152339127462066	0.8456193406439284	0.8934914665895285	0.7826106012394702	0.9060579763501372	0.8564432289338277	0.8863009615974614	0.7311191171185386	0.8886922449838273	0.8495945863027148	0.6496445508016234	0.86428502555202	0.6065935607156319	0.8347235736012132	0.8388101436698486	0.8903358140268757	0.9026419824510654	0.8949754998641316
VincentC_2016__MM103.2__bin.7	0.7332287941571588	0.604975150265211	0.7506456831469603	0.5587398220153513	0.7446177303488424	0.5523507912180785	0.7306775967657503	1.0	0.7483507092265678	0.6977840217466714	0.7515728179220829	0.752266592243603	0.7487764343784098	0.7378439701550901	0.6241107074605968	0.7369357564978273	0.693699425428721	0.7251321324730532	0.6806501611448538	0.7320698756882557	0.7578073262568352	0.7236941275157203	0.3615289524638449	0.7398519737879448	0.758029649391686	0.6909732076971108	0.7927751288212774	0.7546963791287455	0.7601425075526795	0.7275792637162337	0.6899175669965248	0.7174162582858729	0.7663817461668969	0.6593055634393546	0.8203502929619748	0.6969514925608472	0.7249042906788267	0.6196059046501801	0.7524077122476396	0.6889967392606888	0.5409177057513891	0.7246803907841542	0.49803929916179446	0.7267144109540659	0.7228395236923931	0.7931567046981136	0.7190206114043884	0.7859335679551948
ZeeviD_2015__PNP_Main_362__bin.20	0.8282209992307353	0.7039322301558524	0.8969651323169099	0.6441388471874396	0.8676068413722055	0.6588311243802675	0.8556052960652282	0.8041916451758295	1.0	0.7932914699732622	0.8992720790817623	0.8762356525363706	0.8871146475446224	0.8656159031065415	0.7285046443930095	0.863363177639137	0.8069103349181767	0.8606377102346088	0.7923392084368339	0.850805864033319	0.8664766662035264	0.867810171237635	0.42228393660174796	0.8615908189788096	0.8827083199192103	0.7602461308021025	0.8511015395459645	0.8601853012840281	0.8758332288443748	0.8394625991656698	0.8159661387997438	0.8420228610545365	0.8924876392385974	0.7564684313439766	0.887607722468289	0.8123409367406901	0.82179492827539	0.7200461219911416	0.8597650862288071	0.834594543304178	0.6641964912042889	0.8403589449891049	0.570392799411699	0.8233309159671555	0.8333516895017402	0.8823075906427595	0.8504093707957314	0.8537448277965481
BritoIL_2016__M2.40.ST__bin.6	0.8030868933302796	0.6898285262452987	0.82290682455268	0.658089640776809	0.8264832945671966	0.6067598505319423	0.8377787395533898	0.7707532357605202	0.8154038136821966	1.0	0.8244394730127602	0.8362487035622757	0.8341221538239144	0.8236148036424784	0.6787176957327061	0.8338130116629323	0.7609634437217582	0.8208246867867416	0.7446198378701759	0.8302530872852006	0.8332626515340853	0.786599601685565	0.4138281465664756	0.8011562787643719	0.8217982668880879	0.7416668771155556	0.803143496824544	0.8275683400110943	0.8283895260894213	0.835508504021896	0.7468134409786658	0.77085250958123	0.825671687541745	0.7343153894451029	0.8229024704377366	0.7706922781513125	0.8114511481365694	0.6676399564936835	0.8320391452349872	0.7743828259773464	0.6046594254832415	0.8178717260321212	0.5651109994522523	0.7734284039817511	0.7569158584703646	0.824601446088655	0.8117716109964044	0.8085678532210436
