	BackhedF_2015__SID590_12M__bin.26	BackhedF_2015__SID130_12M__bin.16	BackhedF_2015__SID9_12M__bin.2	BackhedF_2015__SID635_4M__bin.8	BackhedF_2015__SID180_12M__bin.16	BackhedF_2015__SID229_12M__bin.22	GeversD_2014__SKSTL0001__bin.7	BackhedF_2015__SID157_12M__bin.15	BackhedF_2015__SID608_12M__bin.6	BackhedF_2015__SID281_12M__bin.16	BackhedF_2015__SID608_4M__bin.8	BackhedF_2015__SID332_12M__bin.35	KosticAD_2015__PRJNA231909.3105747__bin.1	BackhedF_2015__SID560_12M__bin.12	BackhedF_2015__SID12_12M__bin.11	WenC_2017__N209__bin.11	BackhedF_2015__SID343_12M__bin.16	BackhedF_2015__SID591_12M__bin.12	BackhedF_2015__SID282_12M__bin.23	BackhedF_2015__SID258_12M__bin.21	BackhedF_2015__SID526_12M__bin.21	BackhedF_2015__SID272_12M__bin.5	KosticAD_2015__PRJNA231909.3112118__bin.9	BackhedF_2015__SID70_4M__bin.11	NielsenHB_2014__V1_CD21_0__bin.18	BackhedF_2015__SID521_12M__bin.10	BackhedF_2015__SID275_12M__bin.13	BackhedF_2015__SID195_12M__bin.8	BackhedF_2015__SID265_12M__bin.15
BackhedF_2015__SID590_12M__bin.26	3184268.0	3150958.0	2988073.0	2599613.0	2935789.0	2877360.0	2288253.0	3002652.0	2991705.0	2899438.0	3145311.0	2917111.0	2671244.0	2791975.0	1799229.0	2661758.0	2999360.0	3066804.0	2942351.0	2604533.0	2995831.0	2060218.0	2966651.0	2914498.0	2814264.0	2687706.0	2994258.0	3042838.0	2605751.0
BackhedF_2015__SID130_12M__bin.16	3150958.0	3285325.0	2992407.0	2596184.0	2932746.0	2894947.0	2312083.0	3001450.0	2992643.0	2920183.0	3209415.0	2935701.0	2714010.0	2814418.0	1808832.0	2674200.0	3047010.0	3103222.0	2965247.0	2624222.0	2942306.0	2064131.0	2983206.0	2885601.0	2849471.0	2712261.0	2994569.0	3037467.0	2625570.0
BackhedF_2015__SID9_12M__bin.2	2988073.0	2992407.0	3383592.0	2679601.0	3094115.0	2817544.0	2361461.0	3235203.0	2877909.0	3094952.0	2998849.0	2829585.0	2602326.0	2843666.0	1965559.0	2684970.0	2914925.0	2918340.0	3019233.0	2606072.0	2870623.0	2001578.0	2892940.0	2777640.0	2779540.0	2668437.0	3240368.0	2899052.0	2560999.0
BackhedF_2015__SID635_4M__bin.8	2599613.0	2596184.0	2679601.0	2762485.0	2581342.0	2471319.0	2101525.0	2677413.0	2508519.0	2633980.0	2619052.0	2500457.0	2304196.0	2449561.0	1696193.0	2366713.0	2550297.0	2557867.0	2575250.0	2264198.0	2502748.0	1833375.0	2515357.0	2464449.0	2402041.0	2357008.0	2683937.0	2532543.0	2256577.0
BackhedF_2015__SID180_12M__bin.16	2935789.0	2932746.0	3094115.0	2581342.0	3168062.0	2767157.0	2299137.0	3143874.0	2826144.0	3006339.0	2942782.0	2779987.0	2555697.0	2732847.0	1867206.0	2631250.0	2855424.0	2858967.0	2871238.0	2517867.0	2818665.0	1969702.0	2827660.0	2718860.0	2677170.0	2633374.0	3127788.0	2842113.0	2487491.0
BackhedF_2015__SID229_12M__bin.22	2877360.0	2894947.0	2817544.0	2471319.0	2767157.0	2980282.0	2173221.0	2826394.0	2800564.0	2743538.0	2912354.0	2786565.0	2516252.0	2648613.0	1710568.0	2543341.0	2896027.0	2846819.0	2810487.0	2464656.0	2783131.0	1944941.0	2760746.0	2771170.0	2635392.0	2572899.0	2812086.0	2864256.0	2454311.0
GeversD_2014__SKSTL0001__bin.7	2288253.0	2312083.0	2361461.0	2101525.0	2299137.0	2173221.0	2497142.0	2341212.0	2246225.0	2323187.0	2310645.0	2204054.0	2078060.0	2174830.0	1535160.0	2085931.0	2261897.0	2265135.0	2316854.0	2039130.0	2201892.0	1640507.0	2239763.0	2154107.0	2163157.0	2110735.0	2353957.0	2242515.0	2014814.0
BackhedF_2015__SID157_12M__bin.15	3002652.0	3001450.0	3235203.0	2677413.0	3143874.0	2826394.0	2341212.0	3378519.0	2904045.0	3133524.0	3042201.0	2832733.0	2616197.0	2812557.0	1959801.0	2681202.0	2921199.0	2933269.0	2995670.0	2561106.0	2873247.0	2013622.0	2895838.0	2807514.0	2727601.0	2674325.0	3266986.0	2931721.0	2540710.0
BackhedF_2015__SID608_12M__bin.6	2991705.0	2992643.0	2877909.0	2508519.0	2826144.0	2800564.0	2246225.0	2904045.0	3114806.0	2798696.0	3119375.0	2810429.0	2586341.0	2752680.0	1771280.0	2600866.0	2936497.0	2936201.0	2846252.0	2507484.0	2866331.0	1978443.0	2843678.0	2750981.0	2737678.0	2656750.0	2882538.0	2903312.0	2525127.0
BackhedF_2015__SID281_12M__bin.16	2899438.0	2920183.0	3094952.0	2633980.0	3006339.0	2743538.0	2323187.0	3133524.0	2798696.0	3719429.0	2921241.0	2771700.0	2545508.0	2726382.0	1918993.0	2606374.0	2844374.0	2860360.0	2934986.0	2509194.0	2787817.0	1969255.0	2797580.0	2709906.0	2662181.0	2597820.0	3109880.0	2814898.0	2492812.0
BackhedF_2015__SID608_4M__bin.8	3145311.0	3209415.0	2998849.0	2619052.0	2942782.0	2912354.0	2310645.0	3042201.0	3119375.0	2921241.0	3579646.0	3023450.0	2806676.0	2853233.0	1817145.0	2680302.0	3081336.0	3165686.0	3012757.0	2649820.0	3004765.0	2078643.0	3051891.0	2932885.0	2922803.0	2786443.0	3029999.0	3130941.0	2700162.0
BackhedF_2015__SID332_12M__bin.35	2917111.0	2935701.0	2829585.0	2500457.0	2779987.0	2786565.0	2204054.0	2832733.0	2810429.0	2771700.0	3023450.0	3095178.0	2578136.0	2654217.0	1716461.0	2547240.0	2841837.0	2899809.0	2821627.0	2533303.0	2802749.0	1971489.0	2873122.0	2864813.0	2741736.0	2633333.0	2850537.0	2958936.0	2523505.0
KosticAD_2015__PRJNA231909.3105747__bin.1	2671244.0	2714010.0	2602326.0	2304196.0	2555697.0	2516252.0	2078060.0	2616197.0	2586341.0	2545508.0	2806676.0	2578136.0	2985135.0	2486694.0	1618221.0	2365309.0	2644628.0	2703265.0	2607326.0	2346581.0	2564904.0	1853917.0	2635213.0	2543296.0	2517739.0	2388320.0	2604175.0	2633387.0	2379690.0
BackhedF_2015__SID560_12M__bin.12	2791975.0	2814418.0	2843666.0	2449561.0	2732847.0	2648613.0	2174830.0	2812557.0	2752680.0	2726382.0	2853233.0	2654217.0	2486694.0	3007408.0	1775132.0	2502126.0	2772809.0	2786773.0	2800655.0	2486077.0	2708015.0	1941274.0	2704954.0	2627109.0	2659261.0	2556809.0	2799342.0	2724643.0	2485000.0
BackhedF_2015__SID12_12M__bin.11	1799229.0	1808832.0	1965559.0	1696193.0	1867206.0	1710568.0	1535160.0	1959801.0	1771280.0	1918993.0	1817145.0	1716461.0	1618221.0	1775132.0	2108618.0	1660569.0	1772704.0	1773445.0	1842985.0	1654465.0	1742996.0	1356936.0	1748285.0	1674381.0	1730159.0	1668438.0	1952039.0	1752432.0	1660970.0
WenC_2017__N209__bin.11	2661758.0	2674200.0	2684970.0	2366713.0	2631250.0	2543341.0	2085931.0	2681202.0	2600866.0	2606374.0	2680302.0	2547240.0	2365309.0	2502126.0	1660569.0	2896418.0	2622157.0	2632232.0	2641593.0	2340016.0	2596505.0	1848160.0	2601064.0	2516243.0	2490508.0	2417984.0	2679440.0	2607693.0	2316588.0
BackhedF_2015__SID343_12M__bin.16	2999360.0	3047010.0	2914925.0	2550297.0	2855424.0	2896027.0	2261897.0	2921199.0	2936497.0	2844374.0	3081336.0	2841837.0	2644628.0	2772809.0	1772704.0	2622157.0	3135691.0	3041173.0	2906762.0	2553269.0	2864569.0	2020627.0	2887046.0	2794563.0	2742625.0	2660975.0	2908324.0	2930090.0	2590204.0
BackhedF_2015__SID591_12M__bin.12	3066804.0	3103222.0	2918340.0	2557867.0	2858967.0	2846819.0	2265135.0	2933269.0	2936201.0	2860360.0	3165686.0	2899809.0	2703265.0	2786773.0	1773445.0	2632232.0	3041173.0	3210152.0	2917415.0	2606263.0	2918783.0	2038770.0	2967217.0	2891962.0	2780380.0	2653157.0	2925969.0	3013541.0	2667574.0
BackhedF_2015__SID282_12M__bin.23	2942351.0	2965247.0	3019233.0	2575250.0	2871238.0	2810487.0	2316854.0	2995670.0	2846252.0	2934986.0	3012757.0	2821627.0	2607326.0	2800655.0	1842985.0	2641593.0	2906762.0	2917415.0	3580634.0	2569133.0	2827343.0	2006855.0	2838170.0	2752127.0	2763934.0	2645496.0	2984269.0	2889566.0	2569567.0
BackhedF_2015__SID258_12M__bin.21	2604533.0	2624222.0	2606072.0	2264198.0	2517867.0	2464656.0	2039130.0	2561106.0	2507484.0	2509194.0	2649820.0	2533303.0	2346581.0	2486077.0	1654465.0	2340016.0	2553269.0	2606263.0	2569133.0	2797575.0	2511387.0	1856351.0	2568264.0	2485382.0	2512882.0	2350096.0	2565506.0	2585440.0	2365463.0
BackhedF_2015__SID526_12M__bin.21	2995831.0	2942306.0	2870623.0	2502748.0	2818665.0	2783131.0	2201892.0	2873247.0	2866331.0	2787817.0	3004765.0	2802749.0	2564904.0	2708015.0	1742996.0	2596505.0	2864569.0	2918783.0	2827343.0	2511387.0	2994911.0	1966994.0	2847018.0	2797380.0	2721954.0	2664460.0	2871493.0	2910162.0	2493101.0
BackhedF_2015__SID272_12M__bin.5	2060218.0	2064131.0	2001578.0	1833375.0	1969702.0	1944941.0	1640507.0	2013622.0	1978443.0	1969255.0	2078643.0	1971489.0	1853917.0	1941274.0	1356936.0	1848160.0	2020627.0	2038770.0	2006855.0	1856351.0	1966994.0	2122108.0	2006184.0	1940349.0	1948543.0	1876165.0	2003957.0	1993852.0	1848720.0
KosticAD_2015__PRJNA231909.3112118__bin.9	2966651.0	2983206.0	2892940.0	2515357.0	2827660.0	2760746.0	2239763.0	2895838.0	2843678.0	2797580.0	3051891.0	2873122.0	2635213.0	2704954.0	1748285.0	2601064.0	2887046.0	2967217.0	2838170.0	2568264.0	2847018.0	2006184.0	3114076.0	2818475.0	2751482.0	2642092.0	2881305.0	2886652.0	2538848.0
BackhedF_2015__SID70_4M__bin.11	2914498.0	2885601.0	2777640.0	2464449.0	2718860.0	2771170.0	2154107.0	2807514.0	2750981.0	2709906.0	2932885.0	2864813.0	2543296.0	2627109.0	1674381.0	2516243.0	2794563.0	2891962.0	2752127.0	2485382.0	2797380.0	1940349.0	2818475.0	2982479.0	2694571.0	2563641.0	2774589.0	2887056.0	2468468.0
NielsenHB_2014__V1_CD21_0__bin.18	2814264.0	2849471.0	2779540.0	2402041.0	2677170.0	2635392.0	2163157.0	2727601.0	2737678.0	2662181.0	2922803.0	2741736.0	2517739.0	2659261.0	1730159.0	2490508.0	2742625.0	2780380.0	2763934.0	2512882.0	2721954.0	1948543.0	2751482.0	2694571.0	3121272.0	2535854.0	2720801.0	2755351.0	2497611.0
BackhedF_2015__SID521_12M__bin.10	2687706.0	2712261.0	2668437.0	2357008.0	2633374.0	2572899.0	2110735.0	2674325.0	2656750.0	2597820.0	2786443.0	2633333.0	2388320.0	2556809.0	1668438.0	2417984.0	2660975.0	2653157.0	2645496.0	2350096.0	2664460.0	1876165.0	2642092.0	2563641.0	2535854.0	2842117.0	2689735.0	2700713.0	2332439.0
BackhedF_2015__SID275_12M__bin.13	2994258.0	2994569.0	3240368.0	2683937.0	3127788.0	2812086.0	2353957.0	3266986.0	2882538.0	3109880.0	3029999.0	2850537.0	2604175.0	2799342.0	1952039.0	2679440.0	2908324.0	2925969.0	2984269.0	2565506.0	2871493.0	2003957.0	2881305.0	2774589.0	2720801.0	2689735.0	3361469.0	2920311.0	2536631.0
