	BritoIL_2016__WL.37.ST__bin.67	ZeeviD_2015__PNP_Main_172__bin.30	ZeeviD_2015__PNP_Main_309__bin.11	ZeeviD_2015__PNP_Main_666__bin.1	CM_madagascar__A43_02_1FE__bin.3	QinJ_2012__T2D-024__bin.67	BritoIL_2016__W1.3.ST__bin.39	ZeeviD_2015__PNP_Main_82__bin.22	ZeeviD_2015__PNP_Main_680__bin.1	LiuW_2016__SRR3992974__bin.25	ZeeviD_2015__PNP_Main_480__bin.32	ZeeviD_2015__PNP_Main_72__bin.48	ZeeviD_2015__PNP_Main_626__bin.26	LiJ_2017__H3M517925__bin.71	ZeeviD_2015__PNP_Main_670__bin.20	ZeeviD_2015__PNP_Validation_94__bin.6	ZeeviD_2015__PNP_Main_609__bin.36	ZeeviD_2015__PNP_Main_85__bin.7	ZeeviD_2015__PNP_Main_610__bin.35	LiJ_2014__MH0329__bin.66	LeChatelierE_2013__MH0157__bin.21	BritoIL_2016__W2.39.ST__bin.67	NielsenHB_2014__MH0157__bin.34	CosteaPI_2017__SID713A062-11-0-0__bin.40	ZeeviD_2015__PNP_Main_632__bin.19	ZeeviD_2015__PNP_Main_630__bin.15	CosteaPI_2017__SID713B040-11-90-0__bin.65	ZeeviD_2015__PNP_Main_287__bin.58	ZeeviD_2015__PNP_Main_372__bin.36	LiJ_2014__MH0262__bin.24	LiJ_2014__MH0374__bin.32	ZeeviD_2015__PNP_Main_16__bin.42	CosteaPI_2017__SID713B032-11-90-0__bin.23	ZeeviD_2015__PNP_Main_751__bin.17	CosteaPI_2017__SID713B049-11-0-0__bin.41	ZeeviD_2015__PNP_Validation_73__bin.3	BritoIL_2016__M1.15.ST__bin.85	LiJ_2014__MH0389__bin.39	ZeeviD_2015__PNP_Main_225__bin.2	BritoIL_2016__W2.46.ST__bin.69	CosteaPI_2017__SID713A013-11-0-0__bin.81	BritoIL_2016__M2.57.ST__bin.84	ZeeviD_2015__PNP_Main_73__bin.31
BritoIL_2016__WL.37.ST__bin.67	1.0	0.49167924092105686	0.523759126174253	0.8073727804473038	0.7548641856233391	0.8544143711919896	0.41669173231380363	0.8997084098767765	0.3941363786644526	0.7543844167078904	0.8436612085702141	0.795173474993599	0.8711379223768697	0.8580058019722728	0.8179345326727603	0.8536238711136853	0.7420570900150891	0.8139049709528507	0.8266163613629415	0.8386913743515041	0.862115532332199	0.8994890336758005	0.8521572200250076	0.866406108228907	0.9293571345117916	0.8720104554821678	0.7515039388282203	0.9004044476815726	0.8613474048976203	0.6874131506399819	0.8181961683118847	0.7003992273980367	0.8517706704584154	0.5589183572513468	0.6563524636009516	0.8651718840500451	0.8013800192404735	0.8553130057149676	0.6653804468065537	0.8613020381478433	0.8516320843597819	0.9035968996487495	0.8793580045590476
ZeeviD_2015__PNP_Main_172__bin.30	0.6785466178375086	1.0	0.8062471590178134	0.7818159986963644	0.781954081151316	0.8674888719263789	0.7570006089350498	0.8963498203212775	0.32485141127130196	0.7569268506050756	0.8931147456624099	0.8478614372582485	0.9019202895443279	0.8729041055944835	0.8661414959218505	0.8601988044289304	0.7014588711544895	0.8709409333001706	0.8583016715695944	0.7971671655359915	0.8912905134780483	0.8794523015171916	0.8815921507414428	0.9358662744324469	0.9123691004056709	0.901602957194439	0.8209516539876669	0.8943351887269827	0.8509910203521532	0.6725318833246139	0.8577982280847706	0.6781589577776443	0.854334159540983	0.9315565580589551	0.4220708937622752	0.9448141890443149	0.8307100525742515	0.8730173160544439	0.687551137679357	0.7981912056056331	0.8961465560863486	0.8651174558522088	0.9048671921232965
ZeeviD_2015__PNP_Main_309__bin.11	0.6722837553794427	0.7498793489229149	1.0	0.7345133872839748	0.744510874550799	0.8663473235403214	0.7176246295712799	0.8962281083107654	0.3216003318403178	0.7465904603885563	0.8282782193895255	0.7948859897177364	0.8733391033132183	0.8615013381301276	0.8165776574147565	0.8499435632151817	0.7028816662212881	0.8169166769702022	0.8174543221004853	0.7706273457161888	0.8671641612456775	0.8830693634010442	0.8552697598545008	0.8719255911902778	0.8981146524251864	0.8756603901516813	0.7440115186879545	0.9649126725509826	0.8485906757656856	0.6713879460599945	0.8364601572253043	0.7109319847002469	0.8475496863071995	0.7881502694208349	0.41849610925204306	0.8787634162003486	0.7884103173621886	0.8633128990958149	0.6504907806623246	0.7958129090669783	0.8710050533856089	0.8653916872405005	0.8852470654866127
ZeeviD_2015__PNP_Main_666__bin.1	0.8030881013888297	0.5635024692571458	0.5692037982484934	1.0	0.8082880991634384	0.9193332727532356	0.5109084356549729	0.9290520512853798	0.41181670440559487	0.7895552493581909	0.9080326118738228	0.8579495615051805	0.91250379398316	0.8897559672941653	0.8724356228283116	0.8866484555474987	0.7990793061477053	0.8804439408466254	0.9226800140694186	0.8523947374440021	0.8996509226410697	0.9090365106358251	0.8990265767361297	0.9089128777833619	0.9201851031067081	0.9264223805134844	0.8195386887376035	0.9109509653562202	0.8990049409869487	0.7390679195619936	0.9054944294127502	0.7348940744628307	0.8987601479390713	0.6205633578188198	0.620827313958829	0.9122330380362652	0.8736156984050744	0.9232561431618979	0.7279743437104568	0.8719021470699323	0.9191410236676552	0.9022985201765724	0.9122769276988898
CM_madagascar__A43_02_1FE__bin.3	0.7543405424707728	0.5662159015044482	0.5796270707509821	0.8120368271514851	1.0	0.8864345044947134	0.48373239764629167	0.9044270210684842	0.4201506000714186	0.7804778835255942	0.9032613454641432	0.8732065394587714	0.8950891956093092	0.8896092161033395	0.860641214737071	0.867055225201447	0.7816342436616001	0.9018602990265335	0.875975096647984	0.8213920414848856	0.8818252107624711	0.8995848406278626	0.8793913894021022	0.9264643139933861	0.9052356037199771	0.8942414879908087	0.8053483208868326	0.9074253598099644	0.8663155770156344	0.7351320467636511	0.8777841605986741	0.7394904438820662	0.883619369963825	0.6491068018444627	0.6258671924731016	0.9428148240152773	0.8449123569687466	0.8999090189259265	0.7192945085314164	0.8472555077706532	0.9069782173298763	0.8918964740952352	0.8943004859569315
QinJ_2012__T2D-024__bin.67	0.7573059343124153	0.5571458631011071	0.5982377845174894	0.8191938932777804	0.7862322233373471	1.0	0.4942609017528514	0.9226546482895074	0.3938858966576735	0.7607144706358011	0.8698581392300057	0.8350638577272093	0.9070865387051749	0.8904938852356616	0.865744540448001	0.8513508005213056	0.7584009844434578	0.8509707277897064	0.8527306297860245	0.8404421622943614	0.8907555295074148	0.8963921733660454	0.8871861508106565	0.9020982218104462	0.9094429896410902	0.9067951496109488	0.7942352330727173	0.918051912426836	0.880952958012429	0.7176070620818511	0.8615797144717374	0.7258270988552651	0.8816508596804524	0.6327395752659682	0.6044434358134273	0.9076439787115205	0.8352191918001236	0.8942119880447846	0.693564432242947	0.8379386397362185	0.8977020472149483	0.8859219958555548	0.9150779810095833
BritoIL_2016__W1.3.ST__bin.39	0.653719070307983	0.8605471724418992	0.8771070311883027	0.8058055540118537	0.7594213750386332	0.8748421767951384	1.0	0.8903705176991108	0.30799192335178954	0.7708821427491998	0.8299594510141146	0.7986668265616819	0.8894988948719523	0.8581916458754397	0.8483639522537885	0.8722039090431356	0.6960288513005607	0.8235987493089902	0.8718860689518004	0.7450035245151233	0.8620193765459362	0.8734840441349242	0.8625790090993912	0.8703475669146014	0.9197219776673462	0.8820988755675542	0.7664791800115631	0.8778285086962414	0.8583671404043979	0.7036550635533938	0.8772406020242319	0.6691694136435297	0.8468498244567225	0.8991218448764859	0.35263285667069333	0.8867358310104683	0.8147431003838456	0.9018439600145466	0.6776984477508914	0.7927165870603984	0.9002557345274761	0.8684161521264574	0.913331051904457
ZeeviD_2015__PNP_Main_82__bin.22	0.7569467355506071	0.5464409760800674	0.5874367153633113	0.7858044775955524	0.7614448268812589	0.8757898325254406	0.477483139346718	1.0	0.3784989874980981	0.741912141082062	0.842888879942319	0.8083456508429151	0.8805305269454127	0.8660360380614968	0.8436501517053585	0.8349645428265038	0.7446294002527464	0.8274103845624962	0.8349817969255287	0.8093071747249408	0.870995807253937	0.8754374306241435	0.8621617085531706	0.8782163862701291	0.9063750758788219	0.8811119377974045	0.7631503684272993	0.9049476913231227	0.9006927259332768	0.6953135252790851	0.8370047093233308	0.7038129990290648	0.8599390668878677	0.6143567698026078	0.5731780324994027	0.8755163811984698	0.8106122120330086	0.8680992100236904	0.6772960630851689	0.8180393173860144	0.8753851454755831	0.8668485492701254	0.8897233017653035
ZeeviD_2015__PNP_Main_680__bin.1	0.7879368416083051	0.47057822305214203	0.5008876912201188	0.8276748453528837	0.8405261791260248	0.8884080820278868	0.39247133484160085	0.8993858841566064	1.0	0.7589120098596467	0.9190194521783533	0.9005052820422986	0.8898505026108932	0.8871756261981347	0.8518717301716866	0.8540595877484944	0.8176685961060856	0.9242151480251511	0.8678091730991667	0.8314430293565512	0.8861369839867711	0.8966575847592921	0.879246661374064	0.9251469442674032	0.8926670120524738	0.8852113997194673	0.8047302946836676	0.9034137287131149	0.8648733937385777	0.7502512743866606	0.8674712416619766	0.768007583579017	0.8919016967388375	0.5543951586352043	0.7065090315903774	0.9374764721448832	0.8473034437946719	0.8848709834922978	0.7183055720172892	0.8617872845842387	0.8907649053232899	0.8909599613366679	0.889538661468486
LiuW_2016__SRR3992974__bin.25	0.8154734153541059	0.5928887264656052	0.6287507574403822	0.8580459314534928	0.8442655549031753	0.9277606770542924	0.5311642211363151	0.9532482939956979	0.41035869420637044	1.0	0.9102041830862723	0.8772180743077566	0.9481689088693414	0.9367283681072925	0.9047385201596705	0.9298304542761288	0.8079373034181889	0.8966367631666986	0.9041036809923108	0.8764945591932101	0.9289665355785367	0.9614750034597055	0.9283505064605803	0.9373974684360653	0.9796542444204691	0.9472109399247329	0.8133707205458139	0.9422020924836386	0.9213404041204757	0.7582606347316814	0.905085834286152	0.7592515212627454	0.9351832569063112	0.6667967695083725	0.6188398767673049	0.9430304064448604	0.8729911874918546	0.9439097762544624	0.7453179771672871	0.9032699927312595	0.9415994991152559	0.9559851561838709	0.9517643154552771
