	HMP_2012__SRS045313__bin.2	CM_periimplantitis__SP_283SPT_T016__bin.32	HMP_2012__SRS045197__bin.11	HMP_2012__SRS011255__bin.40	CM_periimplantitis__SP_282SPT_T016_R__bin.22	HMP_2012__SRS012285__bin.21	HMP_2012__SRS017691__bin.67	CM_periimplantitis__SP_281SPI_T016__bin.22	HMP_2012__SRS013950__bin.8	HMP_2012__SRS019980__bin.28	CM_periimplantitis__SP_403SPT_T016__bin.9	HMP_2012__SRS014691__bin.31	HMP_2012__SRS013836__bin.14	CM_periimplantitis__SP_285SPI_T016__bin.4	ZellerG_2014__CCMD50071957ST-21-0__bin.41	HMP_2012__SRS051930__bin.50	HMP_2012__SRS049268__bin.17	HMP_2012__SRS024087__bin.10	CM_periimplantitis__SP_287SPT_T016__bin.22	HMP_2012__SRS063932__bin.88	HMP_2012__SRS058053__bin.57	CM_periimplantitis__SP_189SPI_T016__bin.28	HMP_2012__SRS022536__bin.36	ZellerG_2014__CCMD11006829ST-21-0__bin.60	HMP_2012__SRS014476__bin.30	CM_periimplantitis__SP_162SPI_T016__bin.17	CM_periimplantitis__SP_123SPT_T016__bin.4	HMP_2012__SRS015215__bin.20	HMP_2012__SRS022725__bin.36	HMP_2012__SRS017227__bin.23	HMP_2012__SRS058808__bin.49	HMP_2012__SRS019029__bin.2	CM_periimplantitis__SP_143SPI_T016__bin.7	CM_periimplantitis__SP_381SPT_T016__bin.14	HMP_2012__SRS023964__bin.1	HMP_2012__SRS023938__bin.18	HMP_2012__SRS058053__bin.56	HMP_2012__SRS047113__bin.6	HMP_2012__SRS013533__bin.55
HMP_2012__SRS045313__bin.2	0.0	31595.0	31272.0	7324.0	17930.0	31303.0	33226.0	31615.0	34543.0	31961.0	30801.0	20025.0	19980.0	32451.0	34748.0	36034.0	24503.0	33282.0	20745.0	30229.0	18713.0	33164.0	27389.0	36731.0	34160.0	35122.0	35700.0	30582.0	29158.0	19907.0	24207.0	27461.0	32128.0	30795.0	26301.0	8273.0	16232.0	33122.0	34565.0
CM_periimplantitis__SP_283SPT_T016__bin.32	31595.0	0.0	27468.0	30677.0	16043.0	26855.0	29447.0	28426.0	28251.0	25456.0	27737.0	17318.0	17508.0	28729.0	28377.0	30857.0	22838.0	27815.0	27887.0	25047.0	17679.0	27003.0	30770.0	33342.0	28693.0	29892.0	29883.0	25859.0	23483.0	17165.0	22781.0	22499.0	25871.0	26692.0	29704.0	31110.0	12990.0	28399.0	29395.0
HMP_2012__SRS045197__bin.11	31272.0	27468.0	0.0	30732.0	15978.0	30568.0	32056.0	30642.0	31773.0	27301.0	30509.0	19624.0	18481.0	32731.0	30692.0	32709.0	23959.0	26456.0	29260.0	25963.0	17594.0	28416.0	34120.0	35153.0	31068.0	33254.0	30903.0	27945.0	24752.0	3237.0	23824.0	25579.0	29494.0	29294.0	32749.0	33007.0	15579.0	5027.0	33349.0
HMP_2012__SRS011255__bin.40	7324.0	30677.0	30732.0	0.0	20352.0	30478.0	33876.0	30880.0	32866.0	29460.0	31222.0	16867.0	18759.0	30226.0	31836.0	33254.0	26640.0	28550.0	19975.0	27578.0	20039.0	30653.0	28502.0	34078.0	33140.0	31765.0	33513.0	27615.0	27039.0	21151.0	24772.0	23606.0	30146.0	31762.0	27796.0	9341.0	13758.0	32167.0	31780.0
CM_periimplantitis__SP_282SPT_T016_R__bin.22	17930.0	16043.0	15978.0	20352.0	0.0	16884.0	19530.0	18048.0	17660.0	15700.0	17677.0	6261.0	9708.0	17924.0	17715.0	18483.0	17349.0	15119.0	17683.0	15155.0	15627.0	15956.0	20749.0	20359.0	18572.0	18102.0	18008.0	13642.0	5037.0	14881.0	14724.0	11520.0	16275.0	17951.0	19628.0	20460.0	5083.0	17399.0	18041.0
HMP_2012__SRS012285__bin.21	31303.0	26855.0	30568.0	30478.0	16884.0	0.0	31905.0	29721.0	31217.0	28285.0	30195.0	19287.0	19442.0	31681.0	30649.0	32669.0	24451.0	27868.0	30776.0	26881.0	17802.0	30866.0	33716.0	32858.0	32490.0	31595.0	31529.0	28818.0	27053.0	18534.0	23849.0	24986.0	30021.0	29556.0	32168.0	30904.0	15281.0	31410.0	31886.0
HMP_2012__SRS017691__bin.67	33226.0	29447.0	32056.0	33876.0	19530.0	31905.0	0.0	32627.0	33437.0	29554.0	32597.0	20876.0	20428.0	33461.0	11561.0	36456.0	26340.0	29057.0	32388.0	28338.0	20497.0	32151.0	37196.0	36476.0	34790.0	33869.0	33945.0	30742.0	28924.0	21329.0	24880.0	26997.0	33011.0	32666.0	35427.0	35783.0	16503.0	34058.0	33516.0
CM_periimplantitis__SP_281SPI_T016__bin.22	31615.0	28426.0	30642.0	30880.0	18048.0	29721.0	32627.0	0.0	30660.0	28591.0	29118.0	19422.0	19141.0	30646.0	30991.0	33768.0	24622.0	28044.0	28469.0	26979.0	18126.0	29531.0	32941.0	28564.0	32391.0	30664.0	32951.0	27939.0	26079.0	19301.0	23382.0	24829.0	28458.0	29549.0	31919.0	31692.0	14829.0	31498.0	31764.0
HMP_2012__SRS013950__bin.8	34543.0	28251.0	31773.0	32866.0	17660.0	31217.0	33437.0	30660.0	0.0	28386.0	30233.0	21337.0	19969.0	34694.0	33384.0	34167.0	25189.0	29370.0	32772.0	28314.0	17874.0	31615.0	36050.0	35974.0	33233.0	35322.0	18951.0	31123.0	28564.0	20000.0	22760.0	27591.0	31790.0	30324.0	33456.0	33924.0	16511.0	32983.0	36692.0
HMP_2012__SRS019980__bin.28	31961.0	25456.0	27301.0	29460.0	15700.0	28285.0	29554.0	28591.0	28386.0	0.0	28522.0	19275.0	17904.0	33612.0	31478.0	29600.0	22057.0	29079.0	31952.0	28197.0	16111.0	29385.0	32082.0	33496.0	30370.0	33575.0	27036.0	27354.0	27847.0	16901.0	21623.0	25324.0	26985.0	26433.0	29683.0	30814.0	15390.0	29029.0	32789.0
CM_periimplantitis__SP_403SPT_T016__bin.9	30801.0	27737.0	30509.0	31222.0	17677.0	30195.0	32597.0	29118.0	30233.0	28522.0	0.0	17302.0	19851.0	30333.0	30240.0	33965.0	25129.0	28350.0	29486.0	27611.0	18581.0	28948.0	33528.0	33592.0	31929.0	30558.0	31478.0	27814.0	25300.0	19717.0	7691.0	23976.0	28934.0	30271.0	32522.0	32211.0	13851.0	31434.0	31497.0
HMP_2012__SRS014691__bin.31	20025.0	17318.0	19624.0	16867.0	6261.0	19287.0	20876.0	19422.0	21337.0	19275.0	17302.0	0.0	9402.0	20530.0	20883.0	22711.0	12502.0	19734.0	20169.0	18838.0	7969.0	20565.0	21234.0	20867.0	19348.0	21301.0	21230.0	21548.0	19338.0	9239.0	13350.0	1273.0	20468.0	17195.0	19114.0	18735.0	12516.0	21104.0	22163.0
HMP_2012__SRS013836__bin.14	19980.0	17508.0	18481.0	18759.0	9708.0	19442.0	20428.0	19141.0	19969.0	17904.0	19851.0	9402.0	0.0	22631.0	20875.0	21297.0	15823.0	19225.0	20622.0	18845.0	10641.0	19093.0	21705.0	20080.0	20126.0	21734.0	19836.0	19613.0	18137.0	10510.0	14810.0	11708.0	18698.0	17861.0	21168.0	20264.0	11120.0	19888.0	20521.0
CM_periimplantitis__SP_285SPI_T016__bin.4	32451.0	28729.0	32731.0	30226.0	17924.0	31681.0	33461.0	30646.0	34694.0	33612.0	30333.0	20530.0	22631.0	0.0	32581.0	35445.0	23892.0	32569.0	31402.0	31103.0	17415.0	33373.0	33364.0	33987.0	33545.0	32495.0	34333.0	32070.0	30895.0	19528.0	24067.0	27762.0	33606.0	31988.0	31428.0	31171.0	15848.0	34292.0	33802.0
ZellerG_2014__CCMD50071957ST-21-0__bin.41	34748.0	28377.0	30692.0	31836.0	17715.0	30649.0	11561.0	30991.0	33384.0	31478.0	30240.0	20883.0	20875.0	32581.0	0.0	35648.0	24461.0	30903.0	32592.0	29245.0	18345.0	32850.0	35486.0	37451.0	34223.0	33623.0	32468.0	32782.0	29158.0	19121.0	23376.0	27373.0	31841.0	30109.0	32360.0	33988.0	16118.0	32698.0	36911.0
HMP_2012__SRS051930__bin.50	36034.0	30857.0	32709.0	33254.0	18483.0	32669.0	36456.0	33768.0	34167.0	29600.0	33965.0	22711.0	21297.0	35445.0	35648.0	0.0	26798.0	29950.0	31714.0	28864.0	19564.0	32921.0	38996.0	38844.0	35293.0	35775.0	35276.0	629.0	29780.0	19464.0	25578.0	28702.0	31342.0	31128.0	37085.0	34836.0	17353.0	33949.0	35121.0
HMP_2012__SRS049268__bin.17	24503.0	22838.0	23959.0	26640.0	17349.0	24451.0	26340.0	24622.0	25189.0	22057.0	25129.0	12502.0	15823.0	23892.0	24461.0	26798.0	0.0	23062.0	23626.0	23034.0	3409.0	23473.0	26765.0	26447.0	24852.0	25237.0	25345.0	22118.0	21517.0	16089.0	20760.0	18196.0	23657.0	24920.0	26046.0	26272.0	1529.0	25178.0	25251.0
HMP_2012__SRS024087__bin.10	33282.0	27815.0	26456.0	28550.0	15119.0	27868.0	29057.0	28044.0	29370.0	29079.0	28350.0	19734.0	19225.0	32569.0	30903.0	29950.0	23062.0	0.0	30404.0	569.0	16130.0	29093.0	31247.0	32600.0	28581.0	32209.0	30427.0	28652.0	26532.0	15739.0	21393.0	25129.0	26433.0	26302.0	29772.0	30347.0	17267.0	27949.0	32121.0
CM_periimplantitis__SP_287SPT_T016__bin.22	20745.0	27887.0	29260.0	19975.0	17683.0	30776.0	32388.0	28469.0	32772.0	31952.0	29486.0	20169.0	20622.0	31402.0	32592.0	31714.0	23626.0	30404.0	0.0	30126.0	17179.0	32162.0	26484.0	33193.0	30665.0	33205.0	31735.0	29398.0	28740.0	19426.0	23962.0	26718.0	30663.0	28561.0	24778.0	20929.0	14444.0	31023.0	33597.0
HMP_2012__SRS063932__bin.88	30229.0	25047.0	25963.0	27578.0	15155.0	26881.0	28338.0	26979.0	28314.0	28197.0	27611.0	18838.0	18845.0	31103.0	29245.0	28864.0	23034.0	569.0	30126.0	0.0	16138.0	28342.0	31309.0	30858.0	27170.0	31246.0	27641.0	28312.0	25687.0	15466.0	20965.0	24324.0	26416.0	25992.0	30099.0	29376.0	16673.0	27614.0	30664.0
HMP_2012__SRS058053__bin.57	18713.0	17679.0	17594.0	20039.0	15627.0	17802.0	20497.0	18126.0	17874.0	16111.0	18581.0	7969.0	10641.0	17415.0	18345.0	19564.0	3409.0	16130.0	17179.0	16138.0	0.0	16521.0	20577.0	21049.0	19617.0	17384.0	18952.0	14701.0	14590.0	13818.0	15370.0	12261.0	17111.0	19258.0	19415.0	19717.0	502.0	18698.0	17213.0
CM_periimplantitis__SP_189SPI_T016__bin.28	33164.0	27003.0	28416.0	30653.0	15956.0	30866.0	32151.0	29531.0	31615.0	29385.0	28948.0	20565.0	19093.0	33373.0	32850.0	32921.0	23473.0	29093.0	32162.0	28342.0	16521.0	0.0	34818.0	34927.0	30955.0	34854.0	30636.0	31196.0	28122.0	15762.0	22659.0	26458.0	30205.0	27217.0	32208.0	31965.0	16984.0	30307.0	33816.0
HMP_2012__SRS022536__bin.36	27389.0	30770.0	34120.0	28502.0	20749.0	33716.0	37196.0	32941.0	36050.0	32082.0	33528.0	21234.0	21705.0	33364.0	35486.0	38996.0	26765.0	31247.0	26484.0	31309.0	20577.0	34818.0	0.0	38270.0	36352.0	35017.0	35916.0	32874.0	30569.0	22456.0	26751.0	27446.0	32798.0	33380.0	6828.0	29402.0	15886.0	35698.0	35435.0
ZellerG_2014__CCMD11006829ST-21-0__bin.60	36731.0	33342.0	35153.0	34078.0	20359.0	32858.0	36476.0	28564.0	35974.0	33496.0	33592.0	20867.0	20080.0	33987.0	37451.0	38844.0	26447.0	32600.0	33193.0	30858.0	21049.0	34927.0	38270.0	0.0	35710.0	35650.0	37467.0	34207.0	30159.0	21209.0	25581.0	27964.0	33304.0	32346.0	35791.0	36862.0	16395.0	35908.0	38126.0
HMP_2012__SRS014476__bin.30	34160.0	28693.0	31068.0	33140.0	18572.0	32490.0	34790.0	32391.0	33233.0	30370.0	31929.0	19348.0	20126.0	33545.0	34223.0	35293.0	24852.0	28581.0	30665.0	27170.0	19617.0	30955.0	36352.0	35710.0	0.0	34089.0	33877.0	30620.0	27478.0	20362.0	24366.0	24862.0	30439.0	30691.0	34573.0	34662.0	16534.0	32075.0	33621.0
CM_periimplantitis__SP_162SPI_T016__bin.17	35122.0	29892.0	33254.0	31765.0	18102.0	31595.0	33869.0	30664.0	35322.0	33575.0	30558.0	21301.0	21734.0	32495.0	33623.0	35775.0	25237.0	32209.0	33205.0	31246.0	17384.0	34854.0	35017.0	35650.0	34089.0	0.0	33603.0	32602.0	30887.0	20050.0	23921.0	27185.0	33932.0	31497.0	33147.0	33877.0	16066.0	34530.0	37070.0
CM_periimplantitis__SP_123SPT_T016__bin.4	35700.0	29883.0	30903.0	33513.0	18008.0	31529.0	33945.0	32951.0	18951.0	27036.0	31478.0	21230.0	19836.0	34333.0	32468.0	35276.0	25345.0	30427.0	31735.0	27641.0	18952.0	30636.0	35916.0	37467.0	33877.0	33603.0	0.0	30057.0	27586.0	19394.0	24409.0	26950.0	30356.0	30203.0	34152.0	35110.0	16817.0	33042.0	34549.0
HMP_2012__SRS015215__bin.20	30582.0	25859.0	27945.0	27615.0	13642.0	28818.0	30742.0	27939.0	31123.0	27354.0	27814.0	21548.0	19613.0	32070.0	32782.0	629.0	22118.0	28652.0	29398.0	28312.0	14701.0	31196.0	32874.0	34207.0	30620.0	32602.0	30057.0	0.0	29178.0	14022.0	20727.0	26883.0	27934.0	25848.0	30671.0	29780.0	17034.0	29081.0	33413.0
HMP_2012__SRS022725__bin.36	29158.0	23483.0	24752.0	27039.0	5037.0	27053.0	28924.0	26079.0	28564.0	27847.0	25300.0	19338.0	18137.0	30895.0	29158.0	29780.0	21517.0	26532.0	28740.0	25687.0	14590.0	28122.0	30569.0	30159.0	27478.0	30887.0	27586.0	29178.0	0.0	13698.0	18856.0	24901.0	27195.0	24284.0	28603.0	28583.0	15042.0	26378.0	30640.0
HMP_2012__SRS017227__bin.23	19907.0	17165.0	3237.0	21151.0	14881.0	18534.0	21329.0	19301.0	20000.0	16901.0	19717.0	9239.0	10510.0	19528.0	19121.0	19464.0	16089.0	15739.0	19426.0	15466.0	13818.0	15762.0	22456.0	21209.0	20362.0	20050.0	19394.0	14022.0	13698.0	0.0	16157.0	12747.0	18002.0	20540.0	21126.0	21976.0	6972.0	193.0	20175.0
HMP_2012__SRS058808__bin.49	24207.0	22781.0	23824.0	24772.0	14724.0	23849.0	24880.0	23382.0	22760.0	21623.0	7691.0	13350.0	14810.0	24067.0	23376.0	25578.0	20760.0	21393.0	23962.0	20965.0	15370.0	22659.0	26751.0	25581.0	24366.0	23921.0	24409.0	20727.0	18856.0	16157.0	0.0	17928.0	23160.0	24152.0	27103.0	25978.0	10059.0	25069.0	23322.0
HMP_2012__SRS019029__bin.2	27461.0	22499.0	25579.0	23606.0	11520.0	24986.0	26997.0	24829.0	27591.0	25324.0	23976.0	1273.0	11708.0	27762.0	27373.0	28702.0	18196.0	25129.0	26718.0	24324.0	12261.0	26458.0	27446.0	27964.0	24862.0	27185.0	26950.0	26883.0	24901.0	12747.0	17928.0	0.0	26173.0	23267.0	24980.0	25398.0	14622.0	27270.0	29002.0
CM_periimplantitis__SP_143SPI_T016__bin.7	32128.0	25871.0	29494.0	30146.0	16275.0	30021.0	33011.0	28458.0	31790.0	26985.0	28934.0	20468.0	18698.0	33606.0	31841.0	31342.0	23657.0	26433.0	30663.0	26416.0	17111.0	30205.0	32798.0	33304.0	30439.0	33932.0	30356.0	27934.0	27195.0	18002.0	23160.0	26173.0	0.0	27985.0	31478.0	31338.0	15157.0	30650.0	31762.0
CM_periimplantitis__SP_381SPT_T016__bin.14	30795.0	26692.0	29294.0	31762.0	17951.0	29556.0	32666.0	29549.0	30324.0	26433.0	30271.0	17195.0	17861.0	31988.0	30109.0	31128.0	24920.0	26302.0	28561.0	25992.0	19258.0	27217.0	33380.0	32346.0	30691.0	31497.0	30203.0	25848.0	24284.0	20540.0	24152.0	23267.0	27985.0	0.0	32273.0	32551.0	13865.0	31324.0	30992.0
HMP_2012__SRS023964__bin.1	26301.0	29704.0	32749.0	27796.0	19628.0	32168.0	35427.0	31919.0	33456.0	29683.0	32522.0	19114.0	21168.0	31428.0	32360.0	37085.0	26046.0	29772.0	24778.0	30099.0	19415.0	32208.0	6828.0	35791.0	34573.0	33147.0	34152.0	30671.0	28603.0	21126.0	27103.0	24980.0	31478.0	32273.0	0.0	28165.0	15004.0	34106.0	32758.0
HMP_2012__SRS023938__bin.18	8273.0	31110.0	33007.0	9341.0	20460.0	30904.0	35783.0	31692.0	33924.0	30814.0	32211.0	18735.0	20264.0	31171.0	33988.0	34836.0	26272.0	30347.0	20929.0	29376.0	19717.0	31965.0	29402.0	36862.0	34662.0	33877.0	35110.0	29780.0	28583.0	21976.0	25978.0	25398.0	31338.0	32551.0	28165.0	0.0	15159.0	33741.0	33836.0
HMP_2012__SRS058053__bin.56	16232.0	12990.0	15579.0	13758.0	5083.0	15281.0	16503.0	14829.0	16511.0	15390.0	13851.0	12516.0	11120.0	15848.0	16118.0	17353.0	1529.0	17267.0	14444.0	16673.0	502.0	16984.0	15886.0	16395.0	16534.0	16066.0	16817.0	17034.0	15042.0	6972.0	10059.0	14622.0	15157.0	13865.0	15004.0	15159.0	0.0	16291.0	17964.0
HMP_2012__SRS047113__bin.6	33122.0	28399.0	5027.0	32167.0	17399.0	31410.0	34058.0	31498.0	32983.0	29029.0	31434.0	21104.0	19888.0	34292.0	32698.0	33949.0	25178.0	27949.0	31023.0	27614.0	18698.0	30307.0	35698.0	35908.0	32075.0	34530.0	33042.0	29081.0	26378.0	193.0	25069.0	27270.0	30650.0	31324.0	34106.0	33741.0	16291.0	0.0	33864.0
HMP_2012__SRS013533__bin.55	34565.0	29395.0	33349.0	31780.0	18041.0	31886.0	33516.0	31764.0	36692.0	32789.0	31497.0	22163.0	20521.0	33802.0	36911.0	35121.0	25251.0	32121.0	33597.0	30664.0	17213.0	33816.0	35435.0	38126.0	33621.0	37070.0	34549.0	33413.0	30640.0	20175.0	23322.0	29002.0	31762.0	30992.0	32758.0	33836.0	17964.0	33864.0	0.0
