	Bengtsson-PalmeJ_2015__TRAVELRES68__bin.21	NielsenHB_2014__O2_UC31_2__bin.25	ZellerG_2014__CCIS51667829ST-4-0__bin.50	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.113	LeChatelierE_2013__MH0140__bin.7	XieH_2016__YSZC12003_35734__bin.94	XieH_2016__YSZC12003_37097__bin.62	ZeeviD_2015__PNP_Main_61__bin.10	BackhedF_2015__SID326_M__bin.29	NielsenHB_2014__O2_UC31_0__bin.33	LiJ_2014__MH0323__bin.34	ZellerG_2014__CCMD86707194ST-21-0__bin.48	QinJ_2012__CON-024__bin.30	XieH_2016__YSZC12003_35992__bin.70	LiJ_2014__O2.UC31-1__bin.14	FengQ_2015__SID531248__bin.18	LiJ_2014__MH0385__bin.12	ZellerG_2014__CCIS51595129ST-4-0__bin.68	ZeeviD_2015__PNP_Main_154__bin.62	SchirmerM_2016__G88820__bin.24	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.33	VatanenT_2016__G80467__bin.9	NielsenHB_2014__MH0140__bin.20	NielsenHB_2014__MH0126__bin.43	LeChatelierE_2013__MH0421__bin.47	ZeeviD_2015__PNP_Main_210__bin.30	LeChatelierE_2013__MH0126__bin.46	ZellerG_2014__CCIS09568613ST-4-0__bin.2	VatanenT_2016__G80479__bin.8	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.93	XieH_2016__YSZC12003_37331__bin.3	ZeeviD_2015__PNP_Main_586__bin.23	SchirmerM_2016__G89108__bin.11	QinJ_2012__CON-100__bin.28	LeChatelierE_2013__MH0430__bin.55	Bengtsson-PalmeJ_2015__TRAVELRES67__bin.40	SchirmerM_2016__G88826__bin.5	QinJ_2012__CON-099__bin.31	ZellerG_2014__CCIS87290971ST-4-0__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.49	LeChatelierE_2013__MH0407__bin.66	SchirmerM_2016__G88895__bin.6
Bengtsson-PalmeJ_2015__TRAVELRES68__bin.21	1.0	0.5843914531189626	0.7261794454729961	0.694841164486204	0.7448436214617343	0.451034245289589	0.8579168170606725	0.6348778812457113	0.6038871120497504	0.5908220120968042	0.5556381225030324	0.6911829223585126	0.826574647335631	0.8372983733407903	0.8245093738035502	0.7375688527621177	0.7515534625502134	0.53980282682989	0.664205331035914	0.8294311023406316	0.8309438215196411	0.5830240313418162	0.7011462232750882	0.7997250308536028	0.8340629431173044	0.5786301106416736	0.8284921488142353	0.5902196111898089	0.8271742200693539	0.5573544701576459	0.8132825864775844	0.7759757993213091	0.8345787312178362	0.7716702590359252	0.6263056880574374	0.896661376804242	0.8339102217606015	0.8347533709173993	0.7466685002656716	0.808573677979242	0.817931042772232	0.8369816179342952
NielsenHB_2014__O2_UC31_2__bin.25	0.5934451877311503	1.0	0.5273966209613552	0.5964844700785418	0.674740067046583	0.4922402447509016	0.7402551618617095	0.5157169597411764	0.44019262430147843	0.7901448415846773	0.3824534396735123	0.7021819218345117	0.6392433601409572	0.6937705840835806	0.8359458859834732	0.596177885253988	0.6839591517006124	0.49261647530843367	0.47598478707432634	0.6831313008745924	0.6875850377989651	0.5769588939396006	0.6398601197763008	0.7170078469919147	0.6699639493582181	0.5625759730837192	0.7587744648587017	0.4055912599631093	0.6915623835498215	0.49466563945193837	0.6658017193162081	0.6643247989787208	0.6947330593934503	0.6737449228619657	0.4439333899593829	0.640418003637374	0.6762428352849695	0.7639724059297957	0.6787511586680577	0.6857760437346483	0.6966185201645937	0.6992858799379363
ZellerG_2014__CCIS51667829ST-4-0__bin.50	0.7984146214902977	0.5710118429189497	1.0	0.6610178714618264	0.7382586256554728	0.48953089696244617	0.8918648098288181	0.618975101068463	0.5928801781432477	0.5733307524484397	0.6029160889798936	0.6735946323813211	0.854095269634451	0.8853379695976423	0.8454908948013438	0.7494749803809992	0.7121804162920691	0.5627071461359994	0.708456790195436	0.8650651964951273	0.8774577195472102	0.5987135999029836	0.6970363745408144	0.8127202643385841	0.8747742211577367	0.5752372645574152	0.8561661965491548	0.6491399706385474	0.8484690183036823	0.5711035731651716	0.8259399143565997	0.7670498736571333	0.867905724628133	0.7698608615413558	0.6822868505858103	0.8340592072096864	0.8718769446520683	0.847794645518958	0.7392497787396497	0.8368550362820332	0.8128135493347419	0.8542009926300966
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.113	0.7692211958463674	0.6502615686447938	0.6655709757623883	1.0	0.8222577755374318	0.4640498191699075	0.8654413557501857	0.6587025240288186	0.6592406505891409	0.6662887387526657	0.5020791253467003	0.7965599819346022	0.8153580146221706	0.8243018737371148	0.8020414369192391	0.7364537890176001	0.8473810456562229	0.5637073358586797	0.6209980506120749	0.8449569322637595	0.8395001332597046	0.6276943018463416	0.7783392122844706	0.798323080228604	0.8650460773313305	0.6127273389034976	0.8388132880863476	0.56620228627472	0.8272484590990549	0.6253519836910473	0.840076222202828	0.7979395427528833	0.8496090852983432	0.7792827927476977	0.5804671408181324	0.7898046346198928	0.845882509947514	0.852884808432815	0.827635910222487	0.8497761980556215	0.856932694260753	0.8526069394453031
LeChatelierE_2013__MH0140__bin.7	0.6824287294907806	0.6087681771540511	0.6151998191353738	0.6805099579191758	1.0	0.46377557498367555	0.8443258905898571	0.6164980021973239	0.5391897109275401	0.6132985380541246	0.4546306397114458	0.705558607394202	0.7253714461914781	0.7685451021444637	0.7516444299913972	0.6856307848177361	0.7758969382572735	0.5304039785035396	0.5462817808687721	0.7729112467739763	0.7893212135031767	0.6674043982753081	0.9172855277204838	0.7606669318311378	0.778677278427877	0.6006091873011267	0.7865071879437402	0.49982444730050474	0.8241101227184627	0.5522142960790207	0.7154261590364942	0.7563192493858895	0.7642975041718059	0.6972846337620878	0.5317617587918865	0.6994291622184678	0.7618478638281112	0.7836361563416632	0.794257742457064	0.7895612218986121	0.7714893346876587	0.8158423031477701
XieH_2016__YSZC12003_35734__bin.94	0.69564819121285	0.7476192994729062	0.6867137145253129	0.6465156576894787	0.7807209194670284	1.0	0.7811969232597917	0.611810455616872	0.3693914839486396	0.7812012852647655	0.4755910380426811	0.7799024982838236	0.7119419155417692	0.7710623499538445	0.7972011195085765	0.6685197917796926	0.7681561641400662	0.6412899757308949	0.48011280144862184	0.7834635300942902	0.7786271570796158	0.7009065882087372	0.7239499699839532	0.7733551288181857	0.7632854403362234	0.7179598466537152	0.8237024807267537	0.4847256217083902	0.7747466084048202	0.6318849477568117	0.7098628749211431	0.761436495477964	0.7188338834003355	0.7486896264433466	0.5194499075527571	0.6959889728514262	0.7535407212248074	0.813419599251698	0.7852399566198606	0.7908047844651555	0.7914470896975441	0.7784417718682304
XieH_2016__YSZC12003_37097__bin.62	0.6488789814401114	0.551344711569442	0.6135260740326	0.5912762934875815	0.6970058666606773	0.3830883164921856	1.0	0.5138195808657181	0.5476847666557841	0.5197421246878632	0.47233717483162196	0.6068505783638111	0.7333657402096875	0.7735770052356357	0.7562107163550713	0.6796647118261302	0.6488872703276276	0.46609484038142784	0.5851286127851545	0.7572158108122923	0.7598294842146158	0.5533137234297705	0.6611810274316722	0.7260233901710372	0.7565147313584926	0.49683939371333335	0.7737104295863017	0.4822699359108565	0.7731433092501043	0.45293877159221774	0.704871753530197	0.6830465779327889	0.7718943610698227	0.6647645006734053	0.535454112050251	0.7048246940397819	0.768347251979774	0.7859122067772618	0.66050347772308	0.7371211410215172	0.7042677342753788	0.7765650154935351
ZeeviD_2015__PNP_Main_61__bin.10	0.8306446390776017	0.664446054053254	0.7365694795968207	0.7784822128975919	0.8803686004173882	0.5189933839527552	0.8888269096990956	1.0	0.6290526989624499	0.6684460244512529	0.5598173186507408	0.8116392293119015	0.8721619081449906	0.8629885255243255	0.8204134474490475	0.7701071592439649	0.8575385196039252	0.6326770939715525	0.6153816623003715	0.8558771072924529	0.8775753740952889	0.7238646707517428	0.8115092580258425	0.842830487840978	0.8853607003833459	0.7350292504773323	0.8592267587288901	0.599260134985125	0.874511566981928	0.677228568151207	0.862009809363113	0.8823246451460118	0.8541828552610157	0.7930755369062948	0.6543836863371963	0.8377444940277963	0.8470890132172935	0.8428864541242989	0.875557350176872	0.8908796234625461	0.888156701893048	0.8756498564302947
BackhedF_2015__SID326_M__bin.29	0.704932327562905	0.5060083352006857	0.6294685948472629	0.6951362589483319	0.6869752069253393	0.2795750442490293	0.8452862455157751	0.5612464752434471	1.0	0.48420426235042097	0.5149188042176991	0.6542546540404759	0.8116016848676779	0.794204563602847	0.8085256087259209	0.7138588908876093	0.6514356741472184	0.41252929473505673	0.7147527439762926	0.8154783496484219	0.7897307587393122	0.45266106997433575	0.6459561813902758	0.7992973803006499	0.7875889777927441	0.4719296703514378	0.8277558303692983	0.5560591560722791	0.7766811639238252	0.42873750060353655	0.8329497523333651	0.6737267029737741	0.8321565918363893	0.6973547973623493	0.6223738938774365	0.7759032723854281	0.8489904123320363	0.8122945654475022	0.6632253735426914	0.7478574968729585	0.7241873096796532	0.8241053112453404
NielsenHB_2014__O2_UC31_0__bin.33	0.6407519345279744	0.8438460290945032	0.5655278099299188	0.6527246718979979	0.725960497021193	0.5493081783672557	0.7452511426204222	0.5540826275304714	0.44985256448841926	1.0	0.4050974232236906	0.7708329579232738	0.6462080644598561	0.7137166976132355	0.8558272012096958	0.6219784921666138	0.7370134637702774	0.5451322127135381	0.47122812573444584	0.7125442680347313	0.7231958175932681	0.6417878745937424	0.6888353495569267	0.7469741310199639	0.7153683740763475	0.6181560190149827	0.7840670730935847	0.42187413136502167	0.7402240344996414	0.567854649404066	0.685431546483689	0.700990200743101	0.7097489168061915	0.7356853748036526	0.4672009183137104	0.6466754260217256	0.6986066184378161	0.7919021845606591	0.7335939413992245	0.7194875968989276	0.7493450612074951	0.7260574965906377
LiJ_2014__MH0323__bin.34	0.7049526719365036	0.4778259590301873	0.695729261230099	0.57540600230361	0.6295560885992831	0.3912203571672055	0.7923216585992472	0.5428616793389142	0.55964807153391	0.4739081175343478	1.0	0.5953028960181992	0.7776379385201637	0.7750674577402374	0.7648537099963042	0.6908484425514814	0.6172984251488197	0.5039362309064096	0.6693965223382001	0.7608327083923888	0.7567206567800411	0.47615790493482074	0.5845675169451691	0.7316258391850531	0.7494886846817107	0.4634916377519349	0.7737043987470084	0.572892035322021	0.7266651835532288	0.4761507285794763	0.7394664559210314	0.6431122238448759	0.7790767977667182	0.6659334823623126	0.6532098043366715	0.7336217630152174	0.7654515901009354	0.7795594076636299	0.6351473664569974	0.7159257677803174	0.6840214860079011	0.7685620916205287
ZellerG_2014__CCMD86707194ST-21-0__bin.48	0.6725065758312789	0.6727851908874303	0.596097944543221	0.7000939379899196	0.7492805024151797	0.4919984163657796	0.7806687242904518	0.6035892498616384	0.5453291217743857	0.6915610939183837	0.4565345033789815	1.0	0.7187986393954122	0.7493045802595385	0.8092515333287241	0.6509201004252492	0.7591988544449593	0.5116070688423406	0.5456603641189212	0.7580654759140724	0.7702309787609335	0.5854262999542177	0.6960106795558807	0.807003006634822	0.7583630092765055	0.5927569716538418	0.8385298480997593	0.4903188147371542	0.7548046478494873	0.5409603689000931	0.7490665535695921	0.7290661201683936	0.7460953475757223	0.7460526953942868	0.5233202521844624	0.7004943181446851	0.7532671055025786	0.8135336059633254	0.7497888889003546	0.7508390268836012	0.7717055747433044	0.7609685760053274
QinJ_2012__CON-024__bin.30	0.7348177927709207	0.559612042996965	0.6905885447652487	0.6547571120264973	0.7038268656547553	0.41035714835700315	0.861984934154101	0.5926108905405232	0.6180859291888272	0.5297082025545122	0.5448878169923055	0.6567518327891615	1.0	0.8125330188041795	0.8112290804956411	0.7372584736347697	0.6872028307623843	0.5069651802272793	0.6808673059704283	0.8356336891900089	0.8029283770477944	0.5434204542633189	0.6648554840992753	0.8043863114448322	0.8187613748896493	0.5198552813901384	0.8493468837320104	0.5449575866487277	0.8049633253601073	0.4974208797953675	0.8033161957686275	0.7308949781246985	0.8551541076570941	0.7110077975447995	0.6106403754487493	0.7956176484545864	0.8557625493455323	0.8447769712363592	0.703674440954914	0.7797415945634981	0.7365507201831359	0.8360912775672641
XieH_2016__YSZC12003_35992__bin.70	0.7001198077046434	0.571256615215076	0.6733125012378356	0.6226051391681923	0.7014056787019265	0.4180242459105607	0.8552186113716519	0.5515337189369779	0.568895933425581	0.5502812510253713	0.5108150618947354	0.6439423208523049	0.764250184973282	1.0	0.7952485440836484	0.7099843596702377	0.6726739997771157	0.5010856002844879	0.6210275084756635	0.8076413844721766	0.8467481209286294	0.5536053014539801	0.663010753133165	0.7728516273362577	0.7964844582536807	0.5331629086224597	0.8089426268009214	0.5224576630669177	0.7914831590805698	0.4960479420004192	0.7709686392321902	0.7245486962302696	0.8158275052831562	0.7123964762996239	0.5919224835578484	0.7514148276001715	0.806655254438398	0.7945328903630915	0.7265318935913667	0.814046204448759	0.7624715445616377	0.8051660089017745
LiJ_2014__O2.UC31-1__bin.14	0.6685988393776798	0.6675309842814596	0.6235832286261994	0.5874908730639931	0.6652582446296922	0.4191387153803528	0.8107637500318923	0.5084845029141694	0.561658239928263	0.6399158214844418	0.4888554628743334	0.6744503986324575	0.7399731273190014	0.7712244442208399	1.0	0.6762888294330105	0.651427156085441	0.47086647625878614	0.6152350384900844	0.7639492692861081	0.7453232963554464	0.5048503555169122	0.6277399800074592	0.7885085031366272	0.7237626569496153	0.5092668321913734	0.8441206765127207	0.4812744083724426	0.7363249329688005	0.45985194511597477	0.7309352031261064	0.6750426640361598	0.78210624599196	0.7170404732848455	0.5406887192360981	0.717086340886294	0.785924723812538	0.8468867795525673	0.6649807456409295	0.7201766705338788	0.7085222863508625	0.7592647538156828
