	LiJ_2014__MH0357__bin.61	BritoIL_2016__W2.47.ST__bin.34	QinJ_2012__T2D-073__bin.53	CosteaPI_2017__SID713A014-11-0-0__bin.28	BritoIL_2016__WL.5.ST__bin.6	CM_madagascar__A94_01_1FE__bin.15	BritoIL_2016__WL.44.ST__bin.12	LiJ_2014__MH0400__bin.25	CosteaPI_2017__SID713A058-11-0-0__bin.50	CosteaPI_2017__SID713B005-11-90-0__bin.30	LiuW_2016__SRR3993014__bin.77	LiJ_2014__V1.CD6-0-PT__bin.78	LiuW_2016__SRR3993042__bin.16	LiuW_2016__SRR3993060__bin.20	CosteaPI_2017__SID713A057-11-90-0__bin.8	LiJ_2014__V1.CD44-4__bin.14	CosteaPI_2017__SID713B003-11-0-0__bin.34	CosteaPI_2017__SID713B003-11-90-0__bin.67	VogtmannE_2016__MMRS57276462ST-27-0-0__bin.49	CosteaPI_2017__SID713A049-11-0-0__bin.2	LiJ_2014__V1.CD44-0__bin.7	CosteaPI_2017__SID713A058-11-90-0__bin.42	CosteaPI_2017__SID713A038-11-90-0__bin.55	CM_madagascar__A72_01_1FE__bin.16	LiJ_2014__O2.UC16-1__bin.29	CosteaPI_2017__SID713B040-11-90-0__bin.114	KarlssonFH_2013__S468__bin.13	LiJ_2014__MH0222__bin.7	LiuW_2016__SRR3993051__bin.10	CosteaPI_2017__SID713B042-11-0-0__bin.61	LiuW_2016__SRR3993050__bin.66
LiJ_2014__MH0357__bin.61	1.0	0.9650127455604152	0.9677152219006175	0.9726434106631534	0.9695601676200859	0.9678570384019186	0.9679675187937405	0.978334347693779	0.9728884455897234	0.9720761129938732	0.9713471926459161	0.9574657864577121	0.9702926932059023	0.972853933296974	0.9719506866684372	0.9697457870483439	0.9733501791214814	0.9716865220450773	0.9742616320050962	0.9715240321068676	0.9696155610785883	0.9714229478967371	0.9730864339950247	0.9693945244164914	0.9714045923028207	0.9710598866878587	0.97064697101816	0.989090826964297	0.9716740018175554	0.9731861651874063	0.9686653720830728
BritoIL_2016__W2.47.ST__bin.34	0.9650127455604152	1.0	0.971377147874075	0.9689171408227707	0.9718057396036699	0.9712568369458394	0.9726728692930708	0.9656928937704075	0.9687226203255099	0.9659946854469278	0.9700216499470129	0.9576966631487844	0.9692804593576171	0.9683722743963864	0.9676315330793556	0.9674403918646501	0.9675949168689127	0.9676268144847058	0.9663794162644392	0.9673821957627392	0.9677978448847834	0.9676414955371401	0.9693563431116289	0.9688018412518121	0.9659278121907658	0.9680600578945041	0.9648603560760528	0.9664098000194734	0.9698008693103695	0.9663628753160898	0.9703359896923661
QinJ_2012__T2D-073__bin.53	0.9677152219006175	0.971377147874075	1.0	0.9712889806010097	0.9721908681157845	0.9739934731325405	0.9729184715817818	0.9685157040024414	0.9699323440361829	0.9684323404645298	0.9725082045986648	0.958660935728955	0.9717945709939634	0.971134381411818	0.9691369635950642	0.9703540679375888	0.9706342274092304	0.9704880987895601	0.9689934335437453	0.9685918816334922	0.9707923754755009	0.9686962344341421	0.971086072334185	0.9713773357974107	0.9677617222121143	0.9693918596245388	0.9664726993196192	0.9678253184275997	0.9718531145563505	0.9681109618431694	0.9724957261888183
CosteaPI_2017__SID713A014-11-0-0__bin.28	0.9726434106631534	0.9689171408227707	0.9712889806010097	1.0	0.9723644123108491	0.9715127256512621	0.9721162361429432	0.973818338486352	0.9755389395706566	0.9750478170563595	0.9741219930963453	0.9590155115926421	0.9724928589249436	0.9742924586349245	0.9752376332423454	0.9716160689060549	0.9766785355471705	0.9761290257606567	0.9739653731385909	0.9743172767237653	0.9716198144040569	0.974533919732088	0.9867434440123641	0.9715923741909012	0.9725874387336175	0.9759905945818905	0.9714930015654436	0.9732268940975555	0.9748972623395951	0.9756631734353395	0.9732331465096733
BritoIL_2016__WL.5.ST__bin.6	0.9695601676200859	0.9718057396036699	0.9721908681157845	0.9723644123108491	1.0	0.9721580187501873	0.9733982334994803	0.9702857131805959	0.9698785122911776	0.9683254362497421	0.971213262904686	0.9577209735467949	0.969943251292	0.9721961548813014	0.9691384460694212	0.9698642068131618	0.9719933085264025	0.9708247843273946	0.9714013743492593	0.9685025170360366	0.9701221151010542	0.968791185618641	0.9713613128702353	0.9723243624708711	0.9680158075796776	0.9687283842253145	0.9659930499480909	0.9687002108450997	0.9721184835077006	0.969053117441687	0.9711582863373127
CM_madagascar__A94_01_1FE__bin.15	0.9678570384019186	0.9712568369458394	0.9739934731325405	0.9715127256512621	0.9721580187501873	1.0	0.9736959975429123	0.9698045312460835	0.971476208378966	0.968728540227235	0.9729698743180144	0.9585892524941211	0.9712531404409597	0.9712056010827812	0.9699225835727973	0.9708833281956373	0.9710380674805406	0.971122039250055	0.970196340993132	0.9700080916461676	0.9716298809783229	0.969856311160659	0.9717994550907293	0.9722511204449799	0.9688565459354397	0.9712981479265855	0.9678584495538917	0.9693287665595585	0.9723063751317176	0.9693345091482478	0.9731853845562053
BritoIL_2016__WL.44.ST__bin.12	0.9679675187937405	0.9726728692930708	0.9729184715817818	0.9721162361429432	0.9733982334994803	0.9736959975429123	1.0	0.9693519428528498	0.9710740902884861	0.9687976514926531	0.9726217170425331	0.958201017925554	0.9709615694298408	0.9714126040333384	0.9699722707379619	0.9698400865916416	0.9710789952290368	0.970994762409007	0.969794112157795	0.9699841791438961	0.9700958216958571	0.9695757697485246	0.9721643204434155	0.9713939243182736	0.9680943452798264	0.9702499173186058	0.9666676822765912	0.9692220538223775	0.9729955282361322	0.9688212427388018	0.9729069615632675
LiJ_2014__MH0400__bin.25	0.978334347693779	0.9656928937704075	0.9685157040024414	0.973818338486352	0.9702857131805959	0.9698045312460835	0.9693519428528498	1.0	0.9732927381956483	0.9728151636947655	0.972300811360612	0.9579621099165991	0.9713077719483183	0.9732448560834441	0.971938666143463	0.9705379971617916	0.973956250005071	0.9726668708331494	0.9753209966657923	0.9716932313081604	0.9708222825894615	0.9716950576817127	0.973630799646658	0.9702658912313432	0.972865998068541	0.9726986319497967	0.9720327167952412	0.9772904135501109	0.9728887767182952	0.9743285659313328	0.9699027692931699
CosteaPI_2017__SID713A058-11-0-0__bin.50	0.9728884455897234	0.9687226203255099	0.9699323440361829	0.9755389395706566	0.9698785122911776	0.971476208378966	0.9710740902884861	0.9732927381956483	1.0	0.9744701288027571	0.9744962150463072	0.958721234926073	0.9723990082714681	0.9741071861844285	0.9994582619431934	0.9720984055167482	0.9770861441261542	0.9770673219645744	0.9731556096057087	0.9821118083983104	0.9721817117893325	0.9995549257411184	0.9748808417682835	0.96998627186821	0.973763817726906	0.9760570716286077	0.9726031829639942	0.9742555535858907	0.9736782859314501	0.9749837939772527	0.97221179999065
CosteaPI_2017__SID713B005-11-90-0__bin.30	0.9720761129938732	0.9659946854469278	0.9684323404645298	0.9750478170563595	0.9683254362497421	0.968728540227235	0.9687976514926531	0.9728151636947655	0.9744701288027571	1.0	0.9718973412234809	0.9579704943638637	0.9713955858391748	0.971823999991827	0.9733858506527167	0.9693665705640073	0.9771531880083568	0.9771508978509337	0.9714629794567805	0.9734224069627706	0.9694972390637401	0.9733467822710717	0.9750468673282647	0.9673731113063565	0.9717561688881657	0.9742540209758651	0.9728802994538479	0.9729497746232846	0.9722156516460331	0.9897112681016128	0.9699784516270175
