	XieH_2016__YSZC12003_37171__bin.41	XieH_2016__YSZC12003_37101__bin.13	XieH_2016__YSZC12003_35999__bin.100	ZeeviD_2015__PNP_Main_393__bin.2	XieH_2016__YSZC12003_37232__bin.77	XieH_2016__YSZC12003_36694__bin.107	XieH_2016__YSZC12003_36699__bin.8	FengQ_2015__SID31276__bin.38	XieH_2016__YSZC12003_35697__bin.38	ZellerG_2014__CCIS74726977ST-3-0__bin.97	ZeeviD_2015__PNP_Main_127__bin.16	XieH_2016__YSZC12003_37393__bin.13	XieH_2016__YSZC12003_35550__bin.7	ZellerG_2014__CCIS11362406ST-4-0__bin.32	CosteaPI_2017__SID713B072-11-90-0__bin.89	BritoIL_2016__W3.22.ST__bin.92	XieH_2016__YSZC12003_35992__bin.87	CosteaPI_2017__SID713A004-11-0-0__bin.11	FengQ_2015__SID530041__bin.48	FengQ_2015__SID31223__bin.13	XieH_2016__YSZC12003_37182R1__bin.100	CM_madagascar__A28_02_1FE__bin.95	BritoIL_2016__M1.16.ST__bin.54	XieH_2016__YSZC12003_37405__bin.101	LiJ_2014__V1.FI14__bin.82	XieH_2016__YSZC12003_37349__bin.112
XieH_2016__YSZC12003_37171__bin.41	0.0	45560.0	16862.0	15527.0	15964.0	13769.0	14347.0	15662.0	11177.0	16717.0	14403.0	10685.0	10407.0	14905.0	14419.0	10617.0	15466.0	16252.0	12872.0	17957.0	17042.0	22584.0	14132.0	16742.0	17614.0	18441.0
XieH_2016__YSZC12003_37101__bin.13	45560.0	0.0	81457.0	74920.0	82123.0	61091.0	72372.0	70044.0	51898.0	75877.0	63774.0	55781.0	50961.0	63607.0	61943.0	39532.0	68650.0	72819.0	68261.0	82029.0	78740.0	39235.0	69631.0	81561.0	81668.0	80133.0
XieH_2016__YSZC12003_35999__bin.100	16862.0	81457.0	0.0	27798.0	29204.0	23468.0	23616.0	24757.0	17866.0	28724.0	25136.0	18321.0	18508.0	23744.0	22380.0	16974.0	25043.0	26097.0	22062.0	32027.0	28078.0	40462.0	24573.0	27779.0	27794.0	29562.0
ZeeviD_2015__PNP_Main_393__bin.2	15527.0	74920.0	27798.0	0.0	28196.0	21554.0	22328.0	23493.0	17026.0	29118.0	23826.0	17384.0	18325.0	22400.0	20824.0	15932.0	22450.0	23696.0	19429.0	28717.0	27622.0	37230.0	22785.0	27548.0	26315.0	26885.0
XieH_2016__YSZC12003_37232__bin.77	15964.0	82123.0	29204.0	28196.0	0.0	22898.0	23117.0	25629.0	18614.0	29951.0	25591.0	16730.0	17855.0	23817.0	21544.0	18063.0	25605.0	27286.0	21611.0	31145.0	30754.0	40443.0	27646.0	29759.0	29822.0	29977.0
XieH_2016__YSZC12003_36694__bin.107	13769.0	61091.0	23468.0	21554.0	22898.0	0.0	19143.0	20678.0	14984.0	22009.0	18603.0	14718.0	14756.0	18409.0	17321.0	13519.0	18630.0	21457.0	18159.0	24237.0	22659.0	30768.0	18873.0	23178.0	22144.0	22845.0
XieH_2016__YSZC12003_36699__bin.8	14347.0	72372.0	23616.0	22328.0	23117.0	19143.0	0.0	20942.0	15553.0	24468.0	20371.0	11267.0	15544.0	20698.0	19596.0	14104.0	20491.0	21904.0	19514.0	25659.0	22554.0	36262.0	20038.0	11959.0	23674.0	24292.0
FengQ_2015__SID31276__bin.38	15662.0	70044.0	24757.0	23493.0	25629.0	20678.0	20942.0	0.0	15229.0	25090.0	20929.0	16408.0	17123.0	18646.0	19856.0	15638.0	22007.0	22851.0	20228.0	27371.0	24683.0	36594.0	21441.0	24569.0	25462.0	25182.0
XieH_2016__YSZC12003_35697__bin.38	11177.0	51898.0	17866.0	17026.0	18614.0	14984.0	15553.0	15229.0	0.0	18372.0	16090.0	12539.0	12319.0	15421.0	15480.0	11800.0	15959.0	16748.0	15308.0	19710.0	18871.0	26595.0	15910.0	17566.0	17389.0	18756.0
ZellerG_2014__CCIS74726977ST-3-0__bin.97	16717.0	75877.0	28724.0	29118.0	29951.0	22009.0	24468.0	25090.0	18372.0	0.0	24531.0	18418.0	19246.0	24007.0	22119.0	16384.0	24307.0	25604.0	21819.0	29412.0	29055.0	38066.0	24843.0	28071.0	28605.0	29034.0
