	YuJ_2015__SZAXPI017466-84__bin.1	ChengpingW_2017__AS38raw__bin.40	LiuW_2016__SRR3993022__bin.81	HeQ_2017__SZAXPI029467-166__bin.15	HeQ_2017__SZAXPI029567-80__bin.66	XieH_2016__YSZC12003_35506__bin.88	QinJ_2012__CON-108__bin.6	CosteaPI_2017__SID713B026-11-0-0__bin.6	YuJ_2015__SZAXPI017455-21__bin.42	CosteaPI_2017__SID713B058-11-90-0__bin.1	QinJ_2012__T2D-098__bin.29	QinJ_2012__T2D-039__bin.54	QinJ_2012__DLM018__bin.21	XieH_2016__YSZC12003_37254__bin.61	QinJ_2012__T2D-102__bin.23	ZellerG_2014__CCIS90164298ST-4-0__bin.20	HeQ_2017__RSZAXPI003104-142__bin.39	ZeeviD_2015__PNP_Main_110__bin.52	BritoIL_2016__M1.52.ST__bin.92	ZeeviD_2015__PNP_Main_412__bin.35	QinJ_2012__DLF014__bin.16	QinJ_2012__T2D-071__bin.20	QinJ_2012__T2D-103__bin.23	YuJ_2015__SZAXPI015249-37__bin.39	ZeeviD_2015__PNP_Main_667__bin.9	KarlssonFH_2013__S80__bin.16
YuJ_2015__SZAXPI017466-84__bin.1	1.0	0.9457529929699617	0.9337412740013922	0.9610122717923352	0.9389660181245622	0.9391226888273646	0.5454718809660764	0.94033934874227	0.9488156813944588	0.798416730640537	0.9083270478539471	0.7279346101249561	0.9312824392285535	0.49673431110772903	0.9143593175424186	0.9245679805370224	0.9243083548009499	0.9075696569135424	0.8135479871171919	0.8512040143510364	0.9464128004440495	0.9559527033529769	0.9626962580321712	0.8930628450951998	0.8639722289988518	0.4814669749349257
ChengpingW_2017__AS38raw__bin.40	0.9407757756242308	1.0	0.9105647687865904	0.9409080222494929	0.9394809164112273	0.9224950173746239	0.5362315678483073	0.9243179725390105	0.9378952927325804	0.7932976341657598	0.9080445132344586	0.7225456896505661	0.9108167943418036	0.49991584305665143	0.8854290044901514	0.8975444874085183	0.9178209674575342	0.8760394940965462	0.8101031968951876	0.8569305246584297	0.9245726697432189	0.9375791476014825	0.9403647869538037	0.8950153263597358	0.8574675261064635	0.4752351496390602
LiuW_2016__SRR3993022__bin.81	0.9581251656423063	0.9392866116003126	1.0	0.9506047178603401	0.945384085753223	0.9264646913759439	0.5507610704179032	0.941546007107519	0.9462508227571056	0.8152623797098107	0.9132583202388832	0.7264372240347503	0.9110122450141953	0.5049406765141831	0.9109047641138728	0.9275826764673325	0.9198068467170786	0.9120806235362043	0.8188455357073139	0.8533092404637111	0.945026734725655	0.9540445659907465	0.9576277219882496	0.9018497279217466	0.8670038688530916	0.4805843102688814
HeQ_2017__SZAXPI029467-166__bin.15	0.927264434578634	0.9126692929744037	0.8938794302746393	1.0	0.9101914187028758	0.9058645327952296	0.5254864291356897	0.9182729082434994	0.9291963731556854	0.775509428404464	0.8866617630354025	0.7032800628517106	0.9044491599544074	0.48189579625196144	0.8843709062921248	0.88132809223549	0.8876499757481889	0.8718346851432498	0.7917350346025618	0.8289977372174815	0.9150249363902853	0.9252232224804571	0.9322288213447035	0.8716563058380135	0.8386988935732053	0.4621367249300412
HeQ_2017__SZAXPI029567-80__bin.66	0.9081288606503296	0.9134339808229474	0.8910666694374165	0.9123378028992434	1.0	0.8985225842091501	0.5224417752887208	0.8999529838378696	0.91444270695337	0.7721911090099591	0.8871114239749525	0.711432893303617	0.8766444833503908	0.4923583583999612	0.867595387394127	0.8722723266159966	0.8943071480151906	0.8486161836037412	0.7907789443789277	0.8224538107335387	0.900655195762138	0.9225255038868426	0.9127335006173577	0.8634102562770473	0.8318977385485773	0.46330141775808237
XieH_2016__YSZC12003_35506__bin.88	0.9483112669441709	0.9364491608202902	0.9117205817010865	0.9480192682947776	0.938123406946223	1.0	0.5381648110890781	0.9357865137304907	0.9317699502653074	0.789164770860162	0.9114511835663521	0.7327032611186622	0.9284964917221095	0.4950556854080681	0.8948831982801912	0.902747273360909	0.9176518607681734	0.8808785633666449	0.8000934757286293	0.8375524727449093	0.9305192377840829	0.9385772252805741	0.9378427085541592	0.888223730630794	0.8388325658951906	0.4729442458863673
QinJ_2012__CON-108__bin.6	0.9608174915435987	0.9495383475127536	0.9454445819896394	0.9593020413634321	0.9515000749051858	0.9387614624646171	1.0	0.9431382907425075	0.9543125675132267	0.8390595062565542	0.9281359647393693	0.778182090564312	0.935717946494043	0.5539356761572851	0.928619300306717	0.9307473960591988	0.9380486804860164	0.9059553565092606	0.8223264762235171	0.8511980887350485	0.9502314176003532	0.9662406269958289	0.9608892428268428	0.9318496850039818	0.8646266173606566	0.5312512319931876
CosteaPI_2017__SID713B026-11-0-0__bin.6	0.9083889715293874	0.8976359532293217	0.8864068391739025	0.9193573355934549	0.8988960286435811	0.8952316912858477	0.517242363441381	1.0	0.9016181201785035	0.7743345037534162	0.8764745563358356	0.6990733213408516	0.891365413221711	0.4767910886636455	0.8615914830317916	0.8764058013629916	0.8790388141280658	0.8760235410108278	0.7728543259418134	0.8137432109869581	0.9142798457121113	0.910564050230048	0.9162754696094372	0.8657193759297056	0.8220128342615975	0.46068945238177605
YuJ_2015__SZAXPI017455-21__bin.42	0.9029065750430019	0.8972364662413198	0.8775493339081111	0.9164183961826123	0.8997458653060564	0.8780941516646547	0.5155645785819745	0.8881705113449033	1.0	0.7591279337733337	0.8638390099737006	0.6963209679439285	0.8793835678875298	0.47733958546141675	0.8573484797497332	0.8630211443813912	0.8692897433691121	0.8427661918218552	0.775493339081111	0.811995702797867	0.8936280602869174	0.9186866952862828	0.9050325996113434	0.8648425992109301	0.8269771261736584	0.46496297880279813
CosteaPI_2017__SID713B058-11-90-0__bin.1	0.9547062740329031	0.9536036508602602	0.9500399299459608	0.9610645559104884	0.9547009214932302	0.93449990151327	0.5695926503207241	0.9584766029785813	0.9538809124153228	1.0	0.9255054938467204	0.7152026043317034	0.9291018652530253	0.5339035215429017	0.9182913408754185	0.9209900913785573	0.9339186157047796	0.9115701568080022	0.8539136699581217	0.8814589096234381	0.9518084090539279	0.9525615113859224	0.9540409533515463	0.9148255714371355	0.8842336661899338	0.4893248948761208
