	CM_periimplantitis__SP_283SPT_T016__bin.18	HMP_2012__SRS017139__bin.7	HMP_2012__SRS018157__bin.35	CM_periimplantitis__SP_344SPT_T016__bin.20	HMP_2012__SRS017227__bin.18	HMP_2012__SRS063603__bin.16	HMP_2012__SRS045197__bin.7	HMP_2012__SRS023841__bin.5	CM_periimplantitis__SP_381SPT_T016__bin.2	HMP_2012__SRS054430__bin.16	HMP_2012__SRS021477__bin.4	HMP_2012__SRS055401__bin.15	HMP_2012__SRS018394__bin.34	CM_periimplantitis__SP_503SPT_T016__bin.7	HMP_2012__SRS024649__bin.21	HMP_2012__SRS023964__bin.4	CM_periimplantitis__SP_187SPT_T016_R__bin.9	HMP_2012__SRS019906__bin.23	HMP_2012__SRS015215__bin.26	HMP_2012__SRS011255__bin.28	HMP_2012__SRS017445__bin.44	HMP_2012__SRS052604__bin.17	CM_periimplantitis__SP_502SPI_T016__bin.10	HMP_2012__SRS018665__bin.40	HMP_2012__SRS024087__bin.72	HMP_2012__SRS051378__bin.4	HMP_2012__SRS053917__bin.20	HMP_2012__SRS047634__bin.98	HMP_2012__SRS064449__bin.40	HMP_2012__SRS051941__bin.40	HMP_2012__SRS015803__bin.11	HMP_2012__SRS013170__bin.67	HMP_2012__SRS019129__bin.10	HMP_2012__SRS020226__bin.32	HMP_2012__SRS013533__bin.41
CM_periimplantitis__SP_283SPT_T016__bin.18	0.0	40464.0	65672.0	63263.0	37705.0	63073.0	68551.0	65420.0	63185.0	67451.0	53424.0	45501.0	65991.0	67853.0	63140.0	40474.0	48316.0	56591.0	68927.0	67130.0	54471.0	65351.0	81039.0	64475.0	74036.0	63424.0	43520.0	45486.0	58719.0	67008.0	66369.0	59913.0	66203.0	44401.0	67521.0
HMP_2012__SRS017139__bin.7	40464.0	0.0	55347.0	54511.0	32876.0	53675.0	58775.0	60139.0	53245.0	57138.0	46986.0	39834.0	57322.0	59001.0	56236.0	36153.0	42331.0	49672.0	59880.0	57998.0	45669.0	54630.0	68111.0	55566.0	60744.0	52072.0	35944.0	39073.0	53196.0	58725.0	58466.0	54199.0	58096.0	39873.0	58363.0
HMP_2012__SRS018157__bin.35	65672.0	55347.0	0.0	88628.0	50920.0	91580.0	99789.0	99116.0	88098.0	96605.0	73418.0	64078.0	93365.0	96435.0	93683.0	54773.0	69995.0	82396.0	99923.0	7801.0	72595.0	94721.0	113612.0	93386.0	102746.0	88132.0	59388.0	16796.0	84425.0	97852.0	92668.0	90415.0	95655.0	61433.0	98918.0
CM_periimplantitis__SP_344SPT_T016__bin.20	63263.0	54511.0	88628.0	0.0	45603.0	92944.0	92640.0	94135.0	85018.0	88314.0	70163.0	62445.0	88685.0	89348.0	89137.0	52228.0	68634.0	82133.0	91138.0	91831.0	68721.0	96363.0	106368.0	90392.0	104345.0	84332.0	55848.0	57509.0	80243.0	90606.0	89110.0	90137.0	93076.0	59535.0	93828.0
HMP_2012__SRS017227__bin.18	37705.0	32876.0	50920.0	45603.0	0.0	51334.0	51692.0	52093.0	48728.0	50413.0	42040.0	39583.0	50284.0	50462.0	51128.0	32381.0	40530.0	47397.0	52547.0	51234.0	40207.0	52091.0	53009.0	54384.0	60405.0	50897.0	34063.0	36335.0	44425.0	51474.0	49929.0	52692.0	54363.0	36629.0	51777.0
HMP_2012__SRS063603__bin.16	63073.0	53675.0	91580.0	92944.0	51334.0	0.0	99631.0	95364.0	88596.0	96889.0	75975.0	62634.0	95073.0	98796.0	94930.0	54339.0	68374.0	80785.0	99565.0	94603.0	74295.0	2464.0	113030.0	92172.0	30975.0	91029.0	61137.0	62322.0	84928.0	99151.0	96622.0	85933.0	94270.0	60959.0	98034.0
HMP_2012__SRS045197__bin.7	68551.0	58775.0	99789.0	92640.0	51692.0	99631.0	0.0	101891.0	96670.0	100239.0	76165.0	67407.0	95761.0	98369.0	97900.0	56536.0	75573.0	88491.0	54369.0	101215.0	74814.0	102596.0	115583.0	101197.0	112036.0	93472.0	60244.0	64123.0	86689.0	100320.0	96745.0	98573.0	103803.0	63468.0	100259.0
HMP_2012__SRS023841__bin.5	65420.0	60139.0	99116.0	94135.0	52093.0	95364.0	101891.0	0.0	93569.0	101515.0	78612.0	67401.0	98662.0	102777.0	94229.0	56555.0	72922.0	84545.0	102969.0	100760.0	74751.0	99043.0	117599.0	97257.0	107034.0	94529.0	61064.0	66548.0	90593.0	101014.0	99743.0	93005.0	98737.0	63479.0	104016.0
CM_periimplantitis__SP_381SPT_T016__bin.2	63185.0	53245.0	88098.0	85018.0	48728.0	88596.0	96670.0	93569.0	0.0	90877.0	71646.0	59654.0	90281.0	90649.0	89868.0	51759.0	67898.0	77940.0	95181.0	91434.0	70741.0	92099.0	110240.0	88355.0	101264.0	86124.0	58294.0	58315.0	81512.0	92748.0	89573.0	85477.0	91291.0	59758.0	92509.0
HMP_2012__SRS054430__bin.16	67451.0	57138.0	96605.0	88314.0	50413.0	96889.0	100239.0	101515.0	90877.0	0.0	74077.0	67073.0	94979.0	97641.0	95787.0	56568.0	75047.0	85703.0	103963.0	98017.0	74173.0	100103.0	112923.0	100096.0	109661.0	91858.0	59417.0	63917.0	85931.0	98206.0	93721.0	96173.0	100530.0	62566.0	96291.0
HMP_2012__SRS021477__bin.4	53424.0	46986.0	73418.0	70163.0	42040.0	75975.0	76165.0	78612.0	71646.0	74077.0	0.0	49638.0	74063.0	76193.0	73983.0	46987.0	57892.0	66380.0	75038.0	75990.0	60003.0	77944.0	87734.0	74088.0	85368.0	65996.0	50346.0	49170.0	67209.0	76538.0	74992.0	71747.0	75882.0	50890.0	76060.0
HMP_2012__SRS055401__bin.15	45501.0	39834.0	64078.0	62445.0	39583.0	62634.0	67407.0	67401.0	59654.0	67073.0	49638.0	0.0	67475.0	68556.0	64185.0	39918.0	47775.0	56160.0	66673.0	66084.0	50758.0	63884.0	80277.0	62521.0	72120.0	63290.0	45206.0	44102.0	61024.0	68071.0	66247.0	58243.0	63624.0	45860.0	67697.0
HMP_2012__SRS018394__bin.34	65991.0	57322.0	93365.0	88685.0	50284.0	95073.0	95761.0	98662.0	90281.0	94979.0	74063.0	67475.0	0.0	94370.0	93557.0	55616.0	72096.0	85831.0	96844.0	95862.0	72818.0	97321.0	110260.0	96349.0	105675.0	89409.0	58318.0	43520.0	82640.0	96586.0	91907.0	95344.0	97431.0	43062.0	96821.0
CM_periimplantitis__SP_503SPT_T016__bin.7	67853.0	59001.0	96435.0	89348.0	50462.0	98796.0	98369.0	102777.0	90649.0	97641.0	76193.0	68556.0	94370.0	0.0	98424.0	57066.0	76688.0	87837.0	98988.0	100047.0	74189.0	101231.0	114980.0	99583.0	109220.0	90384.0	59037.0	62700.0	84127.0	99784.0	93797.0	97999.0	102997.0	63722.0	98739.0
HMP_2012__SRS024649__bin.21	63140.0	56236.0	93683.0	89137.0	51128.0	94930.0	97900.0	94229.0	89868.0	95787.0	73983.0	64185.0	93557.0	98424.0	0.0	54735.0	71106.0	80864.0	96535.0	97039.0	70617.0	96591.0	112743.0	93619.0	106683.0	88951.0	59369.0	63188.0	86401.0	96469.0	94281.0	89488.0	94738.0	61398.0	97597.0
HMP_2012__SRS023964__bin.4	40474.0	36153.0	54773.0	52228.0	32381.0	54339.0	56536.0	56555.0	51759.0	56568.0	46987.0	39918.0	55616.0	57066.0	54735.0	0.0	40914.0	49289.0	57488.0	56268.0	44901.0	55332.0	68854.0	54706.0	64922.0	54422.0	36999.0	40117.0	51249.0	56581.0	54506.0	46653.0	55901.0	40336.0	57426.0
CM_periimplantitis__SP_187SPT_T016_R__bin.9	48316.0	42331.0	69995.0	68634.0	40530.0	68374.0	75573.0	72922.0	67898.0	75047.0	57892.0	47775.0	72096.0	76688.0	71106.0	40914.0	0.0	59953.0	74938.0	73250.0	57743.0	70120.0	87022.0	67288.0	74768.0	70856.0	48554.0	48909.0	66455.0	75114.0	72674.0	60195.0	68918.0	48869.0	76014.0
HMP_2012__SRS019906__bin.23	56591.0	49672.0	82396.0	82133.0	47397.0	80785.0	88491.0	84545.0	77940.0	85703.0	66380.0	56160.0	85831.0	87837.0	80864.0	49289.0	59953.0	0.0	87562.0	84772.0	66618.0	83594.0	103020.0	79723.0	93876.0	80679.0	55250.0	57995.0	78715.0	87532.0	84615.0	75862.0	83802.0	56702.0	87818.0
HMP_2012__SRS015215__bin.26	68927.0	59880.0	99923.0	91138.0	52547.0	99565.0	54369.0	102969.0	95181.0	103963.0	75038.0	66673.0	96844.0	98988.0	96535.0	57488.0	74938.0	87562.0	0.0	101983.0	74850.0	102342.0	115503.0	103579.0	113673.0	92466.0	60399.0	65090.0	89013.0	100582.0	98084.0	98745.0	103037.0	63599.0	100863.0
HMP_2012__SRS011255__bin.28	67130.0	57998.0	7801.0	91831.0	51234.0	94603.0	101215.0	100760.0	91434.0	98017.0	75990.0	66084.0	95862.0	100047.0	97039.0	56268.0	73250.0	84772.0	101983.0	0.0	74821.0	97170.0	115538.0	96265.0	105995.0	91255.0	60443.0	21346.0	87614.0	99916.0	94941.0	93763.0	97997.0	62624.0	102435.0
HMP_2012__SRS017445__bin.44	54471.0	45669.0	72595.0	68721.0	40207.0	74295.0	74814.0	74751.0	70741.0	74173.0	60003.0	50758.0	72818.0	74189.0	70617.0	44901.0	57743.0	66618.0	74850.0	74821.0	0.0	75606.0	86495.0	73961.0	83080.0	70341.0	47447.0	50913.0	66274.0	74939.0	71326.0	72026.0	73005.0	49228.0	76237.0
HMP_2012__SRS052604__bin.17	65351.0	54630.0	94721.0	96363.0	52091.0	2464.0	102596.0	99043.0	92099.0	100103.0	77944.0	63884.0	97321.0	101231.0	96591.0	55332.0	70120.0	83594.0	102342.0	97170.0	75606.0	0.0	117476.0	93672.0	32465.0	93377.0	62099.0	63803.0	87451.0	102355.0	99680.0	88364.0	97593.0	62649.0	100942.0
CM_periimplantitis__SP_502SPI_T016__bin.10	81039.0	68111.0	113612.0	106368.0	53009.0	113030.0	115583.0	117599.0	110240.0	112923.0	87734.0	80277.0	110260.0	114980.0	112743.0	68854.0	87022.0	103020.0	115503.0	115538.0	86495.0	117476.0	0.0	116521.0	121484.0	103890.0	70138.0	74198.0	100709.0	117363.0	112859.0	112304.0	118093.0	76458.0	116451.0
HMP_2012__SRS018665__bin.40	64475.0	55566.0	93386.0	90392.0	54384.0	92172.0	101197.0	97257.0	88355.0	100096.0	74088.0	62521.0	96349.0	99583.0	93619.0	54706.0	67288.0	79723.0	103579.0	96265.0	73961.0	93672.0	116521.0	0.0	102030.0	88112.0	61127.0	63132.0	88308.0	96964.0	97078.0	85102.0	91864.0	63913.0	99286.0
