	HMP_2012__SRS024561__bin.10	HMP_2012__SRS055450__bin.3	HMP_2012__SRS022725__bin.69	HMP_2012__SRS011126__bin.17	HMP_2012__SRS018665__bin.22	HMP_2012__SRS013170__bin.26	HMP_2012__SRS015989__bin.4	HMP_2012__SRS065310__bin.4	HMP_2012__SRS013949__bin.36	HMP_2012__SRS015574__bin.2	HMP_2012__SRS017227__bin.77	HMP_2012__SRS017511__bin.29	HMP_2012__SRS011343__bin.4	HMP_2012__SRS014690__bin.45	HMP_2012__SRS047113__bin.20	HMP_2012__SRS063603__bin.83	HMP_2012__SRS018975__bin.44	HMP_2012__SRS015803__bin.9	HMP_2012__SRS014691__bin.4	HMP_2012__SRS019129__bin.15	HMP_2012__SRS054430__bin.1	HMP_2012__SRS014578__bin.23	HMP_2012__SRS016746__bin.27	HMP_2012__SRS055378__bin.12	HMP_2012__SRS015044__bin.36	HMP_2012__SRS064449__bin.5	HMP_2012__SRS049318__bin.21	HMP_2012__SRS063999__bin.42	HMP_2012__SRS021477__bin.5	HMP_2012__SRS018573__bin.17	HMP_2012__SRS015899__bin.12	HMP_2012__SRS022602__bin.26	HMP_2012__SRS023964__bin.27	HMP_2012__SRS024649__bin.51	HMP_2012__SRS016043__bin.36	HMP_2012__SRS047634__bin.69	HMP_2012__SRS017445__bin.35	HMP_2012__SRS020226__bin.29	HMP_2012__SRS045197__bin.68	HMP_2012__SRS024289__bin.20	HMP_2012__SRS018157__bin.38	HMP_2012__SRS011255__bin.52	HMP_2012__SRS024381__bin.23	HMP_2012__SRS075410__bin.10	HMP_2012__SRS012285__bin.18
HMP_2012__SRS024561__bin.10	1272994.0	1183900.0	1142956.0	1135681.0	1177547.0	1168587.0	1170592.0	1081719.0	1095812.0	1183341.0	1151336.0	1119018.0	1189241.0	1171383.0	1158756.0	1071244.0	1160071.0	1075596.0	807957.0	1172606.0	1124431.0	961624.0	932950.0	1135844.0	1151793.0	1188438.0	1151563.0	1039906.0	1178826.0	986534.0	1179978.0	1163420.0	1034836.0	1154680.0	1202264.0	1174372.0	744643.0	1173661.0	1045411.0	1187959.0	1179936.0	1211949.0	1200132.0	1151512.0	1180500.0
HMP_2012__SRS055450__bin.3	1183900.0	1918132.0	1714958.0	1638575.0	1715408.0	1691350.0	1759195.0	1595767.0	1555750.0	1767520.0	1438498.0	1491523.0	1647459.0	1672857.0	1534891.0	1385879.0	1738928.0	1538453.0	1011761.0	1752117.0	1598865.0	1206419.0	1291436.0	1525723.0	1612923.0	1731570.0	1605755.0	1395644.0	1812218.0	1420026.0	1777483.0	1566063.0	1354006.0	1539580.0	1746945.0	1591858.0	989865.0	1766821.0	1383513.0	1757222.0	1620875.0	1753058.0	1787468.0	1717198.0	1743360.0
HMP_2012__SRS022725__bin.69	1142956.0	1714958.0	1917088.0	1586500.0	1680649.0	1640370.0	1738706.0	1546232.0	1498804.0	1716950.0	1401865.0	1454013.0	1597137.0	1642084.0	1488923.0	1362195.0	1704572.0	1497397.0	992956.0	1705882.0	1555185.0	1162032.0	1256877.0	1485234.0	1558327.0	1717033.0	1535950.0	1349257.0	1752501.0	1380231.0	1737140.0	1489427.0	1313768.0	1496290.0	1741454.0	1550814.0	969928.0	1734476.0	1339954.0	1708904.0	1588664.0	1732292.0	1781021.0	1674047.0	1696208.0
HMP_2012__SRS011126__bin.17	1135681.0	1638575.0	1586500.0	1749778.0	1636576.0	1615572.0	1640787.0	1481282.0	1472308.0	1670553.0	1419406.0	1462074.0	1601304.0	1596623.0	1494616.0	1368968.0	1612407.0	1437884.0	980928.0	1653018.0	1524861.0	1173411.0	1230155.0	1491994.0	1556284.0	1636943.0	1541875.0	1345553.0	1729445.0	1331451.0	1634127.0	1498099.0	1316111.0	1509388.0	1638723.0	1538559.0	961651.0	1650650.0	1330631.0	1664089.0	1565196.0	1661788.0	1676762.0	1621806.0	1654030.0
HMP_2012__SRS018665__bin.22	1177547.0	1715408.0	1680649.0	1636576.0	1916995.0	1684698.0	1738426.0	1565342.0	1538178.0	1758335.0	1455485.0	1502375.0	1664533.0	1736477.0	1544253.0	1391281.0	1713333.0	1512384.0	1046463.0	1738362.0	1576564.0	1217719.0	1298517.0	1544900.0	1606653.0	1720294.0	1582959.0	1415625.0	1749151.0	1413818.0	1733470.0	1533937.0	1372945.0	1542761.0	1736275.0	1593267.0	990595.0	1741731.0	1376508.0	1738509.0	1619490.0	1754384.0	1777880.0	1702073.0	1733936.0
HMP_2012__SRS013170__bin.26	1168587.0	1691350.0	1640370.0	1615572.0	1684698.0	1851560.0	1683241.0	1526085.0	1498849.0	1719356.0	1451403.0	1509434.0	1666310.0	1629762.0	1531952.0	1412481.0	1655759.0	1466129.0	1015090.0	1693130.0	1561587.0	1207324.0	1253415.0	1543403.0	1665406.0	1690367.0	1576473.0	1391841.0	1737581.0	1366416.0	1686619.0	1535608.0	1359450.0	1553008.0	1671230.0	1596355.0	978074.0	1688885.0	1371624.0	1687383.0	1606603.0	1682547.0	1713681.0	1648203.0	1692463.0
HMP_2012__SRS015989__bin.4	1170592.0	1759195.0	1738706.0	1640787.0	1738426.0	1683241.0	1903661.0	1610637.0	1552224.0	1784467.0	1448969.0	1487015.0	1649861.0	1692933.0	1539554.0	1391996.0	1743579.0	1522790.0	1023257.0	1771451.0	1606676.0	1208629.0	1294620.0	1541598.0	1620886.0	1751100.0	1582002.0	1394711.0	1796986.0	1430626.0	1769590.0	1559930.0	1356912.0	1551253.0	1789214.0	1600789.0	987191.0	1808381.0	1373521.0	1762052.0	1634681.0	1787869.0	1816593.0	1731591.0	1759898.0
HMP_2012__SRS065310__bin.4	1081719.0	1595767.0	1546232.0	1481282.0	1565342.0	1526085.0	1610637.0	1695476.0	1447972.0	1647943.0	1312445.0	1359586.0	1516601.0	1535626.0	1400384.0	1281962.0	1581707.0	1379044.0	936996.0	1634732.0	1494519.0	1100792.0	1197143.0	1384927.0	1464753.0	1565066.0	1430244.0	1259728.0	1617016.0	1305747.0	1612438.0	1395552.0	1229701.0	1432727.0	1605508.0	1455386.0	916032.0	1592241.0	1268509.0	1628907.0	1486250.0	1603865.0	1615378.0	1567778.0	1608282.0
HMP_2012__SRS013949__bin.36	1095812.0	1555750.0	1498804.0	1472308.0	1538178.0	1498849.0	1552224.0	1447972.0	1730409.0	1600626.0	1324434.0	1361647.0	1557594.0	1518643.0	1419596.0	1272569.0	1536629.0	1365070.0	933789.0	1595423.0	1475852.0	1125386.0	1181165.0	1399332.0	1447421.0	1530962.0	1433158.0	1268534.0	1567222.0	1279176.0	1552668.0	1385476.0	1233528.0	1422757.0	1549414.0	1460380.0	932732.0	1548791.0	1280363.0	1633006.0	1484891.0	1571673.0	1574868.0	1513987.0	1575564.0
HMP_2012__SRS015574__bin.2	1183341.0	1767520.0	1716950.0	1670553.0	1758335.0	1719356.0	1784467.0	1647943.0	1600626.0	1895088.0	1468985.0	1516359.0	1719860.0	1707885.0	1554180.0	1417008.0	1752777.0	1534191.0	1031048.0	1830080.0	1664180.0	1214892.0	1307208.0	1561457.0	1643206.0	1743415.0	1597462.0	1403807.0	1814980.0	1451968.0	1781050.0	1571365.0	1377357.0	1626843.0	1772077.0	1634405.0	1015246.0	1779500.0	1410122.0	1825020.0	1667622.0	1791092.0	1799199.0	1739405.0	1849433.0
HMP_2012__SRS017227__bin.77	1151336.0	1438498.0	1401865.0	1419406.0	1455485.0	1451403.0	1448969.0	1312445.0	1324434.0	1468985.0	1563170.0	1386238.0	1477152.0	1436336.0	1430264.0	1298713.0	1426518.0	1307633.0	948200.0	1451838.0	1384270.0	1150586.0	1127493.0	1400134.0	1411524.0	1463858.0	1418764.0	1281311.0	1467563.0	1196651.0	1445256.0	1417159.0	1244169.0	1424130.0	1473477.0	1449220.0	897492.0	1449246.0	1266487.0	1472112.0	1449230.0	1495378.0	1469610.0	1426953.0	1468809.0
