	HMP_2012__SRS017139__bin.61	HMP_2012__SRS019387__bin.29	HMP_2012__SRS023358__bin.10	HMP_2012__SRS014690__bin.13	HMP_2012__SRS013723__bin.11	ZeeviD_2015__PNP_Main_136__bin.7	HMP_2012__SRS065099__bin.18	CM_periimplantitis__SP_344SPT_T016__bin.14	HMP_2012__SRS022536__bin.42	CM_periimplantitis__SP_283SPT_T016__bin.10	HMP_2012__SRS019980__bin.27	HMP_2012__SRS024355__bin.50	HMP_2012__SRS011126__bin.8	HMP_2012__SRS024447__bin.9	HMP_2012__SRS011152__bin.29	CM_cf__CF_TNFC045IS_t2M15__bin.6	HMP_2012__SRS075410__bin.20	HMP_2012__SRS015044__bin.3	HMP_2012__SRS015985__bin.25	HMP_2012__SRS016092__bin.15	HMP_2012__SRS023938__bin.43	CM_periimplantitis__SP_164SPT_T016__bin.12	HMP_2012__SRS015470__bin.18	HMP_2012__SRS019591__bin.20	HMP_2012__SRS015989__bin.36	HMP_2012__SRS020226__bin.23	HMP_2012__SRS013949__bin.8	HMP_2012__SRS020340__bin.12	HMP_2012__SRS024021__bin.5	CM_periimplantitis__SP_161SPI_T016__bin.1	HMP_2012__SRS018665__bin.9
HMP_2012__SRS017139__bin.61	1.0	0.972083261771045	0.9733847245362436	0.974639599634654	0.9730108675252626	0.9698221569489751	0.9711423089107416	0.973643728703324	0.9694254422082694	0.968588879701412	0.9715754043939542	0.9919419949503941	0.9706829396660079	0.9740305887496685	0.9737626966739693	0.9742857090725302	0.9719525067186334	0.9724186798412975	0.9732205361808698	0.9706921001500962	0.9702895127046245	0.9752053700953672	0.9718843525583889	0.9710105637594245	0.973398954320864	0.9709397012096505	0.9616466942802037	0.9727250458309628	0.9721765067748401	0.9740699850081932	0.9829929691135717
HMP_2012__SRS019387__bin.29	0.972083261771045	1.0	0.9699632372300917	0.9716098822886085	0.9731448822553712	0.9666889059931904	0.9701928782835934	0.9714865270170011	0.968434536808569	0.967218772249031	0.968842343674561	0.969630401806766	0.9702914455461809	0.9692113526880064	0.9717800965872866	0.9700912973358343	0.9699830049944506	0.969415422023668	0.9699243654555297	0.970897265429884	0.9718348519888022	0.9742065844786236	0.9711657035801522	0.9986310216520091	0.9704663043160532	0.9916876771400254	0.9599998921175703	0.9703073951410146	0.9691328252288856	0.9713639090080126	0.9699970433389288
HMP_2012__SRS023358__bin.10	0.9733847245362436	0.9699632372300917	1.0	0.9715822121205459	0.9744136412719968	0.9688160807437659	0.9699502902138429	0.9720158102766798	0.968078259552339	0.9710246239260092	0.9860239324696206	0.9703294896382324	0.9698269171925374	0.9688670782903314	0.9735829376531364	0.9710221565018926	0.9702943834150969	0.9718300966753257	0.9729435610661168	0.9711352115459154	0.9720724277828863	0.9736132204194794	0.9707454757036144	0.9701180751477532	0.9730649811717108	0.9699113153114649	0.9602184533351403	0.9702714580112611	0.9704134055074567	0.971781571084563	0.9724911349235569
HMP_2012__SRS014690__bin.13	0.974639599634654	0.9716098822886085	0.9715822121205459	1.0	0.9734575536466076	0.9699767801476245	0.9705933062800842	0.9740128739453005	0.9697029563837306	0.9686800230304227	0.9715269404638689	0.9717645939674012	0.971357763779796	0.9721329169402153	0.9725355872448238	0.9745567890071686	0.9710727535246662	0.9726015025794355	0.9729889787522993	0.9704155796100004	0.9702900249323417	0.9760005894535861	0.9712561812905235	0.9716004823862153	0.9731568189276845	0.970665894597476	0.9616854226642241	0.9725703983516484	0.9719452513295206	0.9749263589199988	0.9739168037908188
HMP_2012__SRS013723__bin.11	0.9730108675252626	0.9731448822553712	0.9744136412719968	0.9734575536466076	1.0	0.9698578631942221	0.9708056494927392	0.9739796847175475	0.969321835767877	0.9715718802654296	0.9737262747093779	0.9704240441178843	0.9712295221916176	0.9710868046543123	0.9750040737297152	0.9721644217733688	0.9713055058934682	0.9725819123988653	0.9728773141063106	0.9753309986995291	0.988406953563205	0.9780205877659156	0.9805534773012213	0.9726879856763276	0.973075067371171	0.972523156294779	0.963298083587652	0.9724464803201638	0.971268583812071	0.973814010299798	0.9722420596865091
ZeeviD_2015__PNP_Main_136__bin.7	0.9698221569489751	0.9666889059931904	0.9688160807437659	0.9699767801476245	0.9698578631942221	1.0	0.973799537449048	0.9722245646453795	0.9716890040105767	0.9669899853514368	0.9688836853521811	0.9675866284332233	0.9734350054163279	0.9678656864281211	0.970626954436721	0.9689803643729128	0.9711675061953263	0.9702286560310894	0.969589612999879	0.9670173617633256	0.9672295701464336	0.9695795317081912	0.9686035271526774	0.9655706947566575	0.9693744099748043	0.9653978892077884	0.9607122543941882	0.9710582599024724	0.9681993289661667	0.9695726186883782	0.9720838421178043
HMP_2012__SRS065099__bin.18	0.9711423089107416	0.9701928782835934	0.9699502902138429	0.9705933062800842	0.9708056494927392	0.973799537449048	1.0	0.9726871609600629	0.9982392191253289	0.9688584739774344	0.9702705813819638	0.9685887777193429	0.9971408545964678	0.9697836058466579	0.9720320617810918	0.9695236250353818	0.9764764053628567	0.9722867042546472	0.9708696748953969	0.9687092900920645	0.9678825356369385	0.9719036221785883	0.9686939481481669	0.9689405817988175	0.9707731948692456	0.9687392395100595	0.9618795299395069	0.9799028797716048	0.9714007336490781	0.9700916532081523	0.9714561292461645
CM_periimplantitis__SP_344SPT_T016__bin.14	0.973643728703324	0.9714865270170011	0.9720158102766798	0.9740128739453005	0.9739796847175475	0.9722245646453795	0.9726871609600629	1.0	0.9716733180150764	0.9709156080564616	0.9725936118642116	0.9709829078727709	0.972384981319848	0.9711482608286548	0.9727322285066164	0.9729527951907095	0.9727901831652603	0.9731556295345871	0.9730154174338201	0.9716146495658177	0.9717202565333101	0.9750297847574073	0.9710952680097591	0.9710433473864847	0.9732832866093007	0.970019980687048	0.9612875275283536	0.97207198781498	0.9741487909857578	0.9742820866432239	0.9746967672525986
HMP_2012__SRS022536__bin.42	0.9694254422082694	0.968434536808569	0.968078259552339	0.9697029563837306	0.969321835767877	0.9716890040105767	0.9982392191253289	0.9716733180150764	1.0	0.9668753385013009	0.9686488989164759	0.9670764659547526	0.9966102519963448	0.9685575105695996	0.9706001053753772	0.9679680876224271	0.9754414050460861	0.9709565324137788	0.9696949818178637	0.9671616735053304	0.9659167058705231	0.9712657775712116	0.966953859520288	0.9670550346290345	0.969511436656142	0.9666583314389634	0.9603966777281184	0.9788034611083613	0.9697883582395387	0.968343090591302	0.9701963653689083
CM_periimplantitis__SP_283SPT_T016__bin.10	0.968588879701412	0.967218772249031	0.9710246239260092	0.9686800230304227	0.9715718802654296	0.9669899853514368	0.9688584739774344	0.9709156080564616	0.9668753385013009	1.0	0.9703755850104387	0.9656519879302172	0.9682341123980717	0.9671631044857065	0.9718656977799518	0.967506311987008	0.9683921646582924	0.9686786018210877	0.9702647785991734	0.9704702721509201	0.9685854810638028	0.9701958563009505	0.9703626334476313	0.9664921554818291	0.9705679241515548	0.96673997964215	0.9618803042690715	0.969648204271252	0.9676924470891993	0.9690687551264718	0.9685044675191092
