	VatanenT_2016__G78493__bin.3	VatanenT_2016__G80455__bin.6	NielsenHB_2014__V1_CD35_1__bin.21	AsnicarF_2017__MV_FEI2_t1Q14__bin.9	VatanenT_2016__G69181__bin.6	FerrettiP_2018__CA_C10019IS2329FE_t5M16__bin.3	BackhedF_2015__SID577_4M__bin.20	BackhedF_2015__SID157_12M__bin.1	VincentC_2016__MM016.2__bin.3	XieH_2016__YSZC12003_35704__bin.15	LiJ_2014__V1.FI23__bin.11	VatanenT_2016__G78904__bin.1	VincentC_2016__MM016.1__bin.11	BackhedF_2015__SID150_12M__bin.6	BackhedF_2015__SID577_B__bin.1	NielsenHB_2014__V1_CD35_0__bin.13	VatanenT_2016__G78674__bin.5	QinJ_2012__T2D-020__bin.19	VatanenT_2016__G78739__bin.5	BackhedF_2015__SID157_4M__bin.11	HeQ_2017__SZAXPI029480-66__bin.27	FerrettiP_2018__CA_C10032IS2559FE_t5M16__bin.11	BackhedF_2015__SID87_4M__bin.11	VatanenT_2016__G80482__bin.6	FerrettiP_2018__CA_C10019IS2329FE_t4M15__bin.2	VatanenT_2016__G80489__bin.1	VatanenT_2016__G78749__bin.3	BackhedF_2015__SID591_4M__bin.12
VatanenT_2016__G78493__bin.3	1.0	0.9957244349126381	0.9959463663145839	0.9994700707749921	0.9965848161328589	0.9985156075802415	0.9951560235685021	0.9950872511326831	0.9968637153506761	0.997330597213034	0.9959817798500498	0.9996474632039719	0.9965606482533588	0.999192254532041	0.9950735645195461	0.9960458506949798	0.9991238391288074	0.9959348076231955	0.99983237630681	0.9957321457316092	0.9947428691282263	0.9961624597957953	0.9951720465336169	0.9957264776130158	0.9986212392402902	0.9955055099948744	0.999861469849583	0.9990545661913331
VatanenT_2016__G80455__bin.6	0.9957244349126381	1.0	0.9969399061222023	0.994974617849749	0.9967805579162524	0.9946982770962343	0.9946736199442995	0.9987843191577781	0.9960736475023754	0.9990760356650233	0.994951721348769	0.994582036364875	0.9966752226439819	0.9944885969070005	0.9946486698365629	0.9970852897485832	0.995071312581169	0.9946078352826002	0.9948145815188921	0.9994183130780452	0.9936378899796993	0.9956377055121742	0.9942863563349452	0.9999542490573092	0.9971689557653067	0.9946258590713242	0.9948268146218749	0.9950406884650663
NielsenHB_2014__V1_CD35_1__bin.21	0.9959463663145839	0.9969399061222023	1.0	0.9952162398477278	0.9965147267400017	0.9946818365100641	0.9943318223065974	0.9965726018948281	0.9978619303930584	0.9993256504643581	0.9959475932053563	0.9950727901666246	0.9980248534983378	0.994526731866565	0.9942227169951935	0.9998560640361321	0.9952567016239917	0.9939427995718925	0.9948762690268993	0.9967543230214155	0.9935934769947583	0.9972299263874961	0.9935937062442913	0.9968368597904476	0.9975160316226593	0.9944405066153783	0.994933199242948	0.9948618996187198
AsnicarF_2017__MV_FEI2_t1Q14__bin.9	0.9994700707749921	0.994974617849749	0.9952162398477278	1.0	0.9954229694615578	0.9988201213869994	0.9937755372113091	0.9944938357820096	0.9957977784601832	0.9960957673159949	0.9961639836620754	0.9998488212639765	0.995418229023175	0.9993483034191979	0.9938032047090627	0.9952809685943853	0.9995311285282579	0.9945419564107943	0.999419359972394	0.9948006066093328	0.9938198808543642	0.9956677299263303	0.9947814451382694	0.9948429504841376	0.998830640838508	0.9944024045627485	0.9995245323992268	0.9997056345696982
VatanenT_2016__G69181__bin.6	0.9965848161328589	0.9967805579162524	0.9965147267400017	0.9954229694615578	1.0	0.9958248473733015	0.9958833600472901	0.9962591573724394	0.9967046773609821	0.9977526234582793	0.9952825347531209	0.9960802838276531	0.9966835059153605	0.9958595075891126	0.9958438121726053	0.9966456572601824	0.9956493872442669	0.9950929383323129	0.9959973467986185	0.996920453965887	0.9937488671794652	0.9956833768054091	0.9941822263084886	0.9967801998210755	0.9968111308102495	0.9946758311659979	0.9960860136388576	0.9965155896811253
FerrettiP_2018__CA_C10019IS2329FE_t5M16__bin.3	0.9985156075802415	0.9946982770962343	0.9946818365100641	0.9988201213869994	0.9958248473733015	1.0	0.9930416930968164	0.9940646223409184	0.9951767681522347	0.9963167050362826	0.9954319479007592	0.99856614114695	0.994918804618464	0.9987613781718536	0.9930656102263001	0.9948133822273572	0.9986756277448376	0.9940765882762342	0.9983746602289642	0.9946288480030372	0.9942174289566017	0.9947039254024366	0.9949629789707126	0.9946952693589841	0.9999302852329895	0.9938230106572884	0.9984541763745692	0.9991148975724613
BackhedF_2015__SID577_4M__bin.20	0.9951560235685021	0.9946736199442995	0.9943318223065974	0.9937755372113091	0.9958833600472901	0.9930416930968164	1.0	0.9932050597307553	0.9946825289765593	0.9955481041645401	0.993081536184318	0.9946635931079015	0.994421207799523	0.9946115485889299	0.9998924225359689	0.994352806683098	0.9948896769751024	0.9936510866695647	0.9945899368870516	0.9937889559474912	0.9935313178983392	0.9923358065738488	0.9933550723867993	0.9947069568181702	0.9951157752993179	0.9934699781380341	0.9947444413014013	0.9952761082976687
BackhedF_2015__SID157_12M__bin.1	0.9950872511326831	0.9987843191577781	0.9965726018948281	0.9944938357820096	0.9962591573724394	0.9940646223409184	0.9932050597307553	1.0	0.9955953926203911	0.998391742703496	0.9949324690739338	0.9940766197243227	0.9961884876770655	0.9938484497066996	0.9931443734921714	0.9965966520927464	0.994391002768818	0.9934780736999197	0.9942648637745288	0.9993996939511126	0.9925198055463853	0.9944177262494772	0.9939325356561475	0.9987252869070569	0.9965643971804587	0.9935688571671036	0.9943229082232705	0.9944602654653051
VincentC_2016__MM016.2__bin.3	0.9968637153506761	0.9960736475023754	0.9978619303930584	0.9957977784601832	0.9967046773609821	0.9951767681522347	0.9946825289765593	0.9955953926203911	1.0	0.998207691606414	0.9960940993309106	0.9959044892942622	0.9999169767620085	0.9954166142950046	0.9945697562359289	0.9979758943850957	0.9958065164335003	0.9944993626530017	0.9957757974622481	0.9960413585791229	0.9935788500205411	0.997198584621557	0.993303644939495	0.9960680035787155	0.9974745373946734	0.9947882823854196	0.9958320581339909	0.9957703416355485
XieH_2016__YSZC12003_35704__bin.15	0.997330597213034	0.9990760356650233	0.9993256504643581	0.9960957673159949	0.9977526234582793	0.9963167050362826	0.9955481041645401	0.998391742703496	0.998207691606414	1.0	0.9963874474451725	0.9961982506828959	0.998058832312976	0.9962751332352396	0.995546514185177	0.9991770727597025	0.996124673168075	0.9956868388154292	0.9964101545835405	0.998730092133876	0.9941820184398927	0.9972831333092167	0.9944635017514876	0.9990162872704749	0.9977552709134224	0.9958104848802021	0.9965626148111728	0.9964965242601097
