	HMP_2012__SRS024355__bin.7	HMP_2012__SRS052604__bin.13	HMP_2012__SRS023964__bin.38	HMP_2012__SRS049318__bin.4	HMP_2012__SRS014578__bin.11	HMP_2012__SRS075410__bin.46	HMP_2012__SRS018573__bin.18	HMP_2012__SRS013533__bin.28	HMP_2012__SRS015989__bin.20	HMP_2012__SRS058808__bin.10	HMP_2012__SRS017511__bin.54	HMP_2012__SRS024649__bin.22	HMP_2012__SRS045197__bin.16	HMP_2012__SRS018394__bin.45	HMP_2012__SRS019128__bin.33	HMP_2012__SRS063999__bin.48	HMP_2012__SRS019980__bin.50	CM_periimplantitis__SP_164SPI_T016__bin.6	HMP_2012__SRS051378__bin.14	HMP_2012__SRS047634__bin.29	CM_periimplantitis__SP_344SPT_T016__bin.39	HMP_2012__SRS022725__bin.54	HMP_2012__SRS023538__bin.3	HMP_2012__SRS015063__bin.29	HMP_2012__SRS021477__bin.33	HMP_2012__SRS015803__bin.3	HMP_2012__SRS023938__bin.8	HMP_2012__SRS053917__bin.10	CM_periimplantitis__SP_283SPT_T016__bin.3	HMP_2012__SRS016331__bin.40	HMP_2012__SRS022536__bin.51	HMP_2012__SRS024021__bin.13	HMP_2012__SRS019906__bin.37	HMP_2012__SRS016092__bin.16	HMP_2012__SRS017691__bin.49	HMP_2012__SRS015899__bin.2	HMP_2012__SRS016575__bin.50	HMP_2012__SRS020226__bin.18	HMP_2012__SRS024561__bin.24	LiuW_2016__SRR3993043__bin.53
HMP_2012__SRS024355__bin.7	1.0	0.973601684537667	0.9723442202652993	0.9752112021081458	0.973065003054613	0.9726103062746198	0.9730632190732268	0.9724914001477383	0.9720272492291377	0.9730192715877426	0.9760573193037995	0.974143123768643	0.9739134109940037	0.9749643384091822	0.973121503598818	0.9726196227859871	0.9726373055748785	0.972730069359737	0.9724691840535387	0.9739219598232068	0.9722879525725174	0.9742496876661496	0.9721924709750068	0.9723914990825749	0.9822666394402045	0.9724244759964008	0.9737769462209788	0.9743905648190234	0.9722426157118624	0.9713399518458252	0.9786136109797998	0.9721756314870562	0.9723853349677128	0.9738763705595053	0.9835104956323453	0.9720197052285023	0.9735279903342731	0.9685334721673835	0.972133092344842	0.9737515289057905
HMP_2012__SRS052604__bin.13	0.973601684537667	1.0	0.9673585297511492	0.9750852782624221	0.9693089268134135	0.9692577482897613	0.9670010764163084	0.9703876353763627	0.9670127809944691	0.9678895335567648	0.9719792161876175	0.9728909179326783	0.9715508129695382	0.973295114021424	0.9700194222200604	0.970046638944604	0.9694447808935133	0.9689172755714004	0.9665001510783038	0.9697986939392303	0.9720454021143549	0.9692706799518749	0.9664746349012315	0.9685556772632617	0.9694967084420675	0.9671438553354768	0.9692529603255072	0.9700511759349121	0.9688656482410014	0.9690166821878898	0.975288322742898	0.9676923076923077	0.9680522952490483	0.9693226989320995	0.9711461194334169	0.967299386552727	0.9700707280132927	0.9648093614782801	0.9678923008391621	0.971782240883835
HMP_2012__SRS023964__bin.38	0.9723442202652993	0.9673585297511492	1.0	0.9704539549385695	0.967769434047071	0.9678660175149018	0.9706298885065845	0.9672081183989464	0.9679842558967352	0.9783462251286779	0.9701155066199878	0.9687748184161157	0.9691648080379377	0.9708993882435278	0.9681343400396505	0.9678151562835017	0.967103540036249	0.9683497170611138	0.9671407345166178	0.9686550893241455	0.9666287479460693	0.9673286570256525	0.9683328839820101	0.9686777880493614	0.9685091656302385	0.9681709522705976	0.9703660794099747	0.9682873214479744	0.9670182878209579	0.9641115970326579	0.9724596183873561	0.9660607110741994	0.9658494539519331	0.971797518746284	0.970859346510255	0.9669394299014986	0.9692081492757245	0.9643204862660351	0.9662324934329539	0.9679936048814116
HMP_2012__SRS049318__bin.4	0.9752112021081458	0.9750852782624221	0.9704539549385695	1.0	0.9718517108225336	0.9715292202588767	0.9698278409930545	0.9730681630273543	0.9706853877455728	0.9712945982557813	0.9736742018078177	0.9748225996211941	0.9727981502137943	0.9741883298299763	0.9722824047062496	0.9717049194403811	0.9720849964012301	0.9717266721633534	0.969752277168854	0.9717786887663314	0.9721048769750037	0.9711019089838056	0.970484096466521	0.9716494205811559	0.9713044438085991	0.9701874271434856	0.9718777238697558	0.9712493459572463	0.9711254534280506	0.9717606427229236	0.9760974701368115	0.9701748441509394	0.9712941535891731	0.9724133623536984	0.9731447076948844	0.9711926874618547	0.9719997598740673	0.9670287635442162	0.9707168726377338	0.9734687078411371
HMP_2012__SRS014578__bin.11	0.973065003054613	0.9693089268134135	0.967769434047071	0.9718517108225336	1.0	0.9687786706536573	0.96929529468909	0.969159618847881	0.96851756181875	0.9693987102352559	0.9715738199008273	0.9701208784254162	0.9701545393733876	0.985580919111004	0.9734396420200769	0.9716967411643214	0.9765362455175393	0.9696415271146556	0.9669424456019917	0.9691911089474791	0.9679277803774762	0.9691135867781361	0.9682658808897444	0.9703203563547392	0.9694529074034971	0.9690353887548683	0.971144639270234	0.9706274756821749	0.9678937323978021	0.9660706624264436	0.9735102023876002	0.9673646339608624	0.9747970365620455	0.9709476904648208	0.9709994925078127	0.9674894878877529	0.9699690223317703	0.9642173021476134	0.9675779923722522	0.9696425295152451
HMP_2012__SRS075410__bin.46	0.9726103062746198	0.9692577482897613	0.9678660175149018	0.9715292202588767	0.9687786706536573	1.0	0.9684609449299287	0.9670077567698594	0.9700730621232796	0.9689581458891982	0.9716825707041968	0.9698797057281257	0.9702137021904834	0.9715638372669877	0.9688557794288981	0.9676704205658645	0.9683001119570621	0.9694644436794686	0.9697356731367736	0.9687341091924061	0.9678579659302601	0.967975228102	0.9691828360408186	0.9697031266236837	0.9678363536379233	0.9693720775389674	0.9705019790045399	0.9690692380619224	0.9683511565199846	0.965884624064507	0.9724052660287072	0.9674340756409066	0.967154857764475	0.9702689992475546	0.9715237657086128	0.9679474786230681	0.9708437866618537	0.9647880764604522	0.9688348277784435	0.9691854036738007
HMP_2012__SRS018573__bin.18	0.9730632190732268	0.9670010764163084	0.9706298885065845	0.9698278409930545	0.96929529468909	0.9684609449299287	1.0	0.9673755707495048	0.9708010593418672	0.9719472457073409	0.9720753039835255	0.9691394331507555	0.9698269069532368	0.9719790719868225	0.9684945417459254	0.9680015505657987	0.9679112068700519	0.9689877512158188	0.968772201518789	0.9687658963554253	0.9661658282058537	0.9686629076282144	0.969243045668535	0.9692968652143256	0.9696094979492322	0.9691181342260994	0.9728054804137612	0.9700507138379032	0.9682524428225886	0.9651953848563235	0.9724333635690331	0.9684165536944781	0.9676749035972456	0.9732380816574916	0.9719748514487715	0.9683723445249668	0.9695944278033577	0.9643406698994127	0.9681635910612785	0.9682298995404208
HMP_2012__SRS013533__bin.28	0.9724914001477383	0.9703876353763627	0.9672081183989464	0.9730681630273543	0.969159618847881	0.9670077567698594	0.9673755707495048	1.0	0.9674793701547967	0.968262580057423	0.9711359735890135	0.9715787341772152	0.9715821374114804	0.9724358852211544	0.9688506688754909	0.9684705642661171	0.9692724530306364	0.9687691531167755	0.966920892001821	0.9689850885139933	0.9706068134922305	0.9686279738426534	0.965562853570844	0.969037668175241	0.9682348391690521	0.9668749521745865	0.9678711991140034	0.9695999331028826	0.9671020211669092	0.9678890906208378	0.9738226002324166	0.9670582520656821	0.967162661899504	0.9692652107931246	0.9706199225460792	0.968067851376125	0.9690992249459265	0.965803883623249	0.967277333185438	0.9721489389819358
HMP_2012__SRS015989__bin.20	0.9720272492291377	0.9670127809944691	0.9679842558967352	0.9706853877455728	0.96851756181875	0.9700730621232796	0.9708010593418672	0.9674793701547967	1.0	0.9700092952731721	0.9705796525612765	0.9687573277998599	0.9687247534344168	0.9718648028225904	0.9685038304073235	0.967041249194143	0.9683701263805369	0.9686440964986311	0.9704202630165158	0.9689107763538914	0.9666073898439044	0.9678240110205647	0.9707412788822972	0.9688620531056116	0.9687792132135019	0.9696903940692915	0.9705304544602377	0.9690516157875646	0.9671450317753992	0.9641807614445242	0.9726908333017045	0.966985849442742	0.9663689660037366	0.9712635459998117	0.9711444371307946	0.9664430255750835	0.9699440578000118	0.9652504356750126	0.9720782661922878	0.9678859296791165
HMP_2012__SRS058808__bin.10	0.9730192715877426	0.9678895335567648	0.9783462251286779	0.9712945982557813	0.9693987102352559	0.9689581458891982	0.9719472457073409	0.968262580057423	0.9700092952731721	1.0	0.9722279221922175	0.9696228794532675	0.9700447435742718	0.971984708319958	0.9691615531342198	0.9690245636475402	0.968362327812223	0.9685330085354709	0.9699276922998343	0.969703560115361	0.9675524213211298	0.9686666753017499	0.9698063518194773	0.9691122934941905	0.9697691306149492	0.9690563609267037	0.9715817626936749	0.9702927417586433	0.9678543247596318	0.966485550901353	0.9739858159724484	0.9677377792152849	0.9670869199215614	0.9721464628746505	0.9714943912428919	0.9678631858358214	0.9702284347967434	0.9651457417358736	0.9687494826631612	0.9689535550391257
