	XieH_2016__YSZC12003_35387__bin.21	NielsenHB_2014__V1_UC50_1__bin.32	ZeeviD_2015__PNP_Main_123__bin.25	ZellerG_2014__CCIS81710917ST-20-0__bin.55	YuJ_2015__SZAXPI015225-18__bin.48	LiJ_2014__MH0382__bin.26	RaymondF_2016__P21E90__bin.27	VogtmannE_2016__MMRS80093644ST-27-0-0__bin.27	ZellerG_2014__CCIS87167916ST-4-0__bin.6	KarlssonFH_2013__S347__bin.32	LouisS_2016__AS60_6__bin.21	Obregon-TitoAJ_2015__NO22__bin.52	VogtmannE_2016__MMRS15137911ST-27-0-0__bin.27	LouisS_2016__AS50_6__bin.15	LiJ_2014__MH0348__bin.42	LiJ_2014__V1.FI26__bin.52	LiJ_2014__MH0343__bin.58	VogtmannE_2016__MMRS55294627ST-27-0-0__bin.38	NielsenHB_2014__V1_UC26_4__bin.30	YuJ_2015__SZAXPI003413-4__bin.66	LeChatelierE_2013__MH0433__bin.72	KarlssonFH_2013__S144__bin.55	XieH_2016__YSZC12003_37199__bin.48	ZellerG_2014__CCMD25511638ST-21-0__bin.43	XieH_2016__YSZC12003_37297R1__bin.8	ZellerG_2014__CCIS90166425ST-4-0__bin.57	ZellerG_2014__CCIS33816588ST-4-0__bin.26	YuJ_2015__SZAXPI017584-108__bin.17	ZellerG_2014__CCIS17669415ST-4-0__bin.25	ZellerG_2014__CCMD12232071ST-21-0__bin.2	GeversD_2014__SKBSTL024__bin.11	XieH_2016__YSZC12003_36699__bin.14
XieH_2016__YSZC12003_35387__bin.21	1.0	0.9895833867273689	0.9900742104220791	0.9897249771668809	0.9899681810665031	0.9893419688580235	0.9883397743722575	0.9898208392709817	0.9900957700587654	0.989648746663958	0.9893326167165662	0.9895874188925178	0.989846115235312	0.9893422267389017	0.9899002459054423	0.9884550268687057	0.9872414927927335	0.9869286043838117	0.9886890999089152	0.9879090653996162	0.9912025489908399	0.9887611377704382	0.9889002602871745	0.9899857171133515	0.9900370849483455	0.9881593413130905	0.9884341311463413	0.989193696703849	0.9899024936858501	0.9886093178700635	0.9899829696004122	0.9889896660819206
NielsenHB_2014__V1_UC50_1__bin.32	0.9895833867273689	1.0	0.9894162279135578	0.9895560563851338	0.989919175641503	0.9892619357918977	0.9890790932907078	0.9895170794154801	0.9897204899277671	0.9895443209021829	0.9896247717871745	0.989875059297123	0.9899168766656393	0.988991679541351	0.989033081035015	0.9893702209735256	0.9875057822750671	0.986689702223917	0.9888409495711943	0.9876105843328484	0.9915312907536508	0.9880866166234169	0.9891793064395408	0.9896485167090536	0.9908556537494824	0.987943834283331	0.988187511038463	0.9898487356686227	0.9897378690126517	0.9878755469876557	0.9894345922983155	0.9884037893851998
ZeeviD_2015__PNP_Main_123__bin.25	0.9900742104220791	0.9894162279135578	1.0	0.9896603443088217	0.9898290910416362	0.9891472406188755	0.9895616167383224	0.9897699693208197	0.9898120439796914	0.9894400722352173	0.9894297318205965	0.9901280553981032	0.9897029456845922	0.9892486223242454	0.9897602604177943	0.9886598904028916	0.9883205210739576	0.9857012220467204	0.9893292306580639	0.9877100894587623	0.9914689442018118	0.9883371081859748	0.9886956640342621	0.9893737281107686	0.9897274967123237	0.9886544116622301	0.9885024594249063	0.9891665483081816	0.9898765204461469	0.988331686527205	0.9895049277927279	0.9884701140206618
ZellerG_2014__CCIS81710917ST-20-0__bin.55	0.9897249771668809	0.9895560563851338	0.9896603443088217	1.0	0.9898386528470453	0.9894273127753304	0.9884100696270901	0.9898218817656613	0.9895497227934492	0.9891010993054312	0.9892418721309924	0.9893296888173974	0.9892774071699699	0.9892797769690876	0.988138270773367	0.9887268342067277	0.9872756033631707	0.9869659108437452	0.9888035081398564	0.988078533286688	0.9911202034408786	0.9880246712525335	0.9888604704459164	0.9899426339558159	0.9903801097735881	0.9881469111906424	0.987291457544163	0.988616383466398	0.9895659659630199	0.9878172250583553	0.9886683664857278	0.9882928323431595
YuJ_2015__SZAXPI015225-18__bin.48	0.9899681810665031	0.989919175641503	0.9898290910416362	0.9898386528470453	1.0	0.9896020572639094	0.9890814030653711	0.9900162173725466	0.9895797091162127	0.990103197977115	0.9901024388786046	0.9903234897330855	0.9898299569749354	0.9907454451123878	0.9888254541531996	0.9885808419804684	0.9879154291183965	0.9867302956307046	0.9890075971045373	0.988649842912554	0.9911261818570621	0.9887016917925397	0.989326650572654	0.9899338604539663	0.9903859934803756	0.988668817525942	0.9887245349933804	0.9913779882379897	0.988954822765711	0.9884072108794051	0.9898489358158704	0.9879875464418053
LiJ_2014__MH0382__bin.26	0.9893419688580235	0.9892619357918977	0.9891472406188755	0.9894273127753304	0.9896020572639094	1.0	0.9890088997962869	0.9899364319725424	0.9895341900124517	0.9892920013708063	0.9893030575917993	0.9895938747064327	0.9892264756730057	0.988734998729235	0.98841018403776	0.9888265388523089	0.9867039577822017	0.98612621591782	0.9893412484562704	0.9871047383170203	0.9915727121679699	0.9878207887978883	0.9888492632873397	0.9891150687592402	0.9899010289262973	0.9871227039976014	0.9862110487186367	0.98940301959554	0.9894925928565571	0.9876627799010033	0.9890667373131539	0.9884406324139068
RaymondF_2016__P21E90__bin.27	0.9883397743722575	0.9890790932907078	0.9895616167383224	0.9884100696270901	0.9890814030653711	0.9890088997962869	1.0	0.9880778723825195	0.9890435066860266	0.9897630166389921	0.9890657562991115	0.9900296088650128	0.988928662426862	0.9891552405332729	0.9878521375359964	0.9883482653597362	0.9873192670992462	0.9862449741591233	0.9889383898168913	0.9872613505828206	0.991311736880132	0.9882319600961009	0.9884763607375506	0.9884251932457158	0.9904004541002582	0.9878020917269786	0.988140357855487	0.9883657824316736	0.9896204562321491	0.987516169700855	0.9889216524517787	0.988029885618907
VogtmannE_2016__MMRS80093644ST-27-0-0__bin.27	0.9898208392709817	0.9895170794154801	0.9897699693208197	0.9898218817656613	0.9900162173725466	0.9899364319725424	0.9880778723825195	1.0	0.9892224451565664	0.9893067420193377	0.9888390107326178	0.9896845323609915	0.9878668378659771	0.9891532639545885	0.9882330015660993	0.9887289826071833	0.986466020373821	0.9872577999063546	0.9890283694035034	0.9867311452837589	0.9914722080412468	0.9878599338962594	0.988794922263951	0.9877846543990771	0.9902829673815693	0.9872364695160387	0.9857270482847709	0.9891292047777591	0.9900740526238005	0.9872257247201576	0.9893921067567005	0.9879893533310613
ZellerG_2014__CCIS87167916ST-4-0__bin.6	0.9900957700587654	0.9897204899277671	0.9898120439796914	0.9895497227934492	0.9895797091162127	0.9895341900124517	0.9890435066860266	0.9892224451565664	1.0	0.9896230021856073	0.9895324569675952	0.9903838920732875	0.989974747613778	0.989144619291557	0.9891943989277302	0.9891791185553953	0.9870799132918905	0.9875617721995178	0.9890491109467694	0.987770151031186	0.991632505451955	0.9882778500543761	0.9890108847667473	0.9895116628725215	0.990475034312388	0.9879142808673335	0.9875068431199867	0.989457953190596	0.9902623084378239	0.9880695082053593	0.9895215126374687	0.9886665281193882
KarlssonFH_2013__S347__bin.32	0.989648746663958	0.9895443209021829	0.9894400722352173	0.9891010993054312	0.990103197977115	0.9892920013708063	0.9897630166389921	0.9893067420193377	0.9896230021856073	1.0	0.9899107070270743	0.9903026592682479	0.9891876493601603	0.9893373919968588	0.989020537648738	0.9886072763328503	0.98789000549427	0.9859937648218711	0.9892765358074601	0.9873201297947946	0.9912434325744308	0.9878788101107329	0.9886346193472476	0.9892897885007128	0.9902636654761575	0.9881647648921448	0.9878106407199777	0.9890788764300588	0.98916494999878	0.9876831409374526	0.9898101845589937	0.9874718381158042
