	BritoIL_2016__W2.5.ST__bin.78	CosteaPI_2017__SID713B046-11-90-0__bin.66	BritoIL_2016__WL.37.ST__bin.29	XieH_2016__YSZC12003_36696__bin.110	RampelliS_2015__H14__bin.28	BritoIL_2016__W1.9.ST__bin.81	LeChatelierE_2013__MH0426__bin.42	NielsenHB_2014__MH0094__bin.25	KarlssonFH_2013__S577__bin.22	RampelliS_2015__H4__bin.4	LeChatelierE_2013__MH0267__bin.49	CosteaPI_2017__SID713B046-11-0-0__bin.35	ZeeviD_2015__PNP_Validation_68__bin.20	BritoIL_2016__W2.7.ST__bin.26	LiJ_2014__MH0346__bin.53	BritoIL_2016__M1.15.ST__bin.37	RampelliS_2015__H3__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.14	LeChatelierE_2013__MH0094__bin.24	LiJ_2014__MH0402__bin.29	CM_madagascar__A79_02_1FE__bin.22	XieH_2016__YSZC12003_37406__bin.2	ZellerG_2014__CCIS07648107ST-4-0__bin.16	XieH_2016__YSZC12003_35723__bin.27	ZeeviD_2015__PNP_Main_729__bin.23	ZeeviD_2015__PNP_Main_443__bin.2	BritoIL_2016__W1.2.ST__bin.8	WenC_2017__RA025__bin.37	ZellerG_2014__CCIS05314658ST-4-0__bin.73	ZeeviD_2015__PNP_Main_502__bin.13	BritoIL_2016__W2.11.ST__bin.19	CM_madagascar__A08_01_1FE__bin.48	LeChatelierE_2013__MH0250__bin.57
BritoIL_2016__W2.5.ST__bin.78	1.0	0.9816120063542371	0.9998430691846557	0.97974548532244	0.9543772529312365	0.9994562387654427	0.9789789496209541	0.9785536004853967	0.9820879590760271	0.9545680606984851	0.9790543506029857	0.9806678477306316	0.9803290139451846	0.9998319149120752	0.9808900679992919	0.9794625482692416	0.9541014605680607	0.9522160450418176	0.9788651003497914	0.9802620446900762	0.9556668813885555	0.9799774710702848	0.9800743897927622	0.9787533289778859	0.9793467966148299	0.9791680892469998	0.9998986885799516	0.9762643380695574	0.980149373224685	0.9794245596857998	0.9995741751603048	0.9538988534183358	0.9792945888297819
CosteaPI_2017__SID713B046-11-90-0__bin.66	0.9816120063542371	1.0	0.9807469091760997	0.9819991836848663	0.9562705820107813	0.9812523237297529	0.9803824798483086	0.978903433239733	0.9811995425569257	0.9557730596423223	0.9812152408251116	0.9994201659925844	0.9816999190877538	0.9811854671770287	0.9812830929115847	0.9814881023658416	0.9564625777262139	0.9550285459600569	0.9794163253152054	0.9824659826120441	0.9564631712677364	0.9817178774342902	0.9818866293806251	0.978881002621651	0.9813111708661046	0.982288664150744	0.9810786318735703	0.9767168953615624	0.9816769428197236	0.9816599347064818	0.9815132906361774	0.9556092513673399	0.9817956265276412
BritoIL_2016__WL.37.ST__bin.29	0.9998430691846557	0.9807469091760997	1.0	0.9788307271987444	0.952545078148881	0.9991649256053495	0.9783670733420757	0.9780155602423126	0.9815634898668388	0.9535510991018248	0.978432729528251	0.9797780140728632	0.9795751801586627	0.9998302119397917	0.9803795334007787	0.9788165232870751	0.9525316455696202	0.9505060409005025	0.9785277120772475	0.9793162244956939	0.9542813257182416	0.9794938857062192	0.979583004723441	0.9779128978477183	0.9790464202156679	0.9785857857032417	0.9998797147051507	0.9752073883981858	0.9800594228009694	0.9783858205172818	0.9992930164161589	0.9526587040633746	0.9792967670836964
XieH_2016__YSZC12003_36696__bin.110	0.97974548532244	0.9819991836848663	0.9788307271987444	1.0	0.9559894247158266	0.9808849300611011	0.9797457470206702	0.9783301162134896	0.9806422514150579	0.955237953674968	0.981824589596731	0.9809792363089763	0.9815011457381728	0.9808990125833245	0.9814502350856401	0.9810373160642012	0.9558150450921851	0.9540174215079248	0.9789333444030461	0.9810235004584278	0.9567269649158594	0.9815962500158537	0.9818177018458788	0.978556101002381	0.9798922943897381	0.981132335150505	0.9801597974843762	0.9764764222522924	0.9820566662034885	0.9810571673604284	0.9809633731687816	0.9549671264702475	0.9816349197094583
RampelliS_2015__H14__bin.28	0.9543772529312365	0.9562705820107813	0.952545078148881	0.9559894247158266	1.0	0.9551883029659454	0.9559857896617687	0.9562717781664286	0.9547565909323912	0.9748233734379608	0.955612010060091	0.9552680704149019	0.9557987969280626	0.9551593884412698	0.9557912974679583	0.9546349143869317	0.9742564646173156	0.9717538010307227	0.9560908198698173	0.9550505690539713	0.9750413670309482	0.9558724899248475	0.9560272852648009	0.9554501198964203	0.9561351028399374	0.95538227790041	0.9549559077153363	0.9546260510719642	0.9558794917950504	0.9559359865410162	0.9561963979012581	0.974535094577502	0.9556477526880213
BritoIL_2016__W1.9.ST__bin.81	0.9994562387654427	0.9812523237297529	0.9991649256053495	0.9808849300611011	0.9551883029659454	1.0	0.9801434393507044	0.9788899218293959	0.9818501318728469	0.9552299902878326	0.9809184468603438	0.9807730347444819	0.98086418231248	0.9992713422688253	0.9806780224038976	0.9800777571176741	0.9557207566331539	0.9548043209347514	0.9788817867515094	0.9810713096317107	0.9571104719943677	0.9804339429776348	0.9809638807223855	0.9791824090627054	0.979797284624367	0.9807210847854633	0.9993067539548944	0.9771245111183882	0.9811209594500274	0.9803452997878797	0.9991028186378885	0.9558892560815744	0.980774311940577
LeChatelierE_2013__MH0426__bin.42	0.9789789496209541	0.9803824798483086	0.9783670733420757	0.9797457470206702	0.9559857896617687	0.9801434393507044	1.0	0.976964657573351	0.9797771475455894	0.9552713042641006	0.9795565236420636	0.9793426483033246	0.9794766474871887	0.9797860982707944	0.9806835578771939	0.9789345056755807	0.9561707914060376	0.9545670416588113	0.977439398236089	0.9800950870272288	0.9566447502691194	0.9799019044188702	0.9801045243843006	0.9773895595097005	0.9791234829011618	0.9794976552409063	0.9793491851651117	0.9748225561648155	0.9808719861843651	0.9790403113348846	0.9801013524908091	0.9552786099281441	0.979580820610481
NielsenHB_2014__MH0094__bin.25	0.9785536004853967	0.978903433239733	0.9780155602423126	0.9783301162134896	0.9562717781664286	0.9788899218293959	0.976964657573351	1.0	0.9789571439884239	0.9555980119381764	0.9779812711378175	0.9784898195531596	0.9783509156602864	0.9784878848499348	0.9785583284522243	0.9774990161569301	0.9560657089088829	0.9545370861398332	0.9996994675663374	0.9785650078486149	0.9567839835129074	0.978993839174385	0.9788760716493273	0.9848818469829406	0.9779303626262998	0.9783229754796431	0.9780595089635064	0.9804048746387621	0.9788373713248867	0.9773498174540417	0.9787683812618394	0.955338823610283	0.9781570807451164
KarlssonFH_2013__S577__bin.22	0.9820879590760271	0.9811995425569257	0.9815634898668388	0.9806422514150579	0.9547565909323912	0.9818501318728469	0.9797771475455894	0.9789571439884239	1.0	0.9533412411801828	0.9801752331329645	0.9808535293473011	0.9806964386862429	0.9819514316256093	0.9802001533473317	0.9797642916828222	0.9549057431802228	0.9532417474513029	0.9790620267778161	0.9803471857562304	0.9554821712875682	0.9804538730610177	0.9808419884589581	0.9788203023469645	0.9797609656122095	0.9802531858754842	0.9817223639220765	0.9777420463051676	0.980557580878067	0.9795986789074593	0.9819246052565547	0.9542990094048924	0.9799618368249676
RampelliS_2015__H4__bin.4	0.9545680606984851	0.9557730596423223	0.9535510991018248	0.955237953674968	0.9748233734379608	0.9552299902878326	0.9552713042641006	0.9555980119381764	0.9533412411801828	1.0	0.9546112122693624	0.9549864311147043	0.9553066883556517	0.9549509825200309	0.9551089844354115	0.9545783661571807	0.975322576408621	0.9719539892494817	0.9553902494101014	0.9546492827119707	0.9741900398865837	0.9548331943086539	0.9555667856494285	0.9547222119996566	0.9555452010675891	0.9551432929826809	0.9549501023995833	0.9539569611150636	0.9555395369939229	0.9553723760850117	0.9558043519015046	0.9738765770060084	0.9549182322593206
