	QinN_2014__LD-44__bin.36	BackhedF_2015__SID582_12M__bin.30	HeQ_2017__SZAXPI029475-44__bin.13	QinN_2014__LD-91__bin.21	XieH_2016__YSZC12003_36212__bin.18	VatanenT_2016__G80274__bin.12	VogtmannE_2016__MMRS81194191ST-27-0-0__bin.33	LiJ_2017__nHM612709__bin.42	BackhedF_2015__SID504_12M__bin.16	QinN_2014__LD-21__bin.7	LomanNJ_2013__OBK2535b__bin.9	QinN_2014__LD-78__bin.30	VatanenT_2016__G78889__bin.6	VatanenT_2016__G80445__bin.7	VatanenT_2016__G80267__bin.3	QinN_2014__LD-63__bin.9	GeversD_2014__SKBSTL021__bin.6	QinN_2014__LD-36__bin.6	BackhedF_2015__SID180_12M__bin.10	BackhedF_2015__SID195_12M__bin.33	QinJ_2012__CON-060__bin.43	BackhedF_2015__SID526_12M__bin.22	BackhedF_2015__SID256_12M__bin.21	CosteaPI_2017__alien-11-600-0__bin.10	NielsenHB_2014__V1_UC14_1__bin.34	BackhedF_2015__SID275_12M__bin.27	VatanenT_2016__G78672__bin.6	QinJ_2012__T2D-016__bin.32	QinN_2014__LV-10__bin.11	QinJ_2012__T2D-101__bin.23	Obregon-TitoAJ_2015__NO01__bin.15	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.64	VatanenT_2016__G69175__bin.1
QinN_2014__LD-44__bin.36	1.0	0.8850778998162308	0.8617865315210154	0.5584800474548003	0.7947661642913528	0.8772752005973636	0.5253625196100785	0.662169785354235	0.7859519620070909	0.5353045001212714	0.749103636596517	0.8681862074040025	0.8827719271790465	0.8983273636333081	0.7564889261534632	0.8521157083201237	0.5873744250965401	0.5188311257706636	0.916992252258963	0.7464810866640565	0.8725637855558998	0.7092139889920125	0.8806108442939327	0.46240179063748765	0.8826651902143551	0.6384378432047615	0.8716185956685686	0.8714169309352793	0.8962048877354232	0.6563392218829854	0.8446450291914244	0.8474687896573244	0.9114523766915538
BackhedF_2015__SID582_12M__bin.30	0.6933844538936431	1.0	0.8350362054548366	0.5461479886846834	0.7301190243208141	0.8509666055829345	0.47794047004821466	0.6402255946768196	0.7362919209351149	0.49541551764015157	0.6915804081342182	0.8269831159819951	0.8645410713968011	0.8560385717081502	0.6936175209493479	0.8350561317985304	0.5787770206557902	0.4950056042841639	0.8792303449748252	0.7122152045118936	0.8534495703382141	0.6795484548187948	0.8353770882630277	0.4601544291636273	0.8499546319853399	0.6560673937409931	0.8125447008379739	0.8045357339833117	0.8199619264504421	0.5984400519508246	0.7994182219296528	0.8042226057252655	0.8670998274236305
HeQ_2017__SZAXPI029475-44__bin.13	0.7332536458381641	0.9069163489987664	1.0	0.5776732797239768	0.7754509183771267	0.9310803645683581	0.5121861580270273	0.6900063688162967	0.7904624657212376	0.530163378687962	0.7562714290572606	0.8952944186290969	0.889693492986573	0.899414053442407	0.7280577274455791	0.8925710540390971	0.5947701506565136	0.5461565275729554	0.9552378103638572	0.7659139251385836	0.9046509363087454	0.7395726091432705	0.8920613168609774	0.47785251861951267	0.8908180837282927	0.6903773678238744	0.8596823784746376	0.872174997140216	0.8856190736773113	0.646627696312579	0.8623555036156945	0.8392530862479943	0.923244942819778
QinN_2014__LD-91__bin.21	0.7005717541485649	0.8745058044298839	0.8516726728865466	1.0	0.6597399045652019	0.8717202478455951	0.7540898796382024	0.5251192934976141	0.8201227832775443	0.6939272131614558	0.6595809415283812	0.8698953066020939	0.8756515917669682	0.8713219856135603	0.6057597037248059	0.8947368421052632	0.8109376825012463	0.7717154048856919	0.8747690335446193	0.6589063457018731	0.8741155188376897	0.5985590769888185	0.8586801509863969	0.7018542838829144	0.8624280321914394	0.840141300477174	0.8221984189160316	0.7871382380172353	0.8625140659497187	0.5986046577879068	0.8057585642048287	0.8562672174346556	0.8782890107542198
XieH_2016__YSZC12003_36212__bin.18	0.6610080942341567	0.7751191545157455	0.7579964891112964	0.43741653895277	1.0	0.7747470622655772	0.3860466539462744	0.7027428676337539	0.6610447368212291	0.41254302198593	0.7357476391030046	0.7464427414245958	0.804645146764894	0.9056914248413319	0.8043958260693497	0.7351987558141775	0.47159122889793076	0.40003467824219846	0.8689917962158407	0.7508912270469135	0.762596078185459	0.7416157416554063	0.8091434965263206	0.35543649443013786	0.81723697516577	0.5629245770897702	0.8253893841514389	0.8127110490243816	0.7666520725916093	0.5874074916335907	0.7770011480084754	0.7539862034993293	0.8423881447253752
VatanenT_2016__G80274__bin.12	0.7277952574918892	0.9011421056796302	0.9078330890360116	0.5765082690561332	0.7727978386281167	1.0	0.5166277926198344	0.6969550128680003	0.7915297282836009	0.5342330257322325	0.7434384502632005	0.89420506656317	0.9059629898977719	0.9139550919977241	0.7358992716297332	0.8887153477751359	0.5987060406123887	0.5401338422756201	0.9379924412273397	0.7636877465738714	0.9164480551044324	0.7555532109711478	0.8986823016952601	0.4800860629947963	0.8951452030431031	0.6887952311153146	0.871849412367599	0.8755481617411554	0.8758688255264953	0.6397234981366834	0.8517919114349987	0.8552966045812342	0.9247521544009315
VogtmannE_2016__MMRS81194191ST-27-0-0__bin.33	0.7737202792057286	0.8984752049392791	0.8865397286205939	0.8853256452535361	0.6835924827168711	0.9171266024729842	1.0	0.5190918790197698	0.8605549999832771	0.7859587746788365	0.6576264837403133	0.8918582833596997	0.9163807606249017	0.9221080233184277	0.64090691693061	0.9103263977845487	0.8691472318564772	0.8286236040549716	0.9128227939971437	0.6513727837961678	0.9027763377492968	0.5909268171951664	0.9129324962958751	0.8126853316655016	0.8939546675317986	0.8929285496887867	0.8668662267426109	0.819888224060256	0.9546628493834263	0.625976032723393	0.82480609784241	0.9325136877029744	0.9109899629085826
LiJ_2017__nHM612709__bin.42	0.6848004734806228	0.8451525777215154	0.838674160311708	0.4329200555212397	0.8738235204317693	0.8688125171742413	0.36451384860363145	1.0	0.6954608333352905	0.38864585951059577	0.7723680842119107	0.8603762949671546	0.8292209881559386	0.8628564315625565	0.8324907288454447	0.8175464966896283	0.46743059257884884	0.387628909561913	0.9120166845552782	0.8433929959627322	0.8570915231467673	0.8530016463785544	0.8401443928010277	0.31852657339536805	0.8657114069843089	0.5603488161810124	0.8223371999351783	0.8730808886216688	0.833402930600799	0.6299119504536348	0.8189951219283063	0.7808202769955588	0.884102935063166
BackhedF_2015__SID504_12M__bin.16	0.7666743168246468	0.9167952277192103	0.9062366805285166	0.6377475926370626	0.7753153031810774	0.9306979868269596	0.5699918565692852	0.6559834721142881	1.0	0.6002257830409289	0.7471265386343316	0.9080310708655696	0.9231167984177465	0.9257986366177913	0.7363783620450556	0.9131191643546354	0.6700709869678525	0.5952276305983871	0.9434713876707218	0.757728062581246	0.9152166072819461	0.7178660135381213	0.9308924898783093	0.5241307840289513	0.9143557429795032	0.7063296343785694	0.8899303244878013	0.8743244452675503	0.9140207901165867	0.6672943340685165	0.8521121081915469	0.9122383623817807	0.92875782996623
QinN_2014__LD-21__bin.7	0.7683490514989954	0.9076839729472832	0.8943610184276097	0.7940111898214609	0.7119664070659381	0.9243044173847736	0.7660066471346781	0.5394075470664856	0.8831966224523989	1.0	0.6965774688472607	0.9070398606422608	0.9333376361078406	0.9186547440696684	0.6543294386704688	0.9260274829942616	0.8098669138806202	0.7487948971702086	0.9396548914070986	0.7033295651459619	0.9121419081109907	0.6443411343939021	0.9419920802871645	0.6982092634823528	0.929442973243262	0.8362950764524798	0.8915159717685838	0.8490449796400533	0.9209247835900004	0.6456319667460724	0.8693097436980652	0.9237796092819973	0.9349511765480535
