	LeChatelierE_2013__MH0079__bin.19	LiJ_2014__MH0385__bin.37	ZellerG_2014__CCIS74726977ST-3-0__bin.8	KarlssonFH_2013__S126__bin.3	XieH_2016__YSZC12003_36034__bin.56	CosteaPI_2017__mickey1-11-30-0__bin.4	ZeeviD_2015__PNP_Validation_13__bin.57	LeChatelierE_2013__MH0426__bin.85	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.53	ZeeviD_2015__PNP_Main_553__bin.24	LiJ_2014__MH0309__bin.10	FengQ_2015__SID31223__bin.58	CosteaPI_2017__SID713B051-11-0-0__bin.73	VogtmannE_2016__MMRS20257302ST-27-0-0__bin.74	ZeeviD_2015__PNP_Main_438__bin.39	CosteaPI_2017__SID713B051-11-90-0__bin.68	XieH_2016__YSZC12003_37223__bin.28	LeChatelierE_2013__MH0132__bin.8	LiJ_2014__MH0362__bin.58	RampelliS_2015__H21__bin.19	RampelliS_2015__H14__bin.79	ZeeviD_2015__PNP_Main_82__bin.39	LeChatelierE_2013__MH0189__bin.85	SchirmerM_2016__G89006__bin.14	LeChatelierE_2013__MH0415__bin.1	NielsenHB_2014__MH0079__bin.17	ZeeviD_2015__PNP_Main_225__bin.4	LiJ_2014__MH0402__bin.12	ZellerG_2014__CCIS36797902ST-4-0__bin.3	ZeeviD_2015__PNP_Main_403__bin.9	LiJ_2014__MH0315__bin.76	NielsenHB_2014__MH0132__bin.49	LeChatelierE_2013__MH0437__bin.12	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.61	LeChatelierE_2013__MH0224__bin.40	CosteaPI_2017__mickey1-11-0-0__bin.28
LeChatelierE_2013__MH0079__bin.19	0.0	18849.0	11635.0	18539.0	10077.0	17429.0	17433.0	16415.0	17503.0	16125.0	17933.0	10432.0	18605.0	17079.0	16708.0	16007.0	17588.0	13173.0	17963.0	33416.0	19776.0	17538.0	18291.0	16613.0	17937.0	527.0	18353.0	18292.0	37518.0	23231.0	16603.0	10277.0	17189.0	18086.0	17444.0	17860.0
LiJ_2014__MH0385__bin.37	18849.0	0.0	12630.0	19839.0	11439.0	5751.0	18648.0	9101.0	18840.0	7004.0	20744.0	11795.0	20095.0	18465.0	18371.0	17141.0	19415.0	13491.0	7635.0	37510.0	22256.0	18012.0	19224.0	19536.0	19652.0	16136.0	20097.0	20409.0	43037.0	26601.0	17555.0	10219.0	19625.0	19449.0	18757.0	5344.0
ZellerG_2014__CCIS74726977ST-3-0__bin.8	11635.0	12630.0	0.0	12240.0	7736.0	12069.0	11739.0	12028.0	11577.0	10819.0	12086.0	7405.0	12634.0	12000.0	10577.0	11424.0	12323.0	9754.0	12297.0	24997.0	14080.0	11326.0	11841.0	11627.0	11471.0	11100.0	12541.0	12887.0	28703.0	16769.0	11671.0	8056.0	12243.0	11826.0	11974.0	12418.0
KarlssonFH_2013__S126__bin.3	18539.0	19839.0	12240.0	0.0	10836.0	18101.0	18410.0	17064.0	16866.0	17046.0	19301.0	10136.0	19090.0	17112.0	16957.0	16481.0	18635.0	13426.0	19508.0	36488.0	21754.0	17337.0	18218.0	18440.0	19223.0	15574.0	18932.0	19029.0	41881.0	26064.0	16760.0	10157.0	17836.0	19782.0	17250.0	19107.0
XieH_2016__YSZC12003_36034__bin.56	10077.0	11439.0	7736.0	10836.0	0.0	10862.0	11215.0	10675.0	9575.0	9312.0	11054.0	9645.0	11245.0	10691.0	9489.0	9757.0	10742.0	8528.0	11113.0	21338.0	13038.0	10200.0	10892.0	10802.0	11372.0	9228.0	10963.0	11069.0	25345.0	14313.0	10368.0	6471.0	10524.0	11087.0	10807.0	10955.0
CosteaPI_2017__mickey1-11-30-0__bin.4	17429.0	5751.0	12069.0	18101.0	10862.0	0.0	17937.0	7569.0	17042.0	4755.0	17745.0	10268.0	17571.0	16627.0	15899.0	15775.0	17681.0	12904.0	5513.0	34838.0	21091.0	16611.0	17786.0	17411.0	18008.0	15059.0	17904.0	17899.0	40139.0	24539.0	16903.0	10111.0	17314.0	17471.0	17307.0	1248.0
ZeeviD_2015__PNP_Validation_13__bin.57	17433.0	18648.0	11739.0	18410.0	11215.0	17937.0	0.0	16691.0	17423.0	15860.0	17825.0	9887.0	15780.0	17242.0	16539.0	13972.0	18077.0	13149.0	18192.0	35031.0	20992.0	17219.0	17817.0	18314.0	17936.0	15532.0	17628.0	18509.0	41007.0	25501.0	16845.0	9829.0	17260.0	17185.0	17067.0	18195.0
LeChatelierE_2013__MH0426__bin.85	16415.0	9101.0	12028.0	17064.0	10675.0	7569.0	16691.0	0.0	16237.0	8069.0	16916.0	10501.0	16783.0	16339.0	15158.0	15581.0	16731.0	13623.0	4189.0	30359.0	19988.0	16702.0	16511.0	16653.0	16998.0	14655.0	17097.0	16811.0	34956.0	21907.0	16012.0	10656.0	16407.0	16428.0	16120.0	7400.0
VogtmannE_2016__MMRS51307502ST-27-0-0__bin.53	17503.0	18840.0	11577.0	16866.0	9575.0	17042.0	17423.0	16237.0	0.0	16236.0	18724.0	9601.0	18657.0	16832.0	15627.0	15639.0	16442.0	12183.0	18400.0	34979.0	20352.0	17297.0	18044.0	17560.0	17545.0	15020.0	19397.0	17988.0	39251.0	24392.0	16364.0	9582.0	16904.0	15847.0	17293.0	17622.0
ZeeviD_2015__PNP_Main_553__bin.24	16125.0	7004.0	10819.0	17046.0	9312.0	4755.0	15860.0	8069.0	16236.0	0.0	17115.0	9181.0	17460.0	15387.0	14527.0	14717.0	16633.0	12061.0	6705.0	32871.0	19244.0	15309.0	16787.0	16249.0	17088.0	14019.0	17132.0	17439.0	37439.0	22883.0	15114.0	8999.0	16375.0	16056.0	15961.0	4852.0
LiJ_2014__MH0309__bin.10	17933.0	20744.0	12086.0	19301.0	11054.0	17745.0	17825.0	16916.0	18724.0	17115.0	0.0	10530.0	20220.0	19314.0	17539.0	16246.0	19644.0	14468.0	20704.0	37657.0	22220.0	17930.0	18675.0	18921.0	19116.0	15777.0	17331.0	20191.0	42751.0	26505.0	17084.0	10697.0	19676.0	20562.0	19126.0	20031.0
FengQ_2015__SID31223__bin.58	10432.0	11795.0	7405.0	10136.0	9645.0	10268.0	9887.0	10501.0	9601.0	9181.0	10530.0	0.0	10259.0	9690.0	9199.0	8581.0	10716.0	8099.0	11321.0	21848.0	12471.0	9476.0	10670.0	10432.0	9622.0	9318.0	10155.0	11519.0	24697.0	14679.0	9229.0	6304.0	10603.0	11321.0	9258.0	10935.0
CosteaPI_2017__SID713B051-11-0-0__bin.73	18605.0	20095.0	12634.0	19090.0	11245.0	17571.0	15780.0	16783.0	18657.0	17460.0	20220.0	10259.0	0.0	17947.0	18337.0	1594.0	18851.0	13709.0	20046.0	38246.0	21836.0	17894.0	18662.0	18789.0	19066.0	16046.0	19603.0	20037.0	42695.0	26783.0	17352.0	10513.0	19701.0	19929.0	18135.0	19219.0
VogtmannE_2016__MMRS20257302ST-27-0-0__bin.74	17079.0	18465.0	12000.0	17112.0	10691.0	16627.0	17242.0	16339.0	16832.0	15387.0	19314.0	9690.0	17947.0	0.0	15883.0	15667.0	17174.0	13322.0	17833.0	36135.0	20797.0	16384.0	17404.0	16801.0	17518.0	15337.0	18491.0	17635.0	40479.0	25036.0	16595.0	10273.0	16801.0	17933.0	16751.0	17547.0
ZeeviD_2015__PNP_Main_438__bin.39	16708.0	18371.0	10577.0	16957.0	9489.0	15899.0	16539.0	15158.0	15627.0	14527.0	17539.0	9199.0	18337.0	15883.0	0.0	15158.0	17088.0	12032.0	18544.0	33378.0	19854.0	15562.0	17623.0	17086.0	17563.0	14318.0	18031.0	17318.0	37239.0	23866.0	15750.0	9225.0	16570.0	17273.0	16678.0	17704.0
CosteaPI_2017__SID713B051-11-90-0__bin.68	16007.0	17141.0	11424.0	16481.0	9757.0	15775.0	13972.0	15581.0	15639.0	14717.0	16246.0	8581.0	1594.0	15667.0	15158.0	0.0	16658.0	12475.0	16373.0	31211.0	18910.0	15900.0	16022.0	16420.0	16224.0	14411.0	16401.0	16647.0	36000.0	22128.0	15411.0	9841.0	15983.0	16309.0	15608.0	16453.0
XieH_2016__YSZC12003_37223__bin.28	17588.0	19415.0	12323.0	18635.0	10742.0	17681.0	18077.0	16731.0	16442.0	16633.0	19644.0	10716.0	18851.0	17174.0	17088.0	16658.0	0.0	11354.0	19639.0	36326.0	22045.0	17306.0	18587.0	18231.0	18247.0	15602.0	19424.0	18524.0	40584.0	25935.0	17601.0	8675.0	16920.0	16292.0	18372.0	19006.0
LeChatelierE_2013__MH0132__bin.8	13173.0	13491.0	9754.0	13426.0	8528.0	12904.0	13149.0	13623.0	12183.0	12061.0	14468.0	8099.0	13709.0	13322.0	12032.0	12475.0	11354.0	0.0	13939.0	26895.0	16434.0	13117.0	13960.0	13052.0	13469.0	12272.0	13813.0	13304.0	30940.0	19087.0	13004.0	1026.0	12650.0	10636.0	13241.0	13552.0
LiJ_2014__MH0362__bin.58	17963.0	7635.0	12297.0	19508.0	11113.0	5513.0	18192.0	4189.0	18400.0	6705.0	20704.0	11321.0	20046.0	17833.0	18544.0	16373.0	19639.0	13939.0	0.0	38648.0	22152.0	17732.0	18889.0	18923.0	19597.0	15490.0	20689.0	20272.0	43228.0	27045.0	17301.0	10464.0	18944.0	19782.0	18521.0	5182.0
RampelliS_2015__H21__bin.19	33416.0	37510.0	24997.0	36488.0	21338.0	34838.0	35031.0	30359.0	34979.0	32871.0	37657.0	21848.0	38246.0	36135.0	33378.0	31211.0	36326.0	26895.0	38648.0	0.0	34992.0	34989.0	36957.0	35903.0	36316.0	29472.0	37384.0	37989.0	36558.0	36096.0	34059.0	20285.0	37348.0	36961.0	37537.0	37715.0
RampelliS_2015__H14__bin.79	19776.0	22256.0	14080.0	21754.0	13038.0	21091.0	20992.0	19988.0	20352.0	19244.0	22220.0	12471.0	21836.0	20797.0	19854.0	18910.0	22045.0	16434.0	22152.0	34992.0	0.0	21026.0	22278.0	21316.0	22079.0	17424.0	22041.0	22450.0	39558.0	26484.0	19903.0	12326.0	21260.0	22103.0	21025.0	21807.0
ZeeviD_2015__PNP_Main_82__bin.39	17538.0	18012.0	11326.0	17337.0	10200.0	16611.0	17219.0	16702.0	17297.0	15309.0	17930.0	9476.0	17894.0	16384.0	15562.0	15900.0	17306.0	13117.0	17732.0	34989.0	21026.0	0.0	17052.0	16626.0	17396.0	15161.0	18037.0	18267.0	39593.0	23992.0	16201.0	10069.0	17257.0	17230.0	16567.0	17247.0
LeChatelierE_2013__MH0189__bin.85	18291.0	19224.0	11841.0	18218.0	10892.0	17786.0	17817.0	16511.0	18044.0	16787.0	18675.0	10670.0	18662.0	17404.0	17623.0	16022.0	18587.0	13960.0	18889.0	36957.0	22278.0	17052.0	0.0	17712.0	15924.0	16056.0	19430.0	19522.0	41366.0	25952.0	16362.0	10531.0	18420.0	17888.0	17162.0	18867.0
SchirmerM_2016__G89006__bin.14	16613.0	19536.0	11627.0	18440.0	10802.0	17411.0	18314.0	16653.0	17560.0	16249.0	18921.0	10432.0	18789.0	16801.0	17086.0	16420.0	18231.0	13052.0	18923.0	35903.0	21316.0	16626.0	17712.0	0.0	18406.0	15023.0	18823.0	19723.0	41005.0	25630.0	16843.0	9902.0	17300.0	18757.0	17617.0	18706.0
LeChatelierE_2013__MH0415__bin.1	17937.0	19652.0	11471.0	19223.0	11372.0	18008.0	17936.0	16998.0	17545.0	17088.0	19116.0	9622.0	19066.0	17518.0	17563.0	16224.0	18247.0	13469.0	19597.0	36316.0	22079.0	17396.0	15924.0	18406.0	0.0	15540.0	18942.0	20528.0	42526.0	26427.0	16205.0	10306.0	18211.0	19916.0	16963.0	19379.0
NielsenHB_2014__MH0079__bin.17	527.0	16136.0	11100.0	15574.0	9228.0	15059.0	15532.0	14655.0	15020.0	14019.0	15777.0	9318.0	16046.0	15337.0	14318.0	14411.0	15602.0	12272.0	15490.0	29472.0	17424.0	15161.0	16056.0	15023.0	15540.0	0.0	16007.0	16105.0	33810.0	20372.0	14642.0	9820.0	15232.0	15867.0	14905.0	15665.0
ZeeviD_2015__PNP_Main_225__bin.4	18353.0	20097.0	12541.0	18932.0	10963.0	17904.0	17628.0	17097.0	19397.0	17132.0	17331.0	10155.0	19603.0	18491.0	18031.0	16401.0	19424.0	13813.0	20689.0	37384.0	22041.0	18037.0	19430.0	18823.0	18942.0	16007.0	0.0	20110.0	40854.0	26646.0	17083.0	10605.0	19329.0	20196.0	18553.0	19496.0
LiJ_2014__MH0402__bin.12	18292.0	20409.0	12887.0	19029.0	11069.0	17899.0	18509.0	16811.0	17988.0	17439.0	20191.0	11519.0	20037.0	17635.0	17318.0	16647.0	18524.0	13304.0	20272.0	37989.0	22450.0	18267.0	19522.0	19723.0	20528.0	16105.0	20110.0	0.0	44099.0	26863.0	17442.0	10042.0	19190.0	19708.0	18719.0	19495.0
ZellerG_2014__CCIS36797902ST-4-0__bin.3	37518.0	43037.0	28703.0	41881.0	25345.0	40139.0	41007.0	34956.0	39251.0	37439.0	42751.0	24697.0	42695.0	40479.0	37239.0	36000.0	40584.0	30940.0	43228.0	36558.0	39558.0	39593.0	41366.0	41005.0	42526.0	33810.0	40854.0	44099.0	0.0	38811.0	39157.0	23634.0	41572.0	41670.0	41285.0	42460.0
ZeeviD_2015__PNP_Main_403__bin.9	23231.0	26601.0	16769.0	26064.0	14313.0	24539.0	25501.0	21907.0	24392.0	22883.0	26505.0	14679.0	26783.0	25036.0	23866.0	22128.0	25935.0	19087.0	27045.0	36096.0	26484.0	23992.0	25952.0	25630.0	26427.0	20372.0	26646.0	26863.0	38811.0	0.0	23676.0	14466.0	25600.0	26022.0	26047.0	26374.0
LiJ_2014__MH0315__bin.76	16603.0	17555.0	11671.0	16760.0	10368.0	16903.0	16845.0	16012.0	16364.0	15114.0	17084.0	9229.0	17352.0	16595.0	15750.0	15411.0	17601.0	13004.0	17301.0	34059.0	19903.0	16201.0	16362.0	16843.0	16205.0	14642.0	17083.0	17442.0	39157.0	23676.0	0.0	9938.0	16797.0	16954.0	9116.0	17219.0
NielsenHB_2014__MH0132__bin.49	10277.0	10219.0	8056.0	10157.0	6471.0	10111.0	9829.0	10656.0	9582.0	8999.0	10697.0	6304.0	10513.0	10273.0	9225.0	9841.0	8675.0	1026.0	10464.0	20285.0	12326.0	10069.0	10531.0	9902.0	10306.0	9820.0	10605.0	10042.0	23634.0	14466.0	9938.0	0.0	9463.0	8077.0	10056.0	10452.0
LeChatelierE_2013__MH0437__bin.12	17189.0	19625.0	12243.0	17836.0	10524.0	17314.0	17260.0	16407.0	16904.0	16375.0	19676.0	10603.0	19701.0	16801.0	16570.0	15983.0	16920.0	12650.0	18944.0	37348.0	21260.0	17257.0	18420.0	17300.0	18211.0	15232.0	19329.0	19190.0	41572.0	25600.0	16797.0	9463.0	0.0	18393.0	18269.0	18431.0
VogtmannE_2016__MMRS34569532ST-27-0-0__bin.61	18086.0	19449.0	11826.0	19782.0	11087.0	17471.0	17185.0	16428.0	15847.0	16056.0	20562.0	11321.0	19929.0	17933.0	17273.0	16309.0	16292.0	10636.0	19782.0	36961.0	22103.0	17230.0	17888.0	18757.0	19916.0	15867.0	20196.0	19708.0	41670.0	26022.0	16954.0	8077.0	18393.0	0.0	17942.0	19068.0
LeChatelierE_2013__MH0224__bin.40	17444.0	18757.0	11974.0	17250.0	10807.0	17307.0	17067.0	16120.0	17293.0	15961.0	19126.0	9258.0	18135.0	16751.0	16678.0	15608.0	18372.0	13241.0	18521.0	37537.0	21025.0	16567.0	17162.0	17617.0	16963.0	14905.0	18553.0	18719.0	41285.0	26047.0	9116.0	10056.0	18269.0	17942.0	0.0	18117.0
CosteaPI_2017__mickey1-11-0-0__bin.28	17860.0	5344.0	12418.0	19107.0	10955.0	1248.0	18195.0	7400.0	17622.0	4852.0	20031.0	10935.0	19219.0	17547.0	17704.0	16453.0	19006.0	13552.0	5182.0	37715.0	21807.0	17247.0	18867.0	18706.0	19379.0	15665.0	19496.0	19495.0	42460.0	26374.0	17219.0	10452.0	18431.0	19068.0	18117.0	0.0
