	WenC_2017__RA123__bin.6	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.89	NielsenHB_2014__V1_UC54_0__bin.97	LeChatelierE_2013__MH0151__bin.16	XieH_2016__YSZC12003_37264__bin.82	LeChatelierE_2013__MH0436__bin.17	HMP_2012__SRS015663__bin.27	LeChatelierE_2013__MH0157__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.14	LeChatelierE_2013__MH0454__bin.24	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.37	LeChatelierE_2013__MH0438__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.150	LeChatelierE_2013__MH0250__bin.4	XieH_2016__YSZC12003_36051__bin.26	LiJ_2014__V1.CD43-0__bin.36	CosteaPI_2017__SID713A051-11-0-0__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.11	NielsenHB_2014__MH0157__bin.26	LiJ_2017__nHM410727__bin.64	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.61	HMP_2012__SRS051031__bin.1	WenC_2017__N244__bin.55	LeChatelierE_2013__MH0447__bin.102	VogtmannE_2016__MMRS18295921ST-27-0-0__bin.76	LeChatelierE_2013__MH0006__bin.78	CosteaPI_2017__SID713B014-11-0-0__bin.68	LeChatelierE_2013__MH0417__bin.59	LeChatelierE_2013__MH0288__bin.27	ZeeviD_2015__PNP_Main_548__bin.50	LiJ_2014__MH0361__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.119
WenC_2017__RA123__bin.6	0.0	13947.0	33092.0	25182.0	42386.0	30020.0	40089.0	29886.0	40361.0	36372.0	13980.0	32322.0	39858.0	37596.0	27814.0	38620.0	8726.0	14304.0	23527.0	14067.0	13096.0	40697.0	13337.0	40378.0	38935.0	27097.0	9179.0	36151.0	26119.0	24764.0	38335.0	13752.0	13337.0
Bengtsson-PalmeJ_2015__TRAVELRES26__bin.89	13947.0	0.0	38828.0	27730.0	49796.0	35652.0	47769.0	33275.0	48288.0	46093.0	6808.0	36888.0	46333.0	42219.0	32586.0	44326.0	2507.0	2692.0	25849.0	4992.0	2287.0	47178.0	2900.0	46164.0	46869.0	30602.0	3548.0	41521.0	31039.0	24351.0	43071.0	2079.0	2164.0
NielsenHB_2014__V1_UC54_0__bin.97	33092.0	38828.0	0.0	4079.0	9855.0	6998.0	5439.0	5242.0	5942.0	14144.0	37085.0	7389.0	4449.0	5425.0	5735.0	6044.0	22342.0	38471.0	4500.0	37761.0	37929.0	5595.0	38284.0	5263.0	9052.0	4580.0	21880.0	5356.0	6432.0	3017.0	8522.0	39191.0	37780.0
LeChatelierE_2013__MH0151__bin.16	25182.0	27730.0	4079.0	0.0	7402.0	5843.0	4172.0	4151.0	4300.0	10401.0	26520.0	5208.0	3724.0	4427.0	4215.0	5327.0	16420.0	27317.0	3714.0	27909.0	27348.0	4273.0	27410.0	4454.0	7518.0	3871.0	17088.0	4353.0	5917.0	3697.0	5960.0	27887.0	27264.0
XieH_2016__YSZC12003_37264__bin.82	42386.0	49796.0	9855.0	7402.0	0.0	10369.0	9031.0	8325.0	10719.0	16420.0	47838.0	10627.0	8849.0	8831.0	7868.0	10331.0	26732.0	49670.0	6688.0	47804.0	48072.0	9582.0	49433.0	9799.0	15602.0	7489.0	27853.0	9991.0	8341.0	6895.0	6226.0	50791.0	47000.0
LeChatelierE_2013__MH0436__bin.17	30020.0	35652.0	6998.0	5843.0	10369.0	0.0	7168.0	6943.0	7249.0	13519.0	33601.0	7686.0	5980.0	7142.0	6085.0	8375.0	20822.0	34637.0	5709.0	34950.0	34572.0	6782.0	34772.0	7328.0	11187.0	5652.0	21281.0	6895.0	6826.0	4115.0	9055.0	36109.0	34488.0
HMP_2012__SRS015663__bin.27	40089.0	47769.0	5439.0	4172.0	9031.0	7168.0	0.0	4923.0	4931.0	15405.0	45976.0	6985.0	2592.0	4465.0	5366.0	5537.0	25655.0	46706.0	4142.0	45566.0	46583.0	1067.0	46574.0	3717.0	9736.0	4356.0	26213.0	4307.0	6390.0	2484.0	7675.0	48363.0	44976.0
LeChatelierE_2013__MH0157__bin.32	29886.0	33275.0	5242.0	4151.0	8325.0	6943.0	4923.0	0.0	6210.0	11619.0	31864.0	6234.0	4861.0	6096.0	4387.0	6622.0	20705.0	32491.0	1300.0	32901.0	32952.0	5127.0	32861.0	5298.0	9533.0	4655.0	19412.0	5748.0	6459.0	3294.0	6909.0	33888.0	32499.0
Bengtsson-PalmeJ_2015__TRAVELRES17__bin.14	40361.0	48288.0	5942.0	4300.0	10719.0	7249.0	4931.0	6210.0	0.0	16051.0	47382.0	6882.0	3407.0	5451.0	4942.0	7130.0	25857.0	46803.0	4652.0	45553.0	46411.0	5362.0	46883.0	6016.0	10266.0	4291.0	25550.0	6196.0	6940.0	3642.0	9047.0	49377.0	45833.0
LeChatelierE_2013__MH0454__bin.24	36372.0	46093.0	14144.0	10401.0	16420.0	13519.0	15405.0	11619.0	16051.0	0.0	44389.0	13694.0	14854.0	14120.0	11335.0	15719.0	24804.0	45040.0	8853.0	45774.0	45449.0	15627.0	45524.0	15581.0	19826.0	11953.0	27061.0	14345.0	12030.0	9810.0	14303.0	47305.0	44743.0
Bengtsson-PalmeJ_2015__TRAVELRES55__bin.37	13980.0	6808.0	37085.0	26520.0	47838.0	33601.0	45976.0	31864.0	47382.0	44389.0	0.0	35344.0	44465.0	41675.0	31053.0	41720.0	5094.0	6753.0	24051.0	7793.0	5454.0	45368.0	6835.0	44297.0	44456.0	29467.0	4873.0	40623.0	30196.0	24357.0	43034.0	6625.0	7318.0
LeChatelierE_2013__MH0438__bin.16	32322.0	36888.0	7389.0	5208.0	10627.0	7686.0	6985.0	6234.0	6882.0	13694.0	35344.0	0.0	5578.0	6550.0	6177.0	7753.0	21201.0	36978.0	5315.0	36686.0	36092.0	7297.0	36876.0	6517.0	10470.0	5085.0	23183.0	6607.0	6889.0	3756.0	9071.0	37044.0	35708.0
Bengtsson-PalmeJ_2015__TRAVELRES18__bin.150	39858.0	46333.0	4449.0	3724.0	8849.0	5980.0	2592.0	4861.0	3407.0	14854.0	44465.0	5578.0	0.0	4144.0	4028.0	4862.0	24488.0	44716.0	3990.0	43589.0	44889.0	3027.0	45560.0	3550.0	8981.0	3146.0	24612.0	3852.0	6136.0	1866.0	7401.0	46390.0	43707.0
LeChatelierE_2013__MH0250__bin.4	37596.0	42219.0	5425.0	4427.0	8831.0	7142.0	4465.0	6096.0	5451.0	14120.0	41675.0	6550.0	4144.0	0.0	4989.0	5494.0	24191.0	41026.0	4949.0	42030.0	41308.0	4868.0	41354.0	5087.0	10755.0	4391.0	25402.0	5470.0	6079.0	2884.0	7102.0	43118.0	41322.0
XieH_2016__YSZC12003_36051__bin.26	27814.0	32586.0	5735.0	4215.0	7868.0	6085.0	5366.0	4387.0	4942.0	11335.0	31053.0	6177.0	4028.0	4989.0	0.0	5824.0	18728.0	31744.0	3611.0	31196.0	32042.0	5562.0	31905.0	5234.0	8611.0	4653.0	17719.0	4737.0	6075.0	3153.0	6395.0	33001.0	31507.0
LiJ_2014__V1.CD43-0__bin.36	38620.0	44326.0	6044.0	5327.0	10331.0	8375.0	5537.0	6622.0	7130.0	15719.0	41720.0	7753.0	4862.0	5494.0	5824.0	0.0	25347.0	43039.0	5462.0	43851.0	43219.0	5938.0	43151.0	6290.0	11551.0	5198.0	26037.0	6812.0	7190.0	3413.0	8472.0	45092.0	42977.0
CosteaPI_2017__SID713A051-11-0-0__bin.14	8726.0	2507.0	22342.0	16420.0	26732.0	20822.0	25655.0	20705.0	25857.0	24804.0	5094.0	21201.0	24488.0	24191.0	18728.0	25347.0	0.0	2820.0	16477.0	4868.0	2906.0	25472.0	3084.0	25742.0	26312.0	17997.0	3118.0	22996.0	18412.0	13190.0	24333.0	2629.0	3029.0
Bengtsson-PalmeJ_2015__TRAVELRES66__bin.11	14304.0	2692.0	38471.0	27317.0	49670.0	34637.0	46706.0	32491.0	46803.0	45040.0	6753.0	36978.0	44716.0	41026.0	31744.0	43039.0	2820.0	0.0	24860.0	6022.0	3199.0	45180.0	4377.0	46759.0	45345.0	29689.0	4198.0	41882.0	30287.0	25113.0	43657.0	3226.0	3666.0
NielsenHB_2014__MH0157__bin.26	23527.0	25849.0	4500.0	3714.0	6688.0	5709.0	4142.0	1300.0	4652.0	8853.0	24051.0	5315.0	3990.0	4949.0	3611.0	5462.0	16477.0	24860.0	0.0	25837.0	25406.0	4177.0	24684.0	4575.0	7739.0	3824.0	15950.0	4800.0	5518.0	2796.0	5281.0	25724.0	25276.0
LiJ_2017__nHM410727__bin.64	14067.0	4992.0	37761.0	27909.0	47804.0	34950.0	45566.0	32901.0	45553.0	45774.0	7793.0	36686.0	43589.0	42030.0	31196.0	43851.0	4868.0	6022.0	25837.0	0.0	5759.0	44865.0	4915.0	45008.0	45711.0	30837.0	4593.0	41849.0	30647.0	24931.0	42684.0	5043.0	6194.0
Bengtsson-PalmeJ_2015__TRAVELRES56__bin.61	13096.0	2287.0	37929.0	27348.0	48072.0	34572.0	46583.0	32952.0	46411.0	45449.0	5454.0	36092.0	44889.0	41308.0	32042.0	43219.0	2906.0	3199.0	25406.0	5759.0	0.0	45869.0	3406.0	45383.0	45717.0	29964.0	3956.0	40180.0	30333.0	23598.0	42730.0	3452.0	3927.0
HMP_2012__SRS051031__bin.1	40697.0	47178.0	5595.0	4273.0	9582.0	6782.0	1067.0	5127.0	5362.0	15627.0	45368.0	7297.0	3027.0	4868.0	5562.0	5938.0	25472.0	45180.0	4177.0	44865.0	45869.0	0.0	45666.0	4189.0	10032.0	4748.0	25679.0	4671.0	6460.0	2477.0	7935.0	47168.0	44278.0
WenC_2017__N244__bin.55	13337.0	2900.0	38284.0	27410.0	49433.0	34772.0	46574.0	32861.0	46883.0	45524.0	6835.0	36876.0	45560.0	41354.0	31905.0	43151.0	3084.0	4377.0	24684.0	4915.0	3406.0	45666.0	0.0	46529.0	45204.0	29702.0	3195.0	42445.0	30206.0	25006.0	43906.0	3029.0	4275.0
LeChatelierE_2013__MH0447__bin.102	40378.0	46164.0	5263.0	4454.0	9799.0	7328.0	3717.0	5298.0	6016.0	15581.0	44297.0	6517.0	3550.0	5087.0	5234.0	6290.0	25742.0	46759.0	4575.0	45008.0	45383.0	4189.0	46529.0	0.0	10319.0	4060.0	26243.0	5291.0	6917.0	3388.0	8499.0	47300.0	44471.0
VogtmannE_2016__MMRS18295921ST-27-0-0__bin.76	38935.0	46869.0	9052.0	7518.0	15602.0	11187.0	9736.0	9533.0	10266.0	19826.0	44456.0	10470.0	8981.0	10755.0	8611.0	11551.0	26312.0	45345.0	7739.0	45711.0	45717.0	10032.0	45204.0	10319.0	0.0	8090.0	26701.0	9883.0	10506.0	6149.0	13518.0	47236.0	45580.0
LeChatelierE_2013__MH0006__bin.78	27097.0	30602.0	4580.0	3871.0	7489.0	5652.0	4356.0	4655.0	4291.0	11953.0	29467.0	5085.0	3146.0	4391.0	4653.0	5198.0	17997.0	29689.0	3824.0	30837.0	29964.0	4748.0	29702.0	4060.0	8090.0	0.0	20083.0	4111.0	6060.0	2221.0	6285.0	31192.0	29912.0
CosteaPI_2017__SID713B014-11-0-0__bin.68	9179.0	3548.0	21880.0	17088.0	27853.0	21281.0	26213.0	19412.0	25550.0	27061.0	4873.0	23183.0	24612.0	25402.0	17719.0	26037.0	3118.0	4198.0	15950.0	4593.0	3956.0	25679.0	3195.0	26243.0	26701.0	20083.0	0.0	25115.0	19157.0	16581.0	26667.0	3753.0	4206.0
