	ZeeviD_2015__PNP_Main_706__bin.77	YuJ_2015__SZAXPI015216-169__bin.7	ChengpingW_2017__AS38raw__bin.42	NielsenHB_2014__V1_CD20_4__bin.60	WenC_2017__RA101__bin.18	ZeeviD_2015__PNP_Main_686__bin.19	VogtmannE_2016__MMRS84159866ST-27-0-0__bin.20	QinN_2014__HD-33__bin.16	ZeeviD_2015__PNP_Validation_41__bin.8	HeQ_2017__SZAXPI029466-158__bin.8	LiJ_2014__O2.UC8-0__bin.19	LiJ_2014__O2.CD1-0__bin.27	LiJ_2014__O2.UC6-2__bin.53	NielsenHB_2014__O2_UC17_2__bin.11	NielsenHB_2014__V1_UC2_4__bin.24	QinN_2014__HD-55__bin.49	LiJ_2014__O2.UC24-1__bin.4	WenC_2017__N035__bin.49	HMP_2012__SRS019267__bin.4	HeQ_2017__SZAXPI029581-99__bin.65	ZeeviD_2015__PNP_Main_118__bin.28	HeQ_2017__RSZAXPI003105-143__bin.55	NielsenHB_2014__O2_UC24_2__bin.20	WenC_2017__N024__bin.3	ZeeviD_2015__PNP_Validation_7__bin.53	LiJ_2014__O2.UC8-1__bin.62	QinJ_2012__T2D-056__bin.12	ChengpingW_2017__AS136raw__bin.14	CM_madagascar__A89_01_1FE__bin.61	LiJ_2014__MH0308__bin.44	ChengpingW_2017__AS98raw__bin.8	WenC_2017__RA123__bin.47	LiJ_2014__MH0394__bin.70	ZeeviD_2015__PNP_Main_262__bin.25	VogtmannE_2016__MMRS17963147ST-27-0-0__bin.46	LeChatelierE_2013__MH0227__bin.52	NielsenHB_2014__V1_UC2_0__bin.17	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.100	LiJ_2014__O2.UC6-1__bin.4	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.50	QinJ_2012__T2D-030__bin.43	LiJ_2014__MH0245__bin.44	LiJ_2014__V1.FI25__bin.61	WenC_2017__RA020__bin.8	ChengpingW_2017__AS6raw__bin.29
ZeeviD_2015__PNP_Main_706__bin.77	1.0	0.8124080256683773	0.8135418731664134	0.8080394088049919	0.7275923519311595	0.7889622410952064	0.5614878890193006	0.503563595628656	0.5724707911024962	0.7745888098377266	0.8074226628948669	0.5206751479718185	0.8207949309359959	0.783505403344483	0.8090799053064273	0.8121117149207409	0.7179709059556887	0.7110503455560205	0.8080488487934121	0.7003469720188255	0.7039782208978268	0.664035532116414	0.8018619852715202	0.7865707773620687	0.7132855250364226	0.5267786249293313	0.7665066064185627	0.7476874650589317	0.6998770703730159	0.7654876121129737	0.8038900094504773	0.7592766241762299	0.5741332779520679	0.7721391328426638	0.5316774544756558	0.814160716851743	0.7663928021137184	0.6579414951473215	0.76372180983458	0.5390710631839403	0.5078645592416962	0.824028126969942	0.805295518837497	0.5691243152075067	0.7831487815597168
YuJ_2015__SZAXPI015216-169__bin.7	0.8294580118623657	1.0	0.8516037003898614	0.8358314766594542	0.7500721519265234	0.8178628358411147	0.5640262006535707	0.5246647144149108	0.5695274169289034	0.8130207588722774	0.8361805902482723	0.5319050732308589	0.8282082708864433	0.8180700551031893	0.8282521778101904	0.8500942660234838	0.7540976672037233	0.7302106943344541	0.8458443970749422	0.7327942419817658	0.7308601955357368	0.6845319655791136	0.8392851310273631	0.8201540276303058	0.7214983826724003	0.5405145784373098	0.8027626022241534	0.792851417363689	0.7266981404346893	0.7816439073521072	0.839322612547635	0.7963661130646122	0.580251415328978	0.795250770111379	0.5323569932752799	0.8313818847528923	0.799148312769365	0.6788845713747205	0.7678266126290234	0.5560046198650986	0.5152054495988674	0.8522130428194242	0.8343290031468413	0.5884946725373437	0.8143245803274493
ChengpingW_2017__AS38raw__bin.42	0.8443065732761553	0.8656405611921387	1.0	0.8677039116574675	0.7828273289707794	0.8363851797988682	0.5827068262556585	0.547862818489928	0.5807915188730438	0.8512264988409641	0.8766643280939507	0.5598679150907607	0.8460166885919198	0.831524250491073	0.8617413676459462	0.8835379901954113	0.7743817976675594	0.7564914442527988	0.8836256186377532	0.7654709103506607	0.7407210460114636	0.7057845113190367	0.8639516726419104	0.8625507061165197	0.7545026596048665	0.5670229679045863	0.8471885149047272	0.8189618152259045	0.7492917608037433	0.8184017551813719	0.8621822312378524	0.8385367029825782	0.5981446718369262	0.8165403311266569	0.5454010579637654	0.8616107413964926	0.8104346425167759	0.7013176378637601	0.7963553099298266	0.5801498174226026	0.5390128900894409	0.8785437132579655	0.8514355008400901	0.6056491498680402	0.8458196606656604
NielsenHB_2014__V1_CD20_4__bin.60	0.8380249706970964	0.8490298087356647	0.8671130317015265	1.0	0.7631090720701855	0.8321622143476807	0.572783517490638	0.5235432173636362	0.5812521246304843	0.8273056829956134	0.8513604433916854	0.5489408802021153	0.8352902143259244	0.8298609505834746	0.8545243411265911	0.8564541174998844	0.7679400398682661	0.7556809559681381	0.8677945451727035	0.7441218783229222	0.7404581315217658	0.6977751549450519	0.8574842743350076	0.8446111212337949	0.7392506615249476	0.5517670126811545	0.813531278640019	0.7892883269741727	0.7413011848979226	0.8040950637865063	0.8391562939373584	0.8217377233751505	0.6009425880650837	0.8120039922656651	0.5441371076742333	0.8452289977727073	0.8028032884520724	0.6898754728577606	0.7850523916880376	0.5766849509533303	0.5211255578429799	0.8642232622902225	0.847598793617814	0.5953109915123562	0.8270766988205411
WenC_2017__RA101__bin.18	0.8448421066733733	0.8530417080503461	0.8758568781349849	0.8543771499975946	1.0	0.8214380755020999	0.5905156218695823	0.547759557118003	0.5835649905946645	0.8484940197411569	0.8851337238369384	0.5712250929115618	0.8617193404025081	0.835469654776382	0.853888157802592	0.8592841227339962	0.800765823890953	0.7607232699998112	0.8925581233904515	0.7836005536633919	0.7306115812594808	0.6978856415936883	0.8846483853818736	0.8516928690566592	0.7673328855472055	0.5777409291338871	0.8541384389883281	0.8229263655700778	0.7668536366587035	0.8244359691210259	0.8750646255251491	0.8148174987348925	0.611352291777928	0.817011569567513	0.5377866739579077	0.8403955051691286	0.8249980361147834	0.7065821516021954	0.816271687230118	0.5790227828953819	0.5514017268792859	0.8602133905914979	0.8794351074473572	0.6160851029106301	0.8470580999456202
ZeeviD_2015__PNP_Main_686__bin.19	0.8513756099327786	0.8644208991747585	0.8696631235575818	0.865861761020669	0.7634004113190846	1.0	0.5786045032309035	0.5514165833804	0.5862496731745027	0.8304576462452137	0.8564350384097774	0.5577470942242152	0.8591441529645194	0.8441237624490803	0.8712862153777197	0.8565957629833197	0.7635826412933121	0.7454371764993509	0.8674865506355978	0.7616799792642663	0.7593313631368005	0.6957636624376484	0.8505470860748003	0.8446127273488708	0.7639114475511574	0.5551217375458263	0.8398549404130622	0.8047898186641976	0.7341960771885424	0.7963342346737234	0.8690592745436044	0.8121203306398762	0.611403634865461	0.8085691098688284	0.5432801848106222	0.849663100920318	0.8334768913151006	0.6987529131328956	0.8028814973191821	0.5908671090742603	0.5275127645871699	0.8684441068976875	0.8429619048804808	0.5941410233627882	0.8272052373573711
VogtmannE_2016__MMRS84159866ST-27-0-0__bin.20	0.8606909580561528	0.8468098960950219	0.8606700564744659	0.8465896255803204	0.7795622726450551	0.8219088771429146	1.0	0.6062254557147737	0.6120610165403862	0.8275434612215367	0.8517257873264064	0.5921064372852061	0.847013284562976	0.8474080028940653	0.845533291798139	0.8428152822718411	0.7863850312518841	0.7728014148762988	0.8561874711095926	0.7660598508752537	0.7622895271017144	0.7272198886588822	0.8454778222159696	0.83553188496091	0.7682923005808229	0.5824330244990655	0.8162180195751352	0.8080712261591334	0.7661900838073035	0.8201507325602428	0.842545973430874	0.8129083345056977	0.6444914283417409	0.824487810760295	0.5914793898345961	0.8360632674799525	0.8175790341057539	0.7318753140261672	0.8123311292883414	0.6112008360632675	0.5781498080672066	0.855803203569347	0.8468380328396005	0.6243720481540286	0.8357835078481419
QinN_2014__HD-33__bin.16	0.8650004819641798	0.8827214490275584	0.9068043432629966	0.8671418443102552	0.8103349335745257	0.8777621727485743	0.6793433756050451	1.0	0.6553469646616656	0.8930787241191992	0.8958398833916946	0.6435158701345266	0.9016423717682499	0.8808701660569294	0.8840718495983482	0.8895878620699597	0.8000218009965399	0.800890237387628	0.9002820616535786	0.8760081834815111	0.8041324599721993	0.7678968614672791	0.8771090437200068	0.8910715910493396	0.8118763180819447	0.6399394256608539	0.9213209241820798	0.8494506058785216	0.8147032406911097	0.8503235466077379	0.9064899404616588	0.8337367718850024	0.7153474511301834	0.8404085975202717	0.5999391013485087	0.8577998470326772	0.8720209433705602	0.7900410885724041	0.8606141574950835	0.6538911625786795	0.6256597729273062	0.8706534263148838	0.8710822393046743	0.6511029772774158	0.8958515946708274
ZeeviD_2015__PNP_Validation_41__bin.8	0.8599204501679149	0.8379138690697049	0.8406301279430405	0.841870090665381	0.7549301122662564	0.8160609047001205	0.5997811552450659	0.5730786289194915	1.0	0.797847475131815	0.8562068642256575	0.5650306878957108	0.836039744980475	0.817641975337819	0.8315320787179384	0.8446950629158976	0.7694488625665968	0.7464165943880263	0.8584969351493194	0.7377140097668728	0.7630458022062513	0.7011437750168781	0.8353677702650006	0.8091686341424602	0.7666861247856259	0.5817930302120777	0.7983012353148315	0.7758369551431276	0.7390256602959052	0.7964688634646637	0.8413982115861677	0.7882460357036789	0.6278875021368482	0.8063460252262302	0.5506876121106702	0.8333731161271568	0.799507323579065	0.7121175238874013	0.7853155011883632	0.5956090824512189	0.5449494364629394	0.8531959763445993	0.8469449571566883	0.5989476860200111	0.8114327083889702
HeQ_2017__SZAXPI029466-158__bin.8	0.8471756738386389	0.8709308841825231	0.8970716533775533	0.8724566323296855	0.7992149853705991	0.8416950258889633	0.5904542083403359	0.5686302739406232	0.5809211503682159	1.0	0.8773860607419839	0.565281658270272	0.859900757539691	0.850244377818834	0.8726332979046201	0.9017854121269445	0.7742799013655446	0.7661779492683005	0.8948604657432258	0.7963625246428402	0.748113894231238	0.7112762539097296	0.8683302292579989	0.8800400594927059	0.7711033625538959	0.5757972751055835	0.8698967022617209	0.8353539936457752	0.7701471888090389	0.8242263567830116	0.8734397647824059	0.8386475447213416	0.6144514734654616	0.8201854185511473	0.5562596685684983	0.8629115289774563	0.8231009741270972	0.7053384551054344	0.8098757203567498	0.5868681266049752	0.5562195173014678	0.8783106870627455	0.8765463256715156	0.6112020887836288	0.8721228032238025
