	LiJ_2017__H1M414905__bin.7	LeChatelierE_2013__MH0006__bin.33	YuJ_2015__SZAXPI015237-23__bin.22	QinN_2014__HD-19__bin.23	LiJ_2017__H2M514818__bin.18	LiJ_2017__nHM511825__bin.51	QinN_2014__LD-36__bin.31	LiJ_2017__H1M512853__bin.15	YuJ_2015__SZAXPI015233-19__bin.50	WenC_2017__RA058__bin.32	WenC_2017__N253__bin.168	ChengpingW_2017__AS45raw__bin.36	LiJ_2017__nHM511738__bin.28	ZellerG_2014__CCIS63448910ST-4-0__bin.32	LiJ_2017__H1M412949__bin.25	QinJ_2012__CON-016__bin.30	YuJ_2015__SZAXPI017582-94__bin.21	LiJ_2017__H3M516804__bin.42	Bengtsson-PalmeJ_2015__TRAVELRES54__bin.28	LiJ_2017__nHF512818__bin.22	HeQ_2017__SZAXPI029491-89__bin.1	YuJ_2015__SZAXPI015273-95__bin.73	QinJ_2012__CON-015__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.55	ZellerG_2014__CCMD26709089ST-21-0__bin.19	NielsenHB_2014__MH0006__bin.62	LeChatelierE_2013__MH0316__bin.8	LiJ_2017__nHF411719__bin.6	HeQ_2017__SZAXPI029561-52__bin.9	ZeeviD_2015__PNP_Validation_2__bin.26
LiJ_2017__H1M414905__bin.7	1.0	0.9804290954588109	0.9825181244997603	0.9855365605288732	0.9881151777430105	0.984996749486749	0.9829837517153923	0.983051213805882	0.9827740380677089	0.9853832590986601	0.9893955223880597	0.9851195759179305	0.984370991138566	0.9796678865165911	0.9839808267109547	0.9843682431170636	0.9820003296780592	0.9850741082969363	0.9802877483347392	0.9844004428308535	0.9832021677483006	0.9846251729082455	0.9852673657029828	0.9844513484143512	0.9899412340627786	0.9802576235541536	0.9789459540976173	0.9845911917297859	0.9840946134810891	0.9802941502203911
LeChatelierE_2013__MH0006__bin.33	0.9804290954588109	1.0	0.9733939807532155	0.9752512708672819	0.9795835802969803	0.9750182732429955	0.9735399633591006	0.9744138347587913	0.9731515487735511	0.9745750509116092	0.9779824448784048	0.9750378694845402	0.9748132886142764	0.9856061016887877	0.9733102486681501	0.9743712057484549	0.9745412956030813	0.9749264742535267	0.9881032256794465	0.9750056477512792	0.9729192807227742	0.9738988926517481	0.9744950620372472	0.9775273553374574	0.9783812869027791	0.9974479210143954	0.9881042935765743	0.9748961510569772	0.9745465115614879	0.989955136434624
YuJ_2015__SZAXPI015237-23__bin.22	0.9825181244997603	0.9733939807532155	1.0	0.9866838758559626	0.9805302855206354	0.9838655000106772	0.98713669590761	0.9846969432239974	0.9848796967478791	0.9830526475008609	0.9856134877296149	0.9854763529625657	0.9861255684325652	0.9721248232327182	0.9855877932230656	0.9866790068884222	0.9986051990729738	0.9858030975954043	0.9730377134087183	0.985831694113247	0.9848305924937156	0.9841694437142275	0.9849346701462706	0.9857528720866567	0.9840105176028803	0.9741514101929738	0.9711086881846641	0.9860761837848824	0.9870001702364368	0.9724216585309334
QinN_2014__HD-19__bin.23	0.9855365605288732	0.9752512708672819	0.9866838758559626	1.0	0.9830824048905906	0.9872783441855677	0.986681735335132	0.9863538722684676	0.9857310308646988	0.9860008374269068	0.9873401569588537	0.9874505850084814	0.9883807152937372	0.9748950214781468	0.9859889815286453	0.9873907372929421	0.9857552169226084	0.9882394652306559	0.9754910694553364	0.9879793891885379	0.9850361824329235	0.98717310582754	0.9876146652665782	0.9864014426252783	0.9869754938867268	0.9758780466603425	0.9737191151606961	0.9864948432302791	0.9873675748039152	0.9750665997660887
LiJ_2017__H2M514818__bin.18	0.9881151777430105	0.9795835802969803	0.9805302855206354	0.9830824048905906	1.0	0.9835543273808142	0.9815575140366382	0.9834731214674407	0.9809844777622398	0.9827844146122735	0.985753695011902	0.9837324345423973	0.9834883402158174	0.9785009931460661	0.9827129696299648	0.9823355106372136	0.9801480637130943	0.9839539460149477	0.9797954309166356	0.9831631573378479	0.9811324912562004	0.9826746080477249	0.9824457154930121	0.9833028235889173	0.9865084647447935	0.9797162148203101	0.9783077240742503	0.9830093755549989	0.9818703999851941	0.9794487736450458
LiJ_2017__nHM511825__bin.51	0.984996749486749	0.9750182732429955	0.9838655000106772	0.9872783441855677	0.9835543273808142	1.0	0.9844154038346641	0.9852550295077301	0.9846599086362617	0.992109265329112	0.98707560546516	0.9858796882955575	0.9864007580088953	0.9736814033481673	0.9859080835832582	0.9857840919819183	0.98406647047056	0.9865192071682753	0.9742361818754733	0.9863029676397207	0.9846251250944591	0.9869591661724095	0.996783448187236	0.9849840337998524	0.9855770060054199	0.9755914295308835	0.9734517369412646	0.9856171348739915	0.9858668987574395	0.9744287858759214
QinN_2014__LD-36__bin.31	0.9829837517153923	0.9735399633591006	0.98713669590761	0.986681735335132	0.9815575140366382	0.9844154038346641	1.0	0.9849982991029265	0.9862604387872381	0.9843708677619315	0.9863045190795705	0.9855850356693208	0.9866650981342783	0.9725894694731687	0.9852519354684793	0.9872991318035307	0.9866311106438599	0.9863828116946451	0.9737562067410596	0.9861370921143957	0.9846343681585222	0.9844604871985054	0.9858949467779029	0.9864926953348693	0.9836711634595631	0.9741104043732598	0.9714788788030967	0.9861976866109098	0.9877932576818005	0.9734200207885231
LiJ_2017__H1M512853__bin.15	0.983051213805882	0.9744138347587913	0.9846969432239974	0.9863538722684676	0.9834731214674407	0.9852550295077301	0.9849982991029265	1.0	0.9843768701760146	0.9837519866897905	0.9848001574472722	0.9852526903632844	0.9864088857900954	0.9731043407088346	0.9849199774677756	0.9852908129307445	0.9845416729589105	0.9847591538409421	0.9735684819932262	0.9863403259357895	0.9854033503195924	0.9835040815792508	0.9850481504931341	0.9849527152371746	0.9844804181777661	0.975592191968171	0.9725671774802875	0.9859747715266992	0.9857365753207666	0.9734470278109957
YuJ_2015__SZAXPI015233-19__bin.50	0.9827740380677089	0.9731515487735511	0.9848796967478791	0.9857310308646988	0.9809844777622398	0.9846599086362617	0.9862604387872381	0.9843768701760146	1.0	0.9833544155015503	0.9858653747977756	0.9855936964350952	0.9852579942875371	0.9724622541864384	0.9846123815995208	0.986531549158709	0.9846288051598733	0.9853022242198302	0.9731070378423442	0.9852206490134143	0.9840374822703281	0.9841484589307966	0.9851596294417198	0.9845391584023817	0.9840687900906879	0.9734417919735755	0.971149096023148	0.9851053308403357	0.994294805174228	0.9729318482709493
WenC_2017__RA058__bin.32	0.9853832590986601	0.9745750509116092	0.9830526475008609	0.9860008374269068	0.9827844146122735	0.992109265329112	0.9843708677619315	0.9837519866897905	0.9833544155015503	1.0	0.9859383006448493	0.985247689760021	0.9849985067622339	0.973980429033288	0.9846996909574988	0.9849011830120861	0.9823733043482858	0.9846941972878642	0.9745258676603332	0.9849824389433597	0.9831486635359624	0.9838989862324665	0.9932590429329932	0.9840781199247361	0.9848778329221792	0.9749217428848991	0.9741212212391958	0.984505786467773	0.9845581108787796	0.9744832770880043
