	LiuW_2016__SRR3993059__bin.115	CosteaPI_2017__SID713B051-11-90-0__bin.29	SchirmerM_2016__G88966__bin.18	CosteaPI_2017__SID713B072-11-90-0__bin.79	Obregon-TitoAJ_2015__SM32__bin.9	ZeeviD_2015__PNP_Validation_49__bin.69	FengQ_2015__SID530600__bin.53	ZeeviD_2015__PNP_Main_683__bin.7	ZeeviD_2015__PNP_Main_203__bin.19	CosteaPI_2017__SID713A051-11-0-0__bin.6	BritoIL_2016__WL.28.ST__bin.7	BritoIL_2016__M2.36.ST__bin.4	LeChatelierE_2013__MH0224__bin.50	LiJ_2014__MH0303__bin.6	Obregon-TitoAJ_2015__SM28__bin.49	NielsenHB_2014__MH0118__bin.18	LeChatelierE_2013__MH0096__bin.55	ZeeviD_2015__PNP_Main_338__bin.24	RampelliS_2015__H17__bin.86	CosteaPI_2017__SID713B051-11-0-0__bin.64	LeChatelierE_2013__MH0053__bin.24	RampelliS_2015__H14__bin.54	BritoIL_2016__M2.44.ST__bin.6	LiuW_2016__SRR3992958__bin.90	Obregon-TitoAJ_2015__SM23__bin.21	ZeeviD_2015__PNP_Validation_47__bin.8	XieH_2016__YSZC12003_36795__bin.4	NielsenHB_2014__MH0096__bin.26	XieH_2016__YSZC12003_37100__bin.138	CosteaPI_2017__SID713A038-11-90-0__bin.25	CosteaPI_2017__SID713A004-11-90-0__bin.51	LiuW_2016__SRR3992978__bin.105	ZeeviD_2015__PNP_Main_27__bin.15	LiJ_2014__O2.UC44-1__bin.23	ZeeviD_2015__PNP_Main_325__bin.44	CM_madagascar__A94_03_1FE__bin.9	BritoIL_2016__M2.41.ST__bin.36	LeChatelierE_2013__MH0118__bin.24	NielsenHB_2014__MH0053__bin.13	ZeeviD_2015__PNP_Main_559__bin.27	CosteaPI_2017__SID713B066-11-90-0__bin.38	BritoIL_2016__M1.38.ST__bin.60	CosteaPI_2017__SID713B066-11-0-0__bin.23	BritoIL_2016__M2.37.ST__bin.35	Obregon-TitoAJ_2015__SM39__bin.43	CM_madagascar__A39_02_1FE__bin.34	YuJ_2015__SZAXPI015264-87__bin.34	RampelliS_2015__H13__bin.36	Obregon-TitoAJ_2015__SM18__bin.27
LiuW_2016__SRR3993059__bin.115	0.0	20737.0	13038.0	22108.0	27556.0	20947.0	25829.0	15283.0	18897.0	21343.0	20422.0	19125.0	17926.0	21796.0	29119.0	22683.0	21036.0	12213.0	17145.0	22052.0	24205.0	28746.0	21416.0	11369.0	29462.0	21492.0	24019.0	20326.0	26671.0	20854.0	22815.0	12107.0	18793.0	15916.0	21885.0	15861.0	19229.0	16526.0	24232.0	14513.0	20849.0	14930.0	18580.0	18119.0	33172.0	14694.0	21764.0	28308.0	35490.0
CosteaPI_2017__SID713B051-11-90-0__bin.29	20737.0	0.0	12387.0	19939.0	26198.0	19083.0	23596.0	14752.0	18868.0	19755.0	19910.0	19367.0	16724.0	5732.0	27246.0	20854.0	19473.0	2807.0	16845.0	454.0	22748.0	26860.0	20723.0	11562.0	28313.0	20335.0	22089.0	19083.0	25349.0	19933.0	19982.0	11928.0	16678.0	14659.0	20264.0	15885.0	18957.0	15528.0	23307.0	12884.0	18728.0	14548.0	17777.0	17353.0	31057.0	14721.0	19146.0	26098.0	33268.0
SchirmerM_2016__G88966__bin.18	13038.0	12387.0	0.0	12987.0	15711.0	11783.0	14646.0	9195.0	10790.0	12405.0	12035.0	11542.0	11163.0	12273.0	16400.0	12494.0	12315.0	7422.0	10563.0	12483.0	14493.0	17030.0	12627.0	7721.0	16775.0	12134.0	13787.0	11632.0	15281.0	12255.0	12891.0	7738.0	10542.0	9792.0	12381.0	10375.0	12019.0	9365.0	14444.0	7981.0	11678.0	8272.0	11482.0	11212.0	19282.0	9949.0	12121.0	16691.0	20400.0
CosteaPI_2017__SID713B072-11-90-0__bin.79	22108.0	19939.0	12987.0	0.0	27856.0	20346.0	25599.0	15229.0	19342.0	20692.0	19552.0	10395.0	17076.0	19576.0	29343.0	22226.0	20844.0	11795.0	17526.0	20981.0	24636.0	28936.0	11205.0	11655.0	29757.0	20601.0	23130.0	20160.0	27614.0	20879.0	21850.0	12486.0	18368.0	15020.0	21727.0	16775.0	9863.0	16133.0	24369.0	13914.0	19521.0	15968.0	17574.0	9175.0	33543.0	14759.0	20893.0	28749.0	36219.0
Obregon-TitoAJ_2015__SM32__bin.9	27556.0	26198.0	15711.0	27856.0	0.0	28465.0	28459.0	17950.0	21733.0	27835.0	25530.0	25740.0	20990.0	28795.0	28569.0	27729.0	25283.0	14581.0	18887.0	28856.0	28645.0	27948.0	28023.0	14997.0	297.0	28499.0	28684.0	26893.0	28505.0	26619.0	27868.0	15534.0	21690.0	18979.0	24863.0	17352.0	24824.0	25813.0	28577.0	13961.0	27461.0	17372.0	23652.0	23066.0	27190.0	15635.0	27157.0	27764.0	320.0
ZeeviD_2015__PNP_Validation_49__bin.69	20947.0	19083.0	11783.0	20346.0	28465.0	0.0	25058.0	14079.0	17888.0	20259.0	18588.0	20079.0	16684.0	20219.0	27830.0	22642.0	20366.0	11136.0	16996.0	20921.0	22348.0	26879.0	21411.0	11246.0	30356.0	205.0	22653.0	20131.0	25327.0	19122.0	19893.0	12083.0	17020.0	15037.0	20342.0	15787.0	19063.0	16916.0	21994.0	13439.0	20787.0	13358.0	17580.0	17557.0	32050.0	14072.0	19627.0	26882.0	34510.0
FengQ_2015__SID530600__bin.53	25829.0	23596.0	14646.0	25599.0	28459.0	25058.0	0.0	17442.0	20213.0	24581.0	23384.0	25609.0	20624.0	24863.0	30969.0	25262.0	24745.0	13507.0	18051.0	25625.0	25999.0	30070.0	27219.0	13286.0	30821.0	25488.0	26835.0	23625.0	27207.0	23939.0	26323.0	14080.0	21242.0	18286.0	23042.0	16310.0	24176.0	18166.0	26279.0	15279.0	24421.0	15242.0	21130.0	21783.0	35282.0	14771.0	24667.0	29764.0	36979.0
ZeeviD_2015__PNP_Main_683__bin.7	15283.0	14752.0	9195.0	15229.0	17950.0	14079.0	17442.0	0.0	13699.0	15045.0	9301.0	14753.0	13208.0	15042.0	20071.0	16054.0	14934.0	9063.0	12861.0	15458.0	16447.0	19818.0	15898.0	8701.0	19550.0	14881.0	16309.0	14394.0	18178.0	14978.0	14788.0	9100.0	13480.0	11405.0	15394.0	10975.0	14743.0	10981.0	16732.0	10441.0	14574.0	10042.0	13436.0	13907.0	23157.0	10385.0	14846.0	19257.0	24231.0
ZeeviD_2015__PNP_Main_203__bin.19	18897.0	18868.0	10790.0	19342.0	21733.0	17888.0	20213.0	13699.0	0.0	18767.0	18431.0	18583.0	15125.0	19297.0	23449.0	19332.0	18772.0	11644.0	13363.0	20089.0	19380.0	22542.0	20102.0	9899.0	23535.0	18186.0	21424.0	17735.0	21881.0	18301.0	18798.0	10858.0	16563.0	13280.0	17216.0	13163.0	18477.0	13514.0	19767.0	12106.0	17722.0	12712.0	15454.0	16651.0	27171.0	12070.0	18311.0	22269.0	28200.0
CosteaPI_2017__SID713A051-11-0-0__bin.6	21343.0	19755.0	12405.0	20692.0	27835.0	20259.0	24581.0	15045.0	18767.0	0.0	19770.0	20109.0	17408.0	21291.0	28823.0	22281.0	19918.0	11714.0	17184.0	21508.0	23223.0	28445.0	21310.0	11037.0	30089.0	20615.0	23491.0	19793.0	26376.0	20525.0	20179.0	11723.0	18520.0	15244.0	21695.0	15801.0	19027.0	16408.0	23110.0	14007.0	20548.0	13384.0	17770.0	17596.0	33124.0	14541.0	20381.0	27794.0	35330.0
