	ZeeviD_2015__PNP_Main_479__bin.30	LiuW_2016__SRR3992994__bin.26	RampelliS_2015__H20__bin.28	XieH_2016__YSZC12003_36034__bin.76	CosteaPI_2017__SID713A028-11-90-0__bin.62	XieH_2016__YSZC12003_37315__bin.25	RampelliS_2015__H16__bin.35	ZeeviD_2015__PNP_Main_443__bin.23	XieH_2016__YSZC12003_36033__bin.88	VincentC_2016__MM100.1__bin.9	LiSS_2016__FAT_006-22-42-0__bin.55	CM_madagascar__V06_02_1FE__bin.13	XieH_2016__YSZC12003_37208R1__bin.49	RampelliS_2015__H27__bin.12	LiuW_2016__SRR3992967__bin.73	LiJ_2014__MH0328__bin.50	SchirmerM_2016__G89274__bin.21	ZeeviD_2015__PNP_Validation_15__bin.31	RampelliS_2015__H9__bin.17	LiSS_2016__FAT_006-22-84-0__bin.37	RampelliS_2015__H15__bin.31	LiSS_2016__FAT_006-22-0-0__bin.61	ZellerG_2014__CCIS36797902ST-4-0__bin.4	LiJ_2017__H2M513938__bin.39	ZeeviD_2015__PNP_Main_379__bin.36	ZeeviD_2015__PNP_Main_764__bin.27	CosteaPI_2017__SID713A053-11-0-0__bin.28	ZeeviD_2015__PNP_Main_215__bin.19	BritoIL_2016__W1.53.ST__bin.9	CM_madagascar__A27_02_1FE__bin.15	CosteaPI_2017__SID713A028-11-0-0__bin.34	RampelliS_2015__H1__bin.27	FengQ_2015__SID530840__bin.75	LeChatelierE_2013__MH0407__bin.34	BritoIL_2016__W1.2.ST__bin.113	HeQ_2017__SZAXPI029560-51__bin.43	BritoIL_2016__M1.22.ST__bin.48	LiJ_2014__MH0354__bin.3
ZeeviD_2015__PNP_Main_479__bin.30	0.0	56563.0	58421.0	57933.0	56748.0	31785.0	59793.0	536.0	56222.0	46637.0	52574.0	60874.0	57843.0	63654.0	55791.0	58449.0	54920.0	58201.0	53693.0	52404.0	38472.0	53583.0	45258.0	59518.0	56387.0	54671.0	35248.0	53242.0	58134.0	59793.0	57678.0	58815.0	56741.0	43707.0	24951.0	59669.0	47335.0	52436.0
LiuW_2016__SRR3992994__bin.26	56563.0	0.0	57857.0	56110.0	55332.0	32102.0	59094.0	56217.0	55272.0	47460.0	53062.0	57322.0	55983.0	62251.0	53300.0	58410.0	55467.0	54389.0	53541.0	53590.0	35428.0	53852.0	45090.0	56169.0	54526.0	56333.0	33301.0	52042.0	55592.0	56551.0	55418.0	57268.0	53882.0	40339.0	24189.0	56469.0	44668.0	51443.0
RampelliS_2015__H20__bin.28	58421.0	57857.0	0.0	64001.0	60007.0	30672.0	56686.0	58499.0	62300.0	48938.0	58892.0	56041.0	62399.0	61433.0	59062.0	61483.0	60142.0	54732.0	52046.0	59743.0	34451.0	60393.0	45410.0	54314.0	59963.0	60662.0	36661.0	58154.0	59132.0	60716.0	60543.0	5080.0	58450.0	44888.0	26221.0	54710.0	44714.0	52316.0
XieH_2016__YSZC12003_36034__bin.76	57933.0	56110.0	64001.0	0.0	61916.0	32554.0	60077.0	57865.0	1618.0	48388.0	54562.0	62829.0	55153.0	65852.0	56965.0	60055.0	55334.0	59052.0	56001.0	55507.0	39537.0	55810.0	45324.0	60068.0	60379.0	59407.0	35705.0	53163.0	58907.0	59997.0	62242.0	62849.0	56412.0	40571.0	24958.0	60735.0	45923.0	53189.0
CosteaPI_2017__SID713A028-11-90-0__bin.62	56748.0	55332.0	60007.0	61916.0	0.0	29730.0	59409.0	56832.0	60020.0	44891.0	55032.0	58645.0	56797.0	63846.0	56780.0	61875.0	57193.0	53701.0	52570.0	54740.0	37067.0	56788.0	45674.0	56674.0	54812.0	58218.0	33896.0	52689.0	56072.0	57593.0	943.0	58711.0	55931.0	41219.0	24208.0	57782.0	47167.0	51514.0
XieH_2016__YSZC12003_37315__bin.25	31785.0	32102.0	30672.0	32554.0	29730.0	0.0	31286.0	31619.0	30361.0	25700.0	30669.0	30029.0	31781.0	34608.0	29933.0	36084.0	31185.0	27866.0	29486.0	31065.0	24345.0	31355.0	24404.0	31719.0	31321.0	31793.0	22326.0	30753.0	29642.0	31249.0	30076.0	30028.0	31536.0	25419.0	17903.0	27740.0	25007.0	27275.0
RampelliS_2015__H16__bin.35	59793.0	59094.0	56686.0	60077.0	59409.0	31286.0	0.0	59976.0	58909.0	49017.0	57805.0	58857.0	57065.0	54628.0	59313.0	60019.0	57176.0	57243.0	52005.0	58378.0	35428.0	58711.0	45035.0	58247.0	56569.0	60411.0	37084.0	56017.0	55397.0	58414.0	59459.0	56337.0	58581.0	43062.0	25804.0	57053.0	43760.0	54192.0
ZeeviD_2015__PNP_Main_443__bin.23	536.0	56217.0	58499.0	57865.0	56832.0	31619.0	59976.0	0.0	56232.0	46943.0	51832.0	60533.0	57616.0	63141.0	55723.0	58259.0	54682.0	57579.0	53929.0	52011.0	38332.0	52828.0	45058.0	59879.0	56725.0	54386.0	35033.0	52958.0	58258.0	59269.0	56999.0	59101.0	56412.0	43565.0	24938.0	59910.0	47070.0	52397.0
XieH_2016__YSZC12003_36033__bin.88	56222.0	55272.0	62300.0	1618.0	60020.0	30361.0	58909.0	56232.0	0.0	47454.0	53396.0	60629.0	54530.0	64191.0	56191.0	57713.0	54329.0	56560.0	54383.0	54076.0	37289.0	54277.0	44768.0	57714.0	57503.0	57131.0	34890.0	51632.0	57463.0	57888.0	60522.0	60768.0	55443.0	39789.0	24249.0	59409.0	44817.0	51626.0
VincentC_2016__MM100.1__bin.9	46637.0	47460.0	48938.0	48388.0	44891.0	25700.0	49017.0	46943.0	47454.0	0.0	44642.0	48476.0	45204.0	51863.0	46898.0	46498.0	45964.0	46384.0	44615.0	44870.0	32257.0	45087.0	38820.0	49463.0	42711.0	48013.0	29567.0	42831.0	45728.0	44798.0	44946.0	47465.0	44914.0	33241.0	19347.0	48644.0	37526.0	39817.0
