	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.47	ZeeviD_2015__PNP_Main_166__bin.6	LiuW_2016__SRR3993020__bin.68	HMP_2012__SRS024435__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.8	LiuW_2016__SRR3992958__bin.38	LiJ_2017__H2M415914__bin.38	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.79	VatanenT_2016__G80433__bin.10	HMP_2012__SRS017103__bin.53	XieH_2016__YSZC12003_37830__bin.113	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.13	WenC_2017__N252__bin.15	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.24	ZeeviD_2015__PNP_Main_520__bin.58	Bengtsson-PalmeJ_2015__TRAVELRES61__bin.16	XieH_2016__YSZC12003_37332__bin.24	CM_madagascar__A89_01_1FE__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.76	LiuW_2016__SRR3992987__bin.62	LiJ_2017__H2M515921__bin.40	YuJ_2015__SZAXPI015264-87__bin.24	XieH_2016__YSZC12003_35387__bin.46	LiuW_2016__SRR3992984__bin.72	LouisS_2016__AS66_18__bin.38	XieH_2016__YSZC12003_36244__bin.54
Bengtsson-PalmeJ_2015__TRAVELRES66__bin.47	0.0	9574.0	18539.0	19077.0	14043.0	22922.0	7369.0	13901.0	11937.0	20435.0	13335.0	19693.0	13658.0	10811.0	10789.0	7772.0	15929.0	16817.0	11313.0	15439.0	10507.0	12617.0	14269.0	12306.0	14460.0	13429.0
ZeeviD_2015__PNP_Main_166__bin.6	9574.0	0.0	14670.0	15427.0	11947.0	19282.0	7148.0	14564.0	10581.0	16303.0	10969.0	15412.0	12978.0	11544.0	9260.0	8545.0	13241.0	13475.0	12180.0	13851.0	11171.0	12749.0	12601.0	10654.0	12916.0	14370.0
LiuW_2016__SRR3993020__bin.68	18539.0	14670.0	0.0	25575.0	23075.0	35333.0	19050.0	27691.0	17157.0	28043.0	23325.0	25890.0	27967.0	25564.0	16702.0	16159.0	28255.0	29620.0	27030.0	28148.0	27715.0	28063.0	27088.0	24733.0	23094.0	25033.0
HMP_2012__SRS024435__bin.32	19077.0	15427.0	25575.0	0.0	23928.0	22109.0	11700.0	24358.0	11278.0	15559.0	21712.0	17488.0	23072.0	23890.0	14676.0	16233.0	25579.0	26703.0	24659.0	23793.0	23787.0	25053.0	23962.0	18674.0	11186.0	23797.0
Bengtsson-PalmeJ_2015__TRAVELRES60__bin.8	14043.0	11947.0	23075.0	23928.0	0.0	29174.0	10484.0	19064.0	15542.0	25361.0	17161.0	24912.0	19704.0	17325.0	13466.0	11805.0	20336.0	22930.0	18027.0	17690.0	16799.0	19283.0	17533.0	16108.0	17647.0	19291.0
LiuW_2016__SRR3992958__bin.38	22922.0	19282.0	35333.0	22109.0	29174.0	0.0	16445.0	31546.0	4023.0	22796.0	29393.0	21052.0	30412.0	30910.0	19988.0	19717.0	33858.0	33137.0	32594.0	32315.0	32220.0	32126.0	31379.0	25275.0	17292.0	29688.0
LiJ_2017__H2M415914__bin.38	7369.0	7148.0	19050.0	11700.0	10484.0	16445.0	0.0	11432.0	7555.0	14474.0	11816.0	12556.0	2417.0	8664.0	9295.0	6150.0	14370.0	13315.0	9183.0	13076.0	9570.0	10287.0	11888.0	12334.0	10689.0	11821.0
Bengtsson-PalmeJ_2015__TRAVELRES55__bin.79	13901.0	14564.0	27691.0	24358.0	19064.0	31546.0	11432.0	0.0	15444.0	27034.0	17967.0	25455.0	20302.0	17018.0	14449.0	11917.0	22218.0	25221.0	18095.0	22419.0	17345.0	19791.0	19764.0	18544.0	20080.0	21210.0
VatanenT_2016__G80433__bin.10	11937.0	10581.0	17157.0	11278.0	15542.0	4023.0	7555.0	15444.0	0.0	11232.0	13433.0	11037.0	14393.0	14999.0	9644.0	10960.0	16292.0	16855.0	15694.0	14932.0	15167.0	16127.0	15134.0	12019.0	8324.0	14503.0
HMP_2012__SRS017103__bin.53	20435.0	16303.0	28043.0	15559.0	25361.0	22796.0	14474.0	27034.0	11232.0	0.0	24219.0	15989.0	26054.0	27058.0	16873.0	17540.0	27798.0	28698.0	28427.0	27821.0	27140.0	27151.0	26558.0	21123.0	11142.0	25017.0
XieH_2016__YSZC12003_37830__bin.113	13335.0	10969.0	23325.0	21712.0	17161.0	29393.0	11816.0	17967.0	13433.0	24219.0	0.0	21698.0	19790.0	16749.0	13087.0	11667.0	21573.0	20861.0	17686.0	19061.0	17325.0	19041.0	17366.0	16882.0	17817.0	18600.0
Bengtsson-PalmeJ_2015__TRAVELRES18__bin.13	19693.0	15412.0	25890.0	17488.0	24912.0	21052.0	12556.0	25455.0	11037.0	15989.0	21698.0	0.0	23164.0	26068.0	15066.0	17975.0	25535.0	27544.0	26518.0	25425.0	25363.0	26061.0	24440.0	19173.0	12224.0	23695.0
WenC_2017__N252__bin.15	13658.0	12978.0	27967.0	23072.0	19704.0	30412.0	2417.0	20302.0	14393.0	26054.0	19790.0	23164.0	0.0	14484.0	15360.0	10114.0	24127.0	25183.0	15375.0	22457.0	15084.0	17761.0	20713.0	18115.0	18515.0	20989.0
Bengtsson-PalmeJ_2015__TRAVELRES2__bin.24	10811.0	11544.0	25564.0	23890.0	17325.0	30910.0	8664.0	17018.0	14999.0	27058.0	16749.0	26068.0	14484.0	0.0	13905.0	4227.0	21145.0	22242.0	395.0	19589.0	6662.0	12707.0	17946.0	16478.0	19649.0	17727.0
ZeeviD_2015__PNP_Main_520__bin.58	10789.0	9260.0	16702.0	14676.0	13466.0	19988.0	9295.0	14449.0	9644.0	16873.0	13087.0	15066.0	15360.0	13905.0	0.0	9163.0	16504.0	16372.0	14366.0	15603.0	14160.0	15815.0	13794.0	13834.0	12003.0	14671.0
Bengtsson-PalmeJ_2015__TRAVELRES61__bin.16	7772.0	8545.0	16159.0	16233.0	11805.0	19717.0	6150.0	11917.0	10960.0	17540.0	11667.0	17975.0	10114.0	4227.0	9163.0	0.0	13757.0	14991.0	4383.0	13110.0	5739.0	9364.0	11592.0	10822.0	13018.0	11932.0
XieH_2016__YSZC12003_37332__bin.24	15929.0	13241.0	28255.0	25579.0	20336.0	33858.0	14370.0	22218.0	16292.0	27798.0	21573.0	25535.0	24127.0	21145.0	16504.0	13757.0	0.0	25644.0	21900.0	24046.0	21711.0	24560.0	22049.0	20351.0	21071.0	22235.0
CM_madagascar__A89_01_1FE__bin.10	16817.0	13475.0	29620.0	26703.0	22930.0	33137.0	13315.0	25221.0	16855.0	28698.0	20861.0	27544.0	25183.0	22242.0	16372.0	14991.0	25644.0	0.0	23738.0	24604.0	22501.0	24715.0	23762.0	20510.0	20545.0	25663.0
Bengtsson-PalmeJ_2015__TRAVELRES1__bin.76	11313.0	12180.0	27030.0	24659.0	18027.0	32594.0	9183.0	18095.0	15694.0	28427.0	17686.0	26518.0	15375.0	395.0	14366.0	4383.0	21900.0	23738.0	0.0	20736.0	6903.0	13722.0	19086.0	17319.0	20659.0	18648.0
