	VincentC_2016__MM081__bin.1	LiJ_2014__O2.UC36-0__bin.56	XieH_2016__YSZC12003_37127__bin.43	BackhedF_2015__SID521_12M__bin.15	LiJ_2014__MH0301__bin.14	BackhedF_2015__SID521_4M__bin.14	XieH_2016__YSZC12003_37176__bin.70	XieH_2016__YSZC12003_36389__bin.16	LiJ_2014__V1.FI04__bin.68	VogtmannE_2016__MMRS14379078ST-27-0-0__bin.24	CosteaPI_2017__SID713B041-11-0-0__bin.68	LiuW_2016__SRR3993027__bin.4	LeChatelierE_2013__MH0199__bin.45	NielsenHB_2014__V1_CD41_0__bin.62	LeChatelierE_2013__MH0251__bin.15	XieH_2016__YSZC12003_36212__bin.11	LiJ_2014__O2.UC36-1__bin.41	KarlssonFH_2013__S356__bin.18	VogtmannE_2016__MMRS48639115ST-27-0-0__bin.33	LiJ_2014__V1.FI21__bin.37	CosteaPI_2017__SID713B003-11-90-0__bin.6	XieH_2016__YSZC12003_35506__bin.40	LeChatelierE_2013__MH0191__bin.37	RaymondF_2016__P12E90__bin.8	VatanenT_2016__G80376__bin.4	RaymondF_2016__P12E0__bin.13	NielsenHB_2014__O2_UC51_2__bin.35	QinN_2014__LD-62__bin.3	ZeeviD_2015__PNP_Main_240__bin.26	VatanenT_2016__G80540__bin.10	BackhedF_2015__SID507_M__bin.62
VincentC_2016__MM081__bin.1	1.0	0.9986396418495371	0.9995945497713069	0.9972129439414953	0.9973678125428371	0.9973598581454586	0.9975002678284469	0.9975588797188811	0.9980483270613675	0.9983587377048602	0.999484820292422	0.9995166086580428	0.9994336770274128	0.9995025565800847	0.9989694652047959	0.9993919496146003	0.9988689835986464	0.9985637042680094	0.9984395991511945	0.9997757876480942	0.9996812512322202	0.9995012956713287	0.9984574777382682	0.9995764010219135	0.9991286127152236	0.9996218473791563	0.9975376265893515	0.999659665033698	0.9993572171051263	0.9998608954741669	0.9984912745224798
LiJ_2014__O2.UC36-0__bin.56	0.9986396418495371	1.0	0.9987755924651621	0.9964597534611647	0.996544164177975	0.9963270690974192	0.9966004602696015	0.9967979236724641	0.9971042767604769	0.9976052380028317	0.9986080696019115	0.9985478468451016	0.9985129257754748	0.9986292389296144	0.997964647924769	0.9987503093737558	0.9979510733759859	0.9971237880913113	0.9974657509906004	0.9984734300753473	0.9987942010675055	0.9984303187174269	0.9974910052695138	0.998696178926596	0.9983591064399879	0.9985575874163636	0.9969082546966087	0.9988039007741637	0.9982486272770664	0.998660657807918	0.9976854860080079
XieH_2016__YSZC12003_37127__bin.43	0.9995945497713069	0.9987755924651621	1.0	0.9968656658053765	0.9974696433184906	0.9969776174495305	0.9977159826430794	0.9976041994723883	0.9982004772324479	0.9982962281957257	0.9996542857904133	0.9995950553707972	0.999486739634256	0.9990523818943232	0.9990444892411362	0.9996622317769795	0.9989276424623798	0.9985630980379523	0.9985108497254571	0.999422339875125	0.9997175752536285	0.9993941057032141	0.9985027320000268	0.9994325201814116	0.9993495828340633	0.9993909860707136	0.9976089116156819	0.9997230618926753	0.9993600429992201	0.9995870519424578	0.9985811947866862
BackhedF_2015__SID521_12M__bin.15	0.9972129439414953	0.9964597534611647	0.9968656658053765	1.0	0.9960213499146655	0.9955936204433677	0.9950506318520378	0.9947248541269124	0.9962712732396912	0.9963730080152046	0.9969118046132972	0.9968048385683227	0.9971563866101582	0.9971171130247438	0.9967414650831736	0.9971389944976013	0.9966932343258518	0.9965862317169473	0.9962751183763615	0.9970730974144375	0.9972803345178496	0.996918363329466	0.9961039845564119	0.9967555553967477	0.9968817129790035	0.9968466764514519	0.9958141644365597	0.9971896899251185	0.9965361990557638	0.9970622086186334	0.9961865170684115
LiJ_2014__MH0301__bin.14	0.9973678125428371	0.996544164177975	0.9974696433184906	0.9960213499146655	1.0	0.9955314015139489	0.9954982458802996	0.9960928745386902	0.9963196586025208	0.9963430527860853	0.9972031013949223	0.9971954995147476	0.9973290506476622	0.9974701395988022	0.997209443065354	0.9974594569102156	0.9967954645460401	0.9965024417996388	0.996621631198637	0.9973416365158261	0.9977106502628512	0.9972292278410456	0.9968894635261492	0.9974184610996801	0.9976129017344604	0.9974241519592316	0.996498414203291	0.9976588631041322	0.9972988492754279	0.9974229306665496	0.9968282173536273
BackhedF_2015__SID521_4M__bin.14	0.9973598581454586	0.9963270690974192	0.9969776174495305	0.9955936204433677	0.9955314015139489	1.0	0.9954142600106232	0.9955290479541038	0.9958218502168547	0.9964709443195198	0.9970862186194195	0.9966848490754715	0.9972657390597824	0.9967078141000625	0.9969285543438209	0.9972402052671702	0.9969073492610714	0.9964243006698017	0.9965132726453387	0.9972231226448933	0.9973620863788967	0.9971856364986793	0.9964570686824724	0.9969624340017258	0.9969226635618647	0.9969420154174053	0.9957516923948165	0.997337692629859	0.9971464423088048	0.9971928988014707	0.9964653448870869
XieH_2016__YSZC12003_37176__bin.70	0.9975002678284469	0.9966004602696015	0.9977159826430794	0.9950506318520378	0.9954982458802996	0.9954142600106232	1.0	0.9956343821116145	0.9961213722094567	0.9965257538732397	0.9974718439413995	0.997398950019207	0.997437692400998	0.9972525303133858	0.9970011810362085	0.9976132482111216	0.9968470408202869	0.9967098187370672	0.9966437914266526	0.9973899194973649	0.9977599491999876	0.9973878908805656	0.996406323851742	0.9975787732133451	0.9973329744675125	0.9976372439882493	0.9956085421460217	0.9977050929314322	0.9973932244280428	0.9975514905896653	0.9963718996102238
XieH_2016__YSZC12003_36389__bin.16	0.9975588797188811	0.9967979236724641	0.9976041994723883	0.9947248541269124	0.9960928745386902	0.9955290479541038	0.9956343821116145	1.0	0.996316713726353	0.9966244510914529	0.9972873225990476	0.9970940285574152	0.9972249701626852	0.9975417946128429	0.9973272784087125	0.9975545155121931	0.9968296423903106	0.9968747629861294	0.9965484213001954	0.9972213936189793	0.997654528534879	0.9972028153819158	0.9969124280498701	0.9976282437848508	0.9976440009423996	0.997358328913549	0.9966206644661162	0.997645591884008	0.997126454919585	0.9974243900841065	0.9969603963200325
LiJ_2014__V1.FI04__bin.68	0.9980483270613675	0.9971042767604769	0.9982004772324479	0.9962712732396912	0.9963196586025208	0.9958218502168547	0.9961213722094567	0.996316713726353	1.0	0.9971979768359525	0.9978924246022323	0.9981116161987518	0.9979732952811409	0.9981039568478853	0.997755	0.9981281815394051	0.9973462660305671	0.9974649537893356	0.9972122118718978	0.9980010854277254	0.9981946495978993	0.9979080099373756	0.9973322734690683	0.9981387067241743	0.9979663707157383	0.9981132431773378	0.9964305362426196	0.9981640326415928	0.9977421292424244	0.9980471183531073	0.9972580342432901
VogtmannE_2016__MMRS14379078ST-27-0-0__bin.24	0.9983587377048602	0.9976052380028317	0.9982962281957257	0.9963730080152046	0.9963430527860853	0.9964709443195198	0.9965257538732397	0.9966244510914529	0.9971979768359525	1.0	0.9979931130958786	0.9982796673464078	0.9980633075614397	0.9979273250210253	0.9977742404722805	0.9982921606226794	0.9978457501825343	0.9978350323967362	0.9993691738767687	0.9980833736714004	0.9984367532858639	0.998119170043276	0.9981932892779775	0.998241599385319	0.998898752834946	0.9982238010657194	0.9971279058164989	0.9984372576854713	0.9980562037921996	0.9984189324278401	0.9980833719653202
CosteaPI_2017__SID713B041-11-0-0__bin.68	0.999484820292422	0.9986080696019115	0.9996542857904133	0.9969118046132972	0.9972031013949223	0.9970862186194195	0.9974718439413995	0.9972873225990476	0.9978924246022323	0.9979931130958786	1.0	0.9996008703910749	0.9993169623428652	0.9988561749091925	0.9988255459846341	0.9996103145702039	0.9986714390933207	0.9977305570315488	0.9983272684163121	0.999384761471429	0.999701293360954	0.9992751470500861	0.9982037248834127	0.9996365792072329	0.9992983648058169	0.9995247325394776	0.9971191293758845	0.9996924735314483	0.999139646807496	0.9996073657083199	0.998440490391979
LiuW_2016__SRR3993027__bin.4	0.9995166086580428	0.9985478468451016	0.9995950553707972	0.9968048385683227	0.9971954995147476	0.9966848490754715	0.997398950019207	0.9970940285574152	0.9981116161987518	0.9982796673464078	0.9996008703910749	1.0	0.9993928586297339	0.9991500286373559	0.9989508455822657	0.9995451629085527	0.9987517868642007	0.9984008132055812	0.9982891733832359	0.9991135172940042	0.9996471842187576	0.9993224037854629	0.9983806416914462	0.9994376517193619	0.999169355468968	0.9994349628944137	0.9974619078189323	0.9996588929651343	0.9991725281956961	0.9994984837578897	0.9984653727752747
LeChatelierE_2013__MH0199__bin.45	0.9994336770274128	0.9985129257754748	0.999486739634256	0.9971563866101582	0.9973290506476622	0.9972657390597824	0.997437692400998	0.9972249701626852	0.9979732952811409	0.9980633075614397	0.9993169623428652	0.9993928586297339	1.0	0.9995218439828564	0.9987753116319206	0.9990695488291024	0.9988174908389058	0.9984425910177386	0.9982637816970095	0.9996399414315945	0.9995802308252957	0.9994909028428985	0.9980799871039614	0.9994817787942886	0.9989194795757347	0.9995434820521764	0.997441625332169	0.9993774512855631	0.9994371236105697	0.9996706401714982	0.9984193900139415
NielsenHB_2014__V1_CD41_0__bin.62	0.9995025565800847	0.9986292389296144	0.9990523818943232	0.9971171130247438	0.9974701395988022	0.9967078141000625	0.9972525303133858	0.9975417946128429	0.9981039568478853	0.9979273250210253	0.9988561749091925	0.9991500286373559	0.9995218439828564	1.0	0.9989048070866039	0.9993220281813658	0.9988291523587337	0.9991647257750923	0.9984952584633707	0.9988365309117933	0.9994376435093715	0.9993555578925228	0.9987281960460251	0.9990836431262624	0.9989533140178453	0.9990886173639971	0.9980982524084252	0.9994190930472217	0.9993926762430839	0.9993924560556897	0.998717688895513
LeChatelierE_2013__MH0251__bin.15	0.9989694652047959	0.997964647924769	0.9990444892411362	0.9967414650831736	0.997209443065354	0.9969285543438209	0.9970011810362085	0.9973272784087125	0.997755	0.9977742404722805	0.9988255459846341	0.9989508455822657	0.9987753116319206	0.9989048070866039	1.0	0.9989704339292403	0.9983054423866643	0.998024389210069	0.9980675536849207	0.9985058245579475	0.9990374774545749	0.9987887986373047	0.9981289668698606	0.9991057624089089	0.9989644467171463	0.9989706289425654	0.9970635773157583	0.9990703408234819	0.9986567385188162	0.9988538891254467	0.998163672691686
XieH_2016__YSZC12003_36212__bin.11	0.9993919496146003	0.9987503093737558	0.9996622317769795	0.9971389944976013	0.9974594569102156	0.9972402052671702	0.9976132482111216	0.9975545155121931	0.9981281815394051	0.9982921606226794	0.9996103145702039	0.9995451629085527	0.9990695488291024	0.9993220281813658	0.9989704339292403	1.0	0.9988587196678524	0.9985301922247353	0.9985110253379627	0.9995050779007384	0.9997365761097475	0.9993766601513557	0.9982329669543645	0.9995871413290296	0.9992780663527429	0.9995137573929915	0.9976253285045035	0.9997312288453473	0.9992652345611353	0.9996068273381584	0.9985866932280872
