	XieH_2016__YSZC12003_37209__bin.2	QinJ_2012__NLM032__bin.4	ZeeviD_2015__PNP_Main_515__bin.19	ZeeviD_2015__PNP_Main_625__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.43	QinJ_2012__NOM007__bin.16	BritoIL_2016__M1.52.ST__bin.24	XieH_2016__YSZC12003_37136__bin.27	FengQ_2015__SID31282__bin.48	BritoIL_2016__M2.60.ST__bin.64	XieH_2016__YSZC12003_36019__bin.1	BritoIL_2016__M1.25.ST__bin.89	QinJ_2012__T2D-043__bin.19	XieH_2016__YSZC12003_37205__bin.56	XieH_2016__YSZC12003_37798__bin.29	BritoIL_2016__W3.19.ST__bin.49	XieH_2016__YSZC12003_36051__bin.40	CM_madagascar__V48_03_2FE__bin.32	XieH_2016__YSZC12003_37265R1__bin.12	XieH_2016__YSZC12003_36702__bin.50	XieH_2016__YSZC12003_37233__bin.26	XieH_2016__YSZC12003_36057__bin.33	NielsenHB_2014__O2_UC37_2__bin.33	Bengtsson-PalmeJ_2015__TRAVELRES28__bin.101	XieH_2016__YSZC12003_35734__bin.45	LeChatelierE_2013__MH0292__bin.40	HMP_2012__SRS020328__bin.68	BritoIL_2016__W1.26.ST__bin.34	XieH_2016__YSZC12003_35516__bin.8	ZellerG_2014__CCMD46947453ST-21-0__bin.72	ZeeviD_2015__PNP_Main_561__bin.55	LeChatelierE_2013__MH0125__bin.33	ZellerG_2014__CCIS41222843ST-4-0__bin.24	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.23	NielsenHB_2014__MH0125__bin.43
XieH_2016__YSZC12003_37209__bin.2	0.0	29992.0	23560.0	15902.0	22188.0	30170.0	22948.0	22191.0	20674.0	25138.0	22845.0	24027.0	24670.0	23260.0	23039.0	25953.0	25805.0	23738.0	3003.0	22324.0	22376.0	21154.0	21262.0	25125.0	23418.0	27947.0	22165.0	19573.0	21487.0	23475.0	24438.0	23640.0	23682.0	15938.0	22787.0
QinJ_2012__NLM032__bin.4	29992.0	0.0	30801.0	18051.0	29658.0	24868.0	29200.0	28320.0	29004.0	32680.0	30621.0	30909.0	26592.0	31050.0	29685.0	34227.0	30586.0	24989.0	32722.0	28446.0	30059.0	27058.0	30052.0	32314.0	29913.0	21794.0	30400.0	30122.0	29580.0	31222.0	33243.0	31105.0	27429.0	19581.0	29934.0
ZeeviD_2015__PNP_Main_515__bin.19	23560.0	30801.0	0.0	15641.0	21697.0	31574.0	11524.0	22017.0	20953.0	27268.0	22289.0	26133.0	26784.0	22011.0	21853.0	27232.0	25583.0	23501.0	24003.0	19142.0	22717.0	20898.0	20476.0	23758.0	24050.0	28032.0	22519.0	25926.0	19390.0	24340.0	24813.0	22414.0	23589.0	16170.0	21349.0
ZeeviD_2015__PNP_Main_625__bin.7	15902.0	18051.0	15641.0	0.0	13916.0	20465.0	15082.0	15307.0	14178.0	18261.0	14007.0	16984.0	15443.0	15055.0	13771.0	17534.0	15094.0	14843.0	16038.0	14075.0	15508.0	10043.0	14561.0	15565.0	15595.0	17147.0	16186.0	15720.0	14366.0	16203.0	16401.0	15549.0	11446.0	10344.0	15261.0
Bengtsson-PalmeJ_2015__TRAVELRES27__bin.43	22188.0	29658.0	21697.0	13916.0	0.0	30649.0	21061.0	20641.0	21470.0	25555.0	21330.0	26163.0	26242.0	22284.0	19893.0	26307.0	24657.0	22438.0	22707.0	19208.0	21313.0	19741.0	20143.0	340.0	22707.0	25959.0	21780.0	23923.0	20831.0	21797.0	24769.0	22337.0	20815.0	15620.0	21264.0
QinJ_2012__NOM007__bin.16	30170.0	24868.0	31574.0	20465.0	30649.0	0.0	30269.0	31086.0	29906.0	33638.0	32399.0	31237.0	27822.0	32899.0	30349.0	34314.0	30240.0	28042.0	31332.0	30310.0	31593.0	28292.0	31758.0	34055.0	31990.0	21460.0	31799.0	29867.0	31045.0	33184.0	33224.0	31934.0	30028.0	20701.0	30988.0
BritoIL_2016__M1.52.ST__bin.24	22948.0	29200.0	11524.0	15082.0	21061.0	30269.0	0.0	22191.0	21742.0	26833.0	23168.0	25635.0	26280.0	22202.0	20651.0	26570.0	25465.0	24073.0	22956.0	20784.0	22438.0	21742.0	21302.0	22452.0	24138.0	27840.0	21933.0	23719.0	19432.0	23892.0	24254.0	23003.0	22846.0	16921.0	22145.0
XieH_2016__YSZC12003_37136__bin.27	22191.0	28320.0	22017.0	15307.0	20641.0	31086.0	22191.0	0.0	21831.0	27293.0	20456.0	25584.0	26185.0	20544.0	20995.0	26406.0	25552.0	23365.0	25186.0	21456.0	3865.0	20818.0	20646.0	22070.0	21613.0	27391.0	11439.0	23729.0	20008.0	10244.0	23723.0	23541.0	21084.0	16433.0	22972.0
FengQ_2015__SID31282__bin.48	20674.0	29004.0	20953.0	14178.0	21470.0	29906.0	21742.0	21831.0	0.0	25416.0	21081.0	24669.0	24157.0	21896.0	22671.0	26213.0	23188.0	23375.0	26003.0	18605.0	23285.0	19565.0	17834.0	22560.0	22612.0	27023.0	23247.0	24349.0	16294.0	23189.0	24733.0	23384.0	23859.0	16690.0	23005.0
BritoIL_2016__M2.60.ST__bin.64	25138.0	32680.0	27268.0	18261.0	25555.0	33638.0	26833.0	27293.0	25416.0	0.0	26556.0	14415.0	28783.0	27519.0	23501.0	17183.0	28651.0	25127.0	25785.0	24856.0	27810.0	24129.0	25145.0	27589.0	26041.0	31724.0	27419.0	26267.0	25738.0	28537.0	21453.0	21663.0	26314.0	18586.0	21164.0
