	ZeeviD_2015__PNP_Main_479__bin.30	LiuW_2016__SRR3992994__bin.26	RampelliS_2015__H20__bin.28	XieH_2016__YSZC12003_36034__bin.76	CosteaPI_2017__SID713A028-11-90-0__bin.62	XieH_2016__YSZC12003_37315__bin.25	RampelliS_2015__H16__bin.35	ZeeviD_2015__PNP_Main_443__bin.23	XieH_2016__YSZC12003_36033__bin.88	VincentC_2016__MM100.1__bin.9	LiSS_2016__FAT_006-22-42-0__bin.55	CM_madagascar__V06_02_1FE__bin.13	XieH_2016__YSZC12003_37208R1__bin.49	RampelliS_2015__H27__bin.12	LiuW_2016__SRR3992967__bin.73	LiJ_2014__MH0328__bin.50	SchirmerM_2016__G89274__bin.21	ZeeviD_2015__PNP_Validation_15__bin.31	RampelliS_2015__H9__bin.17	LiSS_2016__FAT_006-22-84-0__bin.37	RampelliS_2015__H15__bin.31	LiSS_2016__FAT_006-22-0-0__bin.61	ZellerG_2014__CCIS36797902ST-4-0__bin.4	LiJ_2017__H2M513938__bin.39	ZeeviD_2015__PNP_Main_379__bin.36	ZeeviD_2015__PNP_Main_764__bin.27	CosteaPI_2017__SID713A053-11-0-0__bin.28	ZeeviD_2015__PNP_Main_215__bin.19	BritoIL_2016__W1.53.ST__bin.9	CM_madagascar__A27_02_1FE__bin.15	CosteaPI_2017__SID713A028-11-0-0__bin.34	RampelliS_2015__H1__bin.27	FengQ_2015__SID530840__bin.75	LeChatelierE_2013__MH0407__bin.34	BritoIL_2016__W1.2.ST__bin.113	HeQ_2017__SZAXPI029560-51__bin.43	BritoIL_2016__M1.22.ST__bin.48	LiJ_2014__MH0354__bin.3
ZeeviD_2015__PNP_Main_479__bin.30	3013122.0	2392416.0	2510816.0	2529245.0	2596331.0	1428847.0	2050248.0	2974003.0	2465103.0	2158156.0	2630815.0	2598265.0	2615452.0	2477441.0	2577231.0	2480511.0	2600769.0	2511417.0	2198218.0	2622853.0	1533029.0	2669403.0	1638910.0	2596060.0	2507274.0	2645276.0	1641534.0	2542810.0	2541614.0	2518278.0	2615237.0	2512242.0	2523847.0	1962942.0	1224931.0	2586494.0	1962064.0	2474672.0
LiuW_2016__SRR3992994__bin.26	2392416.0	2881505.0	2417743.0	2443160.0	2534027.0	1395053.0	2026326.0	2398133.0	2403542.0	2076767.0	2381484.0	2485917.0	2404728.0	2325841.0	2489636.0	2333979.0	2388188.0	2373598.0	2154881.0	2408184.0	1496946.0	2413335.0	1622692.0	2452494.0	2297822.0	2413896.0	1530856.0	2316232.0	2400632.0	2406076.0	2541180.0	2388750.0	2307084.0	1837895.0	1201106.0	2486210.0	1784097.0	2268790.0
RampelliS_2015__H20__bin.28	2510816.0	2417743.0	3209444.0	2550497.0	2655039.0	1454351.0	2089683.0	2516471.0	2493660.0	2128521.0	2449966.0	2581056.0	2556257.0	2433810.0	2527136.0	2391101.0	2449862.0	2488507.0	2233564.0	2485485.0	1581878.0	2491761.0	1654146.0	2609930.0	2447569.0	2569098.0	1590773.0	2421233.0	2527756.0	2533781.0	2666117.0	2974717.0	2402126.0	1898131.0	1237433.0	2645513.0	1880526.0	2371362.0
XieH_2016__YSZC12003_36034__bin.76	2529245.0	2443160.0	2550497.0	3185043.0	2737952.0	1513402.0	2105923.0	2537479.0	2960081.0	2129885.0	2560994.0	2625064.0	2532331.0	2466277.0	2596649.0	2498237.0	2523338.0	2537918.0	2247442.0	2597572.0	1612258.0	2609651.0	1677859.0	2574628.0	2555809.0	2628415.0	1640068.0	2444668.0	2482807.0	2552878.0	2749329.0	2520590.0	2459406.0	1992072.0	1282355.0	2625126.0	1950429.0	2431002.0
CosteaPI_2017__SID713A028-11-90-0__bin.62	2596331.0	2534027.0	2655039.0	2737952.0	3356695.0	1544697.0	2196085.0	2605339.0	2657485.0	2218701.0	2631280.0	2695238.0	2624978.0	2600856.0	2640176.0	2544668.0	2592126.0	2644128.0	2309427.0	2642197.0	1643098.0	2677567.0	1742853.0	2657307.0	2558375.0	2668345.0	1642710.0	2522489.0	2599624.0	2629928.0	3356645.0	2622999.0	2493723.0	1990959.0	1329219.0	2728395.0	2024522.0	2525686.0
XieH_2016__YSZC12003_37315__bin.25	1428847.0	1395053.0	1454351.0	1513402.0	1544697.0	1759999.0	1204990.0	1435149.0	1440034.0	1252178.0	1429968.0	1513349.0	1479760.0	1408273.0	1438797.0	1439969.0	1411082.0	1460391.0	1310024.0	1448828.0	1044238.0	1462930.0	833940.0	1530186.0	1419351.0	1489800.0	1009163.0	1394374.0	1453712.0	1506446.0	1550507.0	1450058.0	1394938.0	1219130.0	1015414.0	1497753.0	1149163.0	1395046.0
RampelliS_2015__H16__bin.35	2050248.0	2026326.0	2089683.0	2105923.0	2196085.0	1204990.0	2580228.0	2048891.0	2068177.0	1823184.0	2034526.0	2137498.0	2101243.0	2147114.0	2132208.0	2023894.0	2017863.0	2078644.0	1969040.0	2060415.0	1404095.0	2069329.0	1445326.0	2099751.0	2026354.0	2154637.0	1382037.0	1996775.0	2025724.0	2129885.0	2188977.0	2076625.0	2028733.0	1604701.0	1082760.0	2091837.0	1571351.0	1969494.0
ZeeviD_2015__PNP_Main_443__bin.23	2974003.0	2398133.0	2516471.0	2537479.0	2605339.0	1435149.0	2048891.0	2997465.0	2474844.0	2168598.0	2632986.0	2601396.0	2622796.0	2481720.0	2579386.0	2481496.0	2609638.0	2504945.0	2209814.0	2631635.0	1536334.0	2674787.0	1640248.0	2594400.0	2512458.0	2650230.0	1645941.0	2540670.0	2548684.0	2520766.0	2618159.0	2518074.0	2523624.0	1966305.0	1238199.0	2590062.0	1956816.0	2480398.0
XieH_2016__YSZC12003_36033__bin.88	2465103.0	2403542.0	2493660.0	2960081.0	2657485.0	1440034.0	2068177.0	2474844.0	2972798.0	2091054.0	2498525.0	2546582.0	2476473.0	2405826.0	2530462.0	2427225.0	2472261.0	2478947.0	2189935.0	2535515.0	1575181.0	2546295.0	1657559.0	2509479.0	2448534.0	2524916.0	1626100.0	2394554.0	2420957.0	2483048.0	2683241.0	2462142.0	2411935.0	1957739.0	1268484.0	2553129.0	1890815.0	2368086.0
VincentC_2016__MM100.1__bin.9	2158156.0	2076767.0	2128521.0	2129885.0	2218701.0	1252178.0	1823184.0	2168598.0	2091054.0	2445026.0	2090935.0	2157967.0	2178761.0	2074074.0	2142430.0	2063942.0	2074505.0	2088043.0	1959361.0	2110463.0	1402430.0	2111004.0	1463982.0	2165014.0	2087593.0	2182779.0	1368712.0	2029544.0	2079316.0	2159343.0	2232501.0	2098013.0	2097997.0	1662585.0	1109064.0	2108017.0	1596638.0	2013070.0
