	FengQ_2015__SID530258__bin.16	CosteaPI_2017__SID713B076-11-90-0__bin.31	FengQ_2015__SID530026__bin.15	LiuW_2016__SRR3993012__bin.86	LiuW_2016__SRR3993004__bin.71	LiuW_2016__SRR3993014__bin.44	LiuW_2016__SRR3992970__bin.33	BritoIL_2016__M1.37.ST__bin.19	XieH_2016__YSZC12003_35697__bin.56	ZeeviD_2015__PNP_Main_297__bin.15	LiuW_2016__SRR3992955__bin.69	LiuW_2016__SRR3992997__bin.3	LiuW_2016__SRR3992993__bin.60	FengQ_2015__SID31749__bin.28	LiuW_2016__SRR3993044__bin.108	BackhedF_2015__SID590_4M__bin.25	LiuW_2016__SRR3993048__bin.32	XieH_2016__YSZC12003_35515__bin.94	LiuW_2016__SRR3993061__bin.114	ZeeviD_2015__PNP_Main_404__bin.12	LiuW_2016__SRR3993002__bin.82	LiuW_2016__SRR3992969__bin.31	LiuW_2016__SRR3992995__bin.2	FengQ_2015__SID31477__bin.22	XieH_2016__YSZC12003_36244__bin.124	ZeeviD_2015__PNP_Main_198__bin.44	LiuW_2016__SRR3993031__bin.91	LiuW_2016__SRR3992981__bin.82	LiuW_2016__SRR3993038__bin.74	BritoIL_2016__W2.8.ST__bin.73	LiuW_2016__SRR3993005__bin.7
FengQ_2015__SID530258__bin.16	1.0	0.816297859483703	0.5182327666852442	0.7767858736634582	0.8160691111009739	0.7530072809420203	0.7025477677529571	0.6861400297108449	0.8477891072135737	0.7919394623355209	0.5711635557547737	0.8144308495622378	0.8081376245472137	0.859838725778951	0.8322566953527717	0.6742014797243648	0.5054995474616533	0.8136573362449168	0.7970598560471883	0.4628730135748282	0.8322077722882573	0.7825872235433653	0.7993572567118808	0.8311625376261339	0.8043864155194539	0.5142620649896633	0.8347425159280938	0.8101990044817494	0.8501691481899458	0.5236850438886168	0.6943690213866515
CosteaPI_2017__SID713B076-11-90-0__bin.31	0.7464753394677339	1.0	0.5174225844286181	0.8168899556243425	0.874918684932832	0.7797903340870344	0.7333984256919337	0.7038861951803441	0.8839231950473381	0.8495078775860609	0.5776120576037145	0.8807383045355066	0.8670936967220052	0.9080680265528457	0.8677345440915081	0.6782142123018512	0.4964547839860706	0.8657321983483066	0.8084102148652407	0.47297740106163016	0.8741823150308937	0.8364617970327558	0.86569108738498	0.8715608865458327	0.83673748231624	0.5238256169667364	0.8896908213728643	0.8627746272807516	0.905760371449645	0.5036437614113152	0.7294414954717483
FengQ_2015__SID530026__bin.15	0.7799766962623471	0.8515993707393812	1.0	0.8097969231504026	0.8564362396006324	0.7754811246690262	0.6535454616916204	0.7176864622398852	0.8982476425115101	0.8770961672217308	0.5575294853973527	0.8609556920523509	0.8334429531069494	0.928995242734	0.881146957827399	0.8344419690165762	0.4589721877552888	0.8541118360499469	0.8306240167802832	0.5138334847446092	0.8909789062367847	0.816007936405274	0.8242886240545917	0.87607227541794	0.8407912922429996	0.5841049006506539	0.8825061766845209	0.8444818799011731	0.8895679455198017	0.5433323150800655	0.6947270069622653
LiuW_2016__SRR3993012__bin.86	0.7617179902755268	0.8759708265802268	0.5276090761750405	1.0	0.8884700162074555	0.8022444084278768	0.7645750405186386	0.7119364667747163	0.8836246353322529	0.8313199351701782	0.6012142625607779	0.8797277147487844	0.872788978930308	0.9120583468395461	0.8801017828200972	0.6941504051863858	0.5309166936790923	0.8581815235008105	0.8166975688816855	0.47238897893030796	0.8816531604538088	0.8450262560777958	0.8782884927066451	0.8686392220421394	0.8365004862236629	0.5262982171799028	0.8977115072933549	0.8619105348460292	0.9081523500810373	0.5134910858995138	0.7512544570502431
LiuW_2016__SRR3993004__bin.71	0.7147057410076191	0.8379174118942667	0.4983547574808885	0.793505996464596	1.0	0.7604876611153604	0.7007476690708881	0.6825645981329407	0.8464357324788764	0.8034990426153422	0.5560740223067441	0.8406242599593191	0.8298455041135405	0.8680123513332457	0.8428296897517863	0.6500754732931079	0.47956025733295277	0.8194459964993362	0.7890893468303244	0.4542612157598195	0.8496260496635691	0.7998322043702134	0.8344960717410272	0.8317006359211186	0.7978965908768508	0.5030927548533641	0.864434679847907	0.8263714745113343	0.8570500509234839	0.48747988681611554	0.7048533930557622
LiuW_2016__SRR3993014__bin.44	0.7711091748467067	0.873228165741525	0.527632050185807	0.837780986831371	0.8892185954500496	1.0	0.765053947982189	0.7102265226248433	0.8951208168056918	0.8462172773008204	0.6305472113391977	0.8774371712666487	0.8776436610020778	0.9121944713558117	0.891630124753651	0.6807892105389652	0.547633796885864	0.8645731992571786	0.8465896358401187	0.47492436044035796	0.9011557332044297	0.841474783541211	0.861944347969732	0.8928981748338434	0.8381662086656634	0.5329764107480277	0.8930200376285229	0.8837828377918192	0.9153202520393401	0.5175912329197446	0.7680436485449921
LiuW_2016__SRR3992970__bin.33	0.7696668438748031	0.8786179793347307	0.47571403531898193	0.8541893307181855	0.8765733257814662	0.8184690955287055	1.0	0.7028929348999112	0.8744106139465219	0.8167061884268119	0.6347870677654538	0.8776995873030129	0.8718350602676664	0.9003515674228674	0.8805945501979467	0.6694158070623478	0.5573277978726332	0.8753500102124034	0.8239417849543049	0.4623604123783022	0.8841341257965313	0.8547723792872177	0.8916601601826354	0.8707240087087901	0.8366225481178033	0.49869628891396517	0.8939018189666785	0.8695506687313588	0.905955352241007	0.5060253180692907	0.7671130187140484
BritoIL_2016__M1.37.ST__bin.19	0.7147655444000767	0.8018377385155118	0.49673967391229484	0.7563088756076094	0.811884556632842	0.7224886742580244	0.6683640931624061	1.0	0.8157722923246663	0.7798763362584901	0.5565446879549752	0.8027006849852825	0.7882640657519756	0.8349582163109969	0.8140333140036997	0.6496382236388104	0.46598420663332424	0.7921111678909534	0.7581952366456796	0.4644346219908788	0.8294334305324648	0.7686215308243377	0.7936001465562719	0.810891445053106	0.7856469894669567	0.5046618393087613	0.8171180204985943	0.7929541419364436	0.8475993834719237	0.5292389404422307	0.6714570641087271
XieH_2016__YSZC12003_35697__bin.56	0.7868840790033217	0.8971615429787814	0.553939396914558	0.8363688466194951	0.8970498627621954	0.8113119786850329	0.7408178305442938	0.7268436900370816	1.0	0.8744653002817164	0.5929286786819034	0.8916959622692683	0.8800953331782901	0.9468457395531442	0.8998216184672442	0.7140869866161692	0.5089261333547694	0.8855885271281677	0.8433476329009919	0.48152459449956525	0.9098059525555441	0.8423357610485177	0.880635939061874	0.9117462429118346	0.8657794021181197	0.5553188316776638	0.9156937090288547	0.8707534671491416	0.9298181882891634	0.5263734058722931	0.7422242649202009
ZeeviD_2015__PNP_Main_297__bin.15	0.7502486484048922	0.8800631579474795	0.5520821328897328	0.8031349741205237	0.8691570756442312	0.7828497737737938	0.7062397596941563	0.7092316826920668	0.8925506942113147	1.0	0.5745763582340827	0.8683077878935158	0.8519734040154526	0.9263048717550443	0.8728254225143928	0.7151666758526698	0.48332427259380994	0.8560626368505705	0.8221493744331818	0.4958456300512579	0.878672104780563	0.8197399275474875	0.8462989593093462	0.8756519974546421	0.8327648449987223	0.5529834050676674	0.8811253939542737	0.840641425200046	0.897327624649888	0.5207330180028962	0.7062115753661458
