	NielsenHB_2014__V1_CD29_0__bin.31	XieH_2016__YSZC12003_36005__bin.30	LiJ_2014__MH0271__bin.47	Bengtsson-PalmeJ_2015__TRAVELRES69__bin.52	NielsenHB_2014__V1_UC15_3__bin.6	ZellerG_2014__CCIS70398272ST-4-0__bin.61	ZeeviD_2015__PNP_Main_759__bin.12	YuJ_2015__SZAXPI015268-109__bin.32	YuJ_2015__SZAXPI015253-44__bin.3	YuJ_2015__SZAXPI017588-123__bin.39	XieH_2016__YSZC12003_37322__bin.37	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.40	LeChatelierE_2013__MH0136__bin.24	NielsenHB_2014__MH0111__bin.16	NielsenHB_2014__V1_UC1_0__bin.3	ZeeviD_2015__PNP_Main_565__bin.34	ZeeviD_2015__PNP_Main_59__bin.13	NielsenHB_2014__MH0136__bin.7	LeChatelierE_2013__MH0111__bin.11	XieH_2016__YSZC12003_35506__bin.79	BackhedF_2015__SID128_12M__bin.24	VatanenT_2016__G78545__bin.5	VogtmannE_2016__MMRS81135225ST-27-0-0__bin.12	HMP_2012__SRS045645__bin.35	ZeeviD_2015__PNP_Main_555__bin.28	QinJ_2012__CON-083__bin.1	LiJ_2014__MH0399__bin.87	ZeeviD_2015__PNP_Main_599__bin.21	HeQ_2017__SZAXPI029573-88__bin.45	LeChatelierE_2013__MH0229__bin.57	ZeeviD_2015__PNP_Main_467__bin.22	ZeeviD_2015__PNP_Main_409__bin.35	LeChatelierE_2013__MH0431__bin.12	ZeeviD_2015__PNP_Main_662__bin.2	FengQ_2015__SID31428__bin.21	XieH_2016__YSZC12003_36674__bin.4
NielsenHB_2014__V1_CD29_0__bin.31	1.0	0.7783620807821718	0.7527687952598202	0.575117497254374	0.6939643953768042	0.6594003075545088	0.6852416567098993	0.5966257796384709	0.6892883681464097	0.6885924580886225	0.6953334624522116	0.6565167759275056	0.8176510316283907	0.7350619354401908	0.5463149231640932	0.738066446646618	0.6741759098580044	0.8263471325897345	0.7341767866824791	0.702479026969012	0.7469290332677195	0.6038484825109589	0.4646431629611583	0.6836605978944004	0.6950299035992535	0.6180785668026484	0.6870524657358639	0.7802539128292185	0.6250515411855	0.7012753356489638	0.5543550706259917	0.5964948109194614	0.5863874665155717	0.7501571902104213	0.7524646814546629	0.49183804053037894
XieH_2016__YSZC12003_36005__bin.30	0.8055021613870091	1.0	0.7780470617828757	0.6121787711422242	0.7026555167773827	0.7131233262674997	0.6662952844605836	0.6363086599630264	0.7439955250358508	0.727267819597839	0.7460882829105414	0.6941351666596793	0.817978880604258	0.7956316263726545	0.5792074971729966	0.7846256955519707	0.7086282615350069	0.8216343152564002	0.7959296893081552	0.7710899627450045	0.7515757421566088	0.6286262170185322	0.49179408043564277	0.707082239526591	0.7429709695889661	0.6657738178990525	0.6734625781697328	0.774777558330457	0.6670125881338791	0.7407346361191401	0.5682469362403755	0.6247456558332181	0.6315207010164577	0.7916005979636386	0.8092397212795687	0.4817874357571
LiJ_2014__MH0271__bin.47	0.809725490476992	0.808717853207307	1.0	0.6259660005993293	0.7133845031596114	0.7139313015832083	0.653492167530441	0.6530760992976385	0.7518042557154165	0.7363434705940642	0.7637096572003681	0.7319917669826874	0.8038915810951011	0.7810752826816523	0.5868239488158471	0.7962017805571374	0.7276728951543869	0.8072505709745548	0.7856550179500312	0.7962017805571375	0.7987005777199938	0.6598519823830622	0.5195587885907763	0.7154612626745607	0.7411476558703826	0.6749528117735969	0.721389488815107	0.8773153868837624	0.683961256108204	0.7844086040761553	0.5544225605686703	0.6402669283658248	0.6536676683345212	0.8134712984552348	0.8064602204146833	0.515260212773832
Bengtsson-PalmeJ_2015__TRAVELRES69__bin.52	0.7968329271011941	0.8196037122184887	0.8062787854556079	1.0	0.7344095281299737	0.7130881075220864	0.7001783833242348	0.7451940303097873	0.8810529229491684	0.8352891424529244	0.8567851019168519	0.8668652975233936	0.8322358658126822	0.80290949352976	0.6216728050008843	0.8538494660033678	0.7627809345133288	0.8306580960655712	0.8037914145336276	0.7903296247030148	0.7635567481950222	0.6981823354375389	0.5670590587204072	0.7648092759328601	0.7779035346040583	0.8100094573917589	0.7961293894215613	0.8164597061288512	0.7473515458606611	0.7718377326864375	0.5662563337613509	0.6765502817995187	0.6843960724912923	0.8096772953397356	0.8407006158838048	0.565094535472908
NielsenHB_2014__V1_UC15_3__bin.6	0.8139705485100786	0.7963957302304449	0.7778913993395774	0.6217261205411221	1.0	0.7218648314216922	0.6766142307860045	0.6334153274546651	0.7814714549150583	0.7643711567289748	0.7827635295182092	0.73331970742484	0.8591358787311503	0.7724379983193267	0.5876491988161081	0.8219423558978811	0.7131965404946595	0.8601708402520619	0.7737261674073043	0.7518110199317967	0.77776251733886	0.6525744830562478	0.49405417860832174	0.7427541302450256	0.7389189143448921	0.6817760200066525	0.6890513438552252	0.8090567595029321	0.6981245065218848	0.7419834419175038	0.5638066796026008	0.6511235841693849	0.6332233062919802	0.7912716943231384	0.8320830260452298	0.47870094754307296
ZellerG_2014__CCIS70398272ST-4-0__bin.61	0.8766335282291533	0.9161119206153052	0.8823667853256358	0.6842289318848331	0.818188391095044	1.0	0.7765800394710146	0.7386649943744582	0.8435937067709389	0.8358684545437778	0.8404448789125182	0.7998959735876201	0.8975634948447904	0.926477673054577	0.6596543519560286	0.8847675083460907	0.7988542339118726	0.9026253758046369	0.9169574118818821	0.8513846210598152	0.8834675470793294	0.7238216795470055	0.5751635096003099	0.7966313149012302	0.8364092443329583	0.7698950513676521	0.7673519375841525	0.8766689414759209	0.7788863271667559	0.821804968921187	0.6331999188446428	0.704477931276168	0.7194178947562573	0.9086980098493093	0.9189198959735876	0.5488308095246879
ZeeviD_2015__PNP_Main_759__bin.12	0.9100977261118658	0.8551178513964611	0.8068790809809611	0.6711850590123022	0.7661501631471066	0.7758210607547	1.0	0.6709182451311995	0.7924600755776116	0.7904818201718664	0.7949586917569988	0.7633567249996499	0.8904441566654456	0.8037863985359142	0.6390155599664198	0.846473671292669	0.7466233671469562	0.9067286480717538	0.8002669612920867	0.785230303865632	0.8321003632943702	0.6747951540113108	0.5616277415679074	0.7699268325580745	0.7794134664356246	0.7148828340646147	0.7377263772055447	0.8286185158514717	0.7210136568906159	0.7581767030206722	0.6186485213572719	0.6508799330164489	0.6832838155269464	0.8273765783109798	0.8316330704749804	0.5523548536172076
YuJ_2015__SZAXPI015268-109__bin.32	0.787009836396791	0.8110748589545469	0.8008768353111784	0.7094745503272576	0.712352924382654	0.7329202685994427	0.6663516462440221	1.0	0.8328837398951282	0.8112176063962566	0.7906143923094999	0.7912102713738673	0.8058071123363804	0.7980819136063202	0.6101128144012403	0.8066401717654345	0.7242302435710578	0.8099563046420736	0.7992517105901765	0.7791711717515258	0.7853708029506994	0.6744545766659907	0.5552941365939289	0.7495236261656792	0.7646643714830141	0.7766968827618921	0.7265742297677462	0.8015312774285549	0.7360380191340136	0.7660786692131833	0.5550694008780066	0.6741280876454651	0.6668801777974289	0.8188461760888519	0.813406400502471	0.5332297743345957
YuJ_2015__SZAXPI015253-44__bin.3	0.700870905744231	0.7310083975763157	0.7106661971878672	0.6465891123803591	0.677452264953069	0.6452105826841321	0.6066946999680619	0.6420122583623089	1.0	0.739802660906523	0.7454443063845732	0.7125288768961132	0.7351456794972063	0.7158654491817413	0.5374793051262344	0.7807601719466104	0.6602254401081608	0.7379072531088863	0.7157114014506443	0.7126321396609144	0.7276295044854411	0.6113550670417982	0.4847684600531098	0.666619831642194	0.6863385055000119	0.6834426338663497	0.6657931652463805	0.7236541701792936	0.6592678613547849	0.7038209480086087	0.4943137766070903	0.5889752609500851	0.5972938384293225	0.7249570867034801	0.7514950529800054	0.48381595979636355
YuJ_2015__SZAXPI017588-123__bin.39	0.6276018273487258	0.6405178971731935	0.6239160738708555	0.5494751835036863	0.5939566186765074	0.5730479213705926	0.5424622876658006	0.560507154013612	0.6631331585293808	1.0	0.6427848859323283	0.6207624203873202	0.6619420031238114	0.6333102689229324	0.47439192907491484	0.6531406038829137	0.5795585593240914	0.6630279524468508	0.6327660297652286	0.6104496953069993	0.6092276861945342	0.5298112562415531	0.4555135068424418	0.5898763423891492	0.5992568808824363	0.5878829906042876	0.5689074550648636	0.6462693316176649	0.5978391277606481	0.5946955902465868	0.4453955141744964	0.5275827081664198	0.5222091051818042	0.633975899714325	0.6727807586167828	0.414249961559316
