	BackhedF_2015__SID637_12M__bin.4	LeChatelierE_2013__MH0275__bin.50	HMP_2012__SRS050299__bin.13	FengQ_2015__SID31379__bin.19	BackhedF_2015__SID82_12M__bin.20	LeChatelierE_2013__MH0446__bin.94	NielsenHB_2014__V1_UC32_0__bin.45	BackhedF_2015__SID511_12M__bin.15	ZeeviD_2015__PNP_Main_123__bin.4	LiJ_2014__O2.UC48-1__bin.33	Bengtsson-PalmeJ_2015__TRAVELRES52__bin.21	CosteaPI_2017__donald1-11-7-0__bin.10	ZeeviD_2015__PNP_Main_269__bin.12	CosteaPI_2017__donald4-11-0-0__bin.41	NielsenHB_2014__V1_CD28_0__bin.2	ZeeviD_2015__PNP_Main_481__bin.36	LeChatelierE_2013__MH0419__bin.80	ZeeviD_2015__PNP_Main_565__bin.20	CosteaPI_2017__mickey4-11-7-0__bin.60	HMP_2012__SRS021484__bin.33	LiJ_2014__V1.CD54-0__bin.51	HMP_2012__SRS052697__bin.59	LiuW_2016__SRR3993035__bin.45	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.24	CosteaPI_2017__donald3-11-7-0__bin.24	HMP_2012__SRS011084__bin.6	ZellerG_2014__CCMD95433940ST-21-0__bin.78	LeChatelierE_2013__MH0302__bin.17	BackhedF_2015__SID281_12M__bin.21	LeChatelierE_2013__MH0067__bin.7	CosteaPI_2017__SID713B029-11-0-0__bin.42	HMP_2012__SRS024075__bin.36	ZeeviD_2015__PNP_Validation_41__bin.27	LeChatelierE_2013__MH0212__bin.16	LiJ_2014__V1.FI20__bin.90	LouisS_2016__AS60_0__bin.11	VogtmannE_2016__MMRS31306426ST-27-0-0__bin.20	LeChatelierE_2013__MH0411__bin.47	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.34	FengQ_2015__SID530119__bin.66	LiJ_2014__V1.FI18__bin.2	XieH_2016__YSZC12003_36006__bin.40	KosticAD_2015__PRJNA231909.3112359__bin.1	HMP_2012__SRS024435__bin.11
BackhedF_2015__SID637_12M__bin.4	1.0	0.9489285106107497	0.7518524304309461	0.8893031202457804	0.7832814723180396	0.8805596955235335	0.832988296908652	0.9685423419036534	0.8937236208980892	0.9151867160741939	0.9291195261531042	0.7614580943762581	0.5397894316117166	0.6077022638236228	0.934136276017881	0.9058995833761404	0.5706226934045268	0.8040920240995394	0.8803706408951901	0.7557207789801277	0.9028953505227618	0.9192910310701665	0.5877830365926258	0.7078425770725993	0.9188819600133042	0.9163984483446931	0.8830441454285136	0.853725197135189	0.6354829735900536	0.9221662564228144	0.9120309580472299	0.9190907176053956	0.5580104510149138	0.8930532510124743	0.5625918592044975	0.580561431260816	0.6647475041739791	0.9110669201781335	0.940943649992799	0.680882824129	0.5242137696507744	0.8686839686835465	0.9549979616814884	0.8478462080473471
LeChatelierE_2013__MH0275__bin.50	0.9717514558554646	1.0	0.7600377403086289	0.8927663127391797	0.806412297498936	0.8856429255656962	0.8428463955987575	0.9593287643988213	0.8965667656613153	0.9235518549726796	0.9354129575700161	0.7747913377920959	0.5512237256640824	0.6155302138649515	0.935206385106798	0.9045668848007825	0.569431887294064	0.8054707113875232	0.8926351632450901	0.7668728868357615	0.9013429131713485	0.933367890184157	0.6115601793625463	0.7190590480180092	0.9222735077061137	0.9148008689494685	0.8968381922699623	0.8644730912944599	0.6514440375981099	0.9367004324570497	0.9203259617389365	0.9176342745030971	0.5695644779913854	0.9053835666321098	0.5570634811591502	0.5879989085287525	0.6785828552541946	0.9201333209069588	0.9422548297122302	0.6960901117124665	0.5318919059144098	0.8728589724989599	0.9598581663859523	0.8607706401920836
HMP_2012__SRS050299__bin.13	0.9393584529442484	0.9272827764385106	1.0	0.8723036625586039	0.7944556098881873	0.8846999426195831	0.8525135729009699	0.9336362362900952	0.8838506655600862	0.9079504406687076	0.9109144117452262	0.7677704923989996	0.5591361170161949	0.599457728684992	0.9194376601918816	0.9110884871673591	0.5380091046720789	0.8070517543227265	0.8796728554288966	0.7632152257969226	0.889186047942833	0.9069552215886346	0.5897270884215228	0.730916322472082	0.9072506223049813	0.9000127186419539	0.8842879055092819	0.8570553589148009	0.6514318436111096	0.9141491668117295	0.896085764674646	0.89154280643575	0.5813374736322624	0.8866288389638234	0.5057383347487951	0.6035206607598246	0.668226898228006	0.9127964190868718	0.9254722748258221	0.7008657468216583	0.566620774055377	0.8678679629131434	0.9308967463134987	0.8558321420596111
FengQ_2015__SID31379__bin.19	0.9502415340280518	0.9315373714821924	0.7460246010315009	1.0	0.8001154912110887	0.887724898331142	0.8549317103075404	0.9478239380598178	0.9261116906279183	0.9156182313704004	0.9516731438321728	0.7760357742046571	0.5470854760278041	0.6123655798094896	0.945524139116783	0.9177100057795732	0.5567593687482988	0.8276599445501833	0.9059914574599853	0.7740753309469828	0.917499976189963	0.9111810429999243	0.5973963348583453	0.7219930053630229	0.9271026894314013	0.9316757203288091	0.927271615378176	0.8894146590628269	0.648158832496139	0.9131600330232682	0.9736159726751002	0.9042004414130229	0.5551979315844903	0.9315298525231371	0.5489170944536649	0.591235299808467	0.6888033175652407	0.9112682629249653	0.9267999260134429	0.6980350954932864	0.5441270162715287	0.8891790650124288	0.9500119551448979	0.8733872459406393
BackhedF_2015__SID82_12M__bin.20	0.9761996776187049	0.9814230263500229	0.7924861888789562	0.933231290747119	1.0	0.9137194464209186	0.9071806136236207	0.9745369057593062	0.9270982117017277	0.9347923318387485	0.9493105986504887	0.8195582662972397	0.585714310771125	0.6310616774935878	0.9442100284319956	0.9364679662090146	0.5299091380539138	0.8339911728095875	0.9111177112682026	0.8145413023993845	0.9350542593327748	0.9633973866885875	0.6481524464788	0.7577609174945934	0.9516866552034411	0.939214112279196	0.9344047025339731	0.9090141060818044	0.7033507425469058	0.9446894492915973	0.9572467678556499	0.9258587333817822	0.5928027235782102	0.9284780083220445	0.5106867002222291	0.6312464299224099	0.7173603555198004	0.9417351644091986	0.9576759079909518	0.7245008030299398	0.6155313649404203	0.9058353119188118	0.9829980992716896	0.9064486198233509
LeChatelierE_2013__MH0446__bin.94	0.9232204285156392	0.906741630507811	0.7424100832301277	0.8710454376885614	0.7686677572525106	1.0	0.8570327539718998	0.9160094788501435	0.8854388099695154	0.9540247240991601	0.9113939988923635	0.7616491192519224	0.5327859418697416	0.6008116437581339	0.9117043535229431	0.9173492665105221	0.5826600785575936	0.7943578413482868	0.8771276014948174	0.7641452361301975	0.9063693033202536	0.8910138808690716	0.5797198250209772	0.7069711257069052	0.9147970792235527	0.9105849127318192	0.8850172982129278	0.854959132541593	0.6375653048115296	0.8862001870981006	0.898674377495502	0.8967748694395615	0.5454165391966586	0.8849907385456517	0.5417709789401512	0.5896924882375103	0.6623154717931415	0.9245080805328459	0.9143957331402675	0.6942441266246893	0.5306803504695651	0.883916055712345	0.911301531902587	0.8638103875842409
NielsenHB_2014__V1_UC32_0__bin.45	0.9218790966488536	0.910881322370344	0.7551576565701876	0.8854872263730604	0.80557878882747	0.9046610356484056	1.0	0.9202358942888724	0.9071847660344621	0.9226983615221713	0.9143634576715745	0.7747592695563146	0.5456454618281237	0.6096722057901987	0.9176727062790059	0.9405207471820247	0.5283401787118851	0.8113063744310445	0.8972274269943104	0.7835552045903753	0.9211657443447101	0.898863880023903	0.5941092882727269	0.7240681640834903	0.9179478712871544	0.9245341793878565	0.8957809935741183	0.8808192856404881	0.6598898197773032	0.8947457501283671	0.9068384734676035	0.8945308099144549	0.558121858640986	0.9032966325513975	0.510458087437056	0.6021165900098489	0.6806175325797965	0.9147481695037217	0.9165611434819381	0.7019293220505296	0.5667594440005462	0.9282047767607056	0.9194072841888629	0.8899194597212942
BackhedF_2015__SID511_12M__bin.15	0.9887045664927839	0.9562989748533298	0.7628284604506584	0.9055061586858277	0.7982251606535615	0.8918694620075098	0.8488130145307728	1.0	0.9003045222439157	0.9227277799088109	0.9362849818670628	0.7724564203719108	0.5505315850241526	0.6117798724157631	0.9334179042222711	0.9193784662212089	0.5672819845330093	0.8074321816655484	0.885568308232636	0.7711706172190352	0.9044234022878197	0.928476301714069	0.5999749064859551	0.7208854179387019	0.9350168974168526	0.9187468184153829	0.8974058382646398	0.8665901410265067	0.6476377377718204	0.9331253061863654	0.9290634133213038	0.9254464035582985	0.5647716753608031	0.901359982262142	0.5613074295478043	0.5879213998349766	0.6770962781625609	0.9273571501430187	0.9505298610422716	0.691682601526969	0.5317286893092531	0.8746406575266894	0.9769953773341398	0.8604671320459978
ZeeviD_2015__PNP_Main_123__bin.4	0.9193567300848122	0.9006203476939039	0.7277144132514568	0.8915793410464598	0.7652190278565311	0.8687459132092317	0.8432211753067355	0.9072402852006901	1.0	0.906084040101823	0.9239102896644911	0.7457274185959536	0.5312019688981651	0.5931971672960223	0.9309394491428296	0.9125162566806211	0.5482565841064556	0.8148212669956206	0.8922602516618611	0.7623091121861767	0.9126692323468736	0.8883094258586784	0.5700635790032453	0.6994906441144181	0.8912357490137413	0.9316275983544258	0.8908241141767906	0.8694895583249889	0.6285441976619335	0.8836801023054929	0.9037261880346005	0.9008510176259817	0.5387272135023947	0.922584661414663	0.5412177731665239	0.575741051285454	0.6658828071276044	0.8892060466406881	0.9092217302657771	0.677745418571825	0.5457978742655841	0.8904404685784604	0.9126069804195973	0.8526096345715354
LiJ_2014__O2.UC48-1__bin.33	0.9159808076866914	0.9026434739983971	0.7273443512123846	0.8576437064133859	0.7507079266657933	0.9107301070376668	0.8344519771942205	0.9046952992542531	0.8815852674251378	1.0	0.9066931291086392	0.7482842374276403	0.5264650243613166	0.59576084450686	0.9030040693751699	0.9135674480036022	0.5849129335889429	0.7831211314055566	0.8689414225018088	0.7492932471472821	0.8890582309885713	0.885410019950127	0.56661318774295	0.6915022037166678	0.9016767215494709	0.916853655089583	0.866059476639007	0.8391523942734825	0.6251836430556514	0.8765646341388977	0.8825102321285786	0.9026580292805324	0.5354174619250253	0.8775473504456499	0.5436487087351882	0.5770831308505778	0.6541369163742699	0.9168761923006313	0.9091003849637362	0.6782188654298433	0.5170998741202858	0.8828069720740479	0.9008700772040336	0.8541147547834057
