	CM_madagascar__A92_01_1FE__bin.44	BritoIL_2016__W3.18.ST__bin.6	BritoIL_2016__WL.1.ST__bin.16	LiuW_2016__SRR3993004__bin.60	BritoIL_2016__W1.1.ST__bin.29	CM_madagascar__A79_02_1FE__bin.25	CM_madagascar__A28_02_1FE__bin.17	BritoIL_2016__W2.39.ST__bin.64	LeChatelierE_2013__MH0318__bin.90	LiuW_2016__SRR3992977__bin.26	BritoIL_2016__W1.31.ST__bin.33	BritoIL_2016__W1.26.ST__bin.22	BritoIL_2016__W1.53.ST__bin.2	ZeeviD_2015__PNP_Main_293__bin.37	BritoIL_2016__M1.29.ST__bin.37	CM_madagascar__A29_01_1FE__bin.4	LiuW_2016__SRR3992995__bin.68	BritoIL_2016__M1.20.ST__bin.42	BritoIL_2016__M1.26.ST__bin.16	BritoIL_2016__W1.2.ST__bin.84	LiuW_2016__SRR3992958__bin.44	BritoIL_2016__W2.5.ST__bin.28	BritoIL_2016__M2.37.ST__bin.9	BritoIL_2016__W2.19.ST__bin.23	BritoIL_2016__M2.58.ST__bin.49	BritoIL_2016__W2.46.ST__bin.71	BritoIL_2016__W2.9.ST__bin.79	BritoIL_2016__WL.26.ST__bin.9	BritoIL_2016__W1.9.ST__bin.73	BritoIL_2016__WL.3.ST__bin.74	BritoIL_2016__W2.61.ST__bin.104	BritoIL_2016__M1.44.ST__bin.7	BritoIL_2016__M1.1.ST__bin.106	CM_madagascar__A62_01_1FE__bin.43	BritoIL_2016__M1.22.ST__bin.45	BritoIL_2016__M1.52.ST__bin.77	BritoIL_2016__M2.51.ST__bin.49	LiuW_2016__SRR3993048__bin.23	BritoIL_2016__W1.3.ST__bin.9	LiuW_2016__SRR3992980__bin.10	BritoIL_2016__WL.25.ST__bin.8
CM_madagascar__A92_01_1FE__bin.44	0.0	40269.0	38397.0	36051.0	40435.0	2440.0	22892.0	35863.0	37034.0	33154.0	38516.0	39448.0	38967.0	40082.0	37621.0	39299.0	40382.0	40763.0	27344.0	38045.0	37545.0	39542.0	27328.0	39340.0	38277.0	39864.0	29128.0	32967.0	38824.0	38680.0	34302.0	38983.0	39361.0	38424.0	41088.0	42738.0	41324.0	31905.0	40111.0	41085.0	37282.0
BritoIL_2016__W3.18.ST__bin.6	40269.0	0.0	32635.0	28188.0	31762.0	37680.0	22280.0	29025.0	30349.0	27404.0	31737.0	32184.0	31047.0	32998.0	30873.0	32003.0	31468.0	33857.0	21179.0	31906.0	28643.0	31738.0	21286.0	32090.0	31434.0	34845.0	25331.0	25213.0	31482.0	31991.0	27794.0	32268.0	32152.0	31518.0	32785.0	33790.0	33263.0	26108.0	7139.0	34385.0	31051.0
BritoIL_2016__WL.1.ST__bin.16	38397.0	32635.0	0.0	26974.0	8425.0	36635.0	21393.0	19887.0	28981.0	25864.0	9971.0	10733.0	29008.0	30908.0	10618.0	30114.0	28906.0	30774.0	19653.0	28587.0	28230.0	11226.0	21279.0	6609.0	14197.0	30603.0	23079.0	23989.0	6699.0	11427.0	25979.0	9151.0	7319.0	31690.0	29055.0	30911.0	30192.0	25242.0	31602.0	33921.0	29131.0
LiuW_2016__SRR3993004__bin.60	36051.0	28188.0	26974.0	0.0	26660.0	35526.0	21092.0	24654.0	25068.0	24254.0	26591.0	27110.0	26089.0	25811.0	26202.0	27516.0	24319.0	26901.0	17397.0	25728.0	25368.0	26406.0	19180.0	26987.0	26239.0	26646.0	20252.0	21862.0	26576.0	26420.0	22988.0	27107.0	26547.0	27208.0	26103.0	27109.0	27808.0	23009.0	27681.0	27214.0	24653.0
BritoIL_2016__W1.1.ST__bin.29	40435.0	31762.0	8425.0	26660.0	0.0	38678.0	21648.0	20927.0	28189.0	24942.0	11624.0	13598.0	29597.0	30703.0	12982.0	30317.0	28243.0	30945.0	19897.0	28838.0	29078.0	13930.0	20976.0	10472.0	15780.0	29974.0	22627.0	23574.0	9931.0	13452.0	25892.0	10840.0	10392.0	30629.0	28502.0	31175.0	30907.0	24393.0	32181.0	32111.0	28086.0
CM_madagascar__A79_02_1FE__bin.25	2440.0	37680.0	36635.0	35526.0	38678.0	0.0	22695.0	35114.0	35515.0	32303.0	37400.0	37666.0	37518.0	38990.0	35477.0	38301.0	38518.0	38836.0	26555.0	37328.0	37344.0	37790.0	25883.0	38367.0	37083.0	37618.0	28102.0	31902.0	36990.0	37295.0	33939.0	37536.0	37866.0	37571.0	39378.0	40052.0	39458.0	30840.0	39130.0	39847.0	35737.0
CM_madagascar__A28_02_1FE__bin.17	22892.0	22280.0	21393.0	21092.0	21648.0	22695.0	0.0	20062.0	20446.0	20717.0	21297.0	21738.0	21738.0	21905.0	20527.0	21951.0	22414.0	22502.0	15486.0	21154.0	21735.0	21389.0	16018.0	21086.0	21711.0	21792.0	17511.0	19034.0	21098.0	21261.0	19456.0	21250.0	21332.0	21935.0	21936.0	23465.0	22352.0	19832.0	22822.0	24209.0	21049.0
BritoIL_2016__W2.39.ST__bin.64	35863.0	29025.0	19887.0	24654.0	20927.0	35114.0	20062.0	0.0	25936.0	23979.0	20514.0	21390.0	27312.0	27519.0	20495.0	28117.0	27500.0	28309.0	18782.0	26818.0	25999.0	20611.0	20090.0	18905.0	21561.0	10397.0	8220.0	22245.0	18831.0	20814.0	23812.0	19611.0	19575.0	27672.0	26620.0	28499.0	28606.0	23119.0	29074.0	30358.0	25339.0
LeChatelierE_2013__MH0318__bin.90	37034.0	30349.0	28981.0	25068.0	28189.0	35515.0	20446.0	25936.0	0.0	22984.0	27877.0	27238.0	27829.0	26665.0	27043.0	28880.0	26878.0	27619.0	18869.0	26916.0	25955.0	28695.0	19798.0	28189.0	27257.0	29555.0	22622.0	21623.0	27481.0	27445.0	24342.0	28088.0	28926.0	29939.0	27232.0	28800.0	27954.0	21550.0	30239.0	29364.0	25246.0
LiuW_2016__SRR3992977__bin.26	33154.0	27404.0	25864.0	24254.0	24942.0	32303.0	20717.0	23979.0	22984.0	0.0	24634.0	25530.0	24903.0	23819.0	24977.0	25518.0	24250.0	25096.0	17617.0	24240.0	23597.0	24971.0	18028.0	25091.0	25037.0	25596.0	20178.0	19394.0	24856.0	24164.0	22402.0	25078.0	24913.0	24951.0	24745.0	24715.0	25387.0	11353.0	26330.0	20622.0	23616.0
BritoIL_2016__W1.31.ST__bin.33	38516.0	31737.0	9971.0	26591.0	11624.0	37400.0	21297.0	20514.0	27877.0	24634.0	0.0	9401.0	28694.0	29545.0	9055.0	29030.0	28137.0	29961.0	19402.0	28044.0	26364.0	15337.0	21281.0	11401.0	14428.0	30186.0	22846.0	23568.0	11256.0	11900.0	25055.0	11219.0	12157.0	31812.0	28691.0	30242.0	30708.0	24043.0	30982.0	32629.0	26739.0
BritoIL_2016__W1.26.ST__bin.22	39448.0	32184.0	10733.0	27110.0	13598.0	37666.0	21738.0	21390.0	27238.0	25530.0	9401.0	0.0	29288.0	31437.0	7547.0	31621.0	29341.0	30659.0	19845.0	28896.0	27934.0	15270.0	21928.0	12633.0	12407.0	31101.0	23600.0	23847.0	12383.0	9016.0	25737.0	13167.0	12563.0	31767.0	28828.0	30732.0	30605.0	25473.0	32720.0	33188.0	28528.0
BritoIL_2016__W1.53.ST__bin.2	38967.0	31047.0	29008.0	26089.0	29597.0	37518.0	21738.0	27312.0	27829.0	24903.0	28694.0	29288.0	0.0	30125.0	28804.0	26626.0	28693.0	29847.0	20825.0	28706.0	27099.0	29310.0	20470.0	29462.0	28494.0	30482.0	22824.0	23907.0	28310.0	28609.0	26475.0	29864.0	29153.0	29711.0	29222.0	30781.0	30104.0	23399.0	31260.0	31849.0	27736.0
ZeeviD_2015__PNP_Main_293__bin.37	40082.0	32998.0	30908.0	25811.0	30703.0	38990.0	21905.0	27519.0	26665.0	23819.0	29545.0	31437.0	30125.0	0.0	29613.0	31620.0	28489.0	31935.0	19986.0	29540.0	26617.0	30662.0	21354.0	30435.0	29821.0	32205.0	24618.0	23558.0	30348.0	30517.0	27918.0	31664.0	30535.0	30820.0	31828.0	31636.0	32287.0	24032.0	32318.0	31525.0	29374.0
BritoIL_2016__M1.29.ST__bin.37	37621.0	30873.0	10618.0	26202.0	12982.0	35477.0	20527.0	20495.0	27043.0	24977.0	9055.0	7547.0	28804.0	29613.0	0.0	28296.0	28407.0	29692.0	19557.0	27546.0	26680.0	14944.0	21201.0	11495.0	10806.0	29338.0	22446.0	23460.0	10991.0	8227.0	24834.0	12480.0	11806.0	29982.0	27860.0	29895.0	29160.0	24698.0	31013.0	31785.0	27859.0
CM_madagascar__A29_01_1FE__bin.4	39299.0	32003.0	30114.0	27516.0	30317.0	38301.0	21951.0	28117.0	28880.0	25518.0	29030.0	31621.0	26626.0	31620.0	28296.0	0.0	30183.0	32007.0	21337.0	29610.0	29183.0	31125.0	20743.0	30796.0	29106.0	32085.0	24366.0	25077.0	29659.0	30878.0	28408.0	30091.0	30488.0	29841.0	31296.0	33214.0	32670.0	25324.0	33116.0	33076.0	28585.0
LiuW_2016__SRR3992995__bin.68	40382.0	31468.0	28906.0	24319.0	28243.0	38518.0	22414.0	27500.0	26878.0	24250.0	28137.0	29341.0	28693.0	28489.0	28407.0	30183.0	0.0	29499.0	19747.0	26930.0	24891.0	28809.0	19864.0	28355.0	27593.0	30957.0	23383.0	22494.0	27968.0	27768.0	25389.0	29609.0	29356.0	28613.0	28408.0	30274.0	29250.0	23333.0	30390.0	30499.0	26430.0
BritoIL_2016__M1.20.ST__bin.42	40763.0	33857.0	30774.0	26901.0	30945.0	38836.0	22502.0	28309.0	27619.0	25096.0	29961.0	30659.0	29847.0	31935.0	29692.0	32007.0	29499.0	0.0	16449.0	29985.0	29007.0	31206.0	21442.0	30648.0	28687.0	32635.0	24380.0	18020.0	29331.0	30637.0	18476.0	30717.0	30775.0	31402.0	21182.0	23573.0	2115.0	25115.0	32913.0	32502.0	17082.0
BritoIL_2016__M1.26.ST__bin.16	27344.0	21179.0	19653.0	17397.0	19897.0	26555.0	15486.0	18782.0	18869.0	17617.0	19402.0	19845.0	20825.0	19986.0	19557.0	21337.0	19747.0	16449.0	0.0	20141.0	19370.0	19994.0	14865.0	20298.0	16740.0	20944.0	16147.0	11636.0	18678.0	20343.0	12899.0	19817.0	20224.0	21367.0	13757.0	14683.0	17009.0	16628.0	21860.0	21924.0	12728.0
BritoIL_2016__W1.2.ST__bin.84	38045.0	31906.0	28587.0	25728.0	28838.0	37328.0	21154.0	26818.0	26916.0	24240.0	28044.0	28896.0	28706.0	29540.0	27546.0	29610.0	26930.0	29985.0	20141.0	0.0	27315.0	27742.0	19629.0	28814.0	27589.0	28830.0	22267.0	22922.0	27974.0	27380.0	25334.0	28172.0	27932.0	29419.0	27861.0	30537.0	30951.0	24447.0	30882.0	31834.0	27799.0
LiuW_2016__SRR3992958__bin.44	37545.0	28643.0	28230.0	25368.0	29078.0	37344.0	21735.0	25999.0	25955.0	23597.0	26364.0	27934.0	27099.0	26617.0	26680.0	29183.0	24891.0	29007.0	19370.0	27315.0	0.0	27296.0	19663.0	28325.0	26289.0	27926.0	22167.0	21817.0	27568.0	26884.0	26145.0	27778.0	27622.0	28766.0	27285.0	29277.0	29623.0	23234.0	30199.0	30115.0	26601.0
BritoIL_2016__W2.5.ST__bin.28	39542.0	31738.0	11226.0	26406.0	13930.0	37790.0	21389.0	20611.0	28695.0	24971.0	15337.0	15270.0	29310.0	30662.0	14944.0	31125.0	28809.0	31206.0	19994.0	27742.0	27296.0	0.0	21009.0	9662.0	16446.0	30061.0	22530.0	23221.0	11661.0	14587.0	25617.0	13598.0	6711.0	32240.0	28279.0	30875.0	31659.0	24542.0	30966.0	33220.0	27871.0
BritoIL_2016__M2.37.ST__bin.9	27328.0	21286.0	21279.0	19180.0	20976.0	25883.0	16018.0	20090.0	19798.0	18028.0	21281.0	21928.0	20470.0	21354.0	21201.0	20743.0	19864.0	21442.0	14865.0	19629.0	19663.0	21009.0	0.0	21026.0	20524.0	22800.0	17457.0	16584.0	20752.0	21001.0	17592.0	21242.0	21191.0	21416.0	20500.0	21675.0	21311.0	17712.0	20640.0	23206.0	20256.0
