	VatanenT_2016__G78518__bin.7	XieH_2016__YSZC12003_37222__bin.70	XieH_2016__YSZC12003_37198R1__bin.35	FengQ_2015__SID31875__bin.81	BackhedF_2015__SID244_12M__bin.30	ZeeviD_2015__PNP_Main_120__bin.33	KarlssonFH_2013__S195__bin.50	KarlssonFH_2013__S347__bin.23	NielsenHB_2014__V1_UC12_0__bin.18	LiSS_2016__FAT_024-22-42-0__bin.42	XieH_2016__YSZC12003_35551__bin.38	VogtmannE_2016__MMRS61683006ST-27-0-0__bin.32	KarlssonFH_2013__S131__bin.18	HMP_2012__SRS062427__bin.9	CosteaPI_2017__daisy-11-7-0__bin.15	BackhedF_2015__SID637_12M__bin.11	LeChatelierE_2013__MH0067__bin.22	XieH_2016__YSZC12003_36697__bin.29	NielsenHB_2014__O2_UC56_2__bin.28	CosteaPI_2017__daisy-11-60-0__bin.48	CosteaPI_2017__daisy-11-2-0__bin.19	ZeeviD_2015__PNP_Main_318__bin.41	HMP_2012__SRS019397__bin.17	HMP_2012__SRS015960__bin.17	HMP_2012__SRS056259__bin.14	VogtmannE_2016__MMRS91297590ST-27-0-0__bin.21	VogtmannE_2016__MMRS64281211ST-27-0-0__bin.35	CosteaPI_2017__daisy-11-0-0__bin.59	HMP_2012__SRS043001__bin.11	Obregon-TitoAJ_2015__NO16__bin.20	NielsenHB_2014__MH0067__bin.16	LoombaR_2017__SID1015_aao__bin.28	NielsenHB_2014__O2_UC59_2__bin.8	HMP_2012__SRS053335__bin.28
VatanenT_2016__G78518__bin.7	0.0	19537.0	19148.0	7055.0	15902.0	6013.0	5057.0	5688.0	17509.0	16604.0	6042.0	6260.0	5601.0	22034.0	5595.0	19021.0	5600.0	6008.0	5536.0	6072.0	5728.0	11828.0	17328.0	23293.0	23366.0	17335.0	20917.0	4882.0	14628.0	12910.0	5254.0	17990.0	6985.0	18636.0
XieH_2016__YSZC12003_37222__bin.70	19537.0	0.0	10422.0	27583.0	21484.0	26819.0	23145.0	27586.0	21071.0	20715.0	27149.0	26163.0	27960.0	14042.0	21695.0	19724.0	27934.0	28671.0	26660.0	27597.0	27128.0	12257.0	20470.0	17785.0	17819.0	9801.0	21608.0	20076.0	17066.0	12972.0	24215.0	11150.0	26963.0	20219.0
XieH_2016__YSZC12003_37198R1__bin.35	19148.0	10422.0	0.0	27300.0	20490.0	26028.0	22996.0	25660.0	20847.0	18182.0	26428.0	26218.0	26700.0	12553.0	22062.0	16392.0	26167.0	28665.0	25675.0	26960.0	27263.0	11346.0	21217.0	8574.0	8615.0	8352.0	19515.0	19824.0	16612.0	10911.0	22213.0	11809.0	26098.0	17423.0
FengQ_2015__SID31875__bin.81	7055.0	27583.0	27300.0	0.0	22271.0	9181.0	7641.0	9372.0	23997.0	23770.0	10309.0	10363.0	8981.0	31592.0	8972.0	27110.0	11201.0	9720.0	10867.0	10344.0	10205.0	16841.0	24543.0	34338.0	34464.0	21274.0	30671.0	7796.0	20791.0	18693.0	10042.0	25782.0	11542.0	27504.0
BackhedF_2015__SID244_12M__bin.30	15902.0	21484.0	20490.0	22271.0	0.0	23464.0	18861.0	21626.0	10916.0	12555.0	22705.0	21522.0	23312.0	23827.0	19145.0	15450.0	23442.0	23453.0	22226.0	23361.0	23583.0	8533.0	17040.0	26210.0	27346.0	17056.0	19219.0	16777.0	10609.0	13052.0	20450.0	19616.0	22429.0	15633.0
ZeeviD_2015__PNP_Main_120__bin.33	6013.0	26819.0	26028.0	9181.0	23464.0	0.0	7316.0	8143.0	25613.0	24883.0	9203.0	9057.0	9990.0	30697.0	7267.0	28549.0	9796.0	10600.0	9401.0	8159.0	8243.0	17743.0	25121.0	32608.0	32919.0	19840.0	30647.0	6094.0	21255.0	19756.0	8407.0	24080.0	9325.0	28561.0
KarlssonFH_2013__S195__bin.50	5057.0	23145.0	22996.0	7641.0	18861.0	7316.0	0.0	6862.0	22877.0	23225.0	5964.0	7924.0	8106.0	27529.0	6579.0	23929.0	8184.0	7800.0	8442.0	7291.0	7352.0	15046.0	21629.0	29075.0	28950.0	18902.0	25797.0	6282.0	19140.0	16370.0	7432.0	22542.0	9545.0	23827.0
KarlssonFH_2013__S347__bin.23	5688.0	27586.0	25660.0	9372.0	21626.0	8143.0	6862.0	0.0	24491.0	23758.0	7866.0	7440.0	9289.0	32130.0	8749.0	28026.0	9208.0	10528.0	8894.0	10333.0	10614.0	17679.0	23630.0	33328.0	33660.0	21377.0	29071.0	7857.0	21646.0	19540.0	8580.0	24256.0	9205.0	26810.0
NielsenHB_2014__V1_UC12_0__bin.18	17509.0	21071.0	20847.0	23997.0	10916.0	25613.0	22877.0	24491.0	0.0	11185.0	26214.0	23906.0	25259.0	23959.0	21172.0	14142.0	26276.0	25038.0	25190.0	26158.0	25840.0	10569.0	14545.0	25859.0	25911.0	16778.0	14014.0	18418.0	10570.0	12443.0	23117.0	19546.0	24675.0	15279.0
LiSS_2016__FAT_024-22-42-0__bin.42	16604.0	20715.0	18182.0	23770.0	12555.0	24883.0	23225.0	23758.0	11185.0	0.0	24722.0	23080.0	25631.0	22759.0	20512.0	14063.0	24659.0	24912.0	23600.0	25202.0	25063.0	8545.0	15523.0	23628.0	23772.0	16116.0	15350.0	17392.0	8909.0	12149.0	21832.0	18743.0	24205.0	13957.0
