	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.6	LiJ_2014__MH0355__bin.86	XieH_2016__YSZC12003_36526__bin.48	NielsenHB_2014__V1_UC10_2__bin.56	ZellerG_2014__CCIS20795251ST-4-0__bin.48	ZeeviD_2015__PNP_Main_688__bin.22	LiuW_2016__SRR3993041__bin.110	IjazUZ_2017__S130_a_WGS__bin.9	KarlssonFH_2013__S598__bin.41	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.113	BritoIL_2016__W2.68.ST__bin.39	LeChatelierE_2013__MH0457__bin.109	BritoIL_2016__M1.59.ST__bin.86	NielsenHB_2014__MH0117__bin.28	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.9	HeQ_2017__SZAXPI029560-51__bin.8	ZeeviD_2015__PNP_Main_326__bin.18	BackhedF_2015__SID599_M__bin.7	ZellerG_2014__CCIS15794887ST-4-0__bin.48	ZeeviD_2015__PNP_Main_223__bin.127	CosteaPI_2017__SID713B051-11-0-0__bin.81	XieH_2016__YSZC12003_35550__bin.11	LeChatelierE_2013__MH0451__bin.82	NielsenHB_2014__MH0099__bin.19	LeChatelierE_2013__MH0099__bin.44	NielsenHB_2014__V1_UC37_0__bin.35	BackhedF_2015__SID511_M__bin.69	VogtmannE_2016__MMRS29805707ST-27-0-0__bin.51	XieH_2016__YSZC12003_36118__bin.30	ZeeviD_2015__PNP_Main_183__bin.3	HMP_2012__SRS011134__bin.55	ZeeviD_2015__PNP_Main_616__bin.33
Bengtsson-PalmeJ_2015__TRAVELRES56__bin.6	1.0	0.958517768584032	0.9592821540876573	0.9582625317558034	0.9616474592557753	0.971890845833752	0.9606583987128191	0.9596099218829258	0.9588687413167012	0.9998601350555534	0.9730783560993784	0.9590324318608667	0.9639737660259774	0.9584285880051382	0.9635834817937949	0.963093213788839	0.9589593932483788	0.9587064933179772	0.9571993489647364	0.9586102583187516	0.962469312111907	0.9573728192067298	0.9588077008591349	0.95891040923958	0.9589132781507294	0.958807490207511	0.9591878400358965	0.9574718312946644	0.959289057719033	0.959128369884062	0.9700273276338736	0.9591877413022551
LiJ_2014__MH0355__bin.86	0.958517768584032	1.0	0.9772818077809986	0.9724831767606104	0.9612056796638215	0.9579999406079763	0.9743970574135572	0.9734334693082064	0.9729940617917898	0.9585661744306787	0.9590323344465833	0.9722848639893668	0.959385512026461	0.9773175887966175	0.9618194619018503	0.9576580150989145	0.97359979478794	0.9731445644955774	0.9747547554995455	0.9726671641532028	0.9605168645398294	0.9924970001382836	0.9746602563635967	0.998049219558002	0.9978961906868448	0.9906058258518015	0.9901803632776625	0.977422522709675	0.9739468739808341	0.9725095420200577	0.9584116630049905	0.9904953001744338
XieH_2016__YSZC12003_36526__bin.48	0.9592821540876573	0.9772818077809986	1.0	0.975153175639398	0.9609083321810244	0.9593207646903357	0.9795352581790795	0.9742890895428197	0.9753765542339186	0.9595695369435449	0.9590183891018003	0.9759843547945293	0.9585595749104205	0.9820834898245907	0.9617379878662038	0.9566442249404792	0.9745586416618374	0.9755471717737608	0.9784700465978019	0.9763290908342013	0.9621880809964777	0.9769949705685876	0.9796761671869992	0.9785306257458776	0.9784187955956533	0.9798812459036859	0.9799172416096827	0.9819343674135228	0.9745696786855209	0.9745499040779182	0.9596944313095206	0.9807678021642413
NielsenHB_2014__V1_UC10_2__bin.56	0.9582625317558034	0.9724831767606104	0.975153175639398	1.0	0.9586992789426176	0.9583834915408712	0.9724770642201834	0.9920594775025292	0.9726069120986461	0.9585637186699332	0.9585544002028912	0.9931756568999471	0.9579325222803792	0.9779440248393954	0.9594867968328981	0.95659606358047	0.9881570860948795	0.9934622419743849	0.9751344086021505	0.9933528342862208	0.9596437248654052	0.9716552127615699	0.9765494528922559	0.9737651373162387	0.9737998468186926	0.9742576137350145	0.9740140922602665	0.9758724032695132	0.9899695141345782	0.9921212410606389	0.9581239108168328	0.9747903108983043
ZellerG_2014__CCIS20795251ST-4-0__bin.48	0.9616474592557753	0.9612056796638215	0.9609083321810244	0.9586992789426176	1.0	0.9634653886349573	0.9625417180552545	0.958610347276102	0.9598919758269242	0.9614728700095964	0.9613781241684631	0.958454009290972	0.9716477347348083	0.9598769559983951	0.9720476159044635	0.9685784394850452	0.9594949499674871	0.9581776697768462	0.9583646825565824	0.9588085348678046	0.9774231364250138	0.9599632881085395	0.9613428966208368	0.9619282902774255	0.961668411557629	0.9603328120214454	0.9609002391966931	0.9585592975906773	0.9614337209848487	0.9585739886741058	0.9609899822126171	0.9610569261469584
ZeeviD_2015__PNP_Main_688__bin.22	0.971890845833752	0.9579999406079763	0.9593207646903357	0.9583834915408712	0.9634653886349573	1.0	0.9597591434798517	0.9589315808034271	0.9583349078263179	0.9720410913992205	0.9693075530329559	0.9594136741732603	0.9670168546088301	0.9581789929124186	0.9645439189955497	0.9661366457549543	0.9584361638494429	0.9586897674295167	0.9577079961152477	0.9593205437952729	0.9649864718497966	0.9577067814455336	0.9587348400625916	0.9585383491591493	0.9589119966694679	0.9587901916338495	0.9587659125049346	0.9579461154105203	0.959990419410369	0.9586002907140523	0.9667300782971223	0.9585727681734487
LiuW_2016__SRR3993041__bin.110	0.9606583987128191	0.9743970574135572	0.9795352581790795	0.9724770642201834	0.9625417180552545	0.9597591434798517	1.0	0.9719861055885244	0.9739112860707884	0.9607118675084637	0.9599143857460772	0.9729000361620709	0.959326423818745	0.9796143512233099	0.9621514614740545	0.9582922725633938	0.9734822536954806	0.9720807572740927	0.9817955223216273	0.9735426449289339	0.9609563046352241	0.9730651851973066	0.9756114571055954	0.9745774767616556	0.9735948575387636	0.975374194092889	0.9752144215040452	0.9773152586570542	0.9721348372552198	0.9720471931866235	0.9605062278235783	0.9761640005034075
IjazUZ_2017__S130_a_WGS__bin.9	0.9596099218829258	0.9734334693082064	0.9742890895428197	0.9920594775025292	0.958610347276102	0.9589315808034271	0.9719861055885244	1.0	0.9713631821017817	0.9595270463546474	0.959088406977977	0.9904613940363812	0.9585932289170356	0.978085836107536	0.9597238249925059	0.9576061637699337	0.9880998466993914	0.9983098931611034	0.974872331240925	0.991276918128587	0.9582027344005533	0.9734437143351202	0.9761446699927536	0.9745218128968333	0.9740323318324904	0.973612762254217	0.9732855936998526	0.9763388619577207	0.9895317412167006	0.9903289767056676	0.9580893394441126	0.9738371086288791
KarlssonFH_2013__S598__bin.41	0.9588687413167012	0.9729940617917898	0.9753765542339186	0.9726069120986461	0.9598919758269242	0.9583349078263179	0.9739112860707884	0.9713631821017817	1.0	0.9590298286531255	0.9584730392786498	0.9732048703864894	0.9588150009197672	0.9803897774433901	0.9603071374524327	0.9571293681986034	0.9723043396046258	0.972431773842434	0.975566892872095	0.9737873348426418	0.9597993813861669	0.973232242104925	0.9736253301453635	0.9733502366919767	0.9732402014766376	0.9753452220451853	0.9752495731824339	0.9762382905570134	0.9715255275943141	0.9733928504974766	0.9586263019265865	0.9759077819523498
Bengtsson-PalmeJ_2015__TRAVELRES55__bin.113	0.9998601350555534	0.9585661744306787	0.9595695369435449	0.9585637186699332	0.9614728700095964	0.9720410913992205	0.9607118675084637	0.9595270463546474	0.9590298286531255	1.0	0.972959775260028	0.9590584277388514	0.9638643259388687	0.9581591285425165	0.9635320429041417	0.9628893242132164	0.9593359167101985	0.9587626617169962	0.9570994311433993	0.9590843121119174	0.9621458150988256	0.9571713051746604	0.9592769479252805	0.9586887430901456	0.958604076920716	0.959264509758531	0.9595352912843904	0.9578602830920587	0.9593375470037603	0.9595003333450296	0.9696541166697004	0.9589774235220712
