	XieH_2016__YSZC12003_37194__bin.73	XieH_2016__YSZC12003_35636__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.35	LeChatelierE_2013__MH0434__bin.13	ChengpingW_2017__AS67raw__bin.63	LiJ_2017__nHM410714__bin.28	RaymondF_2016__P1E7__bin.61	BackhedF_2015__SID566_M__bin.46	LeChatelierE_2013__MH0205__bin.54	VogtmannE_2016__MMRS81671217ST-27-0-0__bin.47	RaymondF_2016__P1E90__bin.38	LiJ_2014__O2.UC29-1__bin.47	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.67	BritoIL_2016__W2.9.ST__bin.37	BritoIL_2016__W2.46.ST__bin.36	LiSS_2016__FAT_010-22-84-0__bin.59	QinN_2014__HD-9__bin.8	LeChatelierE_2013__MH0307__bin.65	SchirmerM_2016__G89151__bin.1	ZeeviD_2015__PNP_Main_467__bin.37	LeChatelierE_2013__MH0247__bin.68	CM_madagascar__A90_04_1FE__bin.34	QinN_2014__HD-35__bin.59	YuJ_2015__SZAXPI015269-94__bin.5	CosteaPI_2017__SID713A078-11-0-0__bin.39	NielsenHB_2014__O2_UC22_2__bin.37	CosteaPI_2017__SID713B057-11-0-0__bin.50	XieH_2016__YSZC12003_35666__bin.46	XieH_2016__YSZC12003_37203__bin.59	XieH_2016__YSZC12003_37100__bin.119	XieH_2016__YSZC12003_37102__bin.45	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.63	Obregon-TitoAJ_2015__SM11__bin.19	LiJ_2014__O2.UC22-1__bin.34	LeChatelierE_2013__MH0229__bin.81	XieH_2016__YSZC12003_37138__bin.47	XieH_2016__YSZC12003_35388__bin.8	FengQ_2015__SID31881__bin.26	HeQ_2017__SZAXPI029560-51__bin.24	LiJ_2017__nHMX11726__bin.55
XieH_2016__YSZC12003_37194__bin.73	1.0	0.8965754792479235	0.7790368869652513	0.5154680705011735	0.782645751769963	0.6536951978791357	0.4734663796584655	0.566988724934827	0.7470919320895548	0.817712337901618	0.5966589419132233	0.7944154105151182	0.8404778715989945	0.7100508970151179	0.5337523312874104	0.47524995866120195	0.7644817046991786	0.8131010379104991	0.6814086299708985	0.6458940637485973	0.5883475128272941	0.7231105225273142	0.773050734603935	0.7801340211193417	0.38736146595964643	0.7045956476746987	0.43879429078078563	0.43679187374910267	0.8389096959476201	0.7954963526177395	0.6356930713230426	0.8199659770651857	0.7781414174521857	0.7881314225404151	0.717652329177537	0.818347753254725	0.4527219083853728	0.6986178366732303	0.7242007873262359	0.7677343443715693
XieH_2016__YSZC12003_35636__bin.16	0.8439364184382095	1.0	0.7401854646963083	0.48887470464021987	0.75226311637591	0.6422571860872842	0.45434832409304454	0.5500033253954911	0.7420056568672189	0.8209219104766585	0.588559900533726	0.8010697612550781	0.8385414261143308	0.694311172035641	0.5079343012697468	0.45177529933178023	0.7465351226424332	0.7818753013639663	0.6499023626934964	0.6215764591558298	0.5804380839071179	0.7045298352636024	0.735794095206073	0.7480467920094441	0.3796945808985588	0.6961660037429174	0.42736643456637763	0.4267050503520301	0.8200730109054498	0.7634983345310915	0.6174224859548226	0.7763796234543839	0.7585374910629996	0.7767486499818026	0.6792688379035967	0.7828077976829383	0.42339535811738277	0.6685915472141499	0.6966948339981045	0.7583121031463784
Bengtsson-PalmeJ_2015__TRAVELRES10__bin.35	0.9051394417995315	0.9136400925602346	1.0	0.526628740306288	0.8181883483334199	0.7000286756577871	0.5008428819093085	0.5883321427899534	0.7800953308845956	0.8379523185951093	0.6252011714262747	0.8445859160903505	0.8830626058590697	0.753997061742739	0.547239298079187	0.5043842971413847	0.790897445472068	0.8083827556109938	0.7182967229367067	0.6788708289887526	0.6296108376883657	0.7661981835709574	0.8037883793464573	0.8364712180199431	0.42716753482268127	0.7263595425805014	0.4926358288376781	0.45691097604983977	0.8632285142075627	0.8297578075606821	0.7052125276708696	0.9276985760797127	0.84353295505789	0.8171735835051688	0.8054131432568592	0.8346936692927032	0.4672946426688087	0.7226784546613907	0.7646087654017643	0.808318335147178
LeChatelierE_2013__MH0434__bin.13	0.9218920434451814	0.9288658427749175	0.8106350659163127	1.0	0.813774021522512	0.7025811043121369	0.5101711112534674	0.629508464298658	0.8400027730220061	0.8749428502980561	0.6642186264590175	0.8679523777347393	0.8657006136627495	0.7727350509104024	0.5985445144622751	0.5244776232042269	0.8187408900523101	0.8881506839097154	0.7576089178983653	0.7084746536135724	0.6601643980831047	0.8035226154862749	0.800202009387908	0.8201739106016317	0.4393361946942261	0.7773026393728758	0.4734663038337029	0.5022249991443999	0.8476557872354988	0.8482551461057908	0.7017588506350307	0.8443053448244089	0.8287658911272949	0.8410101873457178	0.7601028826265784	0.8330438918486316	0.5308792673605657	0.7570876599643193	0.784400171646552	0.8310264305853796
ChengpingW_2017__AS67raw__bin.63	0.6264259973734314	0.6396633059575351	0.5636381273445895	0.36419171751192325	1.0	0.5044826036960469	0.3794370471839792	0.4261548575809178	0.5515063496352337	0.6512044199242192	0.5054027666941053	0.603850389272541	0.6282565051557405	0.6228835858316105	0.4534895502786802	0.3821688669938357	0.6815234568909723	0.5869277159535764	0.5097510572252628	0.5557277888439957	0.46149532181748487	0.6294205525847822	0.6966521461829928	0.6972070716274044	0.32381411686344985	0.6182109015162465	0.3519507612650258	0.32215091144442415	0.6254331795931961	0.6622263467447516	0.5382462627950962	0.595887425145938	0.699742919889659	0.6885403379350648	0.6071579491400816	0.6053918488403511	0.3181863167088719	0.6238186725146566	0.6309836122229693	0.5776385075058281
LiJ_2017__nHM410714__bin.28	0.8758571994895755	0.9142060907758728	0.8072654621333296	0.5263518786236422	0.844500018736601	1.0	0.5382006420408564	0.5615260665563508	0.7655387232945913	0.8401103947374478	0.6571570199469194	0.8312469963913964	0.8614668326006336	0.7922715794691559	0.5919773162218861	0.590607243372667	0.8219654760049885	0.814268348884712	0.7000513448606162	0.7077642501710948	0.6441452724268895	0.8008516278161605	0.8282537422251325	0.8437512121265911	0.5061492209189875	0.7581768827161103	0.5704190490090311	0.4656630422848923	0.849936920110421	0.8373722213127849	0.6890703819045196	0.838211752516457	0.847441993784708	0.8557820821557215	0.7869602461923612	0.8411616166596652	0.47420890455312553	0.7358974207260992	0.7922709220445642	0.8190471682421846
RaymondF_2016__P1E7__bin.61	0.8219526509779269	0.8379608215931847	0.7483447093307029	0.4952166294849156	0.8229867551191987	0.6973388428766495	1.0	0.5569485580039575	0.7315230548151859	0.8163323716335182	0.7752612305498555	0.7472364972320252	0.8142053880744112	0.8158229859033036	0.6000052812567346	0.5656651870629654	0.8374114005296589	0.7757246182375424	0.6770843714835988	0.7447534547511293	0.6190391008915953	0.816476328470318	0.8159788681585365	0.8384208020184623	0.5047015962172572	0.7605682632246503	0.501355664531165	0.44197900615266406	0.8125877902455187	0.8310525970579993	0.7366262820889585	0.7921118467958531	0.844782160936929	0.819155288539758	0.8047596048597783	0.7627906501312222	0.46612457121732115	0.7550348690716828	0.8038473103496447	0.778437650931077
BackhedF_2015__SID566_M__bin.46	0.7712784312573795	0.7948390722584615	0.6888138516465216	0.478806502921135	0.7242686149354667	0.5700968950467189	0.43640949687595737	1.0	0.7079886184863495	0.7562452485250821	0.5785442582159217	0.7636627222054987	0.8111217385442315	0.6542341273205053	0.46758651438808346	0.4045636852823252	0.711384650708608	0.7893926054869148	0.637906073811639	0.5730924517710695	0.5910824785962533	0.6565054908528059	0.704730082851706	0.7051966368067686	0.346490733330708	0.6483317859405068	0.39613033875554915	0.41606333920474914	0.7550845370403125	0.7085659706624999	0.5868414430734092	0.72115425048007	0.7314971976727034	0.7029172637645097	0.6240936738887973	0.7336590979022426	0.4057911426834128	0.6414389351623494	0.6435614553012611	0.7130312724641724
LeChatelierE_2013__MH0205__bin.54	0.7833224352843671	0.8265152360898109	0.703974178054742	0.4924577098251699	0.7224578178624768	0.5990673808104136	0.4418113637755026	0.5457026103356719	1.0	0.782725657779998	0.5759118991775274	0.8315168489324628	0.7836542641553309	0.6854751043460322	0.5099736440417683	0.42827531815700703	0.7155892174652082	0.7794140570941154	0.6335148188600213	0.6205673193320413	0.5692712060513239	0.6962700891513567	0.7100865173042326	0.7143709682149099	0.366109622882919	0.6871378499444123	0.40581076082443784	0.4219216955889396	0.7721899625110544	0.7293387653805254	0.6384454357581878	0.7689781677181441	0.744584372763692	0.7520852486375723	0.677001892710723	0.751132976947411	0.4124910676298107	0.6476347803987399	0.6830139116038756	0.7237877056631613
VogtmannE_2016__MMRS81671217ST-27-0-0__bin.47	0.6785614819712928	0.7237150912143949	0.5984811716094484	0.4059663546652812	0.6751518339785633	0.5203157853591165	0.39020966037072086	0.4613330282267062	0.6194862970750481	1.0	0.5219241098839889	0.6740223422742605	0.712616023309712	0.6317877402511104	0.4493960028860264	0.38463549258704904	0.6560192868648339	0.6575799724101089	0.5387125748990623	0.5574652316883091	0.4840010390997943	0.6668524722594558	0.6563552027466112	0.6502232110138063	0.3185382406639815	0.5967397022441624	0.35153495235287696	0.3511864141773603	0.700584127180603	0.6724653212658777	0.5584351124524222	0.6400866947994521	0.6781441319363576	0.6688244002781791	0.5890405102338301	0.6629346751510197	0.34783865614103093	0.591302751008562	0.6249961318777251	0.6344844322329407
