Ref_file	Query_file	AAI	Align_fraction_query	Align_fraction_reference	Ref_name	Query_name
references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9999	0.9858	0.9858	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002432785_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9971	0.8921	0.5717	DJGS01000010.1 TPA_asm: Pseudomonas stutzeri isolate UBA5840 UBA5840_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002385035_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9926	0.8578	0.5710	DGCT01000014.1 TPA_asm: Pseudomonas stutzeri isolate UBA3971 UBA3971_contig_101, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002380045_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9916	0.8596	0.5781	DFVR01000013.1 TPA_asm: Pseudomonas stutzeri isolate UBA4155 UBA4155_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002307875_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9911	0.7728	0.6023	DBUK01000006.1 TPA_asm: Pseudomonas stutzeri isolate UBA1292 UBA1292_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002380585_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9910	0.8550	0.5488	DFVM01000026.1 TPA_asm: Pseudomonas stutzeri isolate UBA4160 UBA4160_contig_124, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002482365_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9908	0.8475	0.5733	DLFV01000012.1 TPA_asm: Pseudomonas stutzeri isolate UBA7711 UBA7711_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002365055_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9906	0.8285	0.5737	DEYY01000004.1 TPA_asm: Pseudomonas stutzeri isolate UBA3146 UBA3146_contig_14, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002415415_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9900	0.8138	0.5384	DHYC01000010.1 TPA_asm: Pseudomonas stutzeri isolate UBA5140 UBA5140_contig_108, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002387495_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9896	0.8645	0.5665	DGJN01000011.1 TPA_asm: Pseudomonas stutzeri isolate UBA4595 UBA4595_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002362825_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9895	0.8480	0.5611	DEVI01000016.1 TPA_asm: Pseudomonas stutzeri isolate UBA3240 UBA3240_contig_10, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002362755_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9892	0.8112	0.5805	DEVE01000009.1 TPA_asm: Pseudomonas stutzeri isolate UBA3244 UBA3244_contig_10, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002338865_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9885	0.8287	0.5634	DDJG01000010.1 TPA_asm: Pseudomonas stutzeri isolate UBA1830 UBA1830_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002477385_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9885	0.8475	0.5664	DLPM01000040.1 TPA_asm: Pseudomonas stutzeri isolate UBA7458 UBA7458_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002473225_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9882	0.8319	0.5563	DKTB01000012.1 TPA_asm: Pseudomonas stutzeri isolate UBA7241 UBA7241_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002387945_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9877	0.8284	0.5295	DGLL01000021.1 TPA_asm: Pseudomonas stutzeri isolate UBA4545 UBA4545_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002378715_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9872	0.6070	0.4933	DFRP01000007.1 TPA_asm: Pseudomonas stutzeri isolate UBA3460 UBA3460_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
