	NielsenHB_2014__O2_UC40_2__bin.23	XieH_2016__YSZC12003_36525__bin.8	HMP_2012__SRS011134__bin.15	BritoIL_2016__W1.27.ST__bin.1	ZeeviD_2015__PNP_Main_396__bin.77	LiJ_2014__MH0378__bin.31	ZeeviD_2015__PNP_Main_100__bin.9	ZellerG_2014__CCIS25399172ST-4-0__bin.32	LiJ_2014__O2.UC40-1__bin.93	ZellerG_2014__CCIS38765456ST-20-0__bin.8	NielsenHB_2014__V1_UC37_0__bin.17	ZeeviD_2015__PNP_Validation_3__bin.20	NielsenHB_2014__O2_UC40_0__bin.26	XieH_2016__YSZC12003_35391__bin.11	HMP_2012__SRS022609__bin.67	ZeeviD_2015__PNP_Main_473__bin.12	NielsenHB_2014__V1_CD29_0__bin.45	ZeeviD_2015__PNP_Validation_29__bin.13	XieH_2016__YSZC12003_35740__bin.120	ZeeviD_2015__PNP_Main_619__bin.16	HMP_2012__SRS011061__bin.29	XieH_2016__YSZC12003_35520__bin.90	LeChatelierE_2013__MH0198__bin.6	QinJ_2012__T2D-033__bin.32	XieH_2016__YSZC12003_37331__bin.7	ZellerG_2014__CCIS09568613ST-4-0__bin.28	ZeeviD_2015__PNP_Main_575__bin.29	ZellerG_2014__CCIS90443472ST-4-0__bin.80	ZeeviD_2015__PNP_Main_215__bin.8
NielsenHB_2014__O2_UC40_2__bin.23	2554789.0	1836539.0	2152402.0	1921586.0	2159101.0	2086792.0	1387069.0	2287962.0	2245657.0	2214598.0	2171558.0	2216156.0	2356846.0	2155277.0	2122023.0	2207710.0	1954924.0	2192524.0	2048012.0	1838746.0	2092715.0	1974150.0	2186875.0	2049478.0	2137558.0	2238102.0	1998316.0	2222467.0	2058072.0
XieH_2016__YSZC12003_36525__bin.8	1836539.0	1899643.0	1835600.0	1736669.0	1816865.0	1742326.0	1202209.0	1835825.0	1758725.0	1830121.0	1814443.0	1810226.0	1761727.0	1832090.0	1824999.0	1826667.0	1767145.0	1800510.0	1649337.0	1553176.0	1773524.0	1768629.0	1825126.0	1758868.0	1813090.0	1853061.0	1795762.0	1844537.0	1650881.0
HMP_2012__SRS011134__bin.15	2152402.0	1835600.0	2391198.0	1897837.0	2109316.0	2011027.0	1353411.0	2133481.0	1912972.0	2126813.0	2107836.0	2111592.0	2078565.0	2083697.0	2330002.0	2140686.0	1914035.0	2099410.0	1960570.0	1797706.0	2063291.0	1963012.0	2109666.0	2012845.0	2108462.0	2150109.0	1957258.0	2146923.0	1952979.0
BritoIL_2016__W1.27.ST__bin.1	1921586.0	1736669.0	1897837.0	2021406.0	1880588.0	1816616.0	1226307.0	1907153.0	1804000.0	1893956.0	1880166.0	1868930.0	1875581.0	1846045.0	1882336.0	1894187.0	1785378.0	1886807.0	1717138.0	1591161.0	1861707.0	1805645.0	1892740.0	1814214.0	1847130.0	1928396.0	1833558.0	1919614.0	1726864.0
ZeeviD_2015__PNP_Main_396__bin.77	2159101.0	1816865.0	2109316.0	1880588.0	2357895.0	2010165.0	1354623.0	2137606.0	1888044.0	2129592.0	2122120.0	2116752.0	2063738.0	2079767.0	2071584.0	2141922.0	1934269.0	2153271.0	1962746.0	1808952.0	2056108.0	1928140.0	2142628.0	2023676.0	2083768.0	2212991.0	1946997.0	2137852.0	2005516.0
LiJ_2014__MH0378__bin.31	2086792.0	1742326.0	2011027.0	1816616.0	2010165.0	2285374.0	1309151.0	2061791.0	1803735.0	2063031.0	2067559.0	2030204.0	2051507.0	2019573.0	1988596.0	2032757.0	1814803.0	2025945.0	1900454.0	1743216.0	1976139.0	1823158.0	2027817.0	1968657.0	2022383.0	2069109.0	1854015.0	2081272.0	1893594.0
ZeeviD_2015__PNP_Main_100__bin.9	1387069.0	1202209.0	1353411.0	1226307.0	1354623.0	1309151.0	1457531.0	1372421.0	1225208.0	1366961.0	1359133.0	1338090.0	1336526.0	1360961.0	1339158.0	1346515.0	1233517.0	1349707.0	1237868.0	1183232.0	1346868.0	1223398.0	1355645.0	1322423.0	1351947.0	1383505.0	1254484.0	1370709.0	1251054.0
ZellerG_2014__CCIS25399172ST-4-0__bin.32	2287962.0	1835825.0	2133481.0	1907153.0	2137606.0	2061791.0	1372421.0	2503877.0	2015687.0	2189425.0	2145355.0	2195744.0	2159731.0	2117927.0	2114498.0	2174255.0	1926953.0	2140305.0	2000613.0	1817398.0	2083520.0	1948449.0	2156055.0	2042464.0	2108814.0	2198621.0	1971405.0	2176929.0	2020302.0
LiJ_2014__O2.UC40-1__bin.93	2245657.0	1758725.0	1912972.0	1804000.0	1888044.0	1803735.0	1225208.0	2015687.0	2286074.0	1929774.0	1884353.0	1940409.0	2110036.0	1898333.0	1899871.0	1936173.0	1883424.0	1910395.0	1762271.0	1590872.0	1841024.0	1905063.0	1922215.0	1806122.0	1879705.0	1956433.0	1910895.0	1938964.0	1767894.0
ZellerG_2014__CCIS38765456ST-20-0__bin.8	2214598.0	1830121.0	2126813.0	1893956.0	2129592.0	2063031.0	1366961.0	2189425.0	1929774.0	2399744.0	2154354.0	2189133.0	2136975.0	2117739.0	2111065.0	2197543.0	1912440.0	2135576.0	1955988.0	1807957.0	2076386.0	1945219.0	2133116.0	2036858.0	2129593.0	2183581.0	1959744.0	2175830.0	1971657.0
