	LiuW_2016__SRR3993044__bin.127	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.49	LiJ_2014__V1.FI06__bin.82	VatanenT_2016__G78855__bin.3	VatanenT_2016__G80489__bin.4	VatanenT_2016__G78692__bin.8	CosteaPI_2017__donald1-11-0-0__bin.15	CosteaPI_2017__donald3-11-7-0__bin.57	LiuW_2016__SRR3993005__bin.29	CosteaPI_2017__donald4-11-0-0__bin.31	LiuW_2016__SRR3993002__bin.44	CosteaPI_2017__SID713B058-11-90-0__bin.68	CosteaPI_2017__donald3-11-30-0__bin.17	CosteaPI_2017__SID713A038-11-90-0__bin.46	LiSS_2016__FAT_008-22-14-0__bin.30	LouisS_2016__AS44_12__bin.19	LiuW_2016__SRR3992982__bin.40	ZeeviD_2015__PNP_Main_613__bin.30	CosteaPI_2017__SID713A014-11-0-0__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES28__bin.59	CosteaPI_2017__donald1-11-7-0__bin.11	VatanenT_2016__G80485__bin.3	ZeeviD_2015__PNP_Main_480__bin.15	VatanenT_2016__G80601__bin.7	LouisS_2016__AS44_6__bin.16	ZeeviD_2015__PNP_Validation_58__bin.38	ZellerG_2014__CCMD72895164ST-21-0__bin.2	ZeeviD_2015__PNP_Main_679__bin.10	ZeeviD_2015__PNP_Main_549__bin.23	NielsenHB_2014__V1_CD29_0__bin.19	CosteaPI_2017__SID713B020-11-90-0__bin.54	BackhedF_2015__SID268_12M__bin.3	LeChatelierE_2013__MH0405__bin.18	LouisS_2016__AS44_0__bin.3	VatanenT_2016__G80366__bin.8	ChengpingW_2017__AS17raw__bin.43	LiuW_2016__SRR3993001__bin.32	LeChatelierE_2013__MH0413__bin.33	LiuW_2016__SRR3992997__bin.26	CosteaPI_2017__donald3-11-0-0__bin.14	ZeeviD_2015__PNP_Main_597__bin.27	ZeeviD_2015__PNP_Main_466__bin.17	LeChatelierE_2013__MH0181__bin.36	BackhedF_2015__SID268_4M__bin.1
LiuW_2016__SRR3993044__bin.127	2567944.0	2056897.0	2159886.0	2069714.0	1021131.0	2163731.0	2327787.0	1786538.0	2370398.0	1936013.0	2130715.0	1638217.0	2211771.0	2256374.0	1854122.0	2121284.0	2146502.0	873764.0	2324484.0	1292995.0	2160162.0	1739979.0	1677554.0	1118443.0	1150272.0	1278867.0	1232594.0	2242316.0	1718828.0	1634479.0	1718523.0	1905283.0	1709600.0	2179404.0	2166895.0	906604.0	2310694.0	904486.0	2412813.0	2352971.0	1350111.0	2183736.0	1487126.0	1571307.0
Bengtsson-PalmeJ_2015__TRAVELRES27__bin.49	2056897.0	2197695.0	1974295.0	1860711.0	876894.0	1920640.0	2067213.0	1634603.0	2069553.0	1706600.0	1822740.0	1493035.0	1962230.0	1985853.0	1643937.0	1943044.0	1943081.0	756325.0	2028969.0	1163461.0	2003559.0	1545279.0	1451967.0	998911.0	1000815.0	1121150.0	1060912.0	2050682.0	1528845.0	1426977.0	1556241.0	1670151.0	1524780.0	1947281.0	1939058.0	764909.0	2000801.0	772216.0	2088567.0	2082839.0	1136405.0	1919647.0	1312976.0	1372794.0
LiJ_2014__V1.FI06__bin.82	2159886.0	1974295.0	2327332.0	1967496.0	943292.0	2058672.0	2180283.0	1692458.0	2229501.0	1812391.0	1903306.0	1521831.0	2087154.0	2091452.0	1743168.0	2079458.0	2053467.0	837837.0	2168262.0	1229258.0	2058494.0	1729146.0	1569813.0	1066311.0	1097099.0	1207281.0	1147836.0	2148315.0	1607724.0	1525416.0	1695364.0	1768268.0	1625249.0	2112600.0	2055593.0	861757.0	2141672.0	853609.0	2213751.0	2212128.0	1227220.0	2043165.0	1461901.0	1481182.0
VatanenT_2016__G78855__bin.3	2069714.0	1860711.0	1967496.0	2283925.0	1031792.0	2001843.0	2135146.0	1666375.0	2078146.0	1806952.0	1863806.0	1487217.0	2053104.0	2018327.0	1714474.0	1946630.0	1966210.0	838137.0	2087122.0	1232642.0	1953876.0	1619005.0	1533787.0	1119457.0	1090752.0	1176561.0	1195563.0	2072974.0	1581068.0	1516331.0	1632726.0	1752992.0	1594307.0	2017069.0	2068099.0	861507.0	2026977.0	866392.0	2129764.0	2160511.0	1233249.0	1963733.0	1437197.0	1442159.0
VatanenT_2016__G80489__bin.4	1021131.0	876894.0	943292.0	1031792.0	1125050.0	994549.0	1042268.0	850880.0	1000089.0	941368.0	925112.0	706917.0	1013053.0	1002131.0	885004.0	961623.0	962642.0	502015.0	1035635.0	686244.0	930426.0	846180.0	816807.0	613354.0	611541.0	591925.0	663918.0	1021763.0	836738.0	768514.0	868192.0	899180.0	833406.0	1017667.0	1044774.0	505423.0	986191.0	531858.0	1053060.0	1057604.0	666790.0	980958.0	774958.0	760457.0
VatanenT_2016__G78692__bin.8	2163731.0	1920640.0	2058672.0	2001843.0	994549.0	2353585.0	2217353.0	1717416.0	2177732.0	1840747.0	1915026.0	1521888.0	2113179.0	2100551.0	1799674.0	2043174.0	2032208.0	843211.0	2162181.0	1227570.0	2034727.0	1640700.0	1574827.0	1091616.0	1117302.0	1200340.0	1181152.0	2135769.0	1594834.0	1565115.0	1640368.0	1807358.0	1633027.0	2111413.0	2051954.0	872166.0	2128827.0	905889.0	2223005.0	2231852.0	1244191.0	2043957.0	1464311.0	1514696.0
CosteaPI_2017__donald1-11-0-0__bin.15	2327787.0	2067213.0	2180283.0	2135146.0	1042268.0	2217353.0	2625169.0	1874353.0	2315334.0	2064108.0	2049316.0	1644301.0	2391519.0	2242017.0	1868917.0	2175228.0	2169285.0	883473.0	2306353.0	1280396.0	2290468.0	1784833.0	1681818.0	1126365.0	1156044.0	1284246.0	1253163.0	2283690.0	1722761.0	1652385.0	1752629.0	1943624.0	1736019.0	2255901.0	2204847.0	919176.0	2269298.0	923965.0	2367401.0	2552951.0	1308317.0	2188212.0	1541886.0	1594188.0
CosteaPI_2017__donald3-11-7-0__bin.57	1786538.0	1634603.0	1692458.0	1666375.0	850880.0	1717416.0	1874353.0	1920588.0	1778936.0	1622439.0	1597571.0	1286417.0	1814864.0	1727408.0	1496495.0	1710722.0	1679401.0	751635.0	1766098.0	1070272.0	1799492.0	1444389.0	1327974.0	942467.0	964820.0	1031163.0	1030738.0	1768858.0	1396096.0	1348410.0	1459546.0	1515609.0	1442396.0	1707956.0	1705749.0	753997.0	1736291.0	793430.0	1796958.0	1908028.0	1064793.0	1680398.0	1254339.0	1264180.0
LiuW_2016__SRR3993005__bin.29	2370398.0	2069553.0	2229501.0	2078146.0	1000089.0	2177732.0	2315334.0	1778936.0	2500822.0	1915983.0	2041524.0	1601415.0	2201564.0	2265099.0	1827529.0	2140143.0	2150075.0	861388.0	2329559.0	1287863.0	2165529.0	1755583.0	1664610.0	1114351.0	1147174.0	1262308.0	1205684.0	2260115.0	1688372.0	1624268.0	1691593.0	1903583.0	1693931.0	2192489.0	2159207.0	886475.0	2336846.0	888018.0	2464624.0	2346148.0	1289235.0	2183453.0	1492632.0	1578193.0
CosteaPI_2017__donald4-11-0-0__bin.31	1936013.0	1706600.0	1812391.0	1806952.0	941368.0	1840747.0	2064108.0	1622439.0	1915983.0	2124846.0	1748007.0	1368696.0	1990918.0	1882636.0	1596814.0	1783665.0	1793134.0	811113.0	1926475.0	1159363.0	1887392.0	1549080.0	1469545.0	990896.0	1051407.0	1099599.0	1142659.0	1888997.0	1518007.0	1463915.0	1542649.0	1665937.0	1521191.0	1857110.0	1866820.0	828996.0	1859509.0	839571.0	1962006.0	2094479.0	1179672.0	1837936.0	1375194.0	1408570.0
LiuW_2016__SRR3993002__bin.44	2130715.0	1822740.0	1903306.0	1863806.0	925112.0	1915026.0	2049316.0	1597571.0	2041524.0	1748007.0	2214827.0	1534977.0	1966910.0	1991229.0	1665096.0	1891275.0	1929078.0	842981.0	2058487.0	1197240.0	1912633.0	1555263.0	1533773.0	1022064.0	1079504.0	1191468.0	1133394.0	1997848.0	1544967.0	1479955.0	1580959.0	1697013.0	1523577.0	1940621.0	1934297.0	854236.0	2058613.0	852013.0	2092596.0	2080657.0	1267568.0	1957940.0	1354430.0	1396788.0
CosteaPI_2017__SID713B058-11-90-0__bin.68	1638217.0	1493035.0	1521831.0	1487217.0	706917.0	1521888.0	1644301.0	1286417.0	1601415.0	1368696.0	1534977.0	1787438.0	1577817.0	1548322.0	1346718.0	1546249.0	1574575.0	681918.0	1587970.0	972351.0	1560714.0	1226386.0	1200853.0	795975.0	877414.0	988250.0	876200.0	1584130.0	1232903.0	1136674.0	1297678.0	1289718.0	1178739.0	1555602.0	1534688.0	696624.0	1579872.0	637108.0	1624198.0	1661812.0	985829.0	1520618.0	1019538.0	1017754.0
CosteaPI_2017__donald3-11-30-0__bin.17	2211771.0	1962230.0	2087154.0	2053104.0	1013053.0	2113179.0	2391519.0	1814864.0	2201564.0	1990918.0	1966910.0	1577817.0	2440220.0	2129659.0	1798554.0	2063809.0	2064332.0	879004.0	2201031.0	1260651.0	2184849.0	1693399.0	1619950.0	1094448.0	1126650.0	1238537.0	1221056.0	2170532.0	1662314.0	1594830.0	1696557.0	1867420.0	1677160.0	2144977.0	2117592.0	889880.0	2141030.0	898515.0	2251891.0	2425183.0	1275003.0	2085270.0	1487024.0	1528072.0
CosteaPI_2017__SID713A038-11-90-0__bin.46	2256374.0	1985853.0	2091452.0	2018327.0	1002131.0	2100551.0	2242017.0	1727408.0	2265099.0	1882636.0	1991229.0	1548322.0	2129659.0	2364973.0	1787585.0	2068097.0	2063123.0	874519.0	2238110.0	1250464.0	2073146.0	1702547.0	1651812.0	1098810.0	1126519.0	1236526.0	1208868.0	2186741.0	1667671.0	1598732.0	1673236.0	1829614.0	1645969.0	2125908.0	2085586.0	889998.0	2226478.0	899013.0	2291844.0	2257263.0	1292007.0	2146366.0	1472748.0	1537069.0
LiSS_2016__FAT_008-22-14-0__bin.30	1854122.0	1643937.0	1743168.0	1714474.0	885004.0	1799674.0	1868917.0	1496495.0	1827529.0	1596814.0	1665096.0	1346718.0	1798554.0	1787585.0	1987022.0	1735431.0	1752077.0	798858.0	1846067.0	1118195.0	1736382.0	1439771.0	1400277.0	951902.0	1006503.0	1083248.0	1078435.0	1820634.0	1411652.0	1381565.0	1484329.0	1524149.0	1444237.0	1791401.0	1746579.0	809875.0	1796492.0	814515.0	1892669.0	1893266.0	1147220.0	1768693.0	1289169.0	1299025.0
LouisS_2016__AS44_12__bin.19	2121284.0	1943044.0	2079458.0	1946630.0	961623.0	2043174.0	2175228.0	1710722.0	2140143.0	1783665.0	1891275.0	1546249.0	2063809.0	2068097.0	1735431.0	2331586.0	2044267.0	833782.0	2117832.0	1214464.0	2037055.0	1627284.0	1538153.0	1070783.0	1116239.0	1210768.0	1136493.0	2127366.0	1606975.0	1511246.0	1648975.0	1752753.0	1598946.0	2149160.0	2024214.0	870416.0	2124222.0	884178.0	2165027.0	2185734.0	1214158.0	2006003.0	1453243.0	1456702.0
LiuW_2016__SRR3992982__bin.40	2146502.0	1943081.0	2053467.0	1966210.0	962642.0	2032208.0	2169285.0	1679401.0	2150075.0	1793134.0	1929078.0	1574575.0	2064332.0	2063123.0	1752077.0	2044267.0	2345322.0	850357.0	2139627.0	1227495.0	2039196.0	1641189.0	1549618.0	1083037.0	1112435.0	1202197.0	1151563.0	2161378.0	1594922.0	1513387.0	1653708.0	1755619.0	1600262.0	2063900.0	2041055.0	865964.0	2118512.0	873533.0	2197779.0	2188065.0	1223297.0	2017442.0	1437493.0	1473376.0
ZeeviD_2015__PNP_Main_613__bin.30	873764.0	756325.0	837837.0	838137.0	502015.0	843211.0	883473.0	751635.0	861388.0	811113.0	842981.0	681918.0	879004.0	874519.0	798858.0	833782.0	850357.0	920221.0	883348.0	656309.0	799433.0	801146.0	765436.0	532365.0	591296.0	598443.0	601340.0	883627.0	747522.0	725149.0	808538.0	739618.0	731004.0	857230.0	865531.0	489294.0	852430.0	466341.0	894837.0	900824.0	665651.0	867315.0	694320.0	636500.0
CosteaPI_2017__SID713A014-11-0-0__bin.25	2324484.0	2028969.0	2168262.0	2087122.0	1035635.0	2162181.0	2306353.0	1766098.0	2329559.0	1926475.0	2058487.0	1587970.0	2201031.0	2238110.0	1846067.0	2117832.0	2139627.0	883348.0	2553462.0	1293127.0	2142419.0	1725101.0	1685093.0	1113569.0	1167987.0	1251665.0	1251026.0	2247018.0	1684288.0	1620774.0	1698367.0	1886049.0	1682150.0	2198909.0	2158134.0	905937.0	2293895.0	916923.0	2382611.0	2337798.0	1321325.0	2201639.0	1504986.0	1568255.0
Bengtsson-PalmeJ_2015__TRAVELRES28__bin.59	1292995.0	1163461.0	1229258.0	1232642.0	686244.0	1227570.0	1280396.0	1070272.0	1287863.0	1159363.0	1197240.0	972351.0	1260651.0	1250464.0	1118195.0	1214464.0	1227495.0	656309.0	1293127.0	1386012.0	1183771.0	1067467.0	1045734.0	728544.0	791767.0	828860.0	788517.0	1268661.0	1056377.0	1023509.0	1111801.0	1111716.0	1052644.0	1271687.0	1248472.0	639590.0	1245877.0	633583.0	1326579.0	1308454.0	885080.0	1239195.0	961545.0	937525.0
