	CosteaPI_2017__SID713B072-11-0-0__bin.18	LiuW_2016__SRR3993030__bin.73	CosteaPI_2017__SID713B064-11-90-0__bin.6	LiuW_2016__SRR3993012__bin.46	CosteaPI_2017__SID713A023-11-0-0__bin.73	NielsenHB_2014__MH0006__bin.37	SchirmerM_2016__G88960__bin.8	CosteaPI_2017__SID713A081-11-90-0__bin.19	CosteaPI_2017__SID713A040-11-0-0__bin.53	ChengpingW_2017__AS119raw__bin.13	BritoIL_2016__M1.4.ST__bin.14	FengQ_2015__SID530743__bin.84	QinN_2014__LD-17__bin.18	LiuW_2016__SRR3993058__bin.36	CosteaPI_2017__SID713B058-11-0-0__bin.63	CosteaPI_2017__SID713A057-11-90-0__bin.38	LeChatelierE_2013__MH0006__bin.11	RampelliS_2015__H10__bin.1	CosteaPI_2017__SID713A038-11-90-0__bin.47	CosteaPI_2017__SID713B065-11-0-0__bin.30	LeChatelierE_2013__MH0175__bin.3	WenC_2017__RA042__bin.45	RampelliS_2015__H14__bin.88	CosteaPI_2017__SID713A058-11-0-0__bin.5	CosteaPI_2017__SID713A014-11-0-0__bin.4	CosteaPI_2017__SID713B072-11-90-0__bin.33	CosteaPI_2017__SID713B002-11-90-0__bin.87	CM_madagascar__A89_02_1FE__bin.65	CosteaPI_2017__SID713A028-11-90-0__bin.22	CosteaPI_2017__SID713B016-11-90-0__bin.43	BritoIL_2016__M2.39.ST__bin.73	CosteaPI_2017__SID713A073-11-0-0__bin.29	SchirmerM_2016__G88808__bin.1	ZeeviD_2015__PNP_Main_60__bin.58	RampelliS_2015__H17__bin.31	NielsenHB_2014__MH0175__bin.17	LiJ_2014__V1.CD6-0-PT__bin.10	CosteaPI_2017__SID713A058-11-90-0__bin.72	LeChatelierE_2013__MH0189__bin.83	CM_madagascar__A43_02_1FE__bin.25	LiJ_2014__O2.CD2-0__bin.23	LiuW_2016__SRR3993041__bin.71	CosteaPI_2017__SID713B058-11-90-0__bin.39	CosteaPI_2017__SID713B056-11-90-0__bin.21	CosteaPI_2017__SID713A013-11-0-0__bin.83	FerrettiP_2018__CA_C10031MS2526FE_t0M15__bin.50	ZeeviD_2015__PNP_Main_763__bin.39	CosteaPI_2017__SID713B002-11-0-0__bin.27	YuJ_2015__SZAXPI015220-136__bin.55
CosteaPI_2017__SID713B072-11-0-0__bin.18	2750715.0	2225854.0	2385330.0	2344432.0	2521448.0	2339869.0	1488399.0	2482809.0	2443821.0	2473449.0	2408608.0	2153456.0	2093821.0	2397982.0	2425158.0	2497914.0	2322792.0	1986639.0	2475706.0	1797551.0	1615418.0	2338513.0	2353174.0	2335192.0	2362723.0	2210327.0	2431277.0	1842253.0	2364907.0	2529759.0	2537706.0	1883563.0	2042644.0	1682492.0	2265359.0	2058760.0	2427145.0	2512414.0	2312337.0	2368788.0	2533925.0	2439383.0	1587777.0	2253263.0	2518876.0	2277546.0	2416165.0	2310675.0	2218647.0
LiuW_2016__SRR3993030__bin.73	2225854.0	2473438.0	2301324.0	2323439.0	2354317.0	2253411.0	1444723.0	2330104.0	2318854.0	2352367.0	2294513.0	2083580.0	2086033.0	2372117.0	2276477.0	2350058.0	2261713.0	1968308.0	2324511.0	1838844.0	1653711.0	2231856.0	2302995.0	2337381.0	2286307.0	2000809.0	2327543.0	1842044.0	2289116.0	2369784.0	2387038.0	1931413.0	2014130.0	1560181.0	2240749.0	1980624.0	2318277.0	2370319.0	2224863.0	2290486.0	2365413.0	2333659.0	1639141.0	2225670.0	2369538.0	2228113.0	2290754.0	2267260.0	2191191.0
CosteaPI_2017__SID713B064-11-90-0__bin.6	2385330.0	2301324.0	3027739.0	2415967.0	2567820.0	2390237.0	1521815.0	2507755.0	2549091.0	2537754.0	2448856.0	2142836.0	2167489.0	2503948.0	2443586.0	2552164.0	2374720.0	2051082.0	2485354.0	1827266.0	1683591.0	2418356.0	2420255.0	2381556.0	2401879.0	2116763.0	2420094.0	1887437.0	2437280.0	2597181.0	2587378.0	1895148.0	2091750.0	1717126.0	2340646.0	2091448.0	2469984.0	2566088.0	2378464.0	2427694.0	2568657.0	2514910.0	1610101.0	2255767.0	2583170.0	2288589.0	2466586.0	2308690.0	2282059.0
LiuW_2016__SRR3993012__bin.46	2344432.0	2323439.0	2415967.0	2695188.0	2497933.0	2382319.0	1522001.0	2448860.0	2455249.0	2498726.0	2427944.0	2169619.0	2186976.0	2496845.0	2404832.0	2494882.0	2403424.0	2073613.0	2445446.0	1845309.0	1706189.0	2403728.0	2453046.0	2383712.0	2380598.0	2076137.0	2433094.0	1907253.0	2357870.0	2501939.0	2514220.0	1936573.0	2138245.0	1690956.0	2346953.0	2117494.0	2480662.0	2504156.0	2351991.0	2389105.0	2492994.0	2526319.0	1641316.0	2275705.0	2488564.0	2305408.0	2401748.0	2322751.0	2305377.0
CosteaPI_2017__SID713A023-11-0-0__bin.73	2521448.0	2354317.0	2567820.0	2497933.0	2993165.0	2496343.0	1576133.0	2676147.0	2645002.0	2654073.0	2562227.0	2207134.0	2237181.0	2522475.0	2629825.0	2654714.0	2479087.0	2092139.0	2673181.0	1885272.0	1714740.0	2509398.0	2492827.0	2524393.0	2494060.0	2208276.0	2527480.0	1955194.0	2552967.0	2728057.0	2705492.0	1959843.0	2204391.0	1808177.0	2391208.0	2204730.0	2613831.0	2834840.0	2469313.0	2520119.0	2708320.0	2629030.0	1648545.0	2344746.0	2727193.0	2364027.0	2608827.0	2388287.0	2349958.0
NielsenHB_2014__MH0006__bin.37	2339869.0	2253411.0	2390237.0	2382319.0	2496343.0	2688006.0	1552938.0	2434457.0	2457994.0	2545988.0	2442303.0	2172113.0	2165245.0	2415662.0	2429457.0	2501501.0	2568296.0	2039055.0	2440418.0	1814275.0	1698122.0	2387135.0	2374037.0	2352286.0	2366821.0	2062525.0	2404579.0	1867811.0	2351880.0	2521916.0	2505319.0	1893062.0	2138570.0	1716247.0	2296143.0	2162111.0	2527512.0	2499904.0	2366724.0	2377565.0	2510074.0	2474655.0	1595799.0	2233574.0	2493597.0	2318351.0	2421579.0	2285503.0	2280985.0
SchirmerM_2016__G88960__bin.8	1488399.0	1444723.0	1521815.0	1522001.0	1576133.0	1552938.0	1696309.0	1564820.0	1537108.0	1603531.0	1542076.0	1402771.0	1386913.0	1550204.0	1535353.0	1585636.0	1535194.0	1326897.0	1555274.0	1169503.0	1089946.0	1516622.0	1536803.0	1504498.0	1521132.0	1351104.0	1529938.0	1184431.0	1511503.0	1593373.0	1582959.0	1221540.0	1395465.0	1099666.0	1474951.0	1403135.0	1595708.0	1572546.0	1504917.0	1505047.0	1597410.0	1565599.0	998137.0	1453356.0	1572543.0	1469557.0	1535049.0	1465152.0	1474802.0
CosteaPI_2017__SID713A081-11-90-0__bin.19	2482809.0	2330104.0	2507755.0	2448860.0	2676147.0	2434457.0	1564820.0	2819458.0	2548884.0	2571746.0	2490761.0	2207120.0	2188974.0	2508577.0	2528116.0	2599136.0	2437820.0	2089005.0	2596150.0	1876177.0	1705788.0	2432358.0	2468115.0	2473420.0	2473885.0	2177017.0	2499799.0	1938716.0	2491300.0	2623555.0	2647138.0	1944260.0	2151139.0	1740844.0	2379281.0	2145761.0	2532513.0	2669475.0	2413225.0	2475933.0	2631767.0	2538411.0	1643986.0	2348879.0	2616677.0	2335234.0	2526415.0	2375170.0	2338542.0
CosteaPI_2017__SID713A040-11-0-0__bin.53	2443821.0	2318854.0	2549091.0	2455249.0	2645002.0	2457994.0	1537108.0	2548884.0	2967781.0	2585735.0	2513495.0	2195220.0	2234563.0	2504304.0	2584521.0	2591473.0	2462485.0	2083877.0	2539514.0	1859473.0	1723078.0	2450677.0	2451803.0	2439044.0	2438316.0	2152396.0	2480521.0	1907192.0	2528254.0	2800702.0	2625513.0	1973464.0	2158983.0	1748464.0	2364506.0	2144525.0	2557470.0	2683336.0	2439693.0	2477940.0	2611247.0	2542250.0	1659821.0	2293986.0	2789316.0	2337712.0	2534147.0	2358781.0	2325626.0
ChengpingW_2017__AS119raw__bin.13	2473449.0	2352367.0	2537754.0	2498726.0	2654073.0	2545988.0	1603531.0	2571746.0	2585735.0	2961888.0	2569341.0	2256913.0	2286034.0	2520629.0	2558259.0	2635721.0	2533654.0	2115660.0	2561101.0	1895064.0	1751802.0	2545085.0	2488151.0	2451306.0	2455573.0	2156747.0	2524933.0	1950639.0	2493208.0	2662779.0	2648445.0	1968929.0	2222329.0	1850392.0	2393387.0	2261208.0	2668429.0	2631936.0	2475306.0	2496128.0	2661215.0	2618167.0	1669256.0	2336398.0	2650957.0	2419665.0	2554874.0	2391344.0	2392728.0
BritoIL_2016__M1.4.ST__bin.14	2408608.0	2294513.0	2448856.0	2427944.0	2562227.0	2442303.0	1542076.0	2490761.0	2513495.0	2569341.0	2813144.0	2207062.0	2195308.0	2479206.0	2508356.0	2591434.0	2431686.0	2085887.0	2510791.0	1857312.0	1702606.0	2434070.0	2439824.0	2393669.0	2417099.0	2124228.0	2467776.0	1913586.0	2416175.0	2609730.0	2605638.0	1929941.0	2148264.0	1725367.0	2351677.0	2148617.0	2526702.0	2555482.0	2404093.0	2452858.0	2607795.0	2555456.0	1646488.0	2283306.0	2576669.0	2324755.0	2514941.0	2341905.0	2317880.0
FengQ_2015__SID530743__bin.84	2153456.0	2083580.0	2142836.0	2169619.0	2207134.0	2172113.0	1402771.0	2207120.0	2195220.0	2256913.0	2207062.0	2324567.0	1982487.0	2202585.0	2168996.0	2245243.0	2180678.0	1881758.0	2213633.0	1701008.0	1560577.0	2143094.0	2176931.0	2165721.0	2149266.0	1925471.0	2198009.0	1700413.0	2139438.0	2256579.0	2244077.0	1765265.0	1939125.0	1498823.0	2105109.0	1921903.0	2246525.0	2231233.0	2132474.0	2161104.0	2242013.0	2210013.0	1505211.0	2088120.0	2226689.0	2122121.0	2169990.0	2118927.0	2087365.0
QinN_2014__LD-17__bin.18	2093821.0	2086033.0	2167489.0	2186976.0	2237181.0	2165245.0	1386913.0	2188974.0	2234563.0	2286034.0	2195308.0	1982487.0	2379150.0	2202600.0	2177015.0	2246958.0	2166085.0	1886726.0	2189937.0	1696034.0	1547716.0	2175349.0	2154149.0	2155557.0	2146237.0	1870189.0	2179976.0	1720865.0	2153576.0	2273269.0	2255704.0	1771988.0	1953552.0	1546501.0	2112765.0	1922829.0	2253409.0	2252493.0	2130975.0	2171330.0	2246460.0	2229078.0	1510918.0	2057745.0	2253496.0	2095682.0	2197873.0	2098065.0	2108481.0
