	VincentC_2016__MM021.4__bin.22	VincentC_2016__MM020.1__bin.1	VincentC_2016__MM037.2__bin.3	VincentC_2016__MM041.1__bin.4	VincentC_2016__MM030.2__bin.13	VincentC_2016__MM040.1__bin.8	VincentC_2016__MM009.2__bin.8	VincentC_2016__MM028.2__bin.3	VincentC_2016__MM008.2__bin.11	VincentC_2016__MM016.1__bin.8	VincentC_2016__MM022.1__bin.2	VincentC_2016__MM046.1__bin.4	VincentC_2016__MM022.3__bin.2	VincentC_2016__MM024.2__bin.12	VincentC_2016__MM036__bin.9	VincentC_2016__MM018__bin.5	VincentC_2016__MM012.1__bin.4	VincentC_2016__MM038__bin.14	VincentC_2016__MM005.3__bin.4	VincentC_2016__MM043.1__bin.9	VincentC_2016__MM009.1__bin.18	VincentC_2016__MM024.3__bin.2	VincentC_2016__MM007__bin.6	VincentC_2016__MM019.1__bin.3	VincentC_2016__MM043.2__bin.13	VincentC_2016__MM027.3__bin.18	VincentC_2016__MM026.2__bin.2	VincentC_2016__MM045.2__bin.12	VincentC_2016__MM013.3__bin.8	VincentC_2016__MM040.2__bin.4	VincentC_2016__MM031__bin.2	VincentC_2016__MM029.1__bin.4	VincentC_2016__MM013.2__bin.5	VincentC_2016__MM032.1__bin.13	VincentC_2016__MM005.2__bin.17	VincentC_2016__MM021.3__bin.1	VincentC_2016__MM024.1__bin.1	VincentC_2016__MM014__bin.12	VincentC_2016__MM045.1__bin.8	VincentC_2016__MM042.2__bin.17	VincentC_2016__MM006.2__bin.2	VincentC_2016__MM021.1__bin.8	VincentC_2016__MM025__bin.4	VincentC_2016__MM012.2__bin.24	VincentC_2016__MM033.2__bin.6	VincentC_2016__MM008.1__bin.31	VincentC_2016__MM028.1__bin.4	VincentC_2016__MM033.3__bin.17	VincentC_2016__MM023.2__bin.32
VincentC_2016__MM021.4__bin.22	0.0	4103.0	5830.0	5511.0	4712.0	4312.0	3138.0	4194.0	3808.0	4707.0	5332.0	4581.0	5825.0	4438.0	4770.0	4041.0	3460.0	4905.0	3667.0	4386.0	4059.0	5572.0	3910.0	4140.0	4486.0	4743.0	4065.0	5026.0	3678.0	5036.0	3391.0	4097.0	4651.0	4210.0	3134.0	4663.0	3768.0	3859.0	5052.0	5168.0	3679.0	5205.0	4712.0	5469.0	5677.0	4622.0	4049.0	4036.0	6719.0
VincentC_2016__MM020.1__bin.1	4103.0	0.0	5161.0	5150.0	3492.0	3475.0	2351.0	3124.0	3537.0	4370.0	5536.0	4004.0	5041.0	3926.0	3641.0	2652.0	2948.0	4213.0	3196.0	3052.0	3260.0	5197.0	3020.0	2484.0	2897.0	4409.0	2929.0	4855.0	2527.0	5116.0	2306.0	2634.0	3990.0	3472.0	2782.0	4133.0	2511.0	2860.0	4983.0	4772.0	3051.0	4863.0	3562.0	4726.0	6153.0	4504.0	3698.0	3321.0	6456.0
VincentC_2016__MM037.2__bin.3	5830.0	5161.0	0.0	5269.0	5263.0	5239.0	4046.0	4698.0	4551.0	6049.0	6277.0	5694.0	6379.0	6257.0	4816.0	3986.0	4419.0	6220.0	4417.0	4794.0	4962.0	6599.0	4756.0	3925.0	4526.0	5224.0	4901.0	5208.0	4584.0	5186.0	3855.0	5074.0	4537.0	5339.0	4006.0	5170.0	4634.0	4475.0	5911.0	5504.0	4126.0	6083.0	4890.0	5993.0	5837.0	4464.0	4972.0	5226.0	7569.0
VincentC_2016__MM041.1__bin.4	5511.0	5150.0	5269.0	0.0	4561.0	4472.0	3886.0	4628.0	4499.0	5302.0	6126.0	4697.0	6199.0	5293.0	4915.0	3766.0	3728.0	5050.0	3699.0	4695.0	4175.0	6291.0	3991.0	4438.0	4507.0	4997.0	4770.0	5525.0	4140.0	5108.0	3681.0	3846.0	4508.0	4368.0	3791.0	4929.0	3624.0	3870.0	6432.0	5449.0	3676.0	5283.0	4992.0	5741.0	5801.0	4823.0	4576.0	4486.0	7351.0
VincentC_2016__MM030.2__bin.13	4712.0	3492.0	5263.0	4561.0	0.0	2781.0	1948.0	3104.0	3295.0	4047.0	4762.0	3564.0	5402.0	4285.0	3711.0	2189.0	2654.0	3908.0	1946.0	3000.0	2349.0	5284.0	2762.0	3057.0	3097.0	3576.0	2939.0	4846.0	2471.0	4486.0	2004.0	2727.0	2863.0	2832.0	2394.0	4093.0	2412.0	2267.0	5335.0	4674.0	2480.0	4476.0	3114.0	5216.0	6059.0	4606.0	3136.0	3227.0	6905.0
VincentC_2016__MM040.1__bin.8	4312.0	3475.0	5239.0	4472.0	2781.0	0.0	1813.0	2203.0	3188.0	4395.0	5068.0	2762.0	5640.0	4074.0	3249.0	1803.0	1982.0	3277.0	1812.0	3101.0	1831.0	5202.0	2109.0	2637.0	3045.0	2682.0	3567.0	4519.0	2311.0	3773.0	1350.0	2163.0	2250.0	2992.0	1803.0	3442.0	1692.0	1222.0	4664.0	4101.0	1354.0	4508.0	3218.0	4862.0	5143.0	4567.0	2135.0	2497.0	6584.0
VincentC_2016__MM009.2__bin.8	3138.0	2351.0	4046.0	3886.0	1948.0	1813.0	0.0	2038.0	2112.0	2952.0	4002.0	2586.0	4599.0	3239.0	2240.0	1608.0	1234.0	2716.0	1771.0	1915.0	1675.0	4302.0	1994.0	1965.0	2026.0	2122.0	1975.0	3217.0	1742.0	2773.0	1792.0	1652.0	2396.0	2248.0	1618.0	2746.0	1697.0	1326.0	3629.0	2941.0	1303.0	3649.0	2332.0	4290.0	4576.0	4309.0	1828.0	1906.0	5906.0
VincentC_2016__MM028.2__bin.3	4194.0	3124.0	4698.0	4628.0	3104.0	2203.0	2038.0	0.0	3680.0	3737.0	4785.0	2112.0	4968.0	4138.0	3422.0	1820.0	2051.0	3591.0	2138.0	2910.0	2381.0	4638.0	2562.0	2666.0	2842.0	3013.0	2888.0	4337.0	2750.0	4661.0	2218.0	1832.0	2464.0	2995.0	2296.0	3178.0	1658.0	1601.0	4810.0	3693.0	1843.0	4460.0	3247.0	4531.0	5894.0	4438.0	2097.0	2518.0	6528.0
VincentC_2016__MM008.2__bin.11	3808.0	3537.0	4551.0	4499.0	3295.0	3188.0	2112.0	3680.0	0.0	3910.0	4388.0	4505.0	5285.0	4025.0	3776.0	2577.0	2863.0	3740.0	2443.0	3093.0	2812.0	5089.0	3697.0	2947.0	3659.0	3990.0	3192.0	4139.0	3336.0	4807.0	2154.0	3165.0	2889.0	3424.0	2593.0	4348.0	3028.0	2473.0	4526.0	4372.0	2650.0	4799.0	3077.0	5061.0	5219.0	4920.0	3866.0	3612.0	6479.0
VincentC_2016__MM016.1__bin.8	4707.0	4370.0	6049.0	5302.0	4047.0	4395.0	2952.0	3737.0	3910.0	0.0	5071.0	4609.0	6706.0	4767.0	3725.0	3072.0	3404.0	4362.0	2978.0	4200.0	3261.0	5321.0	3243.0	3522.0	4385.0	4286.0	3610.0	5286.0	3474.0	4894.0	3162.0	3764.0	3630.0	3622.0	3246.0	3882.0	3556.0	3135.0	5952.0	4967.0	3369.0	5196.0	4682.0	5429.0	5230.0	4526.0	3517.0	4246.0	7621.0
