	HMP_2012__SRS011306__bin.5	CM_cf__CF_TNFC022IS_t3M16__bin.22	CM_cf__CF_TNFC022SA_t1M16__bin.10	HMP_2012__SRS015209__bin.36	HMP_2012__SRS057205__bin.52	HMP_2012__SRS013948__bin.18	CM_cf__CF_TNFC008IS_t1M15__bin.2	HMP_2012__SRS023926__bin.20	HMP_2012__SRS050244__bin.68	HMP_2012__SRS016225__bin.33	FerrettiP_2018__CA_C10029MS2491SA_t0M15__bin.8	FerrettiP_2018__CA_C10020MS2331SA_t0M15__bin.7	HMP_2012__SRS019327__bin.41	HMP_2012__SRS019126__bin.45	HMP_2012__SRS020334__bin.15	HMP_2012__SRS019127__bin.40	HMP_2012__SRS047824__bin.72	CM_cf__CF_TNFC022IS_t1M15__bin.9	HMP_2012__SRS019122__bin.33	HMP_2012__SRS016569__bin.28	HMP_2012__SRS058336__bin.54	HMP_2012__SRS053603__bin.58	CM_cf__CF_FIFC013SS_t5M16__bin.5	HMP_2012__SRS024441__bin.54	HMP_2012__SRS016002__bin.44	HMP_2012__SRS023617__bin.17	HMP_2012__SRS023835__bin.51	HMP_2012__SRS018739__bin.54	HMP_2012__SRS054687__bin.35	HMP_2012__SRS024580__bin.26	CM_cf__CF_TNFC022IS_t2M15__bin.18	CM_cf__CF_TNFC018IS_t3M15__bin.20	CM_cf__CF_TNFC004SA_t1M15__bin.22	HMP_2012__SRS018439__bin.19	HMP_2012__SRS049147__bin.40	Castro-NallarE_2015__ES_116__bin.9	HMP_2012__SRS016037__bin.25	HMP_2012__SRS075404__bin.9
HMP_2012__SRS011306__bin.5	1.0	0.8730926851689235	0.8452328799499108	0.8292907932457991	0.9022275700559325	0.8396285359304132	0.7675862082473432	0.8851396744335754	0.6728731860473771	0.8474167721616094	0.5727099001154949	0.703250506473657	0.8792761360320017	0.8536407017443064	0.8798121526256653	0.5393711043312882	0.7801300411511887	0.865798681046623	0.7772945721301404	0.8152055045835621	0.9104852288581933	0.6641134605453266	0.883721613481764	0.7908549432024805	0.4738850234613353	0.5811634236901053	0.6423620246933247	0.7368576369959828	0.5895000812838805	0.4690008089215098	0.8769061722865711	0.8688985675103433	0.6283368012279416	0.873710964966974	0.675137382815739	0.7724025229994209	0.9106837051608409	0.894859137320139
CM_cf__CF_TNFC022IS_t3M16__bin.22	0.7500689891905716	1.0	0.906857862075464	0.7638769232840201	0.8295204185568583	0.8222322434162997	0.7343416972911367	0.8179885668645479	0.6253449459528585	0.8014715450437716	0.5421664176325153	0.6799137130318899	0.8366021870134298	0.8323231745347998	0.8168600607553588	0.5167071627606444	0.7334083801113699	0.952910670776852	0.7532144475704587	0.769592369234635	0.8472113783928099	0.619909382978628	0.8670376378101148	0.7502294030808442	0.4542074432045086	0.5447476229578078	0.598260238444591	0.7167438448180704	0.5624374610183029	0.46211596017248424	0.966687756045248	0.8494296893579407	0.6169742574968254	0.8199370908324023	0.6210580810460332	0.7160029121290848	0.8488592665383357	0.8321655650831684
CM_cf__CF_TNFC022SA_t1M16__bin.10	0.7710758051787548	0.9629839634300689	1.0	0.7980410667222562	0.8570169299721556	0.8459006238925535	0.7698476749207106	0.8412084754091038	0.645570065069462	0.8299891302729343	0.5709138015753659	0.7071594276269748	0.8606334221772213	0.8509066543575694	0.8446486695751872	0.5415268244017928	0.7640661713247666	0.9689465298768595	0.7814976399291235	0.794518083950029	0.8839184621569708	0.6471412617817419	0.8893962089965605	0.7790425706160008	0.4701630459059843	0.565020920502092	0.6197620572075224	0.7376375467174913	0.5870933158623565	0.4716985065292813	0.9678732560044074	0.875866525707649	0.6407677303116485	0.8557709316696199	0.6414217007400348	0.7473303652526094	0.8737580964576601	0.8589008174630356
HMP_2012__SRS015209__bin.36	0.7972272137006197	0.8547867876839533	0.8409686738790827	1.0	0.8788498629548896	0.8152975859097418	0.7493075565926951	0.8575327110077319	0.6543513313177733	0.8431327752780288	0.5473808284968471	0.6960987804334604	0.856533508737685	0.8287114998013521	0.8589097523271308	0.5244544085720508	0.7818180334669996	0.86400493073683	0.7529359412177841	0.8075023018682949	0.8830613247840449	0.6452147814150888	0.8646137411651877	0.765178679584327	0.471191027766149	0.5647532654520167	0.6292940748937249	0.7104861633708264	0.5765547731679042	0.4720075869076887	0.8671607027304207	0.8448274022435606	0.6137443033859274	0.8541139580146755	0.6587203306907613	0.7709692826895111	0.8906488601123098	0.8613506427971136
HMP_2012__SRS057205__bin.52	0.8222918020378873	0.8800271813510226	0.8562066068296119	0.8332000447468826	1.0	0.8477451617433195	0.7678844721176938	0.8851938991909858	0.6663566516955022	0.8554883955624422	0.5696034188522424	0.7096742522153277	0.8837562865799815	0.8546606972421162	0.8885582459222022	0.536737666640485	0.7878319421337123	0.8771358900940399	0.7718301712996352	0.8099233352612575	0.9045183640730137	0.6606305978231118	0.891866659050176	0.7927576694490659	0.48388457684444036	0.594809242611409	0.6510820177035804	0.734974687069341	0.5905041402767166	0.4822523866987512	0.8843203829190677	0.8800105202777162	0.6288954184428561	0.8812077374024435	0.6751542934395833	0.7754349135171288	0.9224962572088894	0.895157816066511
HMP_2012__SRS013948__bin.18	0.791257384007782	0.9019536664855722	0.873834601917304	0.7992294359882435	0.8765688613138596	1.0	0.7729709475710068	0.8507638268064478	0.6619713370368479	0.8459474940980236	0.5846755958735078	0.7152801662213139	0.8742228372186601	0.9428543477739227	0.8571226411321459	0.5753653318796557	0.7736858911845976	0.8978645827885632	0.8594692804972365	0.810971861862065	0.880718856730099	0.6556746649701625	0.9146995975519642	0.7966526856838386	0.4584745121371215	0.5593812353758038	0.6366911277466417	0.744198466378269	0.599416231927216	0.46324777595316075	0.9071877674501309	0.8813236670331625	0.6471347188801103	0.8653223429723566	0.6610447405806794	0.7605566469759792	0.886862326593872	0.8882220730534552
CM_cf__CF_TNFC008IS_t1M15__bin.2	0.749000907831239	0.8340892222912386	0.8234538996926115	0.7605714558746237	0.8221313329192349	0.8003644066446876	1.0	0.8073123417267906	0.6300839345724434	0.8094369853632121	0.5548995811234809	0.6772357335117142	0.8280898912195199	0.8046742160001275	0.8113972637647922	0.519239970057496	0.7418051507477662	0.8362743880102569	0.7379903483205121	0.7606631946103494	0.8353767499641646	0.6180043639606925	0.8451010559510728	0.758676159077516	0.4163243983627184	0.5227986685141828	0.6107232388870308	0.7046191090512368	0.5701696210999092	0.4171920939047892	0.8412340134104194	0.8402357175848505	0.6261468138308887	0.822612961281794	0.6244547438163951	0.7278220013697103	0.8462178476436204	0.8350308184815328
HMP_2012__SRS023926__bin.20	0.8427273529700625	0.9065289037354375	0.8779266438498365	0.8492796288307597	0.9247063255165177	0.8595155008161596	0.787701537960434	1.0	0.6878994551062498	0.8682079422957146	0.5819230286296102	0.7246030157500774	0.8944189105357314	0.871494336610818	0.9057432025033039	0.5464825573083268	0.8027367764120555	0.8976729816988801	0.791557317029204	0.8321483582946803	0.930402037850411	0.6769282314138768	0.9056219906834729	0.8049844786710709	0.5047272609733993	0.5980236878975903	0.6565665104795388	0.7511533770856202	0.6041340068152122	0.4873187572493992	0.9105680545316438	0.8956807566601233	0.6523166375965499	0.891291645584098	0.6951398411441401	0.7864894197621264	0.9342808160849949	0.9030547864993653
HMP_2012__SRS050244__bin.68	0.8311369818493545	0.899121056184179	0.8741019232893902	0.8407659286893424	0.9031008595891488	0.8676568191733783	0.7975953439122718	0.8924606313976247	1.0	0.8580641623340439	0.5882601041442375	0.7252911466107962	0.9211652154698627	0.8736003148359168	0.9000137902002483	0.5655506281799113	0.8044501218134356	0.8985041261730743	0.7862091545962092	0.8402054497903647	0.9129862557670859	0.7021236101937806	0.9079935581216618	0.8112194166019496	0.4717192024909457	0.5906100832976482	0.6568788502682638	0.7828720874250309	0.6128864985875125	0.4611749411900378	0.903789563157101	0.8967710770307683	0.6506942277124961	0.9193095867697948	0.6979809050081007	0.794715530749324	0.9188837840954637	0.8870163248551828
HMP_2012__SRS016225__bin.33	0.7521430620304401	0.828038720855776	0.8075233892628144	0.7784381274682228	0.8331201812613541	0.7967392658567468	0.7362600938178172	0.8093788843270934	0.6165719699713448	1.0	0.537420212843016	0.6545429785853153	0.8216974708593979	0.7952940426555252	0.8177147045955664	0.5002372970733361	0.7299211617415693	0.8288569466617605	0.731406369065038	0.7675676615373026	0.8442357672460501	0.6166675841767182	0.8424306869446047	0.7558297139976299	0.45597950958604844	0.5530174973995834	0.5962258465478926	0.692340143189516	0.5491042687396599	0.4578964295337793	0.8330338387365017	0.8277147915175713	0.5950158922398932	0.814076728951112	0.6243816223702472	0.7389992959317604	0.8495733578260227	0.8338115009402064
