	VatanenT_2016__G78518__bin.7	XieH_2016__YSZC12003_37222__bin.70	XieH_2016__YSZC12003_37198R1__bin.35	FengQ_2015__SID31875__bin.81	BackhedF_2015__SID244_12M__bin.30	ZeeviD_2015__PNP_Main_120__bin.33	KarlssonFH_2013__S195__bin.50	KarlssonFH_2013__S347__bin.23	NielsenHB_2014__V1_UC12_0__bin.18	LiSS_2016__FAT_024-22-42-0__bin.42	XieH_2016__YSZC12003_35551__bin.38	VogtmannE_2016__MMRS61683006ST-27-0-0__bin.32	KarlssonFH_2013__S131__bin.18	HMP_2012__SRS062427__bin.9	CosteaPI_2017__daisy-11-7-0__bin.15	BackhedF_2015__SID637_12M__bin.11	LeChatelierE_2013__MH0067__bin.22	XieH_2016__YSZC12003_36697__bin.29	NielsenHB_2014__O2_UC56_2__bin.28	CosteaPI_2017__daisy-11-60-0__bin.48	CosteaPI_2017__daisy-11-2-0__bin.19	ZeeviD_2015__PNP_Main_318__bin.41	HMP_2012__SRS019397__bin.17	HMP_2012__SRS015960__bin.17	HMP_2012__SRS056259__bin.14	VogtmannE_2016__MMRS91297590ST-27-0-0__bin.21	VogtmannE_2016__MMRS64281211ST-27-0-0__bin.35	CosteaPI_2017__daisy-11-0-0__bin.59	HMP_2012__SRS043001__bin.11	Obregon-TitoAJ_2015__NO16__bin.20	NielsenHB_2014__MH0067__bin.16	LoombaR_2017__SID1015_aao__bin.28	NielsenHB_2014__O2_UC59_2__bin.8	HMP_2012__SRS053335__bin.28
VatanenT_2016__G78518__bin.7	1311283.0	990397.0	911313.0	1020588.0	980020.0	976136.0	982296.0	1030077.0	970557.0	946554.0	1033199.0	1039756.0	1032803.0	1001122.0	899316.0	992467.0	1040297.0	1036308.0	1065746.0	1039501.0	1037643.0	719422.0	1002560.0	996099.0	997617.0	800810.0	999817.0	869526.0	897434.0	731707.0	967383.0	888762.0	1033855.0	1002327.0
XieH_2016__YSZC12003_37222__bin.70	990397.0	1585024.0	1351812.0	1357016.0	1398872.0	1309882.0	1216569.0	1386799.0	1395916.0	1346603.0	1382676.0	1325820.0	1367327.0	1474191.0	1121685.0	1446847.0	1364357.0	1376890.0	1370592.0	1368654.0	1363243.0	1030371.0	1457548.0	1455178.0	1457173.0	966568.0	1451838.0	999314.0	1336976.0	1090861.0	1243169.0	1240532.0	1314045.0	1446684.0
XieH_2016__YSZC12003_37198R1__bin.35	911313.0	1351812.0	1425474.0	1248290.0	1256500.0	1196739.0	1122235.0	1256677.0	1254229.0	1212635.0	1274273.0	1220153.0	1243860.0	1368170.0	1035633.0	1281667.0	1241242.0	1269384.0	1255466.0	1249190.0	1249526.0	927735.0	1295632.0	1396872.0	1415366.0	905255.0	1313219.0	918678.0	1188078.0	982347.0	1137467.0	1110295.0	1219139.0	1288711.0
FengQ_2015__SID31875__bin.81	1020588.0	1357016.0	1248290.0	1581292.0	1329842.0	1385692.0	1271068.0	1432975.0	1323022.0	1284352.0	1443489.0	1433292.0	1409186.0	1372478.0	1175412.0	1355519.0	1445976.0	1445630.0	1450919.0	1436324.0	1433550.0	965874.0	1398488.0	1375239.0	1376116.0	915355.0	1379913.0	1056522.0	1247075.0	1016623.0	1322949.0	1157504.0	1447948.0	1376000.0
BackhedF_2015__SID244_12M__bin.30	980020.0	1398872.0	1256500.0	1329842.0	1604464.0	1292481.0	1207024.0	1359790.0	1433875.0	1348882.0	1365935.0	1308751.0	1347470.0	1397432.0	1116232.0	1428602.0	1340420.0	1349650.0	1351608.0	1347096.0	1347139.0	1006091.0	1393546.0	1382768.0	1391310.0	937648.0	1428924.0	991776.0	1302443.0	1043215.0	1217478.0	1169884.0	1299979.0	1439661.0
ZeeviD_2015__PNP_Main_120__bin.33	976136.0	1309882.0	1196739.0	1385692.0	1292481.0	1609550.0	1219916.0	1363027.0	1276541.0	1235017.0	1383099.0	1353612.0	1362566.0	1317081.0	1125287.0	1303839.0	1376639.0	1380666.0	1377379.0	1378699.0	1377416.0	928693.0	1320164.0	1319343.0	1321466.0	873338.0	1321167.0	1010903.0	1201975.0	1008589.0	1254438.0	1109776.0	1363667.0	1314772.0
KarlssonFH_2013__S195__bin.50	982296.0	1216569.0	1122235.0	1271068.0	1207024.0	1219916.0	1517472.0	1283107.0	1196332.0	1196045.0	1348230.0	1273188.0	1275106.0	1258219.0	1068673.0	1228122.0	1275524.0	1307864.0	1279128.0	1282132.0	1280652.0	890838.0	1230680.0	1230383.0	1229509.0	898640.0	1230391.0	998190.0	1126231.0	920864.0	1175691.0	1059053.0	1266565.0	1234933.0
KarlssonFH_2013__S347__bin.23	1030077.0	1386799.0	1256677.0	1432975.0	1359790.0	1363027.0	1283107.0	1631758.0	1343024.0	1300072.0	1437988.0	1428831.0	1423894.0	1401379.0	1183408.0	1411067.0	1438363.0	1464908.0	1443738.0	1456359.0	1455755.0	994178.0	1367280.0	1379791.0	1382548.0	939935.0	1372459.0	1069404.0	1277638.0	1050741.0	1304116.0	1151432.0	1412036.0	1399460.0
NielsenHB_2014__V1_UC12_0__bin.18	970557.0	1395916.0	1254229.0	1323022.0	1433875.0	1276541.0	1196332.0	1343024.0	1598863.0	1345393.0	1357335.0	1300929.0	1339516.0	1402693.0	1104866.0	1421405.0	1337407.0	1342954.0	1362131.0	1336495.0	1333846.0	1030906.0	1409947.0	1376616.0	1377585.0	936276.0	1425041.0	982330.0	1321442.0	1043948.0	1218836.0	1178950.0	1291945.0	1447034.0
LiSS_2016__FAT_024-22-42-0__bin.42	946554.0	1346603.0	1212635.0	1284352.0	1348882.0	1235017.0	1196045.0	1300072.0	1345393.0	1507232.0	1307427.0	1261829.0	1291716.0	1365230.0	1076528.0	1368068.0	1292748.0	1300999.0	1295701.0	1296589.0	1294042.0	995049.0	1341565.0	1328426.0	1330334.0	934135.0	1371393.0	963458.0	1264271.0	985493.0	1184491.0	1145208.0	1257089.0	1382780.0
