	FengQ_2015__SID31749__bin.26	CM_cf__CF_FIFC001SS_t6M17__bin.13	ZellerG_2014__CCIS76845094ST-20-0__bin.95	HeQ_2017__SZAXPI029570-85__bin.62	LiSS_2016__FAT_023-22-42-0__bin.80	XieH_2016__YSZC12003_35999__bin.80	YuJ_2015__SZAXPI015221-142__bin.17	XieH_2016__YSZC12003_37223__bin.31	FengQ_2015__SID31871__bin.16	LiSS_2016__FAT_023-22-14-0__bin.38	FengQ_2015__SID530163__bin.12	FengQ_2015__SID530705__bin.35	XieH_2016__YSZC12003_37284__bin.33	FengQ_2015__SID31766__bin.42	XieH_2016__YSZC12003_36588__bin.61	LoombaR_2017__SID5639_uuc__bin.12	KarlssonFH_2013__S536__bin.20	ZellerG_2014__CCIS78100604ST-4-0__bin.36	ZeeviD_2015__PNP_Main_461__bin.10	FengQ_2015__SID530295__bin.20	FengQ_2015__SID530373__bin.21	FengQ_2015__SID530215__bin.26	FengQ_2015__SID31549__bin.37	FengQ_2015__SID530398__bin.32	FengQ_2015__SID31884__bin.20	XieH_2016__YSZC12003_36116__bin.66	XieH_2016__YSZC12003_36695__bin.14	XieH_2016__YSZC12003_37269__bin.15	NielsenHB_2014__V1_UC5_3__bin.38	QinN_2014__LD-35__bin.71	YuJ_2015__SZAXPI003415-12__bin.22	YuJ_2015__SZAXPI015223-158__bin.39	LiSS_2016__FAT_015-22-42-0__bin.16	FengQ_2015__SID31723__bin.18	YuJ_2015__SZAXPI017592-142__bin.63	XieH_2016__YSZC12003_37393__bin.23
FengQ_2015__SID31749__bin.26	1.0	0.9835575139634812	0.9834243422618707	0.9822929022741409	0.9834166666165925	0.9837746288651934	0.9831682505497197	0.9829232986753673	0.9829608027981639	0.9824786301019415	0.9838143785977042	0.9835937985566797	0.9799177486493819	0.9821158820387244	0.9824217004453832	0.9835106621827772	0.9812412167015396	0.9829880480099797	0.9836648038171392	0.9833094278074767	0.9833074087860911	0.9818751306007467	0.9827117341706699	0.9836220061156311	0.9826310710839499	0.9948367867271106	0.9829786965081994	0.982381321872538	0.983084023109062	0.9832744584441573	0.9836979668089888	0.9836585330189309	0.980386634376106	0.983290099522903	0.9836379524685736	0.9827374866275358
CM_cf__CF_FIFC001SS_t6M17__bin.13	0.9835575139634812	1.0	0.9825345928259039	0.98101268047797	0.9825593359587927	0.9819076775066281	0.9823832469980712	0.9829779233644995	0.9813866421785046	0.9816271181221968	0.9828039777575359	0.981960099791689	0.9794134056248057	0.9813083821269477	0.9810259497455888	0.9827586583371364	0.9798509333078722	0.982290020128615	0.9823246777567276	0.9821536385403857	0.9822830815197946	0.9810420324704724	0.9823810204288648	0.9825685802058016	0.9823729486635289	0.9829334335861888	0.9817441791833998	0.9815974998509942	0.982054431483584	0.9832964840697296	0.9826459868794039	0.9822985270295231	0.979959591291205	0.982623449567049	0.9829940907114956	0.9818540617124099
ZellerG_2014__CCIS76845094ST-20-0__bin.95	0.9834243422618707	0.9825345928259039	1.0	0.9823643846896778	0.9833415789671806	0.9828159434320644	0.9835686972557586	0.9834943033686642	0.9901770440312626	0.9825575072197497	0.9832492297549162	0.983037488612452	0.9791571091238042	0.9815230184222237	0.9819324877803342	0.9832493628347687	0.9817018244281928	0.9828895192819463	0.9828518542628375	0.9834610748874352	0.9831326298870984	0.9821195371988712	0.9830506501443868	0.9835561736381858	0.9830942533255937	0.9825660954441292	0.9822918560087694	0.9820816752961421	0.9832816953857156	0.9829752187023345	0.9832550942358257	0.9831381271710874	0.9801353090334526	0.9829430661063521	0.9829162380291869	0.982792729879258
HeQ_2017__SZAXPI029570-85__bin.62	0.9822929022741409	0.98101268047797	0.9823643846896778	1.0	0.982492709973714	0.9817392448540523	0.9865504418795576	0.9826185490024189	0.9821557642600671	0.9817626175214995	0.9820823009074072	0.9828285476884517	0.9790068966119112	0.9816425152649121	0.981001154095518	0.9830599401786166	0.9802663063367396	0.9825606436462905	0.9826452914792296	0.9828484820128047	0.9856938354610824	0.9811820171371857	0.9823146602384036	0.9827919246279486	0.9824277148688625	0.9819944086273039	0.9813321085068744	0.9805949515623997	0.990922324602998	0.9818045599579385	0.9821394636197354	0.9823931868536214	0.9801475540920066	0.9825790505530466	0.9819104607745216	0.981988011326316
LiSS_2016__FAT_023-22-42-0__bin.80	0.9834166666165925	0.9825593359587927	0.9833415789671806	0.982492709973714	1.0	0.9836951491374799	0.9838549886307273	0.9900560491614101	0.9819600054094175	0.9971377706550149	0.9832121500845187	0.9828384087429952	0.9796598266322413	0.9826367450916326	0.9822841671383916	0.9832040352315452	0.9807738826050562	0.9901923639584881	0.9829509901915372	0.9839892980739527	0.9829817276141423	0.9814562964396164	0.9832409096633966	0.9835033649653921	0.9903182517267978	0.983064649478249	0.9829455375803732	0.9816435784239103	0.983642812525304	0.983197479270654	0.983512046214185	0.9920343806323156	0.9804337499000522	0.9899918213122719	0.9831426373871507	0.9827850063861778
XieH_2016__YSZC12003_35999__bin.80	0.9837746288651934	0.9819076775066281	0.9828159434320644	0.9817392448540523	0.9836951491374799	1.0	0.9829792389461346	0.9834450600781216	0.9815766203082105	0.9828015136239246	0.9834874156205917	0.9830335136333195	0.9795398286659699	0.9823423414090257	0.9819755320283646	0.9828716229785338	0.9804386751962464	0.983348185216523	0.9828478199531266	0.9829560043506482	0.9826034046942884	0.9816229427037247	0.9830164841017934	0.9839270698372713	0.9826670844983434	0.9835747907063449	0.997125728833046	0.9817319917426552	0.9827344490377835	0.9830037589769918	0.983093191076718	0.9828892545734855	0.9800901996459511	0.9827720069585452	0.9826040879100996	0.9829492486717298
YuJ_2015__SZAXPI015221-142__bin.17	0.9831682505497197	0.9823832469980712	0.9835686972557586	0.9865504418795576	0.9838549886307273	0.9829792389461346	1.0	0.9835402967951646	0.9825501401222271	0.9820957921514659	0.9837477776489605	0.9833170411172268	0.9801033422722218	0.9821219958882376	0.9824162099873636	0.9837709436650253	0.981927985358122	0.9836597062211022	0.9834796992579133	0.9848676512033538	0.9880054106028259	0.9817016348281256	0.9834390683053722	0.9844507030873514	0.9827369724518383	0.9830921138623842	0.9821354544165907	0.9818677938979664	0.9882576959695335	0.9829042189755252	0.9829114450194318	0.9832953361017819	0.9807430900198058	0.9834248841905497	0.9832004988263099	0.9829322468962313
XieH_2016__YSZC12003_37223__bin.31	0.9829232986753673	0.9829779233644995	0.9834943033686642	0.9826185490024189	0.9900560491614101	0.9834450600781216	0.9835402967951646	1.0	0.9824353914038862	0.9887847243695327	0.9833640641253366	0.9828062729604031	0.9795009572278595	0.9816828376409329	0.9823173747739101	0.982789891420888	0.9808827108823547	0.9881627073862167	0.9834739240951785	0.9834901312420443	0.9830458388753064	0.9816711144427263	0.9831648599229591	0.9834251835553869	0.9882150064630912	0.9828477087406559	0.9824838004439413	0.9818070427345893	0.983554898764454	0.9825503521201748	0.9828515544656501	0.989451562677919	0.9805926756357208	0.9880151368171154	0.9827620978501637	0.981874401110397
FengQ_2015__SID31871__bin.16	0.9829608027981639	0.9813866421785046	0.9901770440312626	0.9821557642600671	0.9819600054094175	0.9815766203082105	0.9825501401222271	0.9824353914038862	1.0	0.9819341003942909	0.9820302169596881	0.9827565826041685	0.9776268823934223	0.9811272628775225	0.9814121528547196	0.9824554304994526	0.9801952887259163	0.9820076779403274	0.98236361639782	0.9824071695513333	0.982120776114923	0.9804967311927785	0.9818476618345873	0.9821952638356003	0.9808748273195652	0.9827396297164284	0.9811946295211598	0.9815474208785036	0.9822362356465422	0.9826521864789532	0.9820073178822702	0.9819998069684394	0.9799046295202438	0.9817141997884925	0.9819422715894869	0.9815791440361469
LiSS_2016__FAT_023-22-14-0__bin.38	0.9824786301019415	0.9816271181221968	0.9825575072197497	0.9817626175214995	0.9971377706550149	0.9828015136239246	0.9820957921514659	0.9887847243695327	0.9819341003942909	1.0	0.982236703903931	0.9820644629199899	0.9787448000015079	0.9814033302637691	0.9811971199658576	0.981851846692733	0.9800507546087869	0.9889659076300391	0.9824017583899115	0.9826936772469543	0.982073394609856	0.9803041444433881	0.981524999760401	0.9818370320335847	0.9889416986147107	0.9826749411046156	0.9820063079541947	0.9806245512005622	0.982873891993588	0.9817887723290905	0.9827692081998369	0.990931992937801	0.9791233378793045	0.9891606819760811	0.9819170199001612	0.9813538427186983
