	XieH_2016__YSZC12003_37208R1__bin.34	LiuW_2016__SRR3992981__bin.72	BackhedF_2015__SID238_M__bin.45	VincentC_2016__MM065__bin.17	NielsenHB_2014__O2_UC50_0__bin.60	HMP_2012__SRS019685__bin.8	HMP_2012__SRS014235__bin.74	NielsenHB_2014__O2_UC52_2__bin.45	FengQ_2015__SID532779__bin.35	LiuW_2016__SRR3992969__bin.43	ZeeviD_2015__PNP_Main_72__bin.59	LiuW_2016__SRR3992966__bin.49	LiuW_2016__SRR3993051__bin.40	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.28	LiuW_2016__SRR3992961__bin.10	BackhedF_2015__SID566_M__bin.19	LeChatelierE_2013__MH0189__bin.54	LiuW_2016__SRR3992978__bin.41	VogtmannE_2016__MMRS93508324ST-27-0-0__bin.50	LiuW_2016__SRR3993043__bin.26	SchirmerM_2016__G89164__bin.14	CosteaPI_2017__SID713B051-11-0-0__bin.65	LoombaR_2017__SID5564_meq__bin.19	Obregon-TitoAJ_2015__HCO70__bin.5	VogtmannE_2016__MMRS84159866ST-27-0-0__bin.60	CosteaPI_2017__SID713A076-11-90-0__bin.44	LiuW_2016__SRR3992958__bin.51	LiuW_2016__SRR3993057__bin.12	NielsenHB_2014__O2_UC52_0__bin.36	LiuW_2016__SRR3993013__bin.11	XieH_2016__YSZC12003_37315__bin.44
XieH_2016__YSZC12003_37208R1__bin.34	1.0	0.7968826209999764	0.7318575085928619	0.8693365534781274	0.5647110808285577	0.502147625199432	0.8444926416768139	0.5913062836673222	0.8452191980895006	0.921483335413385	0.7548745728866957	0.9179328559333754	0.85958167350835	0.8909045526146249	0.8369767967429764	0.7466341953741901	0.7442460712322113	0.6970489126951734	0.8288625715509652	0.7911403292777949	0.816420714615792	0.8721975801691251	0.9171712197310324	0.5858864561654417	0.8992333042126105	0.861685111665042	0.8760138565169142	0.6356977336432048	0.7650787440086081	0.8669963267412562	0.8737957344325
LiuW_2016__SRR3992981__bin.72	0.7900186862883841	1.0	0.7083052994420865	0.7812707746182151	0.5086235147610978	0.48657048422500054	0.7886991427314084	0.5534692692818554	0.7859871563535387	0.830233665548878	0.7028886834927977	0.8745142835741239	0.7987940187825957	0.8356897407327647	0.7723462995932355	0.682444118367003	0.6802263756224861	0.6741931255325325	0.794131809894771	0.7476936411777846	0.7565425417365006	0.8148920488973485	0.8566867351429294	0.5520748200592023	0.8546749829790251	0.7858253066116289	0.818856029972967	0.5935344372109945	0.7114051901600708	0.7876966106523883	0.809388488871827
BackhedF_2015__SID238_M__bin.45	0.8425525305125486	0.8225227849035209	1.0	0.8312686152758847	0.5807694249311696	0.5700408128395407	0.8864144891405228	0.6502141606185222	0.8404990738475518	0.8967477875247071	0.752101802987764	0.9176838810641628	0.8566882963066516	0.8901719109806343	0.8246554596395578	0.8008628556561315	0.7666119129999185	0.6877891556673928	0.8689430212374328	0.7898686300321921	0.8245335259419766	0.8699565465580913	0.9266735788316888	0.6184492674270048	0.9468244814905423	0.8404524749822342	0.8524710989954061	0.6235363102241793	0.806650434728581	0.8365071043853416	0.8667451080899513
VincentC_2016__MM065__bin.17	0.8690856192122409	0.7878312312891541	0.7218476587290079	1.0	0.5616278528665741	0.49325212458093437	0.8275799976125652	0.5839517171658586	0.8281923678969599	0.8990674841495235	0.7513250600399389	0.9024206835482137	0.8474961946042624	0.8807510033633157	0.8144774316596786	0.7562402083138033	0.7202506401899696	0.6932072084345239	0.8094712371430903	0.7915486156587398	0.7961973693705602	0.8543961509695076	0.9049760480939975	0.5788571740729975	0.8923900852664923	0.8368646911205634	0.852381668547165	0.6211613049421923	0.7430196194536821	0.8510173237395322	0.8623306624187412
NielsenHB_2014__O2_UC50_0__bin.60	0.8512749431019649	0.7733871771456	0.7604607978131629	0.8468715741688005	1.0	0.5880175483912957	0.8484366514870777	0.7157345693952639	0.8216879648706752	0.9080397584553836	0.7664831421139018	0.9369667398188619	0.8639043746911031	0.8841405498414584	0.8111900485895999	0.7787922362402347	0.7955952073447787	0.7085569763397733	0.8170130718023711	0.8059039719811499	0.8028429695587885	0.8675623234330413	0.9107509320294751	0.6248136449521935	0.8729256878102951	0.8520274819034757	0.8733792449798543	0.627486174641883	0.8950391421871218	0.8564125458387655	0.8628914981420427
HMP_2012__SRS019685__bin.8	0.8590347110261202	0.8396186022571341	0.8470612131374949	0.8440606257148034	0.667307561364898	1.0	0.9080908531708708	0.72053452002719	0.8418528858149538	0.9280966927756241	0.7908163559712267	0.9509369334227354	0.8857710990343879	0.9181232018114316	0.8309261313080137	0.8187495167323141	0.8090772385824764	0.7156677980420013	0.8802927188438044	0.8259093799516906	0.8437386396029068	0.8957861365936639	0.9461094498884589	0.6539895694964899	0.9386760715847833	0.8597029187637119	0.8891906146241707	0.6451309121670358	0.8713209624499566	0.8635494410251853	0.8870578894098883
HMP_2012__SRS014235__bin.74	0.8673270935052716	0.8170627356997012	0.7907759183930815	0.8502025553779544	0.578046696861171	0.5451763967383284	1.0	0.6127440485717196	0.8405178655436916	0.9129209337709389	0.7597922551581123	0.9295175184246756	0.8723946154288513	0.9085171643771361	0.8255508695643137	0.7650586256996943	0.7649928047285786	0.7025259317304887	0.8766092361372374	0.8021608678391113	0.8315391922311854	0.8876006454612283	0.9238596863180373	0.6002041142956913	0.940178437188433	0.8531069923349747	0.8832772469374195	0.632450847323754	0.7864663769158233	0.863132565514384	0.8866652948190582
NielsenHB_2014__O2_UC52_2__bin.45	0.8297265495948936	0.783380932592066	0.7925167717573735	0.8196431428195485	0.6662403716812652	0.5910142949235556	0.8371717236737604	1.0	0.8050736991771024	0.8751709834161469	0.773553113483764	0.9033045592106695	0.8501678832324078	0.8569352766831158	0.7966364663017127	0.7814422528064946	0.7997177176210657	0.6509183643525255	0.8110478242389877	0.7833601069303069	0.7862823259234998	0.8429782968205841	0.904054283033996	0.6084131887022678	0.8882570719687539	0.8213555801887373	0.835506617354024	0.6310554161393199	0.9036727947754094	0.8108149554756818	0.8482670682863983
FengQ_2015__SID532779__bin.35	0.8060373445051184	0.7560634640425324	0.6962297798753467	0.790027869417753	0.5198154648248319	0.46929153006448826	0.7804511345915316	0.5471406183253645	1.0	0.8374457665762561	0.7047984034915259	0.8604702031405206	0.7902298776627775	0.828527166892264	0.7760867271576282	0.6960502884729206	0.6903515972804801	0.6467647800554815	0.7805328385632453	0.7315381190845038	0.7464564923133933	0.8096239558618418	0.8705236516914652	0.549469503188385	0.8547103948038848	0.792596076150675	0.8221806339713534	0.588615999053006	0.7076927827729428	0.8012258169110494	0.8383335735129878
LiuW_2016__SRR3992969__bin.43	0.8839873648323756	0.803370542922617	0.7472371087184857	0.8627326624001512	0.5778563574812761	0.520442192037204	0.8527165545676286	0.5983137577974788	0.8424215204266602	1.0	0.7610313413507929	0.9258722595166615	0.8686897776420178	0.8966665393917077	0.830370739012342	0.7517821190762944	0.746725851679803	0.7026606722318182	0.8342524095414801	0.7943750076850346	0.8192777555945434	0.875763892439285	0.9285062040070903	0.5875191155123799	0.9068198453156235	0.855325906947336	0.8766621516414264	0.6358303170246652	0.7689506481639077	0.8733668088047523	0.8773021936809924
ZeeviD_2015__PNP_Main_72__bin.59	0.8597205351428556	0.8074693502177005	0.7440269707327904	0.8559250867613377	0.5790840061802808	0.5264763256986429	0.8425396005866811	0.6278416883137837	0.8417082898278142	0.9034964991982691	1.0	0.9110528220388011	0.8630465464877121	0.8932334223803915	0.8262560513968249	0.7554425116341249	0.7518253110308484	0.7065150331256593	0.8277458033020401	0.8042555120436339	0.8157248346021962	0.8734671267303288	0.9137080992870857	0.5998260547543369	0.9010263845127267	0.8452010243100774	0.8688449774462779	0.6310870271727982	0.7726710813724157	0.858909200428102	0.8925557734993189
LiuW_2016__SRR3992966__bin.49	0.7806402162663307	0.7501772768892897	0.6778953504115807	0.7676697440557739	0.5285920657978378	0.4727291920534057	0.7696806032692383	0.5474591459958371	0.7673438758579857	0.8207908499881815	0.6803009232167322	1.0	0.7830302988578549	0.8033184627282511	0.7442227240286489	0.6814684263549348	0.6752809465782692	0.6231047436771243	0.7545546965180294	0.7179616485259054	0.733372116238563	0.804374092101368	0.8516479292452939	0.534372210327268	0.832132554921413	0.7583520937031708	0.8305313258016472	0.5687719588120956	0.7122308431954361	0.7702227607461922	0.7917352252047577
LiuW_2016__SRR3993051__bin.40	0.8350457765631861	0.7827353216811173	0.7228954905006258	0.8235429814731074	0.5567308259442031	0.5029969394910512	0.8251807142061355	0.5885797796695699	0.8049905301168498	0.8796892305474182	0.7361644679498522	0.8944615929064349	1.0	0.8575211843579812	0.798793491011803	0.7154657281979697	0.7225409433183257	0.6831639240050069	0.8029307486122853	0.8177470197720674	0.7863469843828848	0.8509977783457523	0.8855664562976361	0.567538944484858	0.8917903649673306	0.8118068799192603	0.8523818886027171	0.6147120696773686	0.7605377845060916	0.829421517933796	0.8473769406706906
VogtmannE_2016__MMRS34569532ST-27-0-0__bin.28	0.8340426741274287	0.7891492647128481	0.7238699124349893	0.8247752455956978	0.5490790358691293	0.5024336946876806	0.8281389040637365	0.5717189962075161	0.8133510589587564	0.8750431825286804	0.7342425610792	0.8843106110604113	0.8263781305359686	1.0	0.7897890292693863	0.7194825043656194	0.7248867149384708	0.6805825457324294	0.8172906949939844	0.7817209224482836	0.8125976146192201	0.8566245314656166	0.8888508552824784	0.5714739531197206	0.9041186816934499	0.8251244951512415	0.8447974131533824	0.614300916701139	0.7467751256003714	0.8300948278856508	0.8555129958096369
LiuW_2016__SRR3992961__bin.10	0.8774381532977835	0.8167180582469342	0.7509399001400303	0.854097653432156	0.5641338632795372	0.5091974426795287	0.8426745781411336	0.5951696629372409	0.8531542171742175	0.9074371631847692	0.7605630914157202	0.917415380698454	0.8620143142052928	0.8844170356016351	1.0	0.7414843208531945	0.734837126409143	0.7152272309367883	0.8299693064965559	0.790270017963479	0.8062836815230767	0.8683743758751892	0.9152244020424617	0.5881115715922431	0.8975084513218009	0.854372763405423	0.8763652951244006	0.6396900946265153	0.7611606953422255	0.8651437785541521	0.8733935416342522
BackhedF_2015__SID566_M__bin.19	0.8429280493405544	0.7771533369840145	0.7853627997626803	0.8540194684374754	0.5832579967814092	0.5403241591564947	0.8409889740799104	0.6287196391157025	0.8240193998920028	0.8847407876788751	0.7488615739411438	0.9046661949722657	0.8314733392383988	0.8676524013383122	0.7985121062729008	1.0	0.7550999735719122	0.6688926174241069	0.8234466643868951	0.7514327907832234	0.8023529375923936	0.8481017092956039	0.8991117268356287	0.6057378653568897	0.9094415295693745	0.8148419227157412	0.8426234027952844	0.6083570640298492	0.7835874720201188	0.8274177321044908	0.8515564011189668
LeChatelierE_2013__MH0189__bin.54	0.793933353243641	0.7319441695782493	0.7103503614440491	0.7685577860697412	0.5630100067287245	0.5045197597809387	0.794580318301051	0.6079694004958386	0.7722395138046799	0.8303670573164983	0.7042095907712126	0.8470557332690446	0.7934267198727659	0.8260009427410736	0.7477483960807879	0.7134923519230838	1.0	0.6266882081802578	0.7642895438500538	0.7370176997837453	0.7558307815755291	0.814454883362779	0.8559088635652164	0.5608417022593402	0.8558412164958098	0.7873442408235671	0.798258447787617	0.5833609798749968	0.7720315350487382	0.7860244033204636	0.8268861118407559
LiuW_2016__SRR3992978__bin.41	0.8668404945032819	0.8457017879434623	0.7429520866051893	0.862311910226983	0.5845304970536517	0.5202452381911167	0.8506506798748976	0.576872676143304	0.8434056161827675	0.9108838709244419	0.7714625364098847	0.9111649149653015	0.8745360675982228	0.9040649874494959	0.8484316903582598	0.7368001583913878	0.7305668532463523	1.0	0.8259825635243426	0.8143616021691567	0.8207828292997221	0.8861771634518584	0.8993954616840495	0.5826042967019691	0.906013000174499	0.8608915891488477	0.8853088632062175	0.6508719915703567	0.7546670089531403	0.8736769956643713	0.8806863179371536
VogtmannE_2016__MMRS93508324ST-27-0-0__bin.50	0.819748934991977	0.7922238568469091	0.7464817205592418	0.8008019668871742	0.5360234585322404	0.5089160436745028	0.8441455416445659	0.5716395952802714	0.8094754856336506	0.8600767940005938	0.7188078582079843	0.8775038947435141	0.817435107067917	0.8634114283617391	0.7829918969319095	0.7213585399131981	0.7085797780246395	0.6568909438456381	1.0	0.7514776673572122	0.7840460630564813	0.8418257089767583	0.8799444894800226	0.5753051577412823	0.8963167569046213	0.8093607283086972	0.8275911303262911	0.6026180682739364	0.7382732358563265	0.8039944889796272	0.8406014084460057
