	HMP_2012__SRS018145__bin.22	HMP_2012__SRS057692__bin.21	BackhedF_2015__SID229_12M__bin.32	BackhedF_2015__SID137_12M__bin.3	HMP_2012__SRS017533__bin.17	HMP_2012__SRS013164__bin.42	HMP_2012__SRS015434__bin.27	HMP_2012__SRS022530__bin.39	BackhedF_2015__SID105_12M__bin.7	HMP_2012__SRS063288__bin.42	HMP_2012__SRS014271__bin.71	VatanenT_2016__G80511__bin.8	NielsenHB_2014__V1_UC3_2__bin.8	HMP_2012__SRS017209__bin.5	HMP_2012__SRS015644__bin.21	GeversD_2014__SKBSTL007__bin.13	CM_cf__CF_TNFC040IS_t3M15__bin.16	HMP_2012__SRS021496__bin.46	CM_cf__CF_TNFC046IS_t2M15__bin.37	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.51	HMP_2012__SRS015762__bin.61	HMP_2012__SRS075404__bin.10	HMP_2012__SRS022077__bin.86	BackhedF_2015__SID258_4M__bin.3	FerrettiP_2018__CA_C10020MS2331SA_t0M15__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.37	HMP_2012__SRS064329__bin.38	HMP_2012__SRS019071__bin.32	BritoIL_2016__M1.52.SA__bin.8	HMP_2012__SRS055495__bin.3	HMP_2012__SRS047824__bin.17	ZeeviD_2015__PNP_Main_42__bin.67	HMP_2012__SRS057205__bin.78	FerrettiP_2018__CA_C10032IS2555FE_t3M15__bin.1	HMP_2012__SRS023958__bin.3	HMP_2012__SRS042131__bin.5	HMP_2012__SRS024081__bin.63	FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.10	BackhedF_2015__SID590_12M__bin.25	HMP_2012__SRS017007__bin.56
HMP_2012__SRS018145__bin.22	1.0	0.7813095639503904	0.7166344333428257	0.8744088373466297	0.694704126040158	0.9398788819025756	0.7676877088832944	0.8067660279984417	0.8899012151992206	0.7446223925803372	0.46475037081425397	0.7290042261469036	0.6421466287204448	0.6944671077419959	0.8844562002414442	0.8417142887092519	0.8849407192195051	0.7923224706740812	0.8701611433250231	0.7787303156885731	0.4976522376682058	0.8554572735208631	0.7499357954118615	0.8785569487417356	0.8317665084409379	0.7284801070600588	0.6488221588232246	0.7578925055047063	0.6638969884699625	0.8792330623637654	0.8237463217031308	0.7911210732561248	0.794393323421659	0.8764756136124209	0.9071598743744784	0.8800320527939333	0.8145212434201217	0.789106126544477	0.6901541900118043	0.6747386829586173
HMP_2012__SRS057692__bin.21	0.8176726990825218	1.0	0.6882372157030525	0.8601074352664124	0.6903587392019268	0.9169613396375674	0.7689562786978563	0.808650891454301	0.8796917604927347	0.7377325234854663	0.45846787119957194	0.7239356119751195	0.644478127159767	0.692374826456818	0.8748136581988564	0.8348740433032139	0.876101443074789	0.7691970146306502	0.8506388948818931	0.7831846865130588	0.4845027005086537	0.8508266079636666	0.728661959212629	0.8702146876954074	0.8403841536029332	0.7291988917614679	0.6479642272498449	0.7566220665260037	0.6570750157544908	0.8581967842555043	0.8236947541507141	0.7873875092789989	0.7820638931449376	0.8686392386162377	0.898299733910612	0.8737044445338317	0.8080743441317112	0.7796016825918057	0.6747998844467522	0.6599236227162083
BackhedF_2015__SID229_12M__bin.32	0.7854404687440162	0.7207711553927263	1.0	0.8754668930390492	0.7102346273153172	0.8807862185174311	0.7222551284833476	0.8023194658973409	0.9210143354991894	0.731259175102442	0.44670717540881066	0.728299526405147	0.6622132581028122	0.6755594418984643	0.8821380701328874	0.8606724791605499	0.885161545629779	0.7434609443813268	0.8258281527247661	0.7693159043619234	0.46754598720910934	0.8496668241061057	0.7026060482275298	0.8709817838313951	0.8405172523839309	0.7323282739956853	0.6444515363110663	0.7444547276510461	0.6472177898055835	0.8127232342315892	0.8156228857372634	0.7827922948287527	0.7537862057520712	0.8804038959878474	0.8475535187714618	0.8794541532098498	0.7831344064745905	0.782674215249499	0.7179921365382897	0.6530809196165286
BackhedF_2015__SID137_12M__bin.3	0.7795471324305887	0.7326966148632021	0.7121180026644155	1.0	0.7045904577374481	0.9016969814020475	0.7460031171377158	0.8358186328412576	0.8959387911278909	0.7395834955760942	0.4348578441908785	0.7676527911465812	0.6493952109052056	0.6776566019045484	0.911241528331999	0.846981973141944	0.9130056912164625	0.7509975982879624	0.8378335581369027	0.7958752438833181	0.4552012692835256	0.8895944502073073	0.7233259921728901	0.8982179774324214	0.8376476928300641	0.738181198945448	0.6193758871434164	0.7505386459660479	0.6567571384218893	0.822588968738286	0.8504599387579006	0.7864594528083833	0.7616697973029802	0.8724174846297698	0.8718443134042113	0.909645578741993	0.7822266040747075	0.7839985546116921	0.6871352133764873	0.6342980677276564
HMP_2012__SRS017533__bin.17	0.7836515658933876	0.7441176354661682	0.7309865187464445	0.8915219587692526	1.0	0.8947034084802747	0.7426119813803406	0.8320453377933628	0.8787311251282631	0.7336779082707182	0.45068588718630564	0.7666899653279133	0.6492620849761737	0.6949132278149228	0.9076913172633883	0.8348891320942124	0.9093644852200212	0.753780229684509	0.8375732955299416	0.795233015078876	0.45997272480033	0.8706024324327876	0.7351467749966826	0.8938454746948948	0.84143202681273	0.7375287565478216	0.6336011803487179	0.7697360901080104	0.6579235374725244	0.8267361334645416	0.8476996732494143	0.7917408435604384	0.7548582307119274	0.8724128960717669	0.8639209281976428	0.910242783436754	0.7880660490769658	0.778325938636056	0.6802843400150566	0.6411268231092939
HMP_2012__SRS013164__bin.42	0.7860665283115726	0.732794297211484	0.6721130388068017	0.845902265325197	0.6633509824559182	1.0	0.7280060939882748	0.7767107561912768	0.855254628085045	0.7039452632050618	0.41330410374976073	0.7080277288155735	0.6175856760104248	0.6588418597379371	0.8666019537583572	0.8102963659626987	0.8589766755910735	0.7536542255856916	0.8413429763034838	0.7625273296768754	0.4765326414604531	0.8340040844138165	0.7220772161695251	0.8467351233774488	0.8035589826663244	0.71072550703278	0.6007838606721019	0.7215687344113082	0.63056413713227	0.8283815619838776	0.8011656116319585	0.7593166862380192	0.7942957503296121	0.8414082412034848	0.9470667567387226	0.8629563733366583	0.7872369130481582	0.7495152620020447	0.6624752638723224	0.6300166912546495
HMP_2012__SRS015434__bin.27	0.8158010364541238	0.7808092610035064	0.7002847959086426	0.8892266448170486	0.6995817794979126	0.9250117891396341	1.0	0.8121219584948023	0.8894754235116907	0.7394024608049785	0.4485733593911482	0.7472358954238335	0.6553783849683209	0.7071887141111979	0.895097079387633	0.8463407872051013	0.9017664525024538	0.790087716149698	0.865205886029653	0.7917400522559029	0.5118157502905513	0.8749757100403863	0.7584148465183979	0.8897390546657145	0.8421400166100004	0.7417089239764489	0.6541716226435645	0.7739994083770346	0.6723046189910972	0.8512266274891793	0.836248541055292	0.803153548438202	0.8092189215381702	0.8822812634987196	0.902242968907614	0.8962988908925956	0.8091161920274473	0.7901062817239249	0.7005676114893675	0.683717496320922
HMP_2012__SRS022530__bin.39	0.7380156206466144	0.7068425165851504	0.6696527839559413	0.8576343366552468	0.6747483260358494	0.8495517894062801	0.6991003824453381	1.0	0.8492049835626816	0.738194084483182	0.4236283988704038	0.7191011176097992	0.6394567028087011	0.6589966283653086	0.8841892228086372	0.8059309659261927	0.8570190359649913	0.7280994240678994	0.801139611460255	0.759021613302428	0.4322223648749075	0.8453725392633759	0.6980604976424128	0.8516992154516654	0.8182492324723208	0.7094747249925552	0.6080337493760425	0.7194756253026561	0.6268411741109171	0.7877191309503705	0.8232249107813999	0.7506721693904155	0.7266797042934138	0.8448046513535816	0.8215910344030332	0.8822383733474115	0.7438404671810331	0.7477933079790382	0.6573382465049056	0.6205624434309592
BackhedF_2015__SID105_12M__bin.7	0.7752196002932231	0.7322461755432619	0.7320381798858053	0.8754542295409637	0.6786030808722627	0.8908220647881108	0.7291505913925309	0.8086815358196424	1.0	0.7299455406492001	0.43073668510725727	0.7335494458944954	0.6534097336894625	0.6702076659082434	0.8981790233842922	0.9139821275926532	0.8973510992063191	0.7500140777548644	0.8204003155446316	0.7856269927632731	0.45625775227717197	0.8679836342929036	0.7219280690139738	0.8826052217056152	0.8574068014579989	0.7678119110488815	0.6261678829339563	0.7300373631223699	0.648312318162333	0.8207929707613909	0.8337916847394601	0.8058172834245216	0.7569007632426016	0.9182424874251406	0.8637105917983761	0.8949332765150074	0.778658630931998	0.8067700049969688	0.7205238446729014	0.6383214243136778
HMP_2012__SRS063288__bin.42	0.7769299430476235	0.735509591003797	0.6961478610806794	0.8655758642962131	0.6786222300807955	0.8782077105971037	0.7259839065332087	0.8419734092617336	0.8742855129025418	1.0	0.4511882345006353	0.7325814623143944	0.6423854982588602	0.6879656280589952	0.8800518422784354	0.834374493015693	0.8822690536475223	0.7577850003736873	0.8258683976591984	0.7683090072009241	0.4661904128242193	0.8614859630286537	0.7240437706325523	0.875489211373948	0.8370717254814034	0.7187222202980871	0.6309032721033005	0.7412698441632777	0.6492303560480531	0.813654595047519	0.8342967174456072	0.7735138941802607	0.7580875959510525	0.8526073956060448	0.8457516006273086	0.8776213557132536	0.7705675368416192	0.7753446581854838	0.6862636798417268	0.6538349128457899
