	ZeeviD_2015__PNP_Main_327__bin.22	RaymondF_2016__P14E7__bin.64	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.110	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.115	ZellerG_2014__CCIS35100175ST-4-0__bin.31	CosteaPI_2017__SID713A051-11-90-0__bin.26	BritoIL_2016__W1.41.ST__bin.16	XieH_2016__YSZC12003_37292__bin.25	CM_madagascar__A83_02_1FE__bin.32	XieH_2016__YSZC12003_37293__bin.22	ZeeviD_2015__PNP_Main_425__bin.1	ZeeviD_2015__PNP_Main_637__bin.3	QinJ_2012__NOF008__bin.26	RaymondF_2016__P3E7__bin.12	ZeeviD_2015__PNP_Main_557__bin.22	LeChatelierE_2013__MH0426__bin.23	BritoIL_2016__WL.32.ST__bin.40	LeChatelierE_2013__MH0212__bin.34	BritoIL_2016__W2.40.ST__bin.57	CosteaPI_2017__SID713A089-11-90-0__bin.83	BritoIL_2016__W2.17.ST__bin.81	HMP_2012__SRS049959__bin.61	FengQ_2015__SID530743__bin.61	HeQ_2017__SZAXPI029600-27__bin.28	CosteaPI_2017__SID713B066-11-0-0__bin.8	BritoIL_2016__W2.7.ST__bin.27	Bengtsson-PalmeJ_2015__TRAVELRES30__bin.76	XieH_2016__YSZC12003_37137__bin.8	ZeeviD_2015__PNP_Main_511__bin.42	LiJ_2017__H3M516751__bin.11	HMP_2012__SRS016095__bin.61	FerrettiP_2018__CA_C10043MS2742FE_t0M16__bin.16	CosteaPI_2017__SID713A055-11-0-0__bin.88	ZeeviD_2015__PNP_Validation_35__bin.21	CosteaPI_2017__SID713A051-11-0-0__bin.58	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.28	VincentC_2016__MM030.1__bin.12	BritoIL_2016__W3.18.ST__bin.43	CosteaPI_2017__SID713B066-11-90-0__bin.8	ZeeviD_2015__PNP_Main_80__bin.50	CosteaPI_2017__SID713A087-11-90-0__bin.4	RaymondF_2016__P19E7__bin.67	CosteaPI_2017__SID713A056-11-0-0__bin.60	ZeeviD_2015__PNP_Main_706__bin.92	CosteaPI_2017__SID713B061-11-90-0__bin.66	CM_madagascar__A75_02_1FE__bin.50
ZeeviD_2015__PNP_Main_327__bin.22	2864691.0	1463374.0	1832180.0	2073126.0	1980255.0	2431670.0	2389179.0	2383830.0	2240908.0	1940233.0	2429293.0	2384324.0	2281102.0	1162647.0	2303658.0	2206921.0	2277664.0	2391210.0	2031083.0	2351964.0	2008743.0	2419743.0	2105338.0	2294672.0	2172040.0	2048170.0	2415144.0	2369732.0	2462825.0	2078198.0	2039983.0	2391622.0	1394148.0	2347755.0	2517164.0	2298597.0	1598581.0	1579619.0	2341935.0	2257406.0	2292795.0	1783073.0	1769320.0	2372028.0	1997344.0	2075689.0
RaymondF_2016__P14E7__bin.64	1463374.0	1652718.0	1216840.0	1380063.0	1296181.0	1433697.0	1475819.0	1524185.0	1475082.0	1281057.0	1456608.0	1508994.0	1490377.0	824847.0	1385792.0	1338659.0	1418940.0	1474636.0	1331312.0	1454419.0	1353769.0	1457712.0	1387265.0	1509387.0	1452055.0	1335340.0	1524581.0	1418595.0	1483441.0	1389113.0	1330239.0	1479573.0	946918.0	1457819.0	1498890.0	1471027.0	1048597.0	1084931.0	1496234.0	1401066.0	1467520.0	1172298.0	1172827.0	1445840.0	1307270.0	1354829.0
Bengtsson-PalmeJ_2015__TRAVELRES63__bin.110	1832180.0	1216840.0	2092898.0	1688007.0	1599207.0	1804800.0	1829061.0	1856377.0	1802241.0	1582795.0	1831440.0	1832095.0	1803895.0	971349.0	1725867.0	1654064.0	1739411.0	1847329.0	1629995.0	1828651.0	1646526.0	1838456.0	1725766.0	1804087.0	1745013.0	1652266.0	1854689.0	1773660.0	1837056.0	1704237.0	1686997.0	1865853.0	1179130.0	1813294.0	1885031.0	1817525.0	1306556.0	1332718.0	1853481.0	1719218.0	1819131.0	1455873.0	1462803.0	1831979.0	1614281.0	1687220.0
Bengtsson-PalmeJ_2015__TRAVELRES48__bin.115	2073126.0	1380063.0	1688007.0	2331844.0	1813624.0	2048025.0	2111052.0	2124208.0	2110742.0	1800526.0	2049259.0	2104848.0	2076513.0	1119844.0	1945004.0	1927425.0	2042166.0	2095382.0	1956342.0	2070023.0	1936853.0	2059499.0	1937389.0	2095325.0	1989080.0	1900269.0	2134673.0	2002390.0	2100727.0	1918833.0	1863476.0	2092703.0	1322034.0	2060976.0	2132483.0	2095193.0	1458028.0	1480725.0	2092071.0	1991273.0	2047809.0	1598091.0	1644705.0	2040843.0	1851484.0	1936399.0
ZellerG_2014__CCIS35100175ST-4-0__bin.31	1980255.0	1296181.0	1599207.0	1813624.0	2244442.0	1939318.0	1973177.0	1961778.0	1953388.0	1714014.0	1956490.0	1984008.0	1962115.0	1070948.0	1838456.0	1815222.0	1928863.0	1976413.0	1808313.0	1963940.0	1817772.0	1983219.0	1838801.0	1970612.0	1852443.0	1797607.0	1991805.0	1920041.0	1980425.0	1789549.0	1742763.0	1983105.0	1221567.0	1970414.0	1987728.0	1961105.0	1364700.0	1371873.0	1966695.0	1913154.0	1958339.0	1483615.0	1542694.0	1984848.0	1744060.0	1790356.0
CosteaPI_2017__SID713A051-11-90-0__bin.26	2431670.0	1433697.0	1804800.0	2048025.0	1939318.0	2752678.0	2389409.0	2348173.0	2238300.0	1911933.0	2344210.0	2408597.0	2244718.0	1148468.0	2190428.0	2227910.0	2205911.0	2345999.0	2027506.0	2342919.0	2008406.0	2422424.0	2096802.0	2281793.0	2151546.0	2025294.0	2414245.0	2354866.0	2390253.0	2033615.0	2048132.0	2373830.0	1372355.0	2351579.0	2702511.0	2303014.0	1591713.0	1574537.0	2361202.0	2304367.0	2260802.0	1732300.0	1754571.0	2326627.0	2000997.0	2036367.0
BritoIL_2016__W1.41.ST__bin.16	2389179.0	1475819.0	1829061.0	2111052.0	1973177.0	2389409.0	3025645.0	2388325.0	2313262.0	1977853.0	2378894.0	2471405.0	2326981.0	1167118.0	2174476.0	2211292.0	2278887.0	2401566.0	2108945.0	2332247.0	2084776.0	2379051.0	2124819.0	2346961.0	2170936.0	2121010.0	2449605.0	2287955.0	2470645.0	2072726.0	2047474.0	2351752.0	1397091.0	2339873.0	2498032.0	2359216.0	1597772.0	1631857.0	2335847.0	2271253.0	2287319.0	1775395.0	1810605.0	2347020.0	2009391.0	2115657.0
XieH_2016__YSZC12003_37292__bin.25	2383830.0	1524185.0	1856377.0	2124208.0	1961778.0	2348173.0	2388325.0	2801918.0	2322160.0	1950865.0	2332636.0	2449380.0	2387847.0	1190755.0	2200594.0	2173987.0	2290790.0	2402902.0	2073186.0	2354067.0	2066126.0	2334722.0	2138686.0	2393772.0	2240465.0	2077023.0	2511832.0	2268333.0	2394298.0	2132627.0	2042259.0	2367391.0	1403821.0	2318296.0	2444799.0	2375856.0	1629131.0	1639814.0	2422469.0	2250127.0	2300400.0	1827423.0	1808087.0	2297976.0	2012442.0	2126881.0
CM_madagascar__A83_02_1FE__bin.32	2240908.0	1475082.0	1802241.0	2110742.0	1953388.0	2238300.0	2313262.0	2322160.0	2525915.0	1921805.0	2233099.0	2321003.0	2244080.0	1173252.0	2081081.0	2093123.0	2214111.0	2280881.0	2092136.0	2247472.0	2065582.0	2245854.0	2104905.0	2288541.0	2145574.0	2051951.0	2348379.0	2190772.0	2308411.0	2045393.0	2005585.0	2290956.0	1385474.0	2237140.0	2296057.0	2256025.0	1560560.0	1589322.0	2260424.0	2198939.0	2228018.0	1715591.0	1747850.0	2225122.0	1967855.0	2065449.0
XieH_2016__YSZC12003_37293__bin.22	1940233.0	1281057.0	1582795.0	1800526.0	1714014.0	1911933.0	1977853.0	1950865.0	1921805.0	2119897.0	1942850.0	1949384.0	1902004.0	1058372.0	1828777.0	1794966.0	1871818.0	1968185.0	1793440.0	1931517.0	1807117.0	1955905.0	1835676.0	1907339.0	1861023.0	1767092.0	1947876.0	1933471.0	2006857.0	1759845.0	1737722.0	1958610.0	1254902.0	1929175.0	1982144.0	1913990.0	1331847.0	1380978.0	1931728.0	1857921.0	1962793.0	1528975.0	1553509.0	1951673.0	1765517.0	1791688.0
