	ZeeviD_2015__PNP_Main_470__bin.8	BritoIL_2016__W2.8.ST__bin.43	HMP_2012__SRS020233__bin.61	XieH_2016__YSZC12003_35561__bin.34	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.126	XieH_2016__YSZC12003_37101__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.52	NielsenHB_2014__MH0124__bin.30	LeChatelierE_2013__MH0457__bin.66	NielsenHB_2014__O2_UC52_0__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.162	LiJ_2014__O2.UC29-1__bin.53	LeChatelierE_2013__MH0124__bin.49	ZeeviD_2015__PNP_Main_82__bin.19	ZeeviD_2015__PNP_Main_511__bin.22	ZeeviD_2015__PNP_Validation_42__bin.67	XieH_2016__YSZC12003_37314__bin.50	NielsenHB_2014__O2_UC52_2__bin.42	CosteaPI_2017__SID713A052-11-0-0__bin.55	LeChatelierE_2013__MH0147__bin.53	ZeeviD_2015__PNP_Main_179__bin.32	BritoIL_2016__W1.5.ST__bin.38	ZeeviD_2015__PNP_Main_283__bin.6	ZeeviD_2015__PNP_Main_225__bin.46	XieH_2016__YSZC12003_37332__bin.63	ZeeviD_2015__PNP_Main_500__bin.24	ZeeviD_2015__PNP_Main_473__bin.11	ZeeviD_2015__PNP_Main_89__bin.4	NielsenHB_2014__MH0147__bin.44
ZeeviD_2015__PNP_Main_470__bin.8	1.0	0.991878820267878	0.9910499662711043	0.9948037198707808	0.994891850516907	0.9932261922548313	0.9947189779020672	0.9941154260336854	0.9942192736764636	0.9943324292718778	0.9948335243564462	0.9916633008206935	0.9942032928709034	0.9944918336665247	0.9944472237201435	0.9942444221160861	0.9949714401253602	0.9928190485051143	0.9942815162165144	0.9940369316780756	0.9935339613398045	0.9915007246245442	0.9902333208784821	0.9936971738778138	0.9935630160588951	0.9938905647199223	0.9922520701103138	0.9940920113412461	0.9939203256394356
BritoIL_2016__W2.8.ST__bin.43	0.991878820267878	1.0	0.9946755950560157	0.992282415445479	0.9920782384903836	0.9914598629654041	0.9921632946425547	0.9910827067295259	0.9916996865347916	0.991787148452509	0.9918356221583001	0.9923507092031142	0.9912989207792293	0.992017210063984	0.9921581082414853	0.9921466942288487	0.9922256949326066	0.9911009981537041	0.9921071113964307	0.9921164823474306	0.9923030381178151	0.99508471475337	0.9938825597759173	0.9930690369940434	0.9912605438448805	0.9920948839591927	0.9940868807664749	0.9918221028435652	0.9922197691927435
HMP_2012__SRS020233__bin.61	0.9910499662711043	0.9946755950560157	1.0	0.9919728049996148	0.9918635264066242	0.991145337028247	0.9915847084780187	0.9909698332358151	0.9917610666686885	0.9914129331644849	0.9916265427981193	0.9929756220155818	0.991152863405263	0.9917264459571092	0.9914467464673966	0.9916350068998415	0.9917491352594339	0.9903216924500923	0.991330350763553	0.9917528782819712	0.9916434647599152	0.9950172817675829	0.9951447400971052	0.9932290586234078	0.9907637791633293	0.9914778074557513	0.9938784724066501	0.9919008722137616	0.9919074383939296
XieH_2016__YSZC12003_35561__bin.34	0.9948037198707808	0.992282415445479	0.9919728049996148	1.0	0.995540172242789	0.9943293019818427	0.9955760607404738	0.994745733881872	0.9955863601909499	0.9955396404979188	0.9953114353753888	0.99250698692223	0.9949762667211737	0.9953103734572876	0.9952626916605226	0.9950582124329611	0.9958168419705681	0.9944976047554448	0.9952946484991535	0.9949835039878709	0.9950448866732314	0.9922911626809433	0.9911344994725542	0.9945205614178142	0.9943025350143821	0.9953251436923641	0.9928260396915249	0.9955020891803216	0.9949982445080174
Bengtsson-PalmeJ_2015__TRAVELRES10__bin.126	0.994891850516907	0.9920782384903836	0.9918635264066242	0.995540172242789	1.0	0.9943257242041394	0.9958869699930966	0.9950187870707419	0.9957086396204187	0.9953045630746177	0.9999339178598998	0.9922945146386276	0.9953113985019278	0.9954024583982578	0.9950849623029007	0.9951329135007938	0.9956213112012884	0.9943484264682955	0.9952643850111109	0.9953917491151263	0.9947707637113862	0.9922120184243277	0.9909728992926533	0.9945501528997299	0.9944370761918844	0.9948850636514727	0.9927954615659611	0.9954870020740935	0.9954297816727697
XieH_2016__YSZC12003_37101__bin.25	0.9932261922548313	0.9914598629654041	0.991145337028247	0.9943293019818427	0.9943257242041394	1.0	0.9944182230610894	0.9935723165338605	0.9942453879794539	0.9941633970264694	0.9943088281915442	0.9910728908402937	0.9938659798152155	0.993949591114878	0.9940284823116635	0.9935873257703944	0.9944715911384023	0.9927551025869827	0.9939290323662023	0.9937032047868175	0.9934567258326934	0.9913897681824213	0.9906477543804192	0.9932387551000099	0.9929949758368138	0.9937996526807458	0.9913612900724161	0.9937587407793348	0.9936708591501788
Bengtsson-PalmeJ_2015__TRAVELRES26__bin.52	0.9947189779020672	0.9921632946425547	0.9915847084780187	0.9955760607404738	0.9958869699930966	0.9944182230610894	1.0	0.9947528151709268	0.9956752399315881	0.9951816666916611	0.9956910537510962	0.992358330941602	0.9948442883771723	0.9954433408804592	0.9953387135726054	0.9951435733105074	0.995817373005514	0.9940749095863138	0.9951988757579435	0.9951220113351728	0.9948830105932416	0.992025323923768	0.9910330578959147	0.9941718868226529	0.9944860554196544	0.9951519058850564	0.9923019121596176	0.9954397220528912	0.9950942292609217
NielsenHB_2014__MH0124__bin.30	0.9941154260336854	0.9910827067295259	0.9909698332358151	0.994745733881872	0.9950187870707419	0.9935723165338605	0.9947528151709268	1.0	0.9946306411918459	0.994724049192007	0.9947508539411208	0.9919029826767894	0.999559038969341	0.9946991143052617	0.9942089327005939	0.9944342854082273	0.9949604049068566	0.993825595801875	0.9945699459452374	0.994550233547398	0.9939168879912212	0.9907937297835282	0.9905767350230058	0.9936557947899106	0.9936295306893939	0.9942403022349112	0.9914165237558914	0.9946757269365645	0.994703761447599
LeChatelierE_2013__MH0457__bin.66	0.9942192736764636	0.9916996865347916	0.9917610666686885	0.9955863601909499	0.9957086396204187	0.9942453879794539	0.9956752399315881	0.9946306411918459	1.0	0.9954718755430172	0.9953958928154472	0.9923424684771832	0.9949070274177632	0.9953258476171158	0.9952864126964901	0.9952008638887929	0.9953611582206277	0.9943471427215392	0.995285273812175	0.9952703223824442	0.9946854348178863	0.9917901763930881	0.9913419158909355	0.9942386944716276	0.9946144216895332	0.9951734668248933	0.9925839856880577	0.9954930456166494	0.9949486785917335
NielsenHB_2014__O2_UC52_0__bin.44	0.9943324292718778	0.991787148452509	0.9914129331644849	0.9955396404979188	0.9953045630746177	0.9941633970264694	0.9951816666916611	0.994724049192007	0.9954718755430172	1.0	0.9951857325328675	0.9923211887611839	0.9949781232754703	0.9947992858695499	0.9947417441044506	0.9943825609647784	0.9953684339497488	0.9985712836058418	0.9948578626437757	0.994634436968908	0.9942102566589428	0.9919315771863791	0.9906560339017719	0.993988895455646	0.9940699462355789	0.9945198074087422	0.9923957261966614	0.995117510826014	0.9947121378227489
