	CosteaPI_2017__daisy-11-390-0__bin.44	CosteaPI_2017__daisy-11-0-0__bin.1	VogtmannE_2016__MMRS84954772ST-27-0-0__bin.17	BackhedF_2015__SID397_M__bin.71	CosteaPI_2017__daisy-11-7-0__bin.39	GeversD_2014__SKBSTL013__bin.105	CosteaPI_2017__daisy-11-403-0__bin.29	CosteaPI_2017__daisy-11-386-0__bin.46	CosteaPI_2017__daisy-11-388-0__bin.6	LiJ_2014__O2.UC2-1__bin.14	LiJ_2014__MH0246__bin.46	QinN_2014__LD-49__bin.29	CosteaPI_2017__daisy-11-60-0__bin.4	Bengtsson-PalmeJ_2015__TRAVELRES28__bin.92	HMP_2012__SRS053398__bin.18	VogtmannE_2016__MMRS88581325ST-27-0-0__bin.75	CosteaPI_2017__daisy-11-2-0__bin.7	CosteaPI_2017__SID713A037-11-0-0__bin.69	ZellerG_2014__CCIS48174381ST-4-0__bin.47	XieH_2016__YSZC12003_37202R1__bin.10	QinN_2014__LD-86__bin.32	LiJ_2017__H1M413815__bin.7	HMP_2012__SRS058770__bin.26	LiJ_2014__V1.CD49-0__bin.19	ChengpingW_2017__AS97raw__bin.74	ZeeviD_2015__PNP_Main_480__bin.37	LiJ_2014__MH0359__bin.66	VogtmannE_2016__MMRS87723283ST-27-0-0__bin.36	LeChatelierE_2013__MH0183__bin.3	NielsenHB_2014__O2_UC18_2__bin.57	CosteaPI_2017__daisy-11-392-0__bin.8	ZeeviD_2015__PNP_Main_706__bin.56	VogtmannE_2016__MMRS51410669ST-27-0-0__bin.45	HMP_2012__SRS024132__bin.65	LiJ_2014__V1.CD44-4__bin.36	YuJ_2015__SZAXPI003420-4__bin.9	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.134	VogtmannE_2016__MMRS62666492ST-27-0-0__bin.17	CosteaPI_2017__SID713A037-11-90-0__bin.47	CosteaPI_2017__daisy-11-389-0__bin.10	NielsenHB_2014__V1_UC26_4__bin.73
CosteaPI_2017__daisy-11-390-0__bin.44	1.0	0.9021556096966112	0.5538510636641732	0.48694958395279864	0.9259723984401148	0.7877090290156274	0.8507362232202857	0.9632329475134466	0.9903093564565804	0.6738620648499143	0.8777713777168907	0.9032816744634976	0.9825579313619416	0.9039796270494249	0.8468212021908965	0.7751479581643587	0.9371663643935207	0.8513687914003939	0.4196137649741965	0.9046801742546308	0.7243543938580173	0.3397186913778207	0.7559908461831853	0.5505146427338985	0.7582139159810386	0.6104516453778155	0.5142615843264239	0.917309224130997	0.4577624522265725	0.5331405531209378	0.9886934275699054	0.6134339007765696	0.5112494908059665	0.9165788388040881	0.5780876618069448	0.46492619605462193	0.9152169231447823	0.4335323406319973	0.9378897442483777	0.8066385928860729	0.8457228998502906
CosteaPI_2017__daisy-11-0-0__bin.1	0.9893699690671165	1.0	0.5884896438435993	0.5244755622821986	0.9396007777183077	0.8275227828042646	0.884407305635157	0.9863461096869636	0.9927022751931136	0.7206448471893929	0.9079377518045131	0.9369684522147984	0.9848809876442038	0.9308592717412986	0.8763819993438393	0.8151857666054041	0.9320754169366287	0.87570307504902	0.44426973383379104	0.9309332534331062	0.7600927388961305	0.3692514447059413	0.8046331319039501	0.583533724127393	0.8059727696156053	0.6453095749666443	0.5512455529178236	0.9467610673054132	0.4828847624177558	0.5599842134451481	0.9882884136418826	0.6397105836216486	0.546664948015057	0.944403043151529	0.617870619110097	0.48809051261629705	0.9393045664061088	0.4662790026015946	0.9415382444087624	0.8555737948880359	0.8793885014809143
VogtmannE_2016__MMRS84954772ST-27-0-0__bin.17	0.8886823016995427	0.8610236723662249	1.0	0.520896136925952	0.8595544794148541	0.7890719355003895	0.8231115000464196	0.8929366748279246	0.8927089478388626	0.7218321073405942	0.8651539821623573	0.8753330038855137	0.8885936255593778	0.8900340924371741	0.8596119315620032	0.7963775172262769	0.8637767959104063	0.8147767755107309	0.5830010753543196	0.8930507464824091	0.7607413658373713	0.39155511721695135	0.782952865509103	0.576878674803778	0.8120115786892501	0.6742592315816952	0.5314398548875332	0.897705619361207	0.4716837933737691	0.5670285458070549	0.8756935369248696	0.5968237289024684	0.5616546884490793	0.897386301992632	0.6312279896869232	0.49768463683790043	0.8925844681867061	0.47525123865580293	0.8595016067866806	0.7884029094100372	0.8589920312206625
BackhedF_2015__SID397_M__bin.71	0.9235158188326138	0.9070021720324496	0.6156841016475757	1.0	0.9020346442620256	0.8713929449787865	0.8621074324450669	0.929603808290334	0.9281684166601877	0.7479856785608489	0.9180399744513084	0.9196028142927019	0.9258438400195256	0.9347671831189678	0.8747090588613905	0.8606823744536704	0.8982830413178243	0.86387645298342	0.4814294670105964	0.9395398479872532	0.7946322159553351	0.3989778555042373	0.8143773392159622	0.6432936160748116	0.8360548529227959	0.6637773484670293	0.5814192317874538	0.9439528038114396	0.512861443619175	0.620365732079256	0.9163678932859889	0.6117204130699863	0.5974954212138778	0.9527354125926707	0.6498982874700202	0.5258985590970958	0.9372974483785537	0.5169230557258692	0.9043818564923299	0.84749517517486	0.872373656503943
CosteaPI_2017__daisy-11-7-0__bin.39	0.9911780928749852	0.9171064566783925	0.5734209080643075	0.5091157485095466	1.0	0.813697618884947	0.8740087019265219	0.9766537743064871	1.0033205742849352	0.6926894041018924	0.9063712477593899	0.9173444737545208	0.9895800178971066	0.9304792947362398	0.8665635166759151	0.8094099787201068	0.9506407575219784	0.8898794694857665	0.4368793711683278	0.9273311925683126	0.7505736572587431	0.34744521857855204	0.7794787064980051	0.5792596863507066	0.7850655810643945	0.6291521759537764	0.5400379716390296	0.9374298377317889	0.48047871149719684	0.5590801709279222	0.983805951371195	0.642795248101557	0.5360577817697251	0.941010369990185	0.5983138281533374	0.4864588558183094	0.9338340301651233	0.4507854563512232	0.9495712082102282	0.8308379034278347	0.8675922392546538
GeversD_2014__SKBSTL013__bin.105	0.9338418721051339	0.8945615121928112	0.583002718536432	0.5447048213265153	0.9011911360578576	1.0	0.8491375306289054	0.9350888676579062	0.9393373882733204	0.719585335529161	0.9264334143131958	0.9213500772374403	0.9356548449191545	0.9415966833732491	0.871771391941099	0.8486358410022227	0.8919724738189377	0.8499228240788874	0.4407083451501593	0.9520315815311776	0.7655466878949152	0.371120825687001	0.8049793079943672	0.6145904016408419	0.8040469834949957	0.6426007393385571	0.5468862945530225	0.9551638350373146	0.48824028441587763	0.5798683118559318	0.9293894151178679	0.6201572801593594	0.5643473082552091	0.9634412524830714	0.6246767931482301	0.49191913661399184	0.9488116630688148	0.4776921908056994	0.9119314773790577	0.8310416380858404	0.8699522672003258
CosteaPI_2017__daisy-11-403-0__bin.29	0.9762099207652364	0.9253868920995381	0.5886449524570577	0.5216141228604783	0.936937012039885	0.8218996752663861	1.0	0.9635671333974245	0.977073634173159	0.7131640820268712	0.8939213452135361	0.9281694724202704	0.9756897872513997	0.9205871941163878	0.8738653899229863	0.8156193682595891	0.9264619934838912	0.8673206990808792	0.44763220159386535	0.9167348715430995	0.7676795525005858	0.3645466040521586	0.7868512510446585	0.5847890571292381	0.8007364638007022	0.64917991885679	0.5527655650772773	0.9270017771476499	0.48512528310358044	0.5669595233707272	0.9679937762616065	0.637834934572444	0.5459621472612007	0.9267463251986674	0.6199437707982696	0.49432095780785307	0.9227501992554975	0.4667604316244749	0.9237761752650463	0.8517035935658264	0.8669920056640068
CosteaPI_2017__daisy-11-386-0__bin.46	0.9846863263097587	0.9194299446177351	0.568897075986165	0.5010766121331721	0.9327248710930041	0.8063283786364505	0.8584208627750547	1.0	1.0035961338510833	0.6941525028115517	0.8964953742016254	0.9326365459290853	0.9878864557472362	0.922297196935939	0.8710274895495151	0.7932270778958983	0.9376373946994291	0.8694442676172894	0.4295098881745072	0.9227311307742908	0.7426674199503468	0.34910109915759546	0.7742485730048593	0.5647778874106139	0.7792472998493434	0.6272359793748806	0.5292674581450124	0.9380755723895007	0.47044104228998235	0.5464062533155092	0.9891964797249984	0.6261957052220596	0.5232963587752244	0.935970356695737	0.5955410380461306	0.478649712479046	0.9347335391601418	0.4452561694994377	0.9614676830691535	0.8182278736180958	0.863723555498971
CosteaPI_2017__daisy-11-388-0__bin.6	0.9858695121538572	0.901135920125781	0.5538662534576507	0.48720866168477384	0.9331138138911483	0.7887922650909069	0.847671450272208	0.9773293827410502	1.0	0.6749349797635896	0.8773517772370151	0.9082306100989104	0.9888265154965005	0.9014417457684863	0.8505525138015445	0.7751300727601566	0.9254485421234787	0.8472369918845136	0.4182343890086677	0.9015194936725863	0.7211843924569552	0.341022971276928	0.7538594343723742	0.5518233691602218	0.7573374261620923	0.6126790558769796	0.5156871248695915	0.9221777058789039	0.4583618645755494	0.532925979087622	0.9950380822665813	0.6095420183510883	0.5115388479930321	0.9141856862750669	0.5801471114328939	0.46507608058609007	0.9180583584550329	0.4341649603886052	0.9384611132621652	0.806565022690248	0.8425449962766245
LiJ_2014__O2.UC2-1__bin.14	0.8925411706485581	0.8703646935914003	0.5958540675775988	0.5223843922689908	0.8571210100899018	0.8039555439474335	0.8231868418882138	0.8993848459021803	0.8979882055370743	1.0	0.849063866054491	0.8888145052648944	0.8922683034118715	0.876619333021747	0.9232689769884254	0.7807673274131911	0.847866893025046	0.8075859841090919	0.4573997195722102	0.8768159074038435	0.7692285486487229	0.40245992906826494	0.7844620322766888	0.5790689522447969	0.8095345448546999	0.6528664806312375	0.5333839661287219	0.8864298380666978	0.5252670249910648	0.5416902647568251	0.8899606163912792	0.5760440436587579	0.5391657273252137	0.884725964314189	0.703725290737635	0.49019911747724954	0.8797170978473043	0.4733916641464823	0.8759141396090507	0.8100359469936491	0.8577942429824321
