	VogtmannE_2016__MMRS57276462ST-27-0-0__bin.83	BritoIL_2016__W1.33.ST__bin.61	XieH_2016__YSZC12003_37102__bin.109	RaymondF_2016__P3E7__bin.10	YuJ_2015__SZAXPI015269-94__bin.24	RaymondF_2016__P18E0__bin.38	LiJ_2014__V1.FI09__bin.79	BritoIL_2016__W1.4.ST__bin.72	XieH_2016__YSZC12003_37330__bin.59	CM_madagascar__A04_01_1FE__bin.46	XieH_2016__YSZC12003_37133__bin.38	XieH_2016__YSZC12003_36440__bin.36	ZeeviD_2015__PNP_Main_257__bin.38	ZeeviD_2015__PNP_Main_589__bin.53	ZeeviD_2015__PNP_Main_208__bin.26	LiSS_2016__FAT_012-22-0-0__bin.21	BritoIL_2016__WL.7.ST__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES40__bin.10	KarlssonFH_2013__S77__bin.2	XieH_2016__YSZC12003_36033__bin.76	ZeeviD_2015__PNP_Main_89__bin.37	KarlssonFH_2013__S143__bin.32	ZellerG_2014__CCIS51667829ST-4-0__bin.59	LeChatelierE_2013__MH0434__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.50	FengQ_2015__SID530743__bin.33	NielsenHB_2014__V1_CD22_0__bin.21	LiSS_2016__FAT_012-22-2-0__bin.22	CosteaPI_2017__SID713A053-11-90-0__bin.85	BritoIL_2016__W2.35.ST__bin.15	LiuW_2016__SRR3993044__bin.54
VogtmannE_2016__MMRS57276462ST-27-0-0__bin.83	1.0	0.9913614511504856	0.9908186731600425	0.9909053281000959	0.9869174359416789	0.9900618597323049	0.9925962313314215	0.9916803547831337	0.9902725984509095	0.9902602659183157	0.9916707124213481	0.9914049812535084	0.988976330650006	0.9966531282476522	0.9895771052453715	0.9912146579351415	0.9906080269876542	0.9909521114194875	0.9913495868490428	0.991473072459287	0.9921720989685904	0.99100992459182	0.9915818280796223	0.9928109572882394	0.9897427755227693	0.9902244697102233	0.9912009860901236	0.9903695659117769	0.9901385464261621	0.9903725267249524	0.9914804397097148
BritoIL_2016__W1.33.ST__bin.61	0.9913614511504856	1.0	0.9906898254324301	0.9906288898676727	0.9922364820172799	0.9911791532984527	0.9919861110692124	0.9997755398267167	0.9913528343551488	0.9925746339884671	0.9914835780216877	0.9925109857382464	0.9919231262090181	0.9913237841084196	0.9917953813069085	0.9915897710779475	0.9994436889603164	0.9914945850087122	0.9919729790515173	0.9907259093320008	0.9919205223938165	0.9917168389819975	0.9918564720388	0.991963575895135	0.9922447736455228	0.9916235457210384	0.991574818292945	0.9913751773662792	0.9908811133144274	0.9925402314729179	0.9918214939691178
XieH_2016__YSZC12003_37102__bin.109	0.9908186731600425	0.9906898254324301	1.0	0.9905255707256339	0.9897732613632002	0.9907761069345377	0.9976178403826927	0.991264664916698	0.9907785870510456	0.9903853101266838	0.9963611228478134	0.990903321840848	0.9907758411132062	0.9917286124681479	0.9968867085179987	0.9915306669028872	0.9902790672273497	0.9911436351011891	0.9911630798497604	0.9968433665791163	0.9986802326312744	0.9912849962213747	0.991875022764373	0.9976567020250723	0.9907828102181784	0.9904055086571517	0.997084944513558	0.9908707013609331	0.9901868472185181	0.9911381778749193	0.9913836298102093
RaymondF_2016__P3E7__bin.10	0.9909053281000959	0.9906288898676727	0.9905255707256339	1.0	0.9906126699620107	0.9908354558556484	0.991279429117267	0.9907224040827115	0.9908745351251455	0.9909462500921249	0.9908898072948021	0.9906889982221196	0.9907663514442521	0.9910397013902725	0.9914070989229813	0.990784039188309	0.9906193463772632	0.9904549077183269	0.9908473301145518	0.9902142534599243	0.9914973014775382	0.990516418534984	0.99089619651198	0.9915198069439015	0.9907610418060542	0.9904228639469761	0.991060074647861	0.9905984839590033	0.9904561844070559	0.9907346510077758	0.9909455051786293
YuJ_2015__SZAXPI015269-94__bin.24	0.9869174359416789	0.9922364820172799	0.9897732613632002	0.9906126699620107	1.0	0.9896219611172359	0.9922220384802918	0.9925043907262923	0.9901210395592112	0.9925624735417239	0.9914685882764954	0.992511550496843	0.9902746443567086	0.9905769616956772	0.98933465011131	0.9895569760557907	0.9917086347912514	0.9912778905880668	0.9900335282521295	0.9905737254879297	0.9914993905058627	0.9900857807859074	0.9905633093425041	0.9923568351836499	0.9911806038694742	0.9898273939579201	0.9907923563655787	0.9890455345374376	0.9911422021964417	0.9923400023350649	0.9910556671120618
RaymondF_2016__P18E0__bin.38	0.9900618597323049	0.9911791532984527	0.9907761069345377	0.9908354558556484	0.9896219611172359	1.0	0.9926843331290968	0.9916687731568443	0.9967676164659532	0.9905720558386149	0.99204073557175	0.9919154994283653	0.9922900371691884	0.99102067363836	0.9897986261244568	0.9910143730920074	0.9910599568278127	0.9913796407666516	0.9912666087934942	0.991162188347254	0.9923932902100289	0.9913051210569769	0.9918169899421477	0.9926048284625159	0.9905024601693524	0.9913179129889726	0.9914657769846504	0.9898170791250122	0.9909969336206454	0.9911027211904151	0.9919481682621448
LiJ_2014__V1.FI09__bin.79	0.9925962313314215	0.9919861110692124	0.9976178403826927	0.991279429117267	0.9922220384802918	0.9926843331290968	1.0	0.9922193823061677	0.9925596299410058	0.9921239100313094	0.9972806539776937	0.9918066917658394	0.9927821040087742	0.9929990019565269	0.9983169868260693	0.9927852206337832	0.992202357228264	0.992029466021644	0.9926854859213688	0.997674126529449	0.9986991771876993	0.9925534317046113	0.9931855386591911	0.998439382972866	0.9921712238989072	0.9920488575790856	0.998251129130662	0.9924011515648329	0.9922555460121053	0.9920950915305191	0.9926321558253883
BritoIL_2016__W1.4.ST__bin.72	0.9916803547831337	0.9997755398267167	0.991264664916698	0.9907224040827115	0.9925043907262923	0.9916687731568443	0.9922193823061677	1.0	0.9919025292573229	0.9927448929023732	0.991681505045692	0.9928400936442191	0.9922222252477696	0.9917019849829712	0.9918609570274662	0.991964214204564	0.999483621282413	0.9918364531113462	0.9923674793494335	0.9908772837374475	0.9921472947665385	0.9919157340355497	0.992204804631884	0.9921231379032278	0.9924385060888331	0.9917373059571256	0.9919564793348098	0.9915584325575593	0.9915924551972367	0.9926731751376178	0.991910774203237
XieH_2016__YSZC12003_37330__bin.59	0.9902725984509095	0.9913528343551488	0.9907785870510456	0.9908745351251455	0.9901210395592112	0.9967676164659532	0.9925596299410058	0.9919025292573229	1.0	0.9909086458313453	0.9919507774214602	0.9917650492098943	0.992862660963726	0.9913870802095102	0.9909786144859747	0.9910784616942603	0.9907916927914254	0.9912541067043608	0.9907602860221915	0.9909209109819439	0.9920361495660228	0.9913634814511268	0.9918428698578715	0.992851452476886	0.9914124494928956	0.9911249239892542	0.991499222439752	0.9906285956357962	0.991539913152742	0.9914888052488544	0.9918372199690297
CM_madagascar__A04_01_1FE__bin.46	0.9902602659183157	0.9925746339884671	0.9903853101266838	0.9909462500921249	0.9925624735417239	0.9905720558386149	0.9921239100313094	0.9927448929023732	0.9909086458313453	1.0	0.9917134388091964	0.9928053111342713	0.9915942796099403	0.9913898917663511	0.9910974805179749	0.9906717167702795	0.9914506730962427	0.99163239911492	0.991630270048527	0.9906080640954087	0.9912768425122132	0.9913603599959742	0.9910995467170544	0.9923053063723333	0.9923997219430993	0.9912966416138059	0.99148166489009	0.990676974296661	0.9908692461072404	0.992101962607273	0.9912182674764762
