	CosteaPI_2017__SID713A009-11-0-0__bin.16	SchirmerM_2016__G89044__bin.4	SchirmerM_2016__G89143__bin.4	CosteaPI_2017__SID713B057-11-0-0__bin.39	SchirmerM_2016__G88897__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES69__bin.38	SchirmerM_2016__G88764__bin.6	SchirmerM_2016__G89117__bin.3	CosteaPI_2017__SID713B057-11-90-0__bin.8	VatanenT_2016__G80359__bin.8	BackhedF_2015__SID585_M__bin.18	SchirmerM_2016__G89030__bin.18	VatanenT_2016__G80275__bin.17	SchirmerM_2016__G88846__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.70	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.73	SchirmerM_2016__G88773__bin.12	SchirmerM_2016__G88815__bin.6	SchirmerM_2016__G89101__bin.11	FengQ_2015__SID530450__bin.38	VatanenT_2016__G78575__bin.8	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.56	SchirmerM_2016__G89185__bin.12	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.46	SchirmerM_2016__G88953__bin.3	SchirmerM_2016__G88944__bin.14	VatanenT_2016__G80343__bin.18	VatanenT_2016__G78719__bin.3	SchirmerM_2016__G88814__bin.17	LiJ_2014__MH0355__bin.77	SchirmerM_2016__G89274__bin.5	LiSS_2016__FAT_017-22-42-0__bin.2	LiJ_2014__MH0381__bin.39	CosteaPI_2017__SID713A009-11-90-0__bin.46	VatanenT_2016__G80381__bin.16	ZeeviD_2015__PNP_Main_449__bin.35	ZeeviD_2015__PNP_Main_503__bin.3	CosteaPI_2017__SID713B020-11-0-0__bin.53	SchirmerM_2016__G88738__bin.15	VatanenT_2016__G80350__bin.11	KosticAD_2015__PRJNA231909.3113044__bin.7	KarlssonFH_2013__S193__bin.44	VatanenT_2016__G78624__bin.5	VatanenT_2016__G78880__bin.3	KosticAD_2015__PRJNA231909.3110086__bin.29	SchirmerM_2016__G89113__bin.14	SchirmerM_2016__G88829__bin.2	XieH_2016__YSZC12003_37583__bin.43
CosteaPI_2017__SID713A009-11-0-0__bin.16	1.0	0.7877025755810545	0.8347758252795969	0.6122037792864105	0.5484086700776608	0.7700519127145786	0.8088224422004736	0.7458091253867536	0.6205370913753853	0.44712151688119217	0.8338274771134525	0.7556414394157631	0.8047065601729461	0.7610073395009955	0.7773565729620499	0.7003691419743487	0.8418688917158049	0.7985924337792099	0.9479275278449808	0.6490355486100666	0.8511756203140256	0.8504324926515764	0.883403312250432	0.9015281491999799	0.9409895452262651	0.7508104722790863	0.9510202815642307	0.7916451036427277	0.8424297427818043	0.8170019451334698	0.9517821042622131	0.4781446536872133	0.8035228245139504	0.9977710418998236	0.8272672191899441	0.6584174822375918	0.8646861825842148	0.9212505619132839	0.7605586586481959	0.868608740948841	0.8030516246410766	0.7896455846150054	0.8185073203810728	0.9017427172214418	0.8859415882112505	0.8543104378632255	0.9456446090740604	0.6778611689665809
SchirmerM_2016__G89044__bin.4	0.9575476911856917	1.0	0.8856527187100679	0.6977349333867741	0.6344061418251724	0.8510393563975451	0.9100662051896027	0.7823787176502065	0.702884971969452	0.5130127441632724	0.9172367984744605	0.8499056351369917	0.8592439861123019	0.8598787667178691	0.8453805636273296	0.8175938044586494	0.9202438714489217	0.844419353938997	0.9547828575147383	0.7736896093284341	0.9333449374051573	0.9311017704645727	0.9322892079033026	0.9213006339542028	0.9586891599719437	0.882801112751291	0.9464243102894372	0.9057022822144702	0.9359858106649339	0.9145003723977352	0.9666443193592074	0.5587665319285865	0.9048970560435349	0.9644187134768727	0.9349130366065425	0.764884804622897	0.9337338631952242	0.9302293990709168	0.8926916040580506	0.9438046135999033	0.9171185195821294	0.8699825732321954	0.9228821622001321	0.9553267338187762	0.925165099772636	0.8714091509641537	0.9475549325397112	0.7734055333861543
SchirmerM_2016__G89143__bin.4	0.9595646574270655	0.8374708362576442	1.0	0.6510372939368232	0.5889110135282646	0.7732825199231644	0.8342947539207743	0.7854369079033803	0.6566197360574478	0.47971395234460124	0.8641410389593899	0.7916532966445274	0.8060318702255589	0.7918076318772586	0.7887741631098746	0.7372984789676731	0.8645698564731176	0.8429639006960226	0.9616848132665785	0.7040504695747137	0.8716140876809715	0.8656326206073678	0.9037382826102776	0.916661416338338	0.961985180887242	0.7921221631743436	0.9512613242256011	0.8235513611537243	0.8667681567342664	0.8369321281509906	0.9782787812009919	0.507854246978375	0.8388969719525019	0.9704262436318402	0.8701420421384025	0.6912865551057367	0.8747056763619473	0.9328490332802439	0.811495630505824	0.8901162447112099	0.8359011101880301	0.790178320686147	0.8455148276598041	0.8996918667774363	0.9200338365345684	0.8841338008323357	0.9623353655766985	0.6929378444154333
CosteaPI_2017__SID713B057-11-0-0__bin.39	0.9747369446477689	0.9138685677097779	0.901764030182532	1.0	0.6555385379304374	0.8677958281863286	0.912287597263169	0.8043418846899553	0.7956780042835708	0.5498212021869753	0.9296958610640195	0.8787949717427748	0.8863663115966245	0.8941561595609814	0.8698977003205237	0.8522553690081085	0.9184741504228775	0.8499918144020522	0.9524234105395324	0.8003580015234683	0.9403777281380268	0.9577102244206828	0.9334680010769811	0.9237156390922511	0.9570628180375401	0.8958541637633726	0.9654053629872967	0.9252898445818784	0.9225425955516349	0.9128477357012488	0.962276570383289	0.5877266091464924	0.9222402019745556	0.9775471077779416	0.9421724712252554	0.8041186411095611	0.936869421447349	0.9618402306579732	0.8838084813618671	0.9552186907643454	0.9275899299556354	0.8885351568049379	0.9273727748365249	0.9654236283711473	0.9517394733886887	0.8677139722068508	0.9461414714863828	0.7906448762892317
SchirmerM_2016__G88897__bin.16	0.9642297388760479	0.9175831728420333	0.9007857474760906	0.723907401624685	1.0	0.8627085951121995	0.9069377064660189	0.7892414302128048	0.7216326335464419	0.5460362259617898	0.914518025576013	0.8626764719505035	0.8660015927111798	0.8698399370087211	0.8596912590635873	0.8292385017757385	0.9161241836608152	0.8654487755098991	0.9633691369627028	0.805796811290619	0.9258963482688604	0.9481644227766663	0.9452725911737505	0.9317397754964523	0.9527176941845125	0.870555611169298	0.954608478422947	0.8953419921440193	0.9267987849974376	0.9106497992675919	0.9691460767160865	0.6074982929901285	0.8968084518279573	0.9684259202538775	0.9193910345002757	0.7808266559489855	0.9204959218525651	0.9343880687106958	0.8932495043321445	0.9284415485455678	0.9029417345610855	0.8857057906854785	0.9016493375905238	0.9426698680260989	0.9266336868873254	0.8960688720586764	0.9602404904235625	0.75446698710143
Bengtsson-PalmeJ_2015__TRAVELRES69__bin.38	0.9588944266319587	0.8717707374369067	0.8376924542078029	0.6786985598340793	0.6109964763023397	1.0	0.9195914415415384	0.7407495000158725	0.6885538025247876	0.49057807688644806	0.893172174428325	0.866338634752336	0.9115144492767426	0.8630270996687937	0.8551072452726369	0.8127133530152482	0.9002946996391649	0.8044913918076675	0.9364067807371195	0.7415076770049628	0.9067616901050761	0.9355258563220215	0.9195173698189475	0.9546067320614161	0.934405256975969	0.8844682179401713	0.9367030676274827	0.86312498015936	0.9374744717098928	0.9542178555178142	0.9563839243198629	0.5343761573706655	0.9068971355406706	0.9786133773530998	0.8946636614710645	0.7459329333460314	0.9285599398960879	0.9203120535856004	0.8510047300085711	0.9187972868586182	0.8905188195083753	0.9557527274266425	0.9221855390834153	0.9480762515475699	0.8924314572024168	0.8404738473910881	0.9430176819783499	0.8236648572003005
SchirmerM_2016__G88764__bin.6	0.963548861098049	0.891857335706921	0.8646407147893509	0.6825915365774277	0.6144998737112346	0.8797609472619128	1.0	0.7598281257987954	0.6787967996047845	0.49515623109781126	0.9110982769555651	0.8590257998583744	0.8728127874081748	0.8497771091868876	0.8993835387276268	0.797728928124736	0.9065923747906365	0.8215653631675146	0.9746648032957572	0.7562677443307986	0.9325142195075902	0.9172001249221134	0.9409140674549042	0.9340924494503275	0.9635741694678813	0.8680775914125664	0.9536735351895166	0.8728436636193703	0.9853095036471892	0.9289128384804652	0.9732191892109409	0.535939150580245	0.9082267893144013	0.9844814137862791	0.9083735778594282	0.7457764127005498	0.9386520053593005	0.9269023415809936	0.8681464301785101	0.9374468207878901	0.88520983928679	0.8828445190422706	0.9416535780214017	0.9620592104497246	0.8927679308534844	0.8633909874870358	0.983204353444545	0.7762932450442416
SchirmerM_2016__G89117__bin.3	0.9604606549016947	0.828840122304347	0.8799516516996321	0.650580661117592	0.5780768144839165	0.7660770683726824	0.821384875671109	1.0	0.6472029556154286	0.4763347216963271	0.8530312348843164	0.7674690791935967	0.7976889556198059	0.7692096398938044	0.7891109078055474	0.7248781443357636	0.8537354479057461	0.8392544862801575	0.9581652596997547	0.697704385928434	0.8743387401426592	0.8608295596561996	0.903463721265154	0.9100161306914311	0.962408594572471	0.7868565506584694	0.9457137666806014	0.8189253282497215	0.855553160149094	0.8150190526009372	0.9698769733832647	0.5016880319899845	0.8156056231984293	0.9670092341095179	0.8543920567835358	0.6851691752773625	0.8727672562284824	0.9389309969730331	0.7996576879050455	0.8909279634400177	0.8274026960360521	0.7827894058346265	0.8376715117106193	0.905912325205245	0.9107591930714631	0.8822902736526933	0.9547076667841267	0.686732451580567
CosteaPI_2017__SID713B057-11-90-0__bin.8	0.9529531286498958	0.8879528480769004	0.8772297396935098	0.7674493565743473	0.6302948365433929	0.8491626527328463	0.8750301779093788	0.771778010646114	1.0	0.5369586409305105	0.9153256799980164	0.8466622905979336	0.8603992749471805	0.8657373393067107	0.8424197659107726	0.8282632270592427	0.8976645886865139	0.8204104456673658	0.9296101079357788	0.7721910401950178	0.9200210364496946	0.9304139821920973	0.9070331167483808	0.9082128283193417	0.9333306363526033	0.8615430992745556	0.9395247745954856	0.897473407552503	0.898791448135103	0.8906900660194783	0.9403743235254585	0.5741795849868653	0.8983647161841029	0.9558214981553956	0.9215824577933391	0.7694551272431158	0.9232417534376718	0.9343844163233453	0.8669548956072709	0.9362786102893295	0.9066846842379311	0.8664120194861208	0.9035520541205734	0.9387522201153873	0.9322461891009789	0.8486778486967711	0.928141340930119	0.7700136632523761
VatanenT_2016__G80359__bin.8	0.968029178951048	0.9136774033309263	0.9035264031791442	0.7476407088682119	0.6723696859031263	0.8529434220875093	0.8998799541894148	0.8007984656213635	0.7570070417676631	1.0	0.9308950082100296	0.872949217402503	0.8623980645487703	0.8913682002787271	0.8835987986220029	0.843918368848802	0.9199896972177889	0.8619427183706886	0.9513625889419871	0.7937999328479374	0.9397811578671401	0.9402870980650087	0.93288197335075	0.9315996449219703	0.951381906658633	0.8715270655008578	0.964821518096561	0.9135081433374576	0.9164076406168791	0.9074736566137882	0.9600767189318223	0.5766807563346013	0.921313420753667	0.9739808754605205	0.9416347387738769	0.7733792665706913	0.9321837758776913	0.9572462134975646	0.8930028470634771	0.9583583620416066	0.9091772952437022	0.8730908806579062	0.9214201281408537	0.9601043156698879	0.9489533937088636	0.8876656379215977	0.9459407498033732	0.771255237630912
