	ZeeviD_2015__PNP_Main_455__bin.62	CosteaPI_2017__SID713B007-11-0-0__bin.9	ZellerG_2014__CCIS31434951ST-20-0__bin.2	LeChatelierE_2013__MH0257__bin.45	ZeeviD_2015__PNP_Main_73__bin.33	CosteaPI_2017__SID713B072-11-90-0__bin.48	LeChatelierE_2013__MH0130__bin.21	CosteaPI_2017__SID713B076-11-0-0__bin.63	CM_madagascar__V40_01_1FE__bin.47	CosteaPI_2017__SID713A057-11-0-0__bin.68	CosteaPI_2017__SID713A052-11-0-0__bin.70	NielsenHB_2014__MH0130__bin.16	CosteaPI_2017__SID713A038-11-90-0__bin.23	XieH_2016__YSZC12003_36049__bin.31	CosteaPI_2017__SID713B014-11-0-0__bin.95	CosteaPI_2017__SID713B051-11-90-0__bin.49	NielsenHB_2014__MH0077__bin.4	CosteaPI_2017__SID713A056-11-90-0__bin.25	FengQ_2015__SID530743__bin.36	CosteaPI_2017__SID713A056-11-0-0__bin.78	CosteaPI_2017__SID713B040-11-90-0__bin.57	FengQ_2015__SID31276__bin.76	BritoIL_2016__W2.17.ST__bin.65	NielsenHB_2014__MH0031__bin.2	BritoIL_2016__M1.64.ST__bin.39	LeChatelierE_2013__MH0077__bin.16	CosteaPI_2017__SID713A053-11-0-0__bin.44	BritoIL_2016__W3.22.ST__bin.95	CosteaPI_2017__SID713A058-11-90-0__bin.58	NielsenHB_2014__V1_CD34_0__bin.26	CosteaPI_2017__SID713B040-11-0-0__bin.80	LeChatelierE_2013__MH0031__bin.15	XieH_2016__YSZC12003_37331__bin.23	CosteaPI_2017__SID713B042-11-0-0__bin.52	ZeeviD_2015__PNP_Main_287__bin.26	LeChatelierE_2013__MH0421__bin.46	ZellerG_2014__CCIS48725289ST-4-0__bin.22	ZeeviD_2015__PNP_Main_415__bin.31	FengQ_2015__SID31160__bin.2	CosteaPI_2017__SID713B046-11-0-0__bin.75	KarlssonFH_2013__S187__bin.51
ZeeviD_2015__PNP_Main_455__bin.62	1.0	0.5550502833985415	0.8152482852790063	0.6988810588065442	0.8343704142122339	0.8100859856530163	0.8257808274476031	0.8331008490822859	0.7161855727121431	0.7439899469117065	0.7329775917265297	0.819684041692016	0.6994797476528308	0.8210466244651485	0.7232793352147558	0.7299173471799133	0.7374090384417856	0.8294692104418231	0.6023668141780436	0.6777423504660579	0.8428763210121468	0.8834614630418278	0.6064211623398499	0.5391765891471755	0.8596094408238993	0.8511229276638781	0.7971935248227816	0.7310992817888694	0.8623238321257799	0.8404909033054663	0.6978600195803935	0.774819010651418	0.8161949822189054	0.8598403687952024	0.871995153026593	0.8187574566749676	0.5853751125010686	0.7912177697457782	0.8204763077957404	0.8274731020988946	0.4305664594899185
CosteaPI_2017__SID713B007-11-0-0__bin.9	0.8244461965387484	1.0	0.8007310429738469	0.7356066579109369	0.820505584711685	0.7941637122302465	0.8234673116460096	0.8515375694421476	0.7543174958470742	0.7564651746362656	0.7704805658008025	0.8068465396552404	0.7665292849285867	0.813396799926597	0.7837325867846805	0.7667656042787139	0.7487498546342598	0.8229477291470846	0.6618430135358175	0.7179595237765006	0.8181738648936135	0.8398843048743666	0.6726977000739366	0.5450863179098061	0.8307270634200051	0.8262476648127423	0.8077923505080066	0.7683110154690486	0.8349525387526393	0.794817191245835	0.7395280654567258	0.7867007151460965	0.7992523133157152	0.8583636245306955	0.8199065178263741	0.7890980495918556	0.6216308489039156	0.7966762723636523	0.816614050492323	0.8274975434523536	0.486776251985776
ZellerG_2014__CCIS31434951ST-20-0__bin.2	0.9138148765560572	0.6042616128366081	1.0	0.7542888059698489	0.897389499465195	0.8736938339016852	0.8934745739172162	0.8949278264856689	0.7981154413922562	0.8264474254684727	0.8239426782438429	0.8887899478399071	0.7660673979090071	0.8857743481196079	0.7746371598694569	0.8198840376911722	0.8054469194467335	0.8838613685613563	0.6601546727705958	0.7349806749613438	0.9443903444450125	0.9158977377164933	0.6691889924773045	0.5728407625671124	0.9098295024763665	0.919858152887806	0.874267888794376	0.795288241173906	0.9304125506273342	0.8921517517731896	0.7575777459931894	0.8285314943180241	0.8720099127122564	0.9374066808556719	0.9317039728543691	0.8887843119573702	0.6414572298912719	0.8413140784748336	0.8844362285801239	0.8965521683454216	0.4720949340259564
LeChatelierE_2013__MH0257__bin.45	0.924020495833549	0.654777873958506	0.8897083508033519	1.0	0.9117146385854816	0.8776123711947214	0.9027326353556452	0.9258941998272545	0.8206049509280438	0.8499693018339602	0.8461615896379325	0.8943161621451964	0.8214919451146232	0.9122730460605444	0.8292194308707215	0.8457095454914532	0.8281885612887816	0.8955393404239054	0.7186647223703447	0.7700315623680846	0.9057829836718045	0.9230390092255942	0.7112173900243544	0.5962172641927379	0.916052268079273	0.9240736774978406	0.893472378060854	0.8368353300990651	0.9350343235411012	0.8938304046222464	0.802842275054618	0.8670634082134332	0.8897748278837164	0.9371293012451632	0.9201515297563283	0.8849011082204132	0.6847656849109848	0.862210581346816	0.8937943170643341	0.9047017814433028	0.5164025073255368
ZeeviD_2015__PNP_Main_73__bin.33	0.8809132356376056	0.5832111125604026	0.845253334465803	0.728039315907457	1.0	0.8594246245408189	0.8915035960966199	0.8665421202864744	0.7636230028847643	0.77315394812278	0.7668092112247963	0.8839295735341849	0.7327896215225852	0.8530723041408954	0.7492166242496124	0.7664349654040642	0.7667091089991901	0.8697935467431893	0.6293442090862487	0.7127153335375823	0.8625122473556328	0.9004661578642432	0.6597536726899895	0.5554319866045021	0.8857374803966475	0.8799808440740999	0.8249981799595344	0.780774988397242	0.8788600024873887	0.8581047160281863	0.7370966714493286	0.8033510736722047	0.8380569702999731	0.8779215441223309	0.894468366180008	0.8530669956895375	0.6091171135371576	0.8083379845478564	0.867805531709655	0.8892020032578724	0.45560314624328485
CosteaPI_2017__SID713B072-11-90-0__bin.48	0.8426981068211079	0.5561871465280263	0.810833792238243	0.690502573728024	0.8467875286457535	1.0	0.8593217970741169	0.835226860918562	0.7379646739110131	0.7323647886808271	0.7476607057596365	0.8404142921295255	0.705749175652361	0.8184888491710944	0.724376854455288	0.7402182270305327	0.7322344024011996	0.8504547828601444	0.6074158784336611	0.6969811653469882	0.8365748084741368	0.854326396085871	0.6190086757311906	0.5364278343698233	0.8571848070469862	0.8347060629993627	0.7987272954149609	0.7494834984768342	0.8497419547182274	0.8182220990173582	0.6997390780008832	0.7667774265110798	0.796758798832277	0.8516420825640294	0.8562493135106338	0.8048741305402027	0.5784779699491381	0.7899043659602893	0.8498387170288965	0.8879406514531906	0.4323777152288933
LeChatelierE_2013__MH0130__bin.21	0.7979086519609033	0.5356791623780834	0.770197752562566	0.6597344883994833	0.815900574733784	0.7981845325056686	1.0	0.797068864642247	0.6948358632215491	0.7026288813269472	0.7032441469947065	0.8772636953001752	0.6749495607079476	0.8013809296098598	0.6841098358528109	0.7022034353547685	0.7101009063456689	0.8119872352327565	0.5847793059747745	0.6534034636715641	0.7947750653958348	0.8235402101966838	0.5972046880953554	0.5166166842836927	0.8171408226167912	0.8135120391493579	0.7523158349880382	0.7162112266377761	0.8187520344021304	0.7890461195926546	0.672019327601033	0.7335306255166254	0.7856144432314183	0.8182235236226619	0.8071612343069082	0.7774285989918388	0.5634965967792421	0.7528204014183383	0.8169090135552778	0.8039322173647195	0.420522111738908
CosteaPI_2017__SID713B076-11-0-0__bin.63	0.8797486476861714	0.6053894584183646	0.8431031520678465	0.7395100154468883	0.8667153119129907	0.8478608543687994	0.871100969099776	1.0	0.7604215297691082	0.7828379115867591	0.7826566296656865	0.8548386913265702	0.7556744464928206	0.8733730611272777	0.7778970311103289	0.7758187362829697	0.7784431523788322	0.8767347409356195	0.6553174576386247	0.7242239294411321	0.8716827399510841	0.8979049043586166	0.6632904489078902	0.5681728109733967	0.8921099508983884	0.8879025416256285	0.8440618982947743	0.7987994434114072	0.9034935453396324	0.854177277790272	0.7445422953856167	0.8261187806173976	0.8392344138317347	0.9129243769950967	0.8848655005713415	0.8469753035618864	0.6223211139963676	0.8331152008683328	0.8630411293787833	0.8607000136909567	0.4592474069669145
CM_madagascar__V40_01_1FE__bin.47	0.758187309707973	0.5376196501516253	0.7537864501431087	0.6570625906786183	0.765694814931974	0.7510098214258557	0.7612806482323562	0.7623322920817225	1.0	0.7011316387394265	0.6924097624182182	0.7559509506617068	0.674261111837723	0.7521451101222432	0.6880324754920598	0.6861881066152429	0.6815340312862144	0.7620570244942528	0.5843375784360543	0.6413373594386367	0.758408588348729	0.7808261677581052	0.5837437000222039	0.49375020911211753	0.7680102563790602	0.763538678898078	0.7251932195966189	0.6854653390962099	0.7689820574199062	0.7484856480650666	0.6464788561034884	0.7097413549248566	0.7482746349282632	0.7730471969851355	0.7706861310760377	0.7483662640561363	0.5545520286156627	0.7702428133868254	0.774581319520274	0.7656005243771501	0.4230756362331227
CosteaPI_2017__SID713A057-11-0-0__bin.68	0.9120185504939197	0.6243031898079704	0.9038232437653593	0.7880640409399927	0.8976940436431451	0.8630245722723475	0.8914032707264437	0.9087562769049521	0.8118676318183059	1.0	0.8268230209974192	0.8874669700302278	0.7953242506236181	0.8947896956179874	0.7994265266427815	0.8313725939081333	0.8128476346535343	0.889051440023034	0.6906691050804298	0.749908647534452	0.9282207357329462	0.905117587132642	0.6852385862248407	0.5991960102526083	0.8995800868354713	0.9219510949528533	0.8845181564676224	0.8170133070825236	0.9712501683967136	0.8866591060577911	0.7907500235535273	0.8545382584125715	0.8815948775700859	0.9368827104782819	0.920485493228471	0.8793438647684138	0.673336350532838	0.8514080606774083	0.8827223651087293	0.8841479038241242	0.499941006118634
