	Castro-NallarE_2015__ES_107__bin.27	CM_periimplantitis__SP_189SPI_T016__bin.1	CM_periimplantitis__SP_381SPT_T016__bin.31	HMP_2012__SRS015941__bin.83	HMP_2012__SRS057791__bin.56	HMP_2012__SRS047219__bin.68	HMP_2012__SRS019607__bin.29	HMP_2012__SRS064774__bin.74	CM_cf__CF_TNFC017SA_t1M16__bin.5	HMP_2012__SRS047824__bin.5	Castro-NallarE_2015__ES_114__bin.23	HMP_2012__SRS047210__bin.67	HMP_2012__SRS019894__bin.7	HMP_2012__SRS078182__bin.96	HMP_2012__SRS020220__bin.49	HMP_2012__SRS018591__bin.31	HMP_2012__SRS015038__bin.29	HMP_2012__SRS018791__bin.23	HMP_2012__SRS018443__bin.26	HMP_2012__SRS019219__bin.13	HMP_2012__SRS022143__bin.42	HMP_2012__SRS015057__bin.22	CM_periimplantitis__SP_282SPT_T016_R__bin.41	HMP_2012__SRS024318__bin.38	CM_cf__CF_TNFC023IS_t3M15__bin.27	HMP_2012__SRS023352__bin.13	HMP_2012__SRS053854__bin.2	HMP_2012__SRS016342__bin.44
Castro-NallarE_2015__ES_107__bin.27	1.0	0.8615945886316438	0.883883388724098	0.697026233859925	0.6755420298584821	0.8421056778743955	0.6714910329998214	0.583910004307522	0.8773257992554642	0.5290565125881204	0.8199149351945565	0.897530003817235	0.8579708419279488	0.7416747505664566	0.733496587251836	0.7270142918678887	0.8535757686125226	0.8779264009077314	0.8201425684738415	0.6933972340805542	0.6389508557260275	0.8222359191306511	0.8608530294487422	0.8138239939484568	0.6813887030856566	0.5227055440960683	0.8873547962331945	0.4986140635341993
CM_periimplantitis__SP_189SPI_T016__bin.1	0.5112813010123765	1.0	0.8577332035174966	0.6261257142382134	0.5609898907822097	0.771878627041664	0.579629962520353	0.5045059741954656	0.8115081323664339	0.45822739037956584	0.7279831752025427	0.7800447636039065	0.7510331061556189	0.678191978503495	0.6422189987624547	0.667421905279466	0.7577647915759635	0.7822896978248921	0.8109340401854137	0.6501274432687821	0.5755739103418679	0.7248955463954805	0.8552757772584683	0.7338721660368105	0.598515776884399	0.44356180297156345	0.7666941330376802	0.4358674091245847
CM_periimplantitis__SP_381SPT_T016__bin.31	0.49829149895486036	0.8148614665518289	1.0	0.5931600729500085	0.5410896599039015	0.7386583220017324	0.5620803091737844	0.475134066617474	0.7685589411883744	0.42827133652016613	0.6975896389270722	0.769978949134891	0.7398394408811256	0.6287288781838508	0.6232995812037739	0.6317717523549576	0.7329032672028509	0.7907400872142524	0.7822935818306109	0.6059278051573385	0.5400408184418412	0.6981636636896021	0.8263434425197861	0.6930640731079517	0.5747458718833984	0.4213015999151055	0.7637510519262899	0.4153190082155135
HMP_2012__SRS015941__bin.83	0.5887109416594692	0.8911638823487654	0.8886615456513766	1.0	0.6755177707315342	0.9048794086676684	0.7109002496421007	0.6323849989943328	0.9343964813478307	0.5915164574484448	0.8528361294826138	0.9218744454041008	0.9323503922102199	0.7957097940156884	0.7296958743980786	0.7993575561103158	0.8801688337809539	0.8991323162291028	0.8546315412737663	0.8039888015996025	0.7545232841542339	0.8578962624673158	0.880707900995019	0.8405381502821784	0.6997336460761231	0.5579537925485974	0.9057734172572497	0.5504245986204611
HMP_2012__SRS057791__bin.56	0.6360960843120218	0.8901607395768241	0.9037557563036988	0.7531025920472739	1.0	0.8878903693102658	0.7300501723799647	0.6353384698330939	0.9202287187824089	0.5947009854758957	0.8558479758750488	0.9115734473849522	0.8852564430206311	0.7772044602800617	0.7607908538867519	0.794812607892051	0.8888309983858442	0.9208923527927861	0.8600919359811644	0.7650842773973676	0.6861497521059043	0.8686524025199956	0.8757223718032214	0.856714409843877	0.7245061491255694	0.5629248700349047	0.9124670862262554	0.5526191697072921
HMP_2012__SRS047219__bin.68	0.5407604265171031	0.8352767155079649	0.8413823462938371	0.6879803405435247	0.6055183433163582	1.0	0.6465098392858549	0.5627165221967227	0.8688025879778667	0.5104453512311897	0.7774823661961696	0.8600984097249318	0.8266799198959232	0.7256834539654554	0.6954988120443969	0.7214471806715744	0.816295849857704	0.8417078674931944	0.8074707958571665	0.7298016625756316	0.6303310421288524	0.780648748570574	0.8264825832103024	0.7725618799495807	0.6520982343145446	0.47854820918363333	0.8366715654140192	0.4865153264825832
HMP_2012__SRS019607__bin.29	0.6081254232073847	0.8845997706949402	0.9029481399490328	0.7622696443551469	0.7021587342868153	0.9117793977491313	1.0	0.6555413010762748	0.9262639926038809	0.5947477089316382	0.8508954156431722	0.9148827864212078	0.9136641077321476	0.7850209561989276	0.7738910975402831	0.7922727683590733	0.8990264842586676	0.9165296280849539	0.8742620135394646	0.7706101005231518	0.7005856318020428	0.8530655676093123	0.8899145418418302	0.836856427439855	0.7341409227070682	0.5698627182640054	0.9113607495072161	0.5679407422443035
HMP_2012__SRS064774__bin.74	0.6301226071667134	0.9174628999235653	0.9095085981854102	0.8079932276475995	0.7281384250690415	0.9456501713401378	0.7811352949346243	1.0	0.9448518122750778	0.6638228077485234	0.8633048664000431	0.9403658846527043	0.9273937308500114	0.8307960631922459	0.7954698555678694	0.8160438993557384	0.9258074055597915	0.9331041239733527	0.8906248080867633	0.8250639395854767	0.7491376304891909	0.8736183427955417	0.9030867679307195	0.8559637422159991	0.7478933241120499	0.6144794935096715	0.9253557894259468	0.6175028651169998
CM_cf__CF_TNFC017SA_t1M16__bin.5	0.5310110751947432	0.8277107731439775	0.8251470510306821	0.6696083938318054	0.591518202532987	0.8188898309575539	0.6190482751311536	0.5299406496741031	1.0	0.48623973292353345	0.7629373112182715	0.8499565470828254	0.804838641301468	0.6891028562344337	0.6664257326055854	0.6856785543956335	0.7898245985904297	0.8234757034603359	0.7747999576069101	0.6804965290657623	0.6142096338296859	0.7493757617508345	0.7988151131365587	0.7521901330083196	0.6252906576228074	0.4588389592496423	0.816363732711568	0.4570971331672937
HMP_2012__SRS047824__bin.5	0.6321615904625807	0.9226779426256777	0.9077296950093001	0.8368351016531053	0.7546652467104231	0.9498105446397	0.7847040165373294	0.7350198452136106	0.9599172715080478	1.0	0.869037282220488	0.9289819625106444	0.9378155409886829	0.8317487849121977	0.8000801340728823	0.8393981366212713	0.929660905243028	0.935922033522405	0.9072076727851716	0.8669335012731484	0.7577607652699346	0.8916139588115051	0.9107132769395898	0.8705594111505621	0.7637561748219998	0.6558555410723739	0.9359963092296458	0.6514690897982839
