	XieH_2016__YSZC12003_36695__bin.8	XieH_2016__YSZC12003_37199__bin.80	LiuW_2016__SRR3992987__bin.97	FengQ_2015__SID31137__bin.52	XieH_2016__YSZC12003_37296R1__bin.49	CosteaPI_2017__SID713A062-11-90-0__bin.58	QinJ_2012__T2D-084__bin.22	LiJ_2014__O2.UC47-1__bin.24	VincentC_2016__MM034.2__bin.23	BackhedF_2015__SID42_4M__bin.11	IjazUZ_2017__S33_a_WGS__bin.8	VincentC_2016__MM058.1__bin.1	YuJ_2015__SZAXPI003424-12__bin.38	XieH_2016__YSZC12003_37652__bin.56	LeChatelierE_2013__MH0101__bin.17	ZellerG_2014__CCIS58234805ST-4-0__bin.18	VatanenT_2016__G69211__bin.2	ZeeviD_2015__PNP_Main_319__bin.19	ZellerG_2014__CCIS44093303ST-4-0__bin.45	QinJ_2012__DLM022__bin.52	HMP_2012__SRS012273__bin.44	NielsenHB_2014__MH0101__bin.36	FengQ_2015__SID31873__bin.55	CosteaPI_2017__SID713B026-11-0-0__bin.28	VatanenT_2016__G78521__bin.10	FengQ_2015__SID530227__bin.21	IjazUZ_2017__S34_a_WGS__bin.12	LiJ_2014__MH0336__bin.3	ZeeviD_2015__PNP_Main_448__bin.40	CosteaPI_2017__SID713A089-11-90-0__bin.48	ZeeviD_2015__PNP_Main_381__bin.25	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.14	XieH_2016__YSZC12003_37880__bin.55	ZellerG_2014__CCMD45988061ST-21-0__bin.51	LiuW_2016__SRR3992973__bin.26	IjazUZ_2017__S32_a_WGS__bin.1	KarlssonFH_2013__S58__bin.29
XieH_2016__YSZC12003_36695__bin.8	1.0	0.907707997967167	0.5495947420145583	0.8825250846941878	0.83519053208284	0.8966113984183132	0.8308444454159298	0.8131450211264507	0.58985033022033	0.8575255233006445	0.6788673081729496	0.949741452279186	0.8525208079217216	0.8259608141801323	0.8850339136264528	0.8235621401809244	0.8086897861642528	0.834803407957788	0.7287489419518016	0.8945801472049552	0.8307794453771024	0.8341534075695134	0.8624094421472331	0.8319096119814053	0.8263201838638267	0.9702217853094736	0.524652846584665	0.8104055283395856	0.8303765026585304	0.7381109608184943	0.8339942149965444	0.9495189853321373	0.8410106240550188	0.5770806986986474	0.7704037566571112	0.5379723899392594	0.7902553724976783
XieH_2016__YSZC12003_37199__bin.80	0.9388538383701813	1.0	0.5550700690583719	0.8742512627631708	0.8243843327676761	0.8828017152071357	0.826320180427249	0.8139115679800831	0.5953843382710463	0.8444322180381735	0.6836647923972576	0.928091774796736	0.8335435769496842	0.8197344311515743	0.8671586084683779	0.817620244548949	0.8091904200306017	0.8310472779661566	0.7348436068612451	0.8813962734449149	0.8260536388209521	0.8202875942284817	0.8584125632720243	0.8234376043502208	0.824295981364696	0.9535008350992459	0.530818501378743	0.8064702677449107	0.8229924263214001	0.7441158932423522	0.8307829674558945	0.9203248832802109	0.8315391602719736	0.5895320246318951	0.7688993542166896	0.5443025021147072	0.7927563153776211
LiuW_2016__SRR3992987__bin.97	0.9135173883570242	0.8920110507591062	1.0	0.9057609180983669	0.8620215966903177	0.9129838770591098	0.8479036256777649	0.852042879775428	0.6606096083663751	0.8711010889175935	0.7222368560695516	0.9064612711910592	0.8647959988564883	0.8557246335934281	0.826826583013115	0.8506797010424505	0.8512799012526042	0.8529944516737243	0.7993010332717915	0.9134863146703177	0.8479901539438245	0.7713105733716671	0.8871236378968946	0.8586718532633586	0.8659244517406524	0.9099539535768681	0.5627447052828136	0.8260710143694289	0.8595359407821581	0.7781723604815369	0.8508604064820666	0.8932762278647788	0.8543050441676602	0.6372436301332536	0.8573003085378061	0.5681828394848079	0.8010657796483606
FengQ_2015__SID31137__bin.52	0.8493211730351384	0.8134471400694743	0.5244260071688556	1.0	0.8094992872662856	0.9700311388515992	0.7947087479413759	0.7946540819574575	0.5632186500961844	0.8297860414907898	0.661621019416804	0.8367125676405054	0.8162370427778624	0.7817163735001453	0.7729532086856636	0.7774939452233002	0.7735704499218069	0.7980548597367729	0.7672523077348907	0.9799896203828002	0.7897359425384392	0.7320261012773849	0.8347631371355024	0.7838834991765503	0.8744237928505196	0.8509986575695089	0.5089560872995004	0.7754845897283308	0.7847351813665112	0.7142488617019804	0.7982811353917267	0.828973801846188	0.7972197849343317	0.5314002795576899	0.7431865424803134	0.5234601491896979	0.7506845011555974
XieH_2016__YSZC12003_37296R1__bin.49	0.8130039293858428	0.7758629040499131	0.5048367702044204	0.8188015583157535	1.0	0.831218109611247	0.7855953782471328	0.7644636255338687	0.5547549488283935	0.9604078330144002	0.7574512046430306	0.8025408721920709	0.9311972518096593	0.7958726750200529	0.735462182285987	0.7904597255449276	0.7957021729909668	0.7918037238875023	0.6702305976950029	0.8258941907522948	0.7870568242107282	0.6966470733984638	0.790154977665354	0.8030375398433005	0.760053950313637	0.8155365424484259	0.5841815272670261	0.7639200628253782	0.8042373533829534	0.6941078810293395	0.7855129269375007	0.7950771388695631	0.7919883644263894	0.5062513211107549	0.7181986418631476	0.6125694151836396	0.7469959866230099
CosteaPI_2017__SID713A062-11-90-0__bin.58	0.8430929366541798	0.8025692933435904	0.516487784139658	0.9477896864519896	0.8029326340388435	1.0	0.7949579345589197	0.7898729227074142	0.5586543710480615	0.8288075758766118	0.6587407371448453	0.82962728979348	0.8119098671676721	0.7790578915178541	0.764968872641852	0.7767054396848361	0.7713355157213476	0.7979218588980541	0.7540255160634585	0.9642959283530552	0.7863168625645903	0.7242732273348493	0.8274852429183384	0.7836279791536825	0.8642140245722161	0.8437882466113781	0.5041410968075104	0.7706137023118718	0.7840508173948648	0.7059356780144262	0.7934660335947484	0.8211336094470203	0.7975034829728165	0.5256839411931665	0.7385886073287725	0.5210699065063676	0.7466407888400994
QinJ_2012__T2D-084__bin.22	0.8050852984267455	0.774138578276875	0.49430433421855785	0.8001755492428306	0.7820130724127389	0.8192097803697542	1.0	0.7652683110903143	0.6409888391482337	0.8073680795793506	0.644367862476858	0.8081468894842408	0.7971965909056072	0.9429342335515599	0.7329180888180511	0.9416824802190088	0.9229153771270958	0.9913914263187862	0.6591784886266442	0.8130499500162618	0.9634589192754964	0.6965408800649469	0.8014596310595354	0.95231492848577	0.749762483184311	0.8068343808969872	0.4964525062517993	0.9366063508192345	0.9547245153305295	0.7678182202779302	0.9817052829480902	0.793590153412592	0.8982024805422936	0.5057915364585873	0.7881787553366385	0.5117264608921491	0.8455410520190393
LiJ_2014__O2.UC47-1__bin.24	0.8641730252754413	0.8362922954400648	0.5447784266758813	0.8775379862144516	0.8346078060236009	0.8927271229541256	0.8393135866099138	1.0	0.6027357440798725	0.8434465613231632	0.6884348690837505	0.859079515633642	0.8296376299836059	0.8234605574709367	0.7865639426650053	0.8212709657571209	0.8191344059637833	0.8413359825859679	0.7369211745454729	0.8874930099496747	0.831418860626764	0.7460105706219361	0.8602281839746094	0.8282639962623958	0.827941219847265	0.8668333325946562	0.524638370443706	0.814592764520392	0.8265703370614111	0.7367552014456471	0.8395662141734609	0.8456931585307499	0.8296871468200181	0.5562956760339581	0.7868466776877288	0.5434732606790929	0.7795641876510817
VincentC_2016__MM034.2__bin.23	0.8553056472710757	0.83468977772662	0.5763020302250426	0.848616843765548	0.8263682363887426	0.8614925350725849	0.9591969849191743	0.8223823125489769	1.0	0.8487711510447228	0.6937692805902712	0.8647790715956583	0.8363752719665796	0.9433873700743135	0.7904202704714671	0.9511996973909141	0.9407178541445893	0.964722436653734	0.7332279456321239	0.8578588071713682	0.9599286933551532	0.7466095145868339	0.8605731556213934	0.9516692919756461	0.80933000196429	0.8546112645147891	0.5336692227458939	0.926442762634117	0.9521297115329678	0.8162713272469538	0.9598500800521141	0.848901895185321	0.9139649338793309	0.5848783870969088	0.8638853405165458	0.5468522774711789	0.8736204616456746
BackhedF_2015__SID42_4M__bin.11	0.823122164912735	0.7836645691633609	0.503050457962097	0.8276342862695849	0.9470346136358052	0.8460572634138571	0.7997728203215522	0.7618020105222095	0.5618602893290152	1.0	0.7512937425788386	0.8195495166944902	0.9543679151288303	0.7868577563680846	0.7488460879074098	0.7865151509713733	0.7854388841389162	0.8039989310490765	0.6777337964349713	0.8407789041210101	0.7958060792718765	0.7087921765602142	0.7991988665586489	0.7964950170377857	0.7713772930198223	0.8284560146848238	0.580569967282703	0.7736753166477235	0.7966770865455465	0.7038648428611775	0.8007510815812191	0.8086537816485532	0.803818932081586	0.5120430904276715	0.7264272441136611	0.606215679069571	0.7548282928561115
