	LiJ_2014__V1.FI09__bin.34	HMP_2012__SRS011134__bin.88	RampelliS_2015__H10__bin.7	LiJ_2014__MH0303__bin.72	QinN_2014__HD-40__bin.75	CosteaPI_2017__SID713A005-11-0-0__bin.72	ZeeviD_2015__PNP_Main_25__bin.24	ZeeviD_2015__PNP_Main_531__bin.11	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.84	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.51	CosteaPI_2017__SID713B014-11-0-0__bin.12	LiuW_2016__SRR3993055__bin.4	ZellerG_2014__CCIS74726977ST-3-0__bin.72	LiuW_2016__SRR3993034__bin.118	BritoIL_2016__M1.16.ST__bin.117	NielsenHB_2014__MH0126__bin.28	BritoIL_2016__M1.20.ST__bin.55	LiJ_2014__V1.FI14__bin.47	LeChatelierE_2013__MH0126__bin.27	CosteaPI_2017__SID713B066-11-0-0__bin.77	BritoIL_2016__WL.37.ST__bin.22	CosteaPI_2017__SID713A051-11-90-0__bin.31	CosteaPI_2017__SID713B066-11-90-0__bin.4	ZeeviD_2015__PNP_Main_683__bin.4	XieH_2016__YSZC12003_35980__bin.54	LiuW_2016__SRR3993041__bin.58	CosteaPI_2017__SID713B072-11-0-0__bin.26	CosteaPI_2017__SID713A051-11-0-0__bin.2	NielsenHB_2014__MH0117__bin.3	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.63	Bengtsson-PalmeJ_2015__TRAVELRES49__bin.8	BackhedF_2015__SID566_M__bin.39	CosteaPI_2017__SID713B063-11-0-0__bin.36	LeChatelierE_2013__MH0437__bin.18	LeChatelierE_2013__MH0117__bin.21	LeChatelierE_2013__MH0409__bin.6	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.35
LiJ_2014__V1.FI09__bin.34	1725618.0	1485149.0	1275060.0	1478703.0	1248515.0	1574356.0	1540337.0	1547721.0	1465878.0	1256853.0	1431406.0	1549346.0	1413937.0	1476688.0	1612103.0	1283313.0	947980.0	1479580.0	1372897.0	1618468.0	1109281.0	1117787.0	1616018.0	1530684.0	881736.0	1361785.0	1435182.0	512582.0	1066547.0	1478551.0	998313.0	1544613.0	1279607.0	1453519.0	1260240.0	1296747.0	1546595.0
HMP_2012__SRS011134__bin.88	1485149.0	1980861.0	1341465.0	1631559.0	1349112.0	1709070.0	1693482.0	1675991.0	1620353.0	1398611.0	1569900.0	1724697.0	1509912.0	1628342.0	1775420.0	1363197.0	1114249.0	1687622.0	1465165.0	1792527.0	1171666.0	1284643.0	1794882.0	1645502.0	959986.0	1457095.0	1556365.0	636159.0	1136197.0	1628173.0	1138109.0	1657581.0	1385814.0	1603081.0	1345111.0	1412379.0	1776653.0
RampelliS_2015__H10__bin.7	1275060.0	1341465.0	1559038.0	1320552.0	1097196.0	1378584.0	1373152.0	1365953.0	1313880.0	1155493.0	1295329.0	1391680.0	1265095.0	1374545.0	1439355.0	1126576.0	886471.0	1333796.0	1214255.0	1431098.0	1005406.0	1034905.0	1428990.0	1364336.0	793321.0	1256357.0	1299922.0	459014.0	924994.0	1325545.0	909948.0	1350302.0	1214793.0	1290353.0	1096395.0	1218835.0	1405274.0
LiJ_2014__MH0303__bin.72	1478703.0	1631559.0	1320552.0	1963791.0	1361222.0	1727706.0	1711080.0	1683241.0	1657337.0	1352119.0	1583107.0	1707189.0	1576590.0	1631110.0	1834660.0	1403617.0	1200375.0	1639899.0	1505368.0	1780392.0	1199557.0	1251596.0	1810809.0	1680742.0	977992.0	1486210.0	1579349.0	674073.0	1230752.0	1703864.0	1128495.0	1668405.0	1350164.0	1686054.0	1396144.0	1414436.0	1698304.0
QinN_2014__HD-40__bin.75	1248515.0	1349112.0	1097196.0	1361222.0	1614814.0	1471870.0	1436237.0	1411294.0	1341854.0	1113693.0	1386370.0	1434834.0	1294254.0	1350016.0	1485369.0	1188117.0	960906.0	1328651.0	1265119.0	1476224.0	1032746.0	1046125.0	1518240.0	1371922.0	817192.0	1252902.0	1286853.0	496007.0	1026306.0	1370690.0	939882.0	1395914.0	1122055.0	1422658.0	1141362.0	1171399.0	1387840.0
CosteaPI_2017__SID713A005-11-0-0__bin.72	1574356.0	1709070.0	1378584.0	1727706.0	1471870.0	2116834.0	1906766.0	1905666.0	1737805.0	1465229.0	1704169.0	1823728.0	1667773.0	1700471.0	1894895.0	1480776.0	1223038.0	1746637.0	1600416.0	1901389.0	1270417.0	1339654.0	1937592.0	1794720.0	1027328.0	1577215.0	1695196.0	701651.0	1240472.0	1764260.0	1164879.0	1858506.0	1446386.0	1767245.0	1417074.0	1506320.0	1833633.0
ZeeviD_2015__PNP_Main_25__bin.24	1540337.0	1693482.0	1373152.0	1711080.0	1436237.0	1906766.0	2130974.0	1882189.0	1741737.0	1465890.0	1682003.0	1825336.0	1620507.0	1708799.0	1868486.0	1458572.0	1191100.0	1747072.0	1576806.0	1887314.0	1241724.0	1349519.0	1902615.0	1799359.0	1030948.0	1578356.0	1660176.0	696402.0	1201924.0	1741323.0	1167983.0	1875676.0	1433968.0	1742770.0	1394725.0	1499915.0	1805782.0
ZeeviD_2015__PNP_Main_531__bin.11	1547721.0	1675991.0	1365953.0	1683241.0	1411294.0	1905666.0	1882189.0	2049884.0	1718495.0	1448945.0	1650171.0	1802790.0	1598670.0	1678782.0	1827485.0	1468472.0	1180111.0	1709246.0	1579437.0	1870719.0	1236914.0	1329438.0	1877692.0	1775609.0	1021927.0	1552461.0	1652035.0	688432.0	1199943.0	1713460.0	1154766.0	1829463.0	1424946.0	1701949.0	1391522.0	1489543.0	1780710.0
Bengtsson-PalmeJ_2015__TRAVELRES50__bin.84	1465878.0	1620353.0	1313880.0	1657337.0	1341854.0	1737805.0	1741737.0	1718495.0	2015861.0	1383131.0	1646704.0	1729093.0	1515366.0	1641795.0	1767973.0	1399292.0	1177703.0	1624227.0	1514113.0	1805391.0	1184688.0	1276671.0	1805006.0	1667029.0	1017986.0	1511908.0	1572982.0	658063.0	1119695.0	1602029.0	1351901.0	1700443.0	1341976.0	1628423.0	1325931.0	1419455.0	1742596.0
VogtmannE_2016__MMRS34569532ST-27-0-0__bin.51	1256853.0	1398611.0	1155493.0	1352119.0	1113693.0	1465229.0	1465890.0	1448945.0	1383131.0	1651409.0	1340415.0	1434156.0	1353215.0	1360548.0	1453523.0	1207328.0	930056.0	1407004.0	1278440.0	1488811.0	974637.0	1058932.0	1489429.0	1424435.0	836484.0	1255249.0	1371954.0	499459.0	997618.0	1326912.0	930391.0	1440084.0	1216102.0	1410287.0	1163506.0	1297532.0	1470209.0
