	OlmMR_2017__S2_001_026G1__bin.3	HeQ_2017__RSZAXPI003079-113__bin.31	BackhedF_2015__SID591_12M__bin.3	OlmMR_2017__S2_001_027G1__bin.7	HeQ_2017__RSZAXPI003094-125__bin.9	OlmMR_2017__S2_001_017G1__bin.7	BackhedF_2015__SID640_4M__bin.19	BackhedF_2015__SID507_12M__bin.17	OlmMR_2017__S2_001_021G1__bin.7	HeQ_2017__SZAXPI029494-94__bin.2	OlmMR_2017__S2_001_016G1__bin.8	OlmMR_2017__S2_001_024G1__bin.5	VincentC_2016__MM087.1__bin.1	BackhedF_2015__SID503_4M__bin.10	OlmMR_2017__S2_001_014G1__bin.6	HeQ_2017__RSZAXPI003098-132__bin.13	OlmMR_2017__S2_001_013G1__bin.3	HeQ_2017__SZAXPI029479-64__bin.9	OlmMR_2017__S2_001_015G1__bin.1	OlmMR_2017__S2_001_023G1__bin.13	OlmMR_2017__S2_001_025G1__bin.12	HeQ_2017__SZAXPI029545-129__bin.18	ZellerG_2014__CCIS15704761ST-4-0__bin.14	OlmMR_2017__S2_001_018G1__bin.9	BackhedF_2015__SID9_12M__bin.17	HeQ_2017__RSZAXPI003078-111__bin.17	OlmMR_2017__S2_001_019G1__bin.6	HeQ_2017__SZAXPI029549-142__bin.9	OlmMR_2017__S2_001_020G1__bin.8	BackhedF_2015__SID332_12M__bin.20
OlmMR_2017__S2_001_026G1__bin.3	1.0	0.4581898907173335	0.9078877072010144	0.9752096560328326	0.6498304129213854	0.8542716303663141	0.746046784256539	0.8064394752722399	0.8296837936217348	0.5364154288115879	0.9319143241804818	0.9752803809171033	0.5097142409388195	0.7753548710110402	0.8545059383462181	0.6692853530291112	1.008531761578783	0.9496932371746274	0.6727228876919367	0.9686202847109082	0.917319048602751	0.9626475936748549	0.9126789365012654	0.8873205038054058	0.7179529776193903	0.882076177314917	0.978191040632718	0.9196664533047856	0.9534192683078232	0.8852567618586296
HeQ_2017__RSZAXPI003079-113__bin.31	0.5994752896159002	1.0	0.5965105627755195	0.6011775028259269	0.47723747505262415	0.5413181134924195	0.5395230341334689	0.5636755556324817	0.5340196330355848	0.37194889765551253	0.5931224461809046	0.5982773495801385	0.3513452610304348	0.5568903353965817	0.5445943912840293	0.46043136492601994	0.61255443820307	0.6138259388800942	0.4358910690058729	0.6064355908350764	0.5773415250818487	0.6030205131004512	0.5988898001680245	0.5645519591096033	0.5251620664082836	0.5846643038500507	0.5993647822272165	0.5861431723076472	0.5870774923077537	0.5945756849128123
BackhedF_2015__SID591_12M__bin.3	0.9315426360838548	0.4678029502128737	1.0	0.9418320973345758	0.6697956882307337	0.8361057816550115	0.7746608508161247	0.8346304141835752	0.8125787345565414	0.5396156526778233	0.9169562845381385	0.9350710405621641	0.5173376560660522	0.7947874003826767	0.8351214202369672	0.6834535397594828	0.9577818325149899	0.9371919465609999	0.6585722452367714	0.9425180962225685	0.8916703864094954	0.945357108363287	0.9134623366249794	0.8698484172167971	0.7453273504206572	0.9000921452083186	0.9473365336173389	0.9218778305937754	0.9136568073904111	0.8946861189639015
OlmMR_2017__S2_001_027G1__bin.7	0.9692754784136398	0.4566949083756428	0.9123303417704459	1.0	0.6490217303628588	0.8516107939007619	0.749971995977535	0.806830908045916	0.8263725321376185	0.5367075209322166	0.9492508955597884	0.9779942747893756	0.5110631692360832	0.7782255892792258	0.8517797030385186	0.6714712213470807	1.0188323574279183	0.9565797315608999	0.6725410635055372	0.978948055130122	0.922170310476741	0.9673969964010722	0.914138276403621	0.8868546463540785	0.719035579395007	0.8858270314800613	0.9913241894826753	0.9486693221812845	0.9475241283416131	0.8886329966023472
HeQ_2017__RSZAXPI003094-125__bin.9	0.817509389517346	0.45888247540802596	0.8212293506630671	0.8214908329185997	1.0	0.7421695345967908	0.7186847794603608	0.7708407278616224	0.7207977609181644	0.4872012917287434	0.8062704533052542	0.8186036463492501	0.4710876477638786	0.7376318413055549	0.746235471652219	0.6372415382325783	0.8372357773016119	0.8345934302983362	0.5886829711681407	0.8245802921752156	0.7863401925751201	0.8215868484347071	0.8186481335383798	0.7708055221723831	0.7146559684044942	0.8060688207214286	0.8265508506174598	0.8098726354178836	0.8035013658207166	0.8161155642751868
OlmMR_2017__S2_001_017G1__bin.7	0.9783837568598771	0.47384906303584257	0.93326262821979	0.981307626974195	0.6756529175328772	1.0	0.7698740856532235	0.8286148839120129	0.859184259176975	0.5562681102941498	0.9558237752742859	0.9775536516326034	0.5299454123501827	0.7916231922484663	0.8735536166685363	0.692901857320383	0.9989330132178742	0.9620115410558274	0.6994468393211727	0.981286648533913	0.933505628486391	0.9723072933587211	0.9336029451399218	0.9114765179868273	0.7411816980590572	0.9047071832219097	0.985161832641579	0.9528719339062585	0.9615587563864054	0.9111213413381622
BackhedF_2015__SID640_4M__bin.19	0.890487901679338	0.4922051669180476	0.9011622027953234	0.9006535701607856	0.6818795904095267	0.8023584156533743	1.0	0.8813725975458703	0.7834895113877532	0.5373116199326904	0.8785819504345849	0.8913481740695742	0.5218938260500683	0.8423411919858931	0.8109562809753479	0.6948693087424385	0.9147859658690801	0.9024703755652275	0.6310272587616147	0.9016234642710627	0.8585585260038814	0.8958086545285158	0.8840760938714171	0.837153442774881	0.7906213000771604	0.8830667237954745	0.9026689700386531	0.8800449904544079	0.8754001876019353	0.8816179558555459
BackhedF_2015__SID507_12M__bin.17	0.7528046499753608	0.40217394660127886	0.7593362267041103	0.7577811685497325	0.5719821173061966	0.6753827977035106	0.6892997132356871	1.0	0.6569208756107843	0.4484172153582179	0.7421586287559891	0.7635480404438613	0.4380269665322892	0.6927499094584726	0.6810608498435561	0.5746794829930357	0.7746336482001531	0.7637864763612399	0.5381524778692759	0.7574456008691987	0.7211900422131318	0.7661071892941324	0.7484624564361667	0.7055059935522559	0.6469324530519917	0.7404028949540168	0.7725124234849879	0.7495651038110561	0.7450117852414342	0.7414532954147396
OlmMR_2017__S2_001_021G1__bin.7	0.969078126300025	0.47673564475295066	0.924998514257188	0.9711198340722428	0.6692168946786635	0.8762322750882531	0.7666857832241808	0.8219563072753854	1.0	0.5484450215729856	0.9532638798093495	0.9675897091509871	0.5274265151605196	0.7881999334387221	0.8738833157025186	0.6873907979033197	0.9911455671377462	0.9521986022131625	0.6972082892562966	0.97525554776366	0.9272853695933819	0.9634605327279426	0.9272865581876315	0.9010587403278143	0.7393894191339903	0.8986765003030915	0.9753271605671971	0.9347634103146208	0.9516910724685914	0.9012533726361832
HeQ_2017__SZAXPI029494-94__bin.2	0.9473679717438707	0.5020823214525613	0.9288196074748802	0.953687050157685	0.6839638558060352	0.8578045605737853	0.7950266911869435	0.8483776134605716	0.8292860348996087	1.0	0.9295973609400617	0.947252050083549	0.5275873332671351	0.8125856775643511	0.8510851480539764	0.701465330662043	0.9700877185493977	0.9509206561165974	0.6784252267099681	0.9518610593532381	0.9102496763853649	0.9529937667395595	0.9230563239983447	0.8878781438695639	0.7618016562419546	0.9100488353692262	0.9583486285524035	0.9295991581751055	0.9322977065932916	0.9073606210525417
