	QinN_2014__LV-6__bin.12	NielsenHB_2014__O2_UC4_2__bin.40	QinN_2014__LD-79__bin.10	QinN_2014__LD-86__bin.44	QinJ_2012__DOM022__bin.32	HeQ_2017__SZAXPI029503-106__bin.14	QinN_2014__LD-53__bin.41	QinN_2014__LD-39__bin.12	QinN_2014__LD-3__bin.24	ZellerG_2014__CCIS07539127ST-4-0__bin.15	QinN_2014__LD-44__bin.54	YuJ_2015__SZAXPI017593-158__bin.24	CM_madagascar__A11_01_1FE__bin.25	QinN_2014__LD-27__bin.7	QinN_2014__LD-22__bin.78	QinN_2014__LD-60__bin.38	QinN_2014__LV-20__bin.9	QinN_2014__LV-12__bin.14	CosteaPI_2017__SID713A062-11-0-0__bin.66	QinN_2014__LD-24__bin.31	QinN_2014__LD-65__bin.37	ZeeviD_2015__PNP_Main_636__bin.23	ZeeviD_2015__PNP_Main_44__bin.25	QinN_2014__LD-38__bin.2	QinN_2014__LD-48__bin.15	QinN_2014__LD-77__bin.38	QinJ_2012__T2D-029__bin.48	QinN_2014__LD-91__bin.8	ZellerG_2014__CCIS82146115ST-4-0__bin.54	QinN_2014__LD-45__bin.24	QinN_2014__LD-87__bin.15	QinN_2014__LD-63__bin.5	WenC_2017__N227__bin.1	QinN_2014__HD-56__bin.17	QinJ_2012__T2D-056__bin.52	QinN_2014__LD-40__bin.12	QinN_2014__LD-5__bin.25	QinN_2014__LV-16__bin.4	WenC_2017__N237__bin.61	WenC_2017__N018__bin.23	LiJ_2014__V1.CD40-0__bin.27	FengQ_2015__SID530163__bin.14
QinN_2014__LV-6__bin.12	0.0	26291.0	21056.0	27209.0	27674.0	4025.0	16847.0	23781.0	4909.0	19455.0	4617.0	17898.0	5263.0	23135.0	23851.0	10507.0	12085.0	24642.0	20295.0	20607.0	15301.0	22409.0	24018.0	20667.0	13358.0	1830.0	12081.0	1819.0	25069.0	2601.0	23333.0	25680.0	2068.0	20197.0	19198.0	9832.0	12552.0	21629.0	3053.0	21114.0	23102.0	29013.0
NielsenHB_2014__O2_UC4_2__bin.40	26291.0	0.0	26163.0	7770.0	24074.0	13595.0	20128.0	30622.0	25780.0	25304.0	28508.0	22624.0	29915.0	31531.0	31629.0	16191.0	17850.0	32245.0	23538.0	24031.0	28487.0	29942.0	27121.0	25777.0	16892.0	26290.0	11915.0	12449.0	32424.0	21355.0	31415.0	33800.0	14300.0	8235.0	23848.0	15547.0	16605.0	5774.0	24712.0	26826.0	15021.0	21325.0
QinN_2014__LD-79__bin.10	21056.0	26163.0	0.0	25673.0	23900.0	9999.0	16329.0	5130.0	20004.0	2462.0	21486.0	3356.0	22035.0	3908.0	2812.0	3273.0	3046.0	2724.0	5558.0	2266.0	7147.0	2706.0	24801.0	5390.0	1701.0	20481.0	10400.0	7905.0	5251.0	16363.0	5669.0	3155.0	9520.0	21266.0	3396.0	4006.0	3041.0	21354.0	18209.0	5110.0	20945.0	26110.0
QinN_2014__LD-86__bin.44	27209.0	7770.0	25673.0	0.0	25657.0	15180.0	20227.0	31965.0	26307.0	26048.0	29585.0	22767.0	29216.0	31268.0	31438.0	15488.0	18770.0	34277.0	24501.0	24754.0	28512.0	28901.0	26527.0	24672.0	17449.0	26554.0	13348.0	12734.0	33129.0	22630.0	31872.0	33366.0	15528.0	3361.0	24087.0	16859.0	17910.0	7825.0	23884.0	26676.0	16358.0	24417.0
QinJ_2012__DOM022__bin.32	27674.0	24074.0	23900.0	25657.0	0.0	12882.0	16463.0	27776.0	27176.0	20584.0	28550.0	22132.0	29219.0	27255.0	28397.0	11112.0	11882.0	28597.0	22632.0	24528.0	25819.0	25900.0	25680.0	23073.0	14889.0	28099.0	9147.0	9426.0	27530.0	19083.0	28020.0	28595.0	11625.0	22049.0	21945.0	11029.0	12446.0	22463.0	25002.0	25572.0	19701.0	23808.0
HeQ_2017__SZAXPI029503-106__bin.14	4025.0	13595.0	9999.0	15180.0	12882.0	0.0	15151.0	14403.0	5060.0	13029.0	3901.0	9016.0	5036.0	12730.0	12696.0	11252.0	13204.0	14545.0	10887.0	8638.0	9191.0	11368.0	13074.0	9062.0	8784.0	2925.0	12230.0	2821.0	14279.0	3500.0	13347.0	14117.0	2523.0	9607.0	9761.0	11110.0	11478.0	10882.0	3373.0	10963.0	13255.0	15911.0
QinN_2014__LD-53__bin.41	16847.0	20128.0	16329.0	20227.0	16463.0	15151.0	0.0	20369.0	17569.0	19810.0	18374.0	14405.0	18283.0	18232.0	20913.0	14865.0	16012.0	21049.0	15091.0	13298.0	18109.0	18025.0	18507.0	15860.0	14912.0	17475.0	15063.0	12589.0	22663.0	16715.0	20988.0	21368.0	13430.0	15819.0	13673.0	15844.0	17558.0	14298.0	15869.0	18399.0	14212.0	20293.0
QinN_2014__LD-39__bin.12	23781.0	30622.0	5130.0	31965.0	27776.0	14403.0	20369.0	0.0	27820.0	3447.0	24721.0	4370.0	27805.0	5307.0	2706.0	3564.0	4951.0	4484.0	7459.0	3550.0	10071.0	3582.0	28026.0	6798.0	1853.0	24294.0	14478.0	10207.0	6935.0	20770.0	7408.0	3868.0	12442.0	25571.0	5790.0	4404.0	3674.0	24910.0	22072.0	6965.0	25376.0	29843.0
QinN_2014__LD-3__bin.24	4909.0	25780.0	20004.0	26307.0	27176.0	5060.0	17569.0	27820.0	0.0	20165.0	3818.0	18171.0	4526.0	24356.0	23544.0	11823.0	13414.0	25134.0	20486.0	20345.0	14753.0	21332.0	24166.0	20366.0	13896.0	2250.0	11525.0	1424.0	24476.0	3319.0	23265.0	24236.0	1693.0	19629.0	20060.0	10518.0	12475.0	22257.0	2182.0	20528.0	24023.0	27273.0
ZellerG_2014__CCIS07539127ST-4-0__bin.15	19455.0	25304.0	2462.0	26048.0	20584.0	13029.0	19810.0	3447.0	20165.0	0.0	20916.0	2990.0	21242.0	4777.0	1677.0	3994.0	2898.0	1683.0	5381.0	1748.0	6163.0	594.0	23529.0	3835.0	372.0	20338.0	14825.0	10637.0	4675.0	19552.0	5311.0	1673.0	12404.0	20051.0	2925.0	4324.0	2928.0	18160.0	18867.0	5366.0	19356.0	24706.0
QinN_2014__LD-44__bin.54	4617.0	28508.0	21486.0	29585.0	28550.0	3901.0	18374.0	24721.0	3818.0	20916.0	0.0	18257.0	6686.0	23958.0	24275.0	11805.0	12669.0	24368.0	21711.0	19471.0	15695.0	23979.0	25874.0	21254.0	13766.0	1776.0	14725.0	1556.0	25407.0	2392.0	24530.0	25763.0	1478.0	21765.0	19329.0	11188.0	13783.0	22244.0	3193.0	21890.0	23966.0	30830.0
YuJ_2015__SZAXPI017593-158__bin.24	17898.0	22624.0	3356.0	22767.0	22132.0	9016.0	14405.0	4370.0	18171.0	2990.0	18257.0	0.0	21102.0	3980.0	3007.0	3000.0	3490.0	3880.0	4586.0	2227.0	7485.0	2976.0	21186.0	4556.0	643.0	18119.0	9907.0	6288.0	4935.0	14016.0	3868.0	4507.0	8311.0	19204.0	2879.0	2748.0	2872.0	18493.0	17448.0	3798.0	19267.0	23820.0
CM_madagascar__A11_01_1FE__bin.25	5263.0	29915.0	22035.0	29216.0	29219.0	5036.0	18283.0	27805.0	4526.0	21242.0	6686.0	21102.0	0.0	24956.0	26553.0	12056.0	14899.0	29069.0	23119.0	22102.0	17842.0	24938.0	26489.0	21214.0	13980.0	1106.0	13900.0	1219.0	26849.0	4997.0	25911.0	28867.0	1963.0	21272.0	21747.0	11427.0	13959.0	25072.0	3136.0	22731.0	25746.0	32137.0
QinN_2014__LD-27__bin.7	23135.0	31531.0	3908.0	31268.0	27255.0	12730.0	18232.0	5307.0	24356.0	4777.0	23958.0	3980.0	24956.0	0.0	4491.0	3338.0	4522.0	4457.0	5574.0	3328.0	9283.0	1464.0	28616.0	5681.0	792.0	24843.0	15078.0	10527.0	5641.0	20070.0	5609.0	4614.0	12384.0	25003.0	3674.0	4097.0	4701.0	24031.0	22222.0	5358.0	24538.0	30876.0
QinN_2014__LD-22__bin.78	23851.0	31629.0	2812.0	31438.0	28397.0	12696.0	20913.0	2706.0	23544.0	1677.0	24275.0	3007.0	26553.0	4491.0	0.0	3226.0	2876.0	797.0	5760.0	1088.0	8316.0	1691.0	28696.0	4466.0	325.0	24618.0	14978.0	10768.0	4408.0	20045.0	5524.0	1049.0	12433.0	25208.0	3494.0	3652.0	2854.0	24756.0	22339.0	6066.0	26101.0	31161.0
QinN_2014__LD-60__bin.38	10507.0	16191.0	3273.0	15488.0	11112.0	11252.0	14865.0	3564.0	11823.0	3994.0	11805.0	3000.0	12056.0	3338.0	3226.0	0.0	4136.0	3418.0	4106.0	2847.0	5452.0	394.0	14181.0	4459.0	241.0	11754.0	14662.0	10586.0	4980.0	12096.0	5219.0	3366.0	12088.0	11103.0	2533.0	4400.0	4966.0	11019.0	11631.0	5148.0	11762.0	16404.0
QinN_2014__LV-20__bin.9	12085.0	17850.0	3046.0	18770.0	11882.0	13204.0	16012.0	4951.0	13414.0	2898.0	12669.0	3490.0	14899.0	4522.0	2876.0	4136.0	0.0	3601.0	5455.0	2656.0	5694.0	650.0	14848.0	2409.0	368.0	12649.0	14261.0	11483.0	5372.0	14441.0	5396.0	3086.0	13313.0	12862.0	2822.0	4566.0	4932.0	14070.0	12412.0	5234.0	13140.0	18040.0
QinN_2014__LV-12__bin.14	24642.0	32245.0	2724.0	34277.0	28597.0	14545.0	21049.0	4484.0	25134.0	1683.0	24368.0	3880.0	29069.0	4457.0	797.0	3418.0	3601.0	0.0	7834.0	3040.0	7933.0	2407.0	28998.0	4979.0	531.0	24496.0	17025.0	10398.0	5862.0	21926.0	5653.0	1833.0	12663.0	27104.0	4161.0	3835.0	2436.0	25718.0	22519.0	6070.0	27068.0	32226.0
