	XieH_2016__YSZC12003_35561__bin.47	LiJ_2017__H2M614904__bin.16	CosteaPI_2017__SID713A087-11-0-0__bin.36	CosteaPI_2017__SID713A028-11-0-0__bin.59	ZeeviD_2015__PNP_Main_325__bin.53	BritoIL_2016__W3.22.ST__bin.120	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.6	KarlssonFH_2013__S577__bin.19	SchirmerM_2016__G88966__bin.7	LiuW_2016__SRR3992982__bin.9	ZeeviD_2015__PNP_Main_531__bin.33	CosteaPI_2017__mickey1-11-0-0__bin.41	LiuW_2016__SRR3992961__bin.76	ZeeviD_2015__PNP_Main_127__bin.13	ZeeviD_2015__PNP_Main_226__bin.36	LiJ_2014__MH0392__bin.10	XieH_2016__YSZC12003_35520__bin.42	CosteaPI_2017__mickey1-11-30-0__bin.16	XieH_2016__YSZC12003_36058__bin.60	XieH_2016__YSZC12003_36588__bin.70	CosteaPI_2017__SID713B063-11-0-0__bin.57	ZeeviD_2015__PNP_Main_82__bin.26	LeChatelierE_2013__MH0250__bin.95	LiJ_2014__MH0262__bin.26	CosteaPI_2017__SID713A014-11-90-0__bin.68	LiJ_2014__MH0309__bin.67	ZeeviD_2015__PNP_Main_456__bin.43	ZeeviD_2015__PNP_Main_393__bin.68	FengQ_2015__SID31223__bin.2	CosteaPI_2017__SID713A076-11-90-0__bin.51	BackhedF_2015__SID566_M__bin.4	XieH_2016__YSZC12003_37316__bin.86	XieH_2016__YSZC12003_35515__bin.33	FengQ_2015__SID530295__bin.12	LiJ_2014__MH0338__bin.65	ZeeviD_2015__PNP_Main_172__bin.64	Obregon-TitoAJ_2015__SM20__bin.14	FengQ_2015__SID530451__bin.2	KarlssonFH_2013__S126__bin.31	XieH_2016__YSZC12003_37798__bin.92	ZeeviD_2015__PNP_Main_45__bin.37	LeChatelierE_2013__MH0412__bin.12	LeChatelierE_2013__MH0415__bin.49	LiuW_2016__SRR3993036__bin.1
XieH_2016__YSZC12003_35561__bin.47	0.0	19309.0	13487.0	15957.0	17901.0	19230.0	14417.0	20146.0	19119.0	18553.0	17239.0	19149.0	17895.0	14803.0	24193.0	16976.0	23072.0	19838.0	22337.0	13571.0	17596.0	18006.0	16659.0	14193.0	14978.0	23405.0	15778.0	19265.0	15768.0	19985.0	18298.0	20030.0	19358.0	19012.0	22105.0	19081.0	30702.0	23354.0	14794.0	24133.0	18415.0	13739.0	14868.0	17002.0
LiJ_2017__H2M614904__bin.16	19309.0	0.0	7683.0	14390.0	16567.0	17627.0	15112.0	19503.0	4429.0	18808.0	16806.0	17916.0	18300.0	14732.0	2835.0	2786.0	5388.0	18962.0	5423.0	12503.0	17681.0	17149.0	15773.0	14132.0	14261.0	3682.0	15834.0	19004.0	15251.0	18766.0	10231.0	11684.0	18613.0	2588.0	5706.0	18199.0	23841.0	3091.0	13653.0	1852.0	18185.0	13217.0	591.0	17728.0
CosteaPI_2017__SID713A087-11-0-0__bin.36	13487.0	7683.0	0.0	12438.0	14072.0	13780.0	10900.0	13616.0	7146.0	13494.0	14662.0	12947.0	13001.0	13198.0	9413.0	7117.0	7895.0	13731.0	8411.0	10005.0	12634.0	14154.0	13610.0	12135.0	12955.0	9259.0	12162.0	13473.0	11891.0	13293.0	5822.0	5044.0	13618.0	8646.0	8139.0	13104.0	20558.0	9214.0	12600.0	9258.0	13132.0	10696.0	7749.0	12379.0
CosteaPI_2017__SID713A028-11-0-0__bin.59	15957.0	14390.0	12438.0	0.0	16082.0	15921.0	10421.0	16462.0	15203.0	14847.0	15041.0	15108.0	14256.0	12659.0	18859.0	15252.0	17278.0	16003.0	16379.0	12070.0	13858.0	15300.0	15932.0	13412.0	15467.0	18662.0	13157.0	15445.0	12080.0	15841.0	15830.0	16326.0	15817.0	13495.0	17342.0	15951.0	25900.0	18190.0	15221.0	18780.0	15786.0	11703.0	14971.0	13548.0
ZeeviD_2015__PNP_Main_325__bin.53	17901.0	16567.0	14072.0	16082.0	0.0	9887.0	12919.0	9984.0	16963.0	17066.0	16846.0	17201.0	11039.0	10920.0	21037.0	15339.0	19653.0	18437.0	19761.0	14240.0	15774.0	17108.0	9591.0	14887.0	15451.0	20051.0	14093.0	17405.0	14901.0	17802.0	16780.0	18298.0	10668.0	16998.0	19134.0	16315.0	27222.0	20676.0	15432.0	20757.0	15868.0	13731.0	15556.0	15547.0
BritoIL_2016__W3.22.ST__bin.120	19230.0	17627.0	13780.0	15921.0	9887.0	0.0	12967.0	8784.0	17913.0	17468.0	17206.0	17480.0	9666.0	10391.0	22254.0	16100.0	21687.0	18553.0	20710.0	13304.0	16247.0	17041.0	8317.0	14793.0	15296.0	21366.0	14830.0	17765.0	14105.0	18163.0	17698.0	19183.0	8708.0	17863.0	20284.0	16865.0	28293.0	21458.0	15187.0	21763.0	16964.0	13289.0	15566.0	15851.0
VogtmannE_2016__MMRS51307502ST-27-0-0__bin.6	14417.0	15112.0	10900.0	10421.0	12919.0	12967.0	0.0	13945.0	14548.0	14190.0	12992.0	13366.0	14014.0	11024.0	16851.0	12032.0	16294.0	13706.0	16463.0	10086.0	14065.0	13209.0	11867.0	10511.0	10720.0	16318.0	11353.0	12986.0	12386.0	13638.0	13767.0	14446.0	13950.0	15139.0	15649.0	13268.0	20647.0	16623.0	10597.0	17155.0	12989.0	10553.0	11237.0	13945.0
KarlssonFH_2013__S577__bin.19	20146.0	19503.0	13616.0	16462.0	9984.0	8784.0	13945.0	0.0	19290.0	18854.0	17583.0	18591.0	10725.0	10779.0	24127.0	17353.0	23266.0	20265.0	22343.0	13491.0	17602.0	17764.0	7906.0	15423.0	15594.0	23558.0	15783.0	19135.0	15353.0	19702.0	18618.0	20211.0	9202.0	19280.0	21885.0	18058.0	30495.0	23724.0	15029.0	23967.0	18236.0	14034.0	15685.0	17148.0
SchirmerM_2016__G88966__bin.7	19119.0	4429.0	7146.0	15203.0	16963.0	17913.0	14548.0	19290.0	0.0	18019.0	16970.0	18313.0	17759.0	14983.0	5273.0	4641.0	537.0	19036.0	766.0	12956.0	16927.0	17357.0	16512.0	14412.0	15182.0	6288.0	16307.0	18705.0	14885.0	18819.0	9414.0	10011.0	18321.0	5051.0	1302.0	17918.0	24381.0	5449.0	13889.0	5810.0	18306.0	13901.0	3204.0	16729.0
LiuW_2016__SRR3992982__bin.9	18553.0	18808.0	13494.0	14847.0	17066.0	17468.0	14190.0	18854.0	18019.0	0.0	16973.0	17713.0	17205.0	14144.0	23388.0	16387.0	21421.0	18194.0	21699.0	13061.0	17294.0	17349.0	16350.0	14363.0	1502.0	21996.0	15649.0	17976.0	15216.0	18477.0	18039.0	18879.0	18316.0	18908.0	20799.0	17160.0	28372.0	22360.0	14996.0	22839.0	16873.0	13635.0	15024.0	1287.0
