	HMP_2012__SRS022143__bin.6	HMP_2012__SRS015057__bin.68	HMP_2012__SRS051791__bin.48	HMP_2012__SRS015893__bin.63	HMP_2012__SRS016342__bin.32	HMP_2012__SRS018591__bin.18	Castro-NallarE_2015__ES_116__bin.6	HMP_2012__SRS064423__bin.23	HMP_2012__SRS047824__bin.33	HMP_2012__SRS023352__bin.16	HMP_2012__SRS019027__bin.31	Castro-NallarE_2015__ES_114__bin.10	HMP_2012__SRS020334__bin.42	HMP_2012__SRS015209__bin.39	HMP_2012__SRS048411__bin.61	HMP_2012__SRS053854__bin.49	HMP_2012__SRS014470__bin.76	HMP_2012__SRS019219__bin.12	HMP_2012__SRS045715__bin.22	HMP_2012__SRS018791__bin.9	HMP_2012__SRS053603__bin.33	HMP_2012__SRS013234__bin.31	HMP_2012__SRS024580__bin.33	HMP_2012__SRS065278__bin.62	HMP_2012__SRS015038__bin.5	HMP_2012__SRS019122__bin.29	HMP_2012__SRS064774__bin.72	HMP_2012__SRS017120__bin.38	CM_cf__CF_TNFC017SA_t1M16__bin.13	HMP_2012__SRS015941__bin.23	HMP_2012__SRS044373__bin.19	HMP_2012__SRS057791__bin.78	HMP_2012__SRS024637__bin.6	HMP_2012__SRS017076__bin.33	Castro-NallarE_2015__ES_080__bin.8	HMP_2012__SRS024318__bin.42	HMP_2012__SRS056323__bin.31	HMP_2012__SRS015272__bin.10	HMP_2012__SRS047210__bin.52	HMP_2012__SRS016319__bin.59	HMP_2012__SRS047219__bin.38	HMP_2012__SRS019026__bin.7	HMP_2012__SRS020220__bin.48	QinN_2014__LD-57__bin.28	HMP_2012__SRS048791__bin.19	HMP_2012__SRS019894__bin.4	HMP_2012__SRS018739__bin.9	HMP_2012__SRS014684__bin.47	HMP_2012__SRS042643__bin.19
HMP_2012__SRS022143__bin.6	1495066.0	932587.0	1286559.0	1198529.0	1038887.0	1298592.0	1186338.0	1037853.0	1023348.0	1001690.0	1057070.0	675634.0	1025647.0	1272126.0	1128847.0	1150531.0	963990.0	1205541.0	1075048.0	1278490.0	1275870.0	1074661.0	1043016.0	1003058.0	1046706.0	958220.0	1087662.0	1226291.0	1101682.0	1078916.0	1003866.0	1032824.0	1056578.0	1187168.0	1208522.0	1199566.0	1235254.0	1258277.0	1099783.0	1231883.0	1256952.0	1147687.0	849387.0	1211777.0	1333139.0	1191772.0	1228405.0	1147107.0	1030266.0
HMP_2012__SRS015057__bin.68	932587.0	1600137.0	1478966.0	1435490.0	1176373.0	1474897.0	1335454.0	1163067.0	1226161.0	1192717.0	1280811.0	788076.0	1212498.0	1483574.0	1377409.0	1378445.0	1238391.0	1407647.0	1223891.0	1491746.0	1457155.0	1260859.0	1204076.0	1193773.0	1216643.0	1163567.0	1200778.0	1417544.0	1281041.0	1246320.0	1191029.0	1204335.0	1217033.0	1338510.0	1463186.0	1453786.0	1478383.0	1431486.0	1301407.0	1470375.0	1438503.0	1371666.0	989215.0	1508539.0	1386921.0	1401559.0	1402313.0	1355997.0	1150417.0
HMP_2012__SRS051791__bin.48	1286559.0	1478966.0	2801059.0	2115058.0	1563962.0	2624164.0	2019146.0	1627728.0	1625881.0	1548286.0	1836732.0	1034881.0	1719786.0	2265104.0	1881737.0	1959188.0	1572464.0	2090542.0	1721583.0	2176490.0	2106043.0	1846779.0	1765622.0	1603953.0	1647455.0	1516634.0	1763523.0	2053978.0	1879157.0	1735417.0	1616923.0	1653575.0	1825795.0	2010788.0	2136289.0	2050230.0	2180940.0	2146603.0	1889637.0	2228514.0	2117960.0	1909909.0	1293820.0	2191485.0	1975313.0	2049036.0	2059086.0	2002207.0	1603516.0
HMP_2012__SRS015893__bin.63	1198529.0	1435490.0	2115058.0	2579275.0	1515401.0	2063184.0	1891856.0	1542490.0	1612450.0	1525439.0	1765011.0	995745.0	1644101.0	2156747.0	1802121.0	1959976.0	1535543.0	1969521.0	1679830.0	2116577.0	2053516.0	1741857.0	1694355.0	1567209.0	1578215.0	1477852.0	1691797.0	1926945.0	1797731.0	1700461.0	1570833.0	1640309.0	1753077.0	1891444.0	2022907.0	2041807.0	2126012.0	2019606.0	1754141.0	2080320.0	2110069.0	1840572.0	1253811.0	2060661.0	1870828.0	1980873.0	2074995.0	1916766.0	1558724.0
HMP_2012__SRS016342__bin.32	1038887.0	1176373.0	1563962.0	1515401.0	1785371.0	1553033.0	1465447.0	1221452.0	1254535.0	1221392.0	1347569.0	829216.0	1284038.0	1597152.0	1417512.0	1479230.0	1219609.0	1508231.0	1309422.0	1608233.0	1584454.0	1317505.0	1308970.0	1231845.0	1293008.0	1173432.0	1307719.0	1495085.0	1364692.0	1333651.0	1252802.0	1277036.0	1317417.0	1420947.0	1512191.0	1536215.0	1538345.0	1515830.0	1354173.0	1549017.0	1522710.0	1419662.0	1023540.0	1545136.0	1529855.0	1497240.0	1498625.0	1422269.0	1238707.0
HMP_2012__SRS018591__bin.18	1298592.0	1474897.0	2624164.0	2063184.0	1553033.0	2677549.0	1970161.0	1614654.0	1626995.0	1534650.0	1791202.0	1008260.0	1685844.0	2219814.0	1872646.0	1917118.0	1549689.0	2078414.0	1680055.0	2145612.0	2067637.0	1802329.0	1736075.0	1594765.0	1608895.0	1523394.0	1745622.0	2051637.0	1850151.0	1709893.0	1601469.0	1609229.0	1796507.0	1985655.0	2110688.0	2019751.0	2142291.0	2113000.0	1847421.0	2199081.0	2098656.0	1873944.0	1288024.0	2150429.0	2002710.0	2007838.0	2031055.0	1961360.0	1592354.0
Castro-NallarE_2015__ES_116__bin.6	1186338.0	1335454.0	2019146.0	1891856.0	1465447.0	1970161.0	2536057.0	1477907.0	1512227.0	1427119.0	1654725.0	955326.0	1532460.0	2001443.0	1737483.0	1812418.0	1424605.0	1930903.0	1563196.0	2048422.0	1979326.0	1767783.0	1664083.0	1480226.0	1510666.0	1371304.0	1565792.0	1826118.0	1699460.0	1608809.0	1452526.0	1569107.0	1625900.0	1790017.0	1841664.0	1878960.0	1988799.0	1962976.0	1725018.0	1987160.0	1956446.0	1739959.0	1174232.0	1893599.0	1790860.0	1853332.0	1892920.0	1765090.0	1478204.0
HMP_2012__SRS064423__bin.23	1037853.0	1163067.0	1627728.0	1542490.0	1221452.0	1614654.0	1477907.0	1908305.0	1241284.0	1218151.0	1380531.0	796157.0	1266148.0	1610691.0	1405102.0	1464381.0	1198040.0	1549576.0	1286303.0	1576832.0	1582943.0	1403903.0	1371858.0	1398996.0	1417677.0	1185888.0	1344951.0	1498361.0	1398243.0	1346709.0	1277650.0	1269341.0	1296323.0	1444591.0	1545381.0	1536376.0	1590475.0	1563385.0	1392281.0	1579012.0	1564673.0	1449435.0	1018468.0	1547318.0	1483674.0	1498932.0	1498760.0	1452325.0	1181539.0
HMP_2012__SRS047824__bin.33	1023348.0	1226161.0	1625881.0	1612450.0	1254535.0	1626995.0	1512227.0	1241284.0	1790630.0	1325126.0	1382683.0	855289.0	1324780.0	1638619.0	1573217.0	1522306.0	1253648.0	1601657.0	1357276.0	1648993.0	1641441.0	1372676.0	1353040.0	1292538.0	1311937.0	1363272.0	1319153.0	1567086.0	1404378.0	1366828.0	1308387.0	1364222.0	1356010.0	1490923.0	1595394.0	1604853.0	1646830.0	1623723.0	1432306.0	1653350.0	1655037.0	1483144.0	1070440.0	1622967.0	1585334.0	1544766.0	1628381.0	1484016.0	1292246.0
HMP_2012__SRS023352__bin.16	1001690.0	1192717.0	1548286.0	1525439.0	1221392.0	1534650.0	1427119.0	1218151.0	1325126.0	1669747.0	1353790.0	850446.0	1282853.0	1573186.0	1472077.0	1450529.0	1252323.0	1503413.0	1342480.0	1573157.0	1567661.0	1322084.0	1328279.0	1244643.0	1294374.0	1247207.0	1268066.0	1489890.0	1387002.0	1314931.0	1264432.0	1306784.0	1305043.0	1430967.0	1517065.0	1535267.0	1555238.0	1544380.0	1346399.0	1567547.0	1550529.0	1449560.0	1066722.0	1545825.0	1465770.0	1464130.0	1511497.0	1430386.0	1220808.0
