	LiuW_2016__SRR3993041__bin.29	LiuW_2016__SRR3992957__bin.14	ZeeviD_2015__PNP_Main_741__bin.10	ZeeviD_2015__PNP_Main_740__bin.22	XieH_2016__YSZC12003_37315__bin.39	LiSS_2016__FAT_017-22-2-0__bin.26	BackhedF_2015__SID18_B__bin.7	ZeeviD_2015__PNP_Main_247__bin.9	ZeeviD_2015__PNP_Main_287__bin.8	LiSS_2016__FAT_017-22-84-0__bin.21	LiuW_2016__SRR3993005__bin.74	LiuW_2016__SRR3992997__bin.32	SchirmerM_2016__G88877__bin.15	ZeeviD_2015__PNP_Main_288__bin.1	ZeeviD_2015__PNP_Main_188__bin.8	LiuW_2016__SRR3992958__bin.41	ZeeviD_2015__PNP_Main_456__bin.26	ZellerG_2014__CCIS20795251ST-4-0__bin.18	ZeeviD_2015__PNP_Main_428__bin.28	SchirmerM_2016__G89265__bin.19	SchirmerM_2016__G89162__bin.18	ZeeviD_2015__PNP_DietIntervention_8__bin.58	ZeeviD_2015__PNP_Main_392__bin.5	SchirmerM_2016__G88983__bin.24	BackhedF_2015__SID179_M__bin.8	ZeeviD_2015__PNP_Main_736__bin.25	ZeeviD_2015__PNP_Main_7__bin.37	LiuW_2016__SRR3992960__bin.16	SchirmerM_2016__G88710__bin.17	LiuW_2016__SRR3992983__bin.9	SchirmerM_2016__G89030__bin.5	LiuW_2016__SRR3992969__bin.30	LiuW_2016__SRR3993059__bin.61	SchirmerM_2016__G88811__bin.13	ZeeviD_2015__PNP_Main_116__bin.60	ZeeviD_2015__PNP_Main_72__bin.31	ZeeviD_2015__PNP_Main_578__bin.20	KarlssonFH_2013__S530__bin.20	ZeeviD_2015__PNP_Main_192__bin.25	LiuW_2016__SRR3993022__bin.70
LiuW_2016__SRR3993041__bin.29	1.0	0.8273642352627476	0.6546531141041135	0.6356517026203747	0.8796876766166125	0.8192286400774432	0.9271194718094525	0.5659020888220343	0.7613172302457488	0.5073856538763633	0.7666718836496855	0.8470097992331034	0.6487289400539668	0.6236801757543612	0.5998501566544067	0.9132336020079588	0.7332527599289331	0.5893219950902392	0.7969724108548026	0.7899802044477678	0.6303977659719384	0.621153561895156	0.8005866207572161	0.6067517904395887	0.6247199494532312	0.8580524132893947	0.8268084816550589	0.86952687760668	0.4866800279398424	0.9414712471777572	0.7179358427021654	0.7585761404179963	0.4781053366837958	0.47286734081680565	0.5178080266182068	0.7286907981114522	0.7289704863677336	0.7110356580789329	0.8624643868450875	0.8729758830468339
LiuW_2016__SRR3992957__bin.14	0.7487991102431552	1.0	0.6427535770940075	0.6320132781519708	0.9005456711899907	0.7773443827213522	0.9479464703185957	0.5686056432145876	0.7573950217422526	0.4855817814941331	0.7258010467496135	0.8044712117625226	0.6404524591927004	0.6145729160587077	0.5943002575232259	0.925238259806638	0.7398477681648306	0.5741371135758088	0.8057021032702892	0.7779870431782576	0.5903341244177529	0.6173829161177276	0.8104932025541163	0.6035565354305923	0.6229720947648749	0.8531278218859986	0.8259583674063601	0.8656878991626397	0.4869307126776579	0.9325954104862514	0.6830674052452897	0.7272503116575328	0.4805723088101535	0.465526184806851	0.5253441020492343	0.7296642230267865	0.7280674085241696	0.6869974706720589	0.8711151011436077	0.8238966077364515
ZeeviD_2015__PNP_Main_741__bin.10	0.7252216420576089	0.7867476310688185	1.0	0.6525102041635396	0.8940332232313787	0.7897304174375811	0.9265492870129193	0.48276349217179115	0.7390776319116401	0.37659604355381815	0.6862752495354446	0.7632906972544078	0.6648804196449714	0.7181435445872782	0.6950951786581475	0.9001978624434607	0.7747723377869106	0.6306345645220198	0.7770872882410309	0.8036562410951867	0.6282602152004912	0.618529235881732	0.8338236415519158	0.6373201478550187	0.6635343128795206	0.8566424388853883	0.8176077507495093	0.819307039969819	0.3981136846160947	0.8815169186436188	0.7015881170157688	0.6883815012662393	0.3554749300658605	0.4794066534758371	0.6444399850700144	0.7436585688886391	0.8093256221830689	0.787003688348591	0.8677179195948035	0.7935399718256724
ZeeviD_2015__PNP_Main_740__bin.22	0.5833120005212964	0.640824818493786	0.5405171605572818	1.0	0.7265122414878755	0.6277265827228824	0.7550625256409319	0.5033122930855757	0.6639839408807382	0.4050505903481714	0.5774700237974445	0.6551870649353068	0.5097580160950249	0.5330607609463923	0.4985727517598739	0.7396197861222134	0.5964694140668896	0.5405783330884215	0.708437088373695	0.6735507928159512	0.46324295535136634	0.6140352393674494	0.6639254280248653	0.6554709852700534	0.49779612658192496	0.7029461887850803	0.7418459343206492	0.680799072837202	0.4184008303506183	0.6946692793543372	0.5794215605245677	0.6099945277181383	0.3606619399804381	0.3647299133012355	0.4465175874351621	0.7255401301778059	0.6322693080788301	0.6263176197502166	0.7001389015408164	0.6533897893736664
XieH_2016__YSZC12003_37315__bin.39	0.6710279340724937	0.7590130771696716	0.6156108022064269	0.6039115439461437	1.0	0.7573643368006809	0.9228397245282601	0.5336706719874423	0.7347036910117949	0.4711826934768911	0.6521832130263202	0.7505665299625262	0.5985297856582249	0.5734057017786278	0.5500735107170888	0.885421664105767	0.7163022451167881	0.5299089130362691	0.7891469440544754	0.73414821529244	0.5465284149320716	0.5920724495097444	0.7853608657683252	0.5559217580668339	0.6107662801366304	0.8325271105313775	0.7782695687739739	0.809930026640726	0.46582249096315625	0.8826697102682864	0.6415396349888904	0.6788383095851342	0.470834484816997	0.42893392878856546	0.5119700872179787	0.6877115505786896	0.6931850590849298	0.6327189016503985	0.8481622320727812	0.7772967953749046
LiSS_2016__FAT_017-22-2-0__bin.26	0.7272039646117877	0.7624230184176929	0.632805811848169	0.6072114255943862	0.8813407900280109	1.0	0.9368794440281588	0.5398773440188325	0.7627793446555888	0.5197069634765606	0.7070605979720278	0.805948204057874	0.6324790722654051	0.5966747172384073	0.55594482732006	0.9074580882518467	0.7224829635537432	0.5490884415872598	0.7960225244491898	0.7617586050535293	0.6108190679560446	0.6180369254319812	0.7969937385633106	0.5581143009670334	0.647305202427392	0.8573235011304032	0.7953838386112282	0.8445124794581783	0.4928879469755685	0.9015774189502527	0.7023871928374567	0.7198008689471974	0.47167367205765537	0.444644976218118	0.5257400683709009	0.7004222530237882	0.6955404549269821	0.6739196850950794	0.85974703409862	0.8500046631141241
BackhedF_2015__SID18_B__bin.7	0.642274435316523	0.7256048405313179	0.5794206140214379	0.5700148279922779	0.8381063338717725	0.7311686003961494	1.0	0.5350977673681769	0.7127555871011526	0.46367292480892774	0.6245792293660506	0.717807846487613	0.5671285397188404	0.5443494507016943	0.5230150117108009	0.8935110216054991	0.6756067981877121	0.48938046700646226	0.7665524867757801	0.7036595123528119	0.5206196434254369	0.5707030195093009	0.7720575169487867	0.5203967717744097	0.5850747272583073	0.8045726837662096	0.7407053988147646	0.7917324656732482	0.47907265314645575	0.862387296717462	0.6159585137472655	0.6546001411520457	0.48600024696588356	0.4065736093863099	0.49641899468822565	0.6829163859855896	0.6700410304701688	0.6179774096491378	0.8230700268751086	0.7533508551946664
ZeeviD_2015__PNP_Main_247__bin.9	0.7021503075592509	0.7795273962380855	0.5407091214108348	0.680525862487481	0.8680605876440476	0.7546277732926012	0.9583783599117509	1.0	0.8464370416054575	0.6979545197095043	0.6816388655639725	0.7957621373974427	0.5619595686798416	0.45553291989794176	0.4154809917414812	0.9231533408971991	0.6885263587537961	0.5356799298034893	0.9039230211830198	0.7434923483286073	0.4957286933631573	0.6965232588873925	0.7437962215433523	0.567282744136955	0.5521771886513244	0.8237921938747071	0.8579194933768225	0.9045424550438458	0.7149255690430512	0.9133664657027832	0.6225157465661428	0.7789304382067525	0.7131517765794664	0.4145091368742055	0.29840529494581525	0.7646501951801032	0.5980377701819464	0.5636839143185418	0.8314123991060014	0.8090120884001344
ZeeviD_2015__PNP_Main_287__bin.8	0.666783434680354	0.7329477450446575	0.5843185634488195	0.6337165101086831	0.843566399750218	0.7526047516966266	0.9011038384946064	0.5974822531657458	1.0	0.5256940398813535	0.6542092965107941	0.7394017162359577	0.5681753855565582	0.5396738364765507	0.5038698442797	0.9043244780025562	0.7041130263603791	0.5819597226505832	0.8300682712114807	0.689664253884123	0.5185286722588391	0.6199988069355123	0.7394772346795924	0.542857668675838	0.5667824193063219	0.8006186166290343	0.8105362824872094	0.833588446058889	0.5431863960187184	0.8792866235894233	0.6421085764836836	0.6868979942555214	0.5302061082363334	0.4269476460456893	0.440003452271709	0.698371720817833	0.6204316101166791	0.6110863613690796	0.8170733874273849	0.7731584605406613
LiSS_2016__FAT_017-22-84-0__bin.21	0.7018619844261645	0.7421767486987558	0.47025104766066717	0.6105779398395709	0.8544581081067536	0.8098805351112911	0.9258493794220501	0.7781294759241013	0.8302854869053692	1.0	0.6768273798009219	0.8043227466400187	0.5358920876937834	0.3613765273895233	0.3084236828943399	0.8869167955465526	0.6513617834637501	0.45170537406572525	0.8693353406187638	0.66966289431983	0.47638917148358373	0.6622678783881711	0.6863813635174537	0.5049799588853953	0.5506289973228399	0.8100759848411194	0.7821707749531672	0.8727712466385152	0.7475801819987792	0.9039760488884925	0.6307864395975139	0.7390906475800817	0.7474218176023029	0.3852735143565344	0.21496463362196414	0.7017918229846878	0.5087997482206558	0.47881375043976193	0.7975752205825604	0.8418821708751838
