	LiSS_2016__FAT_010-22-42-0__bin.4	HeQ_2017__RSZAXPI003099-133__bin.4	VincentC_2016__MM021.4__bin.15	ZellerG_2014__CCIS71578391ST-4-0__bin.47	NielsenHB_2014__V1_UC13_3__bin.36	RaymondF_2016__P1E0__bin.32	ZellerG_2014__CCIS23164343ST-4-0__bin.86	ZellerG_2014__CCIS80834637ST-4-0__bin.35	LiSS_2016__FAT_010-22-14-0__bin.52	XieH_2016__YSZC12003_35705__bin.12	ZellerG_2014__CCIS38765456ST-20-0__bin.18	NielsenHB_2014__V1_UC55_0__bin.105	ZeeviD_2015__PNP_Main_144__bin.23	FengQ_2015__SID31416__bin.9	NielsenHB_2014__V1_UC13_0__bin.4	ZellerG_2014__CCIS11354283ST-4-0__bin.12	FengQ_2015__SID31865__bin.46	HeQ_2017__SZAXPI029501-104__bin.44	LiJ_2014__V1.FI10__bin.10	HeQ_2017__RSZAXPI003105-143__bin.39	YuJ_2015__SZAXPI003415-12__bin.14	XieH_2016__YSZC12003_37322__bin.70	LiSS_2016__FAT_010-22-2-0__bin.52	CosteaPI_2017__halbarad-11-0-0__bin.8	XieH_2016__YSZC12003_37285__bin.65	ZellerG_2014__CCIS81710917ST-20-0__bin.52	LiJ_2014__MH0370__bin.30	FerrettiP_2018__CA_C10024IS2415FE_t3M15__bin.7	XieH_2016__YSZC12003_36699__bin.28	NielsenHB_2014__O2_UC19_2__bin.43	RaymondF_2016__P1E7__bin.27
LiSS_2016__FAT_010-22-42-0__bin.4	0.0	38013.0	33721.0	48492.0	50066.0	48932.0	49362.0	38956.0	2938.0	41377.0	32830.0	50664.0	34402.0	41720.0	49774.0	50909.0	39320.0	39988.0	50097.0	35403.0	36358.0	39211.0	3323.0	43633.0	41594.0	50016.0	47667.0	52477.0	48239.0	48282.0	49857.0
HeQ_2017__RSZAXPI003099-133__bin.4	38013.0	0.0	50798.0	71077.0	75312.0	72158.0	72493.0	55051.0	57899.0	60799.0	46805.0	73318.0	49597.0	62479.0	74147.0	73479.0	54706.0	49195.0	74334.0	44038.0	45861.0	54403.0	57858.0	63976.0	61653.0	76773.0	67787.0	76754.0	72331.0	68552.0	73597.0
VincentC_2016__MM021.4__bin.15	33721.0	50798.0	0.0	38549.0	40565.0	38198.0	38681.0	29523.0	51172.0	32658.0	25621.0	39469.0	38246.0	32934.0	39733.0	40139.0	31040.0	51411.0	40974.0	44610.0	47078.0	29832.0	51673.0	32487.0	33404.0	39199.0	34541.0	40892.0	39796.0	38430.0	38933.0
ZellerG_2014__CCIS71578391ST-4-0__bin.47	48492.0	71077.0	38549.0	0.0	48117.0	45745.0	46222.0	33807.0	73210.0	39274.0	28236.0	47725.0	54639.0	37662.0	47492.0	46626.0	38237.0	72681.0	49268.0	63566.0	65956.0	36113.0	72686.0	39533.0	39256.0	44073.0	40145.0	46809.0	48736.0	46612.0	46170.0
NielsenHB_2014__V1_UC13_3__bin.36	50066.0	75312.0	40565.0	48117.0	0.0	49992.0	49717.0	36602.0	76086.0	41905.0	31465.0	49266.0	56450.0	41587.0	1232.0	51142.0	39490.0	76956.0	49802.0	66031.0	69825.0	37751.0	76560.0	41930.0	41698.0	50444.0	44602.0	51295.0	50205.0	47235.0	51000.0
RaymondF_2016__P1E0__bin.32	48932.0	72158.0	38198.0	45745.0	49992.0	0.0	47654.0	36039.0	74339.0	41100.0	28977.0	48529.0	54311.0	40368.0	49127.0	47564.0	39187.0	74559.0	50338.0	64325.0	67908.0	36901.0	74407.0	39471.0	41982.0	45433.0	40921.0	49829.0	51253.0	46836.0	203.0
ZellerG_2014__CCIS23164343ST-4-0__bin.86	49362.0	72493.0	38681.0	46222.0	49717.0	47654.0	0.0	34206.0	74632.0	39301.0	29534.0	47955.0	55653.0	40281.0	48927.0	49027.0	39034.0	76573.0	50208.0	64829.0	68150.0	36686.0	74460.0	39857.0	40953.0	47220.0	41364.0	48047.0	49099.0	46327.0	48315.0
ZellerG_2014__CCIS80834637ST-4-0__bin.35	38956.0	55051.0	29523.0	33807.0	36602.0	36039.0	34206.0	0.0	57582.0	30494.0	23586.0	18531.0	42476.0	30444.0	36742.0	34617.0	30255.0	55377.0	38552.0	50078.0	49458.0	28524.0	57738.0	30588.0	31037.0	32199.0	31692.0	8056.0	37096.0	35822.0	36935.0
LiSS_2016__FAT_010-22-14-0__bin.52	2938.0	57899.0	51172.0	73210.0	76086.0	74339.0	74632.0	57582.0	0.0	61700.0	47461.0	75959.0	50471.0	63089.0	75503.0	76926.0	55938.0	59009.0	75532.0	51545.0	54009.0	57832.0	1494.0	64634.0	64188.0	76651.0	70208.0	80297.0	72376.0	70885.0	75277.0
XieH_2016__YSZC12003_35705__bin.12	41377.0	60799.0	32658.0	39274.0	41905.0	41100.0	39301.0	30494.0	61700.0	0.0	26505.0	41483.0	47431.0	34829.0	41092.0	42432.0	33397.0	63062.0	42849.0	55358.0	56388.0	32499.0	61930.0	35476.0	34669.0	41552.0	35223.0	42511.0	42254.0	39784.0	41847.0
ZellerG_2014__CCIS38765456ST-20-0__bin.18	32830.0	46805.0	25621.0	28236.0	31465.0	28977.0	29534.0	23586.0	47461.0	26505.0	0.0	28807.0	36907.0	26628.0	31026.0	29360.0	25449.0	48740.0	32017.0	42273.0	43269.0	23990.0	47461.0	25578.0	26881.0	27588.0	25230.0	29388.0	32484.0	29892.0	29069.0
NielsenHB_2014__V1_UC55_0__bin.105	50664.0	73318.0	39469.0	47725.0	49266.0	48529.0	47955.0	18531.0	75959.0	41483.0	28807.0	0.0	55544.0	41237.0	48996.0	48154.0	39394.0	75019.0	52278.0	66403.0	67727.0	38898.0	76342.0	40408.0	42313.0	46415.0	43171.0	31642.0	50969.0	48065.0	49943.0
ZeeviD_2015__PNP_Main_144__bin.23	34402.0	49597.0	38246.0	54639.0	56450.0	54311.0	55653.0	42476.0	50471.0	47431.0	36907.0	55544.0	0.0	48395.0	56268.0	56656.0	41882.0	48228.0	55867.0	43706.0	43581.0	43858.0	50317.0	50117.0	47723.0	57532.0	52779.0	57011.0	56218.0	51523.0	55217.0
