	YuJ_2015__SZAXPI003420-4__bin.42	LeChatelierE_2013__MH0445__bin.27	NielsenHB_2014__O2_UC51_2__bin.22	FengQ_2015__SID530167__bin.19	CosteaPI_2017__mickey3-11-7-0__bin.1	LiJ_2014__MH0238__bin.36	LiJ_2014__MH0328__bin.2	LiJ_2014__MH0395__bin.62	XieH_2016__YSZC12003_37651__bin.23	HMP_2012__SRS022524__bin.26	KarlssonFH_2013__S463__bin.27	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.51	BackhedF_2015__SID582_M__bin.20	KarlssonFH_2013__S131__bin.32	ZeeviD_2015__PNP_Main_712__bin.62	FengQ_2015__SID530295__bin.40	CosteaPI_2017__SID713B016-11-90-0__bin.47	ZeeviD_2015__PNP_Validation_72__bin.26	LeChatelierE_2013__MH0196__bin.15	LeChatelierE_2013__MH0302__bin.32	LiJ_2014__MH0402__bin.5	HMP_2012__SRS019685__bin.21	NielsenHB_2014__MH0102__bin.6	HMP_2012__SRS014235__bin.79	KarlssonFH_2013__S60__bin.40	KarlssonFH_2013__S88__bin.42	KarlssonFH_2013__S487__bin.25	KarlssonFH_2013__S424__bin.23	XieH_2016__YSZC12003_37583__bin.2	BackhedF_2015__SID599_M__bin.5	XieH_2016__YSZC12003_37314__bin.5	XieH_2016__YSZC12003_37097__bin.7	XieH_2016__YSZC12003_36695__bin.83	LiJ_2014__MH0309__bin.19	LeChatelierE_2013__MH0102__bin.23	ZeeviD_2015__PNP_Main_564__bin.29	XieH_2016__YSZC12003_35698__bin.36
YuJ_2015__SZAXPI003420-4__bin.42	1382096.0	1149190.0	1157881.0	1149324.0	885489.0	1147183.0	941706.0	1105079.0	786832.0	1023704.0	1130543.0	1119841.0	1140312.0	1113144.0	1153641.0	800963.0	1140102.0	1095746.0	1150790.0	892231.0	1125981.0	1099750.0	1137123.0	989194.0	1147281.0	1127533.0	1087886.0	1143597.0	1183517.0	1161451.0	1142428.0	1163016.0	1143408.0	1169210.0	1148403.0	1164574.0	1111791.0
LeChatelierE_2013__MH0445__bin.27	1149190.0	1311903.0	1132065.0	1162003.0	943638.0	1173816.0	979291.0	1149267.0	801549.0	1041645.0	1161394.0	1152661.0	1135084.0	1161663.0	1137881.0	803166.0	1155038.0	1114264.0	1190933.0	935204.0	1162640.0	1130736.0	1123833.0	1022817.0	1147604.0	1176600.0	1129343.0	1189867.0	1142540.0	1170442.0	1187613.0	1165226.0	1129989.0	1192576.0	1132355.0	1146084.0	1103781.0
NielsenHB_2014__O2_UC51_2__bin.22	1157881.0	1132065.0	1263169.0	1112500.0	866042.0	1129373.0	920768.0	1090489.0	762582.0	1008350.0	1125013.0	1099051.0	1107297.0	1096554.0	1132045.0	785793.0	1140653.0	1078142.0	1141443.0	883865.0	1095352.0	1066761.0	1100867.0	967012.0	1130195.0	1109746.0	1082052.0	1131573.0	1168965.0	1131101.0	1116051.0	1149642.0	1115479.0	1157478.0	1115954.0	1156608.0	1091271.0
FengQ_2015__SID530167__bin.19	1149324.0	1162003.0	1112500.0	1303625.0	895819.0	1146076.0	951189.0	1134188.0	768798.0	1020507.0	1140674.0	1132259.0	1112322.0	1125665.0	1125753.0	812544.0	1146533.0	1106052.0	1164329.0	912788.0	1179701.0	1113883.0	1101429.0	1010697.0	1138662.0	1134878.0	1104401.0	1157922.0	1126237.0	1144595.0	1157575.0	1133070.0	1108165.0	1168839.0	1112943.0	1152771.0	1082127.0
CosteaPI_2017__mickey3-11-7-0__bin.1	885489.0	943638.0	866042.0	895819.0	1090411.0	911022.0	812738.0	888307.0	633590.0	878798.0	904273.0	910280.0	909009.0	884981.0	893004.0	673200.0	908622.0	861618.0	910132.0	839392.0	891434.0	937965.0	905372.0	865208.0	882545.0	946992.0	883391.0	909829.0	897060.0	896438.0	922182.0	888166.0	911967.0	926042.0	909755.0	888426.0	859026.0
LiJ_2014__MH0238__bin.36	1147183.0	1173816.0	1129373.0	1146076.0	911022.0	1271229.0	955480.0	1132986.0	797057.0	1017819.0	1146876.0	1155697.0	1129128.0	1136550.0	1139512.0	806177.0	1143507.0	1096001.0	1152775.0	925020.0	1140551.0	1109610.0	1117712.0	1004824.0	1137823.0	1146269.0	1116932.0	1173652.0	1154714.0	1168136.0	1158729.0	1150849.0	1136406.0	1196600.0	1126055.0	1154520.0	1103512.0
LiJ_2014__MH0328__bin.2	941706.0	979291.0	920768.0	951189.0	812738.0	955480.0	1418103.0	946256.0	666035.0	885740.0	970645.0	957264.0	927321.0	932772.0	937747.0	705505.0	949393.0	901772.0	962652.0	817523.0	939763.0	960434.0	922740.0	889736.0	935301.0	955647.0	922487.0	952999.0	947886.0	946696.0	965826.0	942930.0	936938.0	973190.0	927366.0	945369.0	903018.0
LiJ_2014__MH0395__bin.62	1105079.0	1149267.0	1090489.0	1134188.0	888307.0	1132986.0	946256.0	1346301.0	762070.0	1016137.0	1151154.0	1146124.0	1112287.0	1126127.0	1111587.0	797595.0	1154312.0	1085489.0	1134636.0	895077.0	1111495.0	1095186.0	1099507.0	990986.0	1143066.0	1203642.0	1147567.0	1148159.0	1123264.0	1142008.0	1139924.0	1115889.0	1104407.0	1146863.0	1107682.0	1125436.0	1072007.0
XieH_2016__YSZC12003_37651__bin.23	786832.0	801549.0	762582.0	768798.0	633590.0	797057.0	666035.0	762070.0	913351.0	718197.0	778376.0	780266.0	759094.0	762458.0	764521.0	569545.0	786132.0	721374.0	781831.0	643061.0	760470.0	780644.0	750855.0	708924.0	759922.0	779943.0	745561.0	786196.0	776683.0	778529.0	792455.0	770077.0	761910.0	797195.0	751121.0	771626.0	738564.0
HMP_2012__SRS022524__bin.26	1023704.0	1041645.0	1008350.0	1020507.0	878798.0	1017819.0	885740.0	1016137.0	718197.0	1606573.0	1034520.0	1026783.0	1002003.0	997627.0	994075.0	726555.0	1051657.0	968248.0	1040501.0	877915.0	997165.0	1080228.0	992864.0	982229.0	1000468.0	1037712.0	991023.0	1032211.0	1060295.0	1027788.0	1039155.0	1008825.0	1000453.0	1050845.0	1004591.0	1017032.0	965755.0
