	Castro-NallarE_2015__ES_107__bin.27	CM_periimplantitis__SP_189SPI_T016__bin.1	CM_periimplantitis__SP_381SPT_T016__bin.31	HMP_2012__SRS015941__bin.83	HMP_2012__SRS057791__bin.56	HMP_2012__SRS047219__bin.68	HMP_2012__SRS019607__bin.29	HMP_2012__SRS064774__bin.74	CM_cf__CF_TNFC017SA_t1M16__bin.5	HMP_2012__SRS047824__bin.5	Castro-NallarE_2015__ES_114__bin.23	HMP_2012__SRS047210__bin.67	HMP_2012__SRS019894__bin.7	HMP_2012__SRS078182__bin.96	HMP_2012__SRS020220__bin.49	HMP_2012__SRS018591__bin.31	HMP_2012__SRS015038__bin.29	HMP_2012__SRS018791__bin.23	HMP_2012__SRS018443__bin.26	HMP_2012__SRS019219__bin.13	HMP_2012__SRS022143__bin.42	HMP_2012__SRS015057__bin.22	CM_periimplantitis__SP_282SPT_T016_R__bin.41	HMP_2012__SRS024318__bin.38	CM_cf__CF_TNFC023IS_t3M15__bin.27	HMP_2012__SRS023352__bin.13	HMP_2012__SRS053854__bin.2	HMP_2012__SRS016342__bin.44
Castro-NallarE_2015__ES_107__bin.27	0.0	39960.0	39554.0	18435.0	18567.0	25546.0	17970.0	15999.0	25385.0	13713.0	23708.0	26799.0	24352.0	21303.0	20606.0	21925.0	26246.0	25808.0	36327.0	19438.0	17826.0	22363.0	39706.0	26244.0	21641.0	11592.0	25424.0	13343.0
CM_periimplantitis__SP_189SPI_T016__bin.1	39960.0	0.0	39224.0	49887.0	43880.0	63443.0	45430.0	40558.0	67264.0	33034.0	58041.0	65370.0	61970.0	55939.0	50867.0	55186.0	63011.0	63990.0	38883.0	52244.0	46918.0	59686.0	31456.0	62446.0	51100.0	30852.0	63677.0	33321.0
CM_periimplantitis__SP_381SPT_T016__bin.31	39554.0	39224.0	0.0	48013.0	43643.0	62741.0	45955.0	38709.0	66350.0	31447.0	57949.0	66918.0	63514.0	52459.0	50574.0	52158.0	62919.0	68022.0	38269.0	48315.0	44552.0	58096.0	39063.0	60068.0	48898.0	29146.0	66827.0	32303.0
HMP_2012__SRS015941__bin.83	18435.0	49887.0	48013.0	0.0	20448.0	31804.0	21534.0	20817.0	31687.0	15879.0	27392.0	32383.0	28326.0	27158.0	22558.0	26559.0	29832.0	26800.0	45320.0	26074.0	24557.0	27653.0	46743.0	31793.0	24288.0	14580.0	27488.0	18382.0
HMP_2012__SRS057791__bin.56	18567.0	43880.0	43643.0	20448.0	0.0	28839.0	20790.0	19268.0	29665.0	15321.0	26270.0	28623.0	26205.0	23713.0	23446.0	24712.0	29635.0	28634.0	41575.0	23453.0	21300.0	26820.0	42566.0	28879.0	24385.0	13712.0	27956.0	18117.0
HMP_2012__SRS047219__bin.68	25546.0	63443.0	62741.0	31804.0	28839.0	0.0	28186.0	26669.0	42828.0	21315.0	37453.0	41446.0	39926.0	34952.0	30087.0	34130.0	40590.0	40820.0	56888.0	33889.0	30154.0	36311.0	60702.0	28982.0	32881.0	18171.0	41136.0	22765.0
HMP_2012__SRS019607__bin.29	17970.0	45430.0	45955.0	21534.0	20790.0	28186.0	0.0	18958.0	28943.0	15777.0	26464.0	28530.0	27106.0	25330.0	23037.0	23956.0	29381.0	28021.0	43726.0	22314.0	20024.0	23358.0	44352.0	28951.0	23535.0	13233.0	27760.0	17493.0
HMP_2012__SRS064774__bin.74	15999.0	40558.0	38709.0	20817.0	19268.0	26669.0	18958.0	0.0	26658.0	16550.0	23990.0	21133.0	24921.0	23250.0	20999.0	23021.0	26997.0	25551.0	37445.0	22061.0	17426.0	21806.0	38935.0	26189.0	21164.0	13008.0	24188.0	17724.0
CM_cf__CF_TNFC017SA_t1M16__bin.5	25385.0	67264.0	66350.0	31687.0	29665.0	42828.0	28943.0	26658.0	0.0	21414.0	38013.0	44654.0	40260.0	36437.0	33707.0	36775.0	43316.0	43685.0	59049.0	34150.0	30749.0	36950.0	63842.0	43970.0	34588.0	18488.0	42243.0	23046.0
HMP_2012__SRS047824__bin.5	13713.0	33034.0	31447.0	15879.0	15321.0	21315.0	15777.0	16550.0	21414.0	0.0	18446.0	20820.0	18774.0	18225.0	16663.0	18460.0	21353.0	18603.0	31501.0	18453.0	16741.0	19057.0	31508.0	21326.0	17261.0	10843.0	19294.0	14522.0
Castro-NallarE_2015__ES_114__bin.23	23708.0	58041.0	57949.0	27392.0	26270.0	37453.0	26464.0	23990.0	38013.0	18446.0	0.0	39275.0	36359.0	32271.0	29178.0	31889.0	38670.0	37011.0	52690.0	30385.0	26849.0	33221.0	57816.0	38499.0	30390.0	16356.0	36973.0	20450.0
HMP_2012__SRS047210__bin.67	26799.0	65370.0	66918.0	32383.0	28623.0	41446.0	28530.0	21133.0	44654.0	20820.0	39275.0	0.0	41926.0	36259.0	32694.0	35457.0	42801.0	45560.0	59814.0	33131.0	26624.0	38878.0	64526.0	42204.0	34101.0	17514.0	43485.0	22380.0
HMP_2012__SRS019894__bin.7	24352.0	61970.0	63514.0	28326.0	26205.0	39926.0	27106.0	24921.0	40260.0	18774.0	36359.0	41926.0	0.0	35316.0	30513.0	33391.0	39956.0	39023.0	57488.0	30948.0	27810.0	35045.0	60217.0	41598.0	31217.0	16200.0	20685.0	21497.0
HMP_2012__SRS078182__bin.96	21303.0	55939.0	52459.0	27158.0	23713.0	34952.0	25330.0	23250.0	36437.0	18225.0	32271.0	36259.0	35316.0	0.0	27308.0	30074.0	34844.0	35072.0	49420.0	29209.0	27361.0	32446.0	54548.0	35776.0	28462.0	15643.0	34618.0	19447.0
HMP_2012__SRS020220__bin.49	20606.0	50867.0	50574.0	22558.0	23446.0	30087.0	23037.0	20999.0	33707.0	16663.0	29178.0	32694.0	30513.0	27308.0	0.0	27652.0	33015.0	34278.0	46353.0	24363.0	22997.0	29214.0	50374.0	33079.0	26936.0	14035.0	31628.0	17636.0
HMP_2012__SRS018591__bin.31	21925.0	55186.0	52158.0	26559.0	24712.0	34130.0	23956.0	23021.0	36775.0	18460.0	31889.0	35457.0	33391.0	30074.0	27652.0	0.0	34104.0	34683.0	49190.0	29612.0	27132.0	32239.0	52783.0	35210.0	28102.0	17306.0	32824.0	19086.0
HMP_2012__SRS015038__bin.29	26246.0	63011.0	62919.0	29832.0	29635.0	40590.0	29381.0	26997.0	43316.0	21353.0	38670.0	42801.0	39956.0	34844.0	33015.0	34104.0	0.0	41701.0	58828.0	32292.0	28660.0	35496.0	62457.0	42272.0	33063.0	18176.0	40242.0	22955.0
HMP_2012__SRS018791__bin.23	25808.0	63990.0	68022.0	26800.0	28634.0	40820.0	28021.0	25551.0	43685.0	18603.0	37011.0	45560.0	39023.0	35072.0	34278.0	34683.0	41701.0	0.0	60152.0	32458.0	28949.0	36984.0	63594.0	42524.0	32868.0	16582.0	40724.0	22357.0
HMP_2012__SRS018443__bin.26	36327.0	38883.0	38269.0	45320.0	41575.0	56888.0	43726.0	37445.0	59049.0	31501.0	52690.0	59814.0	57488.0	49420.0	46353.0	49190.0	58828.0	60152.0	0.0	46316.0	42694.0	53815.0	38324.0	56324.0	46535.0	27504.0	60865.0	31141.0
HMP_2012__SRS019219__bin.13	19438.0	52244.0	48315.0	26074.0	23453.0	33889.0	22314.0	22061.0	34150.0	18453.0	30385.0	33131.0	30948.0	29209.0	24363.0	29612.0	32292.0	32458.0	46316.0	0.0	26235.0	29668.0	49685.0	32842.0	26148.0	12914.0	29798.0	19570.0
HMP_2012__SRS022143__bin.42	17826.0	46918.0	44552.0	24557.0	21300.0	30154.0	20024.0	17426.0	30749.0	16741.0	26849.0	26624.0	27810.0	27361.0	22997.0	27132.0	28660.0	28949.0	42694.0	26235.0	0.0	27477.0	43708.0	29348.0	22697.0	14022.0	26959.0	17739.0
HMP_2012__SRS015057__bin.22	22363.0	59686.0	58096.0	27653.0	26820.0	36311.0	23358.0	21806.0	36950.0	19057.0	33221.0	38878.0	35045.0	32446.0	29214.0	32239.0	35496.0	36984.0	53815.0	29668.0	27477.0	0.0	58589.0	37231.0	29688.0	16330.0	35176.0	20871.0
CM_periimplantitis__SP_282SPT_T016_R__bin.41	39706.0	31456.0	39063.0	46743.0	42566.0	60702.0	44352.0	38935.0	63842.0	31508.0	57816.0	64526.0	60217.0	54548.0	50374.0	52783.0	62457.0	63594.0	38324.0	49685.0	43708.0	58589.0	0.0	60261.0	48932.0	29759.0	62025.0	32424.0
HMP_2012__SRS024318__bin.38	26244.0	62446.0	60068.0	31793.0	28879.0	28982.0	28951.0	26189.0	43970.0	21326.0	38499.0	42204.0	41598.0	35776.0	33079.0	35210.0	42272.0	42524.0	56324.0	32842.0	29348.0	37231.0	60261.0	0.0	33146.0	18554.0	42193.0	23193.0
CM_cf__CF_TNFC023IS_t3M15__bin.27	21641.0	51100.0	48898.0	24288.0	24385.0	32881.0	23535.0	21164.0	34588.0	17261.0	30390.0	34101.0	31217.0	28462.0	26936.0	28102.0	33063.0	32868.0	46535.0	26148.0	22697.0	29688.0	48932.0	33146.0	0.0	14725.0	31921.0	18608.0
