	QinJ_2012__T2D-039__bin.23	QinJ_2012__T2D-062__bin.46	HMP_2012__SRS022071__bin.44	LiJ_2017__H3F516111__bin.34	QinJ_2012__DLF009__bin.6	HeQ_2017__SZAXPI029555-35__bin.92	QinJ_2012__T2D-025__bin.1	QinJ_2012__CON-010__bin.48	HeQ_2017__RSZAXPI003099-133__bin.45	HeQ_2017__SZAXPI029567-80__bin.62	QinJ_2012__T2D-015__bin.36	WenC_2017__RA114__bin.38	QinJ_2012__T2D-102__bin.21	LiJ_2017__H3F416103__bin.2	HeQ_2017__RSZAXPI003079-113__bin.35	YuJ_2015__SZAXPI015257-56__bin.54	YuJ_2015__SZAXPI017594-166__bin.13	YuJ_2015__SZAXPI015233-19__bin.46	QinJ_2012__T2D-091__bin.34	ChengpingW_2017__AS121raw__bin.39	ChengpingW_2017__AS128raw__bin.52	HMP_2012__SRS012273__bin.13	HeQ_2017__SZAXPI029601-32__bin.53	QinJ_2012__T2D-079__bin.15	QinJ_2012__CON-038__bin.47	QinJ_2012__T2D-095__bin.6	HeQ_2017__SZAXPI029569-84__bin.29	QinJ_2012__T2D-060__bin.14	WenC_2017__RA064__bin.5
QinJ_2012__T2D-039__bin.23	1.0	0.7822599256841841	0.8166716489344401	0.544041956373921	0.8917921139736348	0.8523890877493522	0.6697523167545146	0.8960871902023317	0.6522932113632879	0.5867735505085785	0.898378775229507	0.8339332706548559	0.7029187312100096	0.8056752934762237	0.8826861806348287	0.8400939867383906	0.763468773572193	0.885073022491454	0.5104372056138025	0.6123945398475581	0.640231992974228	0.7954487371112863	0.8921506823641661	0.7357931796110114	0.8590214413055297	0.6616105683967268	0.6491319237387764	0.8920910500400389	0.7593556920989494
QinJ_2012__T2D-062__bin.46	0.7016316692483485	1.0	0.8695178622284893	0.6130616894618757	0.9218111598118961	0.8996464369317116	0.6670331960295354	0.9314962872404715	0.6396678313177692	0.5769517167605566	0.9306391225523225	0.8952321082500365	0.7488514409952557	0.8736772642970764	0.9220320499017108	0.9009419086848705	0.7897126344963636	0.9310586747983857	0.49091988913818135	0.6802122767655578	0.6964664531858881	0.8359384008391045	0.9180060154345213	0.7196210137326952	0.8170022853094198	0.6535102769461598	0.7119586282586498	0.9093822718337351	0.8214277279578781
HMP_2012__SRS022071__bin.44	0.5720479174837625	0.6790556026600572	1.0	0.5987879044319279	0.8938673193668938	0.8535747976992751	0.5372625539825726	0.8627550220541288	0.5943759937377232	0.5585181665155887	0.8863975037688122	0.8539946696871411	0.7171006700050288	0.8261795066666884	0.8699991700204891	0.8420999241084094	0.7075358342297654	0.8743584610986433	0.5030028441716181	0.6430014012007037	0.6392209258991037	0.8702031388414679	0.8676025363739877	0.5869653073989147	0.7012605381630547	0.5349679047465606	0.6709429597937311	0.8130495562864438	0.7827043119334237
LiJ_2017__H3F516111__bin.34	0.5319515309020032	0.668321982380656	0.8358488680093957	1.0	0.9040658976187989	0.8793482326892292	0.5032879143779239	0.9054168048620544	0.5661959693895323	0.5364805534479181	0.9221486694623783	0.8712412747596915	0.7387607394854134	0.8962815218000385	0.8957953769288669	0.8663336347128641	0.708064704216436	0.9088894845804236	0.459751445183001	0.711671414530128	0.6649757609075916	0.780239801180378	0.8994399489926502	0.5541089842904027	0.6662214124855936	0.5112684140621568	0.6902151607534185	0.7920291929237904	0.8627443408042139
QinJ_2012__DLF009__bin.6	0.5601661931009724	0.6455607655078779	0.8015698933832632	0.58078271871949	1.0	0.8333690879080947	0.5103116680068551	0.8575119388660011	0.6012284980013922	0.5488920703163574	0.8855250401205246	0.8356111672968715	0.6941461248121669	0.8116332251939868	0.8672629654114622	0.823771295254468	0.6797090599173704	0.866925364392627	0.49121775217069186	0.6274485194930537	0.6197162886654106	0.7530059381781512	0.8607045548409505	0.5652647468162618	0.6772184011040624	0.5254925253480477	0.6500853001997878	0.8073037596786661	0.7559708923709466
HeQ_2017__SZAXPI029555-35__bin.92	0.575154286311499	0.676799832780289	0.8222485825516683	0.6068309251953073	0.8952216967575053	1.0	0.5160980325555875	0.8846722232383142	0.6100718522195804	0.565128942074047	0.9033809735322551	0.871054268021843	0.704664907375957	0.839706842944112	0.888884069709717	0.8431860580565934	0.6964241109920832	0.8894385075640792	0.511690225485329	0.6633172210174274	0.6482549055469914	0.7748151438350795	0.8971300917095603	0.5743814177096125	0.6955812191362056	0.5378909413947169	0.6599273639380242	0.8367454863742063	0.7832858673216105
QinJ_2012__T2D-025__bin.1	0.7468977679820638	0.8293470112516366	0.8553592958140596	0.5740156977085629	0.9060020243963948	0.8529678480251771	1.0	0.9096699473864214	0.60007980129133	0.5347748809026183	0.9091914850985771	0.8679254082475153	0.7296523980115315	0.8449030811589496	0.9089893909192349	0.8895995771567939	0.7713468454307715	0.9061220717935254	0.4482172529700935	0.6519558225578559	0.7022608638576151	0.8296130155560699	0.8966150088610525	0.7784935519865686	0.8635579284828427	0.6807922437290349	0.6928453478610835	0.9097804946298222	0.797640680003731
QinJ_2012__CON-010__bin.48	0.5704250522447624	0.661106381132628	0.7840628702057204	0.589463886655364	0.8690309218988254	0.8346112491760881	0.5192604340394777	1.0	0.6009436841147822	0.571774862664924	0.8848386907529112	0.829323916540502	0.6829892828602178	0.807168883566773	0.8738104734048401	0.8310681200710105	0.6931227208391897	0.8796435475068686	0.48939797370679733	0.6205248090521107	0.6330014350979303	0.7440758457390508	0.8582008870887035	0.5749881805314743	0.6814186122982617	0.527784255136847	0.6460420432915457	0.803813584180498	0.7699657814677635
HeQ_2017__RSZAXPI003099-133__bin.45	0.5780496894154175	0.6320023938106817	0.7519667611700299	0.5131560074147736	0.8482201866595841	0.8012292986505304	0.47685285270446387	0.8365805567394212	1.0	0.7858239464796639	0.8501020183365349	0.790919029765471	0.6165318432410879	0.7650201668941747	0.8997825118678243	0.7710108702888152	0.6902877033761103	0.840342847495455	0.6915820631655812	0.5661568151886189	0.5518948370417496	0.7076750868682876	0.8139189659396702	0.5303381875256933	0.6696053987019343	0.49916443104788927	0.5704434383302073	0.7887297361661008	0.721278218038544
HeQ_2017__SZAXPI029567-80__bin.62	0.5820347698767591	0.6380574284487375	0.7909167518718903	0.5442428283576299	0.8667864020913241	0.8307674462016394	0.4756663867889525	0.8909537018756928	0.87959215184992	1.0	0.8914438079552359	0.8214247030364299	0.6415726720537365	0.79959270494769	0.8602222070291045	0.8078814895844776	0.7175444917223541	0.8890585738220362	0.7325557188388941	0.5762341570137022	0.5703121699177804	0.7339192584802563	0.8471852316749875	0.5377738890224688	0.6821961668788155	0.5087477789667673	0.6000642207966298	0.7983328711382061	0.7502072196159197
