	HMP_2012__SRS018145__bin.22	HMP_2012__SRS057692__bin.21	BackhedF_2015__SID229_12M__bin.32	BackhedF_2015__SID137_12M__bin.3	HMP_2012__SRS017533__bin.17	HMP_2012__SRS013164__bin.42	HMP_2012__SRS015434__bin.27	HMP_2012__SRS022530__bin.39	BackhedF_2015__SID105_12M__bin.7	HMP_2012__SRS063288__bin.42	HMP_2012__SRS014271__bin.71	VatanenT_2016__G80511__bin.8	NielsenHB_2014__V1_UC3_2__bin.8	HMP_2012__SRS017209__bin.5	HMP_2012__SRS015644__bin.21	GeversD_2014__SKBSTL007__bin.13	CM_cf__CF_TNFC040IS_t3M15__bin.16	HMP_2012__SRS021496__bin.46	CM_cf__CF_TNFC046IS_t2M15__bin.37	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.51	HMP_2012__SRS015762__bin.61	HMP_2012__SRS075404__bin.10	HMP_2012__SRS022077__bin.86	BackhedF_2015__SID258_4M__bin.3	FerrettiP_2018__CA_C10020MS2331SA_t0M15__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.37	HMP_2012__SRS064329__bin.38	HMP_2012__SRS019071__bin.32	BritoIL_2016__M1.52.SA__bin.8	HMP_2012__SRS055495__bin.3	HMP_2012__SRS047824__bin.17	ZeeviD_2015__PNP_Main_42__bin.67	HMP_2012__SRS057205__bin.78	FerrettiP_2018__CA_C10032IS2555FE_t3M15__bin.1	HMP_2012__SRS023958__bin.3	HMP_2012__SRS042131__bin.5	HMP_2012__SRS024081__bin.63	FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.10	BackhedF_2015__SID590_12M__bin.25	HMP_2012__SRS017007__bin.56
HMP_2012__SRS018145__bin.22	0.0	26503.0	41573.0	68799.0	46690.0	49887.0	36935.0	44730.0	58878.0	35868.0	20247.0	47231.0	41731.0	35383.0	55074.0	53162.0	54117.0	34484.0	42809.0	53811.0	20138.0	53105.0	36697.0	54151.0	52671.0	55873.0	31108.0	42175.0	45133.0	29640.0	52205.0	51166.0	38590.0	57514.0	46827.0	54211.0	46977.0	53298.0	41462.0	25537.0
HMP_2012__SRS057692__bin.21	26503.0	0.0	37020.0	64567.0	44221.0	45438.0	34756.0	42721.0	54716.0	34203.0	18546.0	45296.0	39877.0	33999.0	52023.0	49700.0	50779.0	32647.0	39536.0	51793.0	19279.0	50896.0	35008.0	51461.0	51868.0	53691.0	29086.0	39916.0	42987.0	36103.0	49913.0	48638.0	36895.0	54735.0	43572.0	51894.0	42854.0	50846.0	37745.0	26637.0
BackhedF_2015__SID229_12M__bin.32	41573.0	37020.0	0.0	64328.0	44134.0	52986.0	38384.0	44199.0	31850.0	36578.0	21398.0	42876.0	39707.0	34876.0	54110.0	31884.0	50416.0	40894.0	42955.0	51197.0	25323.0	48891.0	40016.0	49774.0	50136.0	53855.0	28213.0	42870.0	42934.0	47256.0	48308.0	47155.0	44228.0	52877.0	49506.0	53475.0	45790.0	48092.0	27080.0	33251.0
BackhedF_2015__SID137_12M__bin.3	68799.0	64567.0	64328.0	0.0	64214.0	86150.0	65914.0	74834.0	86808.0	62947.0	34046.0	71190.0	59877.0	57453.0	88649.0	81427.0	85320.0	68836.0	76276.0	78342.0	38493.0	81372.0	63061.0	84833.0	81852.0	73636.0	51447.0	68202.0	53858.0	76083.0	81337.0	74436.0	70619.0	84383.0	81119.0	88273.0	73305.0	76159.0	64321.0	53129.0
HMP_2012__SRS017533__bin.17	46690.0	44221.0	44134.0	64214.0	0.0	58983.0	43102.0	48853.0	59979.0	41635.0	21962.0	49310.0	41613.0	39531.0	59313.0	55734.0	57746.0	45611.0	50391.0	55227.0	25975.0	53863.0	44979.0	57950.0	56112.0	53358.0	34016.0	49567.0	41498.0	52137.0	54547.0	52656.0	47714.0	59503.0	55948.0	59165.0	50236.0	53648.0	42070.0	35777.0
HMP_2012__SRS013164__bin.42	49887.0	45438.0	52986.0	86150.0	58983.0	0.0	48222.0	58628.0	75829.0	48636.0	22524.0	60879.0	53623.0	45902.0	74190.0	69406.0	69529.0	44734.0	55975.0	62933.0	16996.0	68481.0	50992.0	70137.0	69933.0	70004.0	39679.0	55453.0	56811.0	56163.0	66098.0	64801.0	31961.0	74167.0	14623.0	73066.0	60145.0	68100.0	53009.0	39694.0
HMP_2012__SRS015434__bin.27	36935.0	34756.0	38384.0	65914.0	43102.0	48222.0	0.0	41860.0	54910.0	33655.0	18915.0	45844.0	39661.0	34385.0	53322.0	50080.0	52401.0	37173.0	41987.0	52131.0	22793.0	49782.0	37931.0	52203.0	50673.0	54353.0	29582.0	30436.0	42521.0	40981.0	46304.0	48169.0	40336.0	53761.0	45617.0	52789.0	44442.0	50405.0	38764.0	30532.0
HMP_2012__SRS022530__bin.39	44730.0	42721.0	44199.0	74834.0	48853.0	58628.0	41860.0	0.0	63218.0	27510.0	20345.0	52145.0	43956.0	38343.0	62007.0	58508.0	57747.0	42715.0	50682.0	58713.0	25855.0	54213.0	45353.0	59794.0	58453.0	58829.0	33358.0	49583.0	50015.0	51080.0	41620.0	52945.0	48266.0	62090.0	54636.0	61399.0	50489.0	55705.0	44651.0	34670.0
BackhedF_2015__SID105_12M__bin.7	58878.0	54716.0	31850.0	86808.0	59979.0	75829.0	54910.0	63218.0	0.0	51798.0	29384.0	63021.0	54869.0	50471.0	76611.0	24496.0	71039.0	59126.0	61645.0	72255.0	34309.0	70848.0	56900.0	70908.0	70686.0	76775.0	38840.0	59262.0	58133.0	66904.0	70069.0	66926.0	61999.0	74658.0	71399.0	75839.0	64486.0	66732.0	24768.0	46420.0
HMP_2012__SRS063288__bin.42	35868.0	34203.0	36578.0	62947.0	41635.0	48636.0	33655.0	27510.0	51798.0	0.0	18090.0	43114.0	36091.0	32783.0	51157.0	48062.0	48620.0	33363.0	40553.0	48653.0	21651.0	46740.0	36194.0	50268.0	46585.0	50888.0	26285.0	40162.0	41887.0	40725.0	39356.0	42813.0	40125.0	48754.0	44375.0	50460.0	43122.0	46107.0	37551.0	27272.0
